Citance Number: 1 | Reference Article:  C88-2121.txt | Citing Article:  P12-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Consequently, lexicalized grammars offer significant parsing benefits (Schabes et al, 1988) as the number of applications of productions (i.e., derivation steps) is clearly bounded by the length of the input string.</S> | Reference Offset:  ['144','168'] | Reference Text:  <S sid = 144 ssid = >The number of rules that can be used for a given sentence is bounded and is proportional to the length of the sentence.</S><S sid = 168 ssid = >After the first step, we have a grammar whose size is proportional to the length of the input string.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C88-2121.txt | Citing Article:  W07-2213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, virtually all Tree Adjoining Grammars (TAG ,seee.g., (Schabes et al, 1988)) used in NLP applications can (almost) be seen as lexicalized Tree Insertion Grammars (TIG), which can be converted into strongly equivalent CFGs (Schabes and Waters,1995).</S> | Reference Offset:  ['260','272'] | Reference Text:  <S sid = 260 ssid = >Linguistic Relevance of Tree Adjoining Grammars.</S><S sid = 272 ssid = >An Earley- type Parser for Tree Adjoining Grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C88-2121.txt | Citing Article:  C04-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They employed a CCG (Steedman, 2000) or LTAG (Schabes et al, 1988) parser to acquire syntactic/semantic structures, which would be passed to statistical classifier as features.</S> | Reference Offset:  ['128','268'] | Reference Text:  <S sid = 128 ssid = >( i - - - -2 ) An argument structure can correspond to either one or a set of syntactic surface structures.</S><S sid = 268 ssid = >Schabes, Yves and Joshi, Aravind K., 1988 (a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C88-2121.txt | Citing Article:  P03-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Various parsing techniques have been developed for lexicalized grammars such as Lexicalized Tree Adjoining Grammar (LTAG) (Schabes et al,1988), and Head-Driven Phrase Structure Grammar (HPSG) (Pollard and Sag, 1994).</S> | Reference Offset:  ['239','269'] | Reference Text:  <S sid = 239 ssid = >Parsing French with Tree Adjoining Grammar: some Linguistic Accounts.</S><S sid = 269 ssid = >An Earley- Type Parsing Algorithm for Tree Adjoining Grammars.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C88-2121.txt | Citing Article:  P05-2024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Head-Driven Phrase Structure Grammar (HPSG) is classified into lexicalized grammars (Schabes et al, 1988).</S> | Reference Offset:  ['113','268'] | Reference Text:  <S sid = 113 ssid = >If a structure has only one terminal, the terminal is the head of the structure; if there are several terminals, the choice of the head is linguistically motivated, e.g.</S><S sid = 268 ssid = >Schabes, Yves and Joshi, Aravind K., 1988 (a).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C88-2121.txt | Citing Article:  W05-1510.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Fergus system (Bangalore and Rambow, 2000) uses LTAG (Lexicalized Tree Adjoining Grammar (Schabes et al, 1988)) for generating a word lattice containing realizations and selects the best one using a trigram model. White and Baldridge (2003) developed a chart generator for CCG (Combinatory Categorial Grammar (Steedman, 2000)) and proposed several techniques for efficient generation such as best-first search, beam thresholding and chunking the input logical forms (White, 2004).</S> | Reference Offset:  ['38','78'] | Reference Text:  <S sid = 38 ssid = >The domain of locality of a CFG can be extended by using a tree rewriting system that only uses substitution.</S><S sid = 78 ssid = >We describe very briefly the Tree Adjoining Grammar formalism with adjunction and substitution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C88-2121.txt | Citing Article:  A94-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Conventional approaches to subcategorization, such as Definite Clause Grammar (Pereira and Warren, 1980), Categorial Grammar (Ades and Steedman, 1982), PATR-II (Shieber, 1986), and lexicalized TAG (Schabes et al 1988) all deal with complementation by including in one form or another a notion of& quot; subcategorization frame& quot; that specifies a sequence of complement phrases and constraints on them.</S> | Reference Offset:  ['33','196'] | Reference Text:  <S sid = 33 ssid = >Not every grammar formalism in a given form is in a lexicalized form.</S><S sid = 196 ssid = >Thus it embeds the essential aspects of PATR-II as defined by Shieber (1984 and 1986).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C88-2121.txt | Citing Article:  W03-0401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Derivation trees, the structural description in LTAG (Schabes et al, 1988), represent the association of lexical items i.e., elementary trees.</S> | Reference Offset:  ['80','164'] | Reference Text:  <S sid = 80 ssid = >The trees in I are called initial trees.</S><S sid = 164 ssid = >Then, if the elementary trees are built according to the input string, and if a top-down strategy is used, only A or B trees will be built.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C88-2121.txt | Citing Article:  P08-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In lexicalized grammatical formalisms such as Lexicalized Tree Adjoining Grammar (Schabes et al, 1988, LTAG), Combinatory Categorial Grammar (Steedman, 2000, CCG) and Head-Driven Phrase Structure Grammar (Pollard and Sag, 1994, HPSG), it is possible to separate lexical category assignment? the assignment of informative syntactic categories to linguistic objects such as words or lexical predicates? from the combinatory processes that make use of such categories? such as parsing and surface realization.</S> | Reference Offset:  ['116','239'] | Reference Text:  <S sid = 116 ssid = >The category structure is a lexical tree that is not necessarily reduced to a single category.</S><S sid = 239 ssid = >Parsing French with Tree Adjoining Grammar: some Linguistic Accounts.</S> | Discourse Facet:  NA | Annotator: Automatic


