Citance Number: 1 | Reference Article:  H94-1046.txt | Citing Article:  P97-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Also (Miller et al, 1994) tagging semantically SemCor by hand, measure an error rate around 10% for polysemous words.</S> | Reference Offset:  ['77','85'] | Reference Text:  <S sid = 77 ssid = >Separate distributions are shown for all open- class words (both monosemous and polysemous) and for the polysemous open-class words alone.</S><S sid = 85 ssid = >Genre N All Words Polysemous A.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  H94-1046.txt | Citing Article:  W00-0801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is a balanced corpus and it has more than 200K words that are manually sense tagged as a product of the semantic concordance (SemCor) effort using WordNet [Miller et al 1994].</S> | Reference Offset:  ['38','52'] | Reference Text:  <S sid = 38 ssid = >At the ARPA Human Language Technology Workshop in March 1993, Miller, Leacock, Tengi, and Bunker [7] described a semantic concordance that combines passages from the Brown Corpus [3] with the WordNet lexical d~t_~base [2] in such a way that every open-class word in the text (every noun, verb, adjective, or adverb) carries both a syntactic tag and a semantic tag pointing to the appropriate sense of that word in WordNet.</S><S sid = 52 ssid = >If the syntactically tagged word (word/pos) has more than one sense in WordNet, consult the semantic concordance to determine which sense occurred most often in that corpus and assign that sense to it; if there is a fie, select one of the equally frequent senses at random.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H94-1046.txt | Citing Article:  P07-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Among the few currently available manually sense-annotated corpora for WSD, the SEMCOR (SC) corpus (Miller et al, 1994) is the most widely used.</S> | Reference Offset:  ['32','133'] | Reference Text:  <S sid = 32 ssid = >These and other word counts were used by Thomdike in writing the Thorndike-Barnhart Junior Dictionary [5], adictionary for children that first appeared in 1935 and that was widely used in the public schools for many years.</S><S sid = 133 ssid = >Anything coarser could not have been used to tag passages from the Brown Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H94-1046.txt | Citing Article:  W06-2505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bentivogli et al (2004) proposed an approach to create an Italian sense tagged corpus (MultiSemCor) based on the transference of the annotations from the English sense tagged corpus SemCor (Miller et al, 1994), by means of word alignment methods.</S> | Reference Offset:  ['52','163'] | Reference Text:  <S sid = 52 ssid = >If the syntactically tagged word (word/pos) has more than one sense in WordNet, consult the semantic concordance to determine which sense occurred most often in that corpus and assign that sense to it; if there is a fie, select one of the equally frequent senses at random.</S><S sid = 163 ssid = >Leacock, C., Towel], G., and Voorhees, E. (1993) Corpus- based statistical sense resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H94-1046.txt | Citing Article:  W00-1318.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Miller et al, 1994) found that automatic assignment of polysemous words in Brown Corpus to senses in WordNet was 58% correct with a heuristic of most frequently occurring sense.</S> | Reference Offset:  ['3','126'] | Reference Text:  <S sid = 3 ssid = >When statistics for sense- frequancies were derived from a semantic concordance, the assumption that each word is used in its most frequently occurring sense was correct 69% of the time; when that figure was calculated for polysemous words alone, it dropped to 58%.</S><S sid = 126 ssid = >Obviously, they are specific to the Brown Corpus; in a restricted omain of discourse, polysemous words would not be used in such a wide variety of ways and a most-frequent heuristic would be correct far more frequently.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H94-1046.txt | Citing Article:  P06-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The widely used SEMCOR (SC) corpus (Milleret al, 1994) is one of the few currently available manually sense-annotated corpora for WSD.</S> | Reference Offset:  ['32','133'] | Reference Text:  <S sid = 32 ssid = >These and other word counts were used by Thomdike in writing the Thorndike-Barnhart Junior Dictionary [5], adictionary for children that first appeared in 1935 and that was widely used in the public schools for many years.</S><S sid = 133 ssid = >Anything coarser could not have been used to tag passages from the Brown Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H94-1046.txt | Citing Article:  W07-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We gathered training examples from parallel corpora, SEMCOR (Miller et al, 1994), and the DSO corpus.</S> | Reference Offset:  ['112','148'] | Reference Text:  <S sid = 112 ssid = >If the polysemous word does not co-occur in the training material with other words in the test sentence, select he sense that is most 242 frequent in the training material; break ties by a random choice.</S><S sid = 148 ssid = >Miller, G. A., Ed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H94-1046.txt | Citing Article:  W07-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The SEMCOR corpus (Miller et al, 1994) is one of the few currently available, manually sense annotated corpora for WSD.</S> | Reference Offset:  ['37','148'] | Reference Text:  <S sid = 37 ssid = >Again, however, sense-frequencies do not seem to be generally available in a computer-readable form.</S><S sid = 148 ssid = >Miller, G. A., Ed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H94-1046.txt | Citing Article:  W97-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The verbs are tagged with respect to senses in WordNet (Miller 1990), which has become widely used, for example in corpus-annotation projects (Miller et al 1994, Ng & Hian 1996, and Grishman et al 1994) and for performing disambiguation (Resnik 1995 and Leacock et al).</S> | Reference Offset:  ['149','161'] | Reference Text:  <S sid = 149 ssid = >(1990) Five Papers on WordNet.</S><S sid = 161 ssid = >Miller, G. A., Leacock, C., Tengi, R., and Bunker, R. (1993) A semantic oncordance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H94-1046.txt | Citing Article:  W97-0202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >SEMCOR (Miller et al 1994) leaves these uses untagged.</S> | Reference Offset:  ['148','161'] | Reference Text:  <S sid = 148 ssid = >Miller, G. A., Ed.</S><S sid = 161 ssid = >Miller, G. A., Leacock, C., Tengi, R., and Bunker, R. (1993) A semantic oncordance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H94-1046.txt | Citing Article:  W04-2116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here attested frequencies from SemCor (Miller et al, 1994) are used, so all ancestors are considered.</S> | Reference Offset:  ['73','148'] | Reference Text:  <S sid = 73 ssid = >Whan only polysemous words are considered, the average drops to 56.4% (o = 4.3%).</S><S sid = 148 ssid = >Miller, G. A., Ed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H94-1046.txt | Citing Article:  D09-1135.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Based on the lexicalized grammars, Bikel (2000) attempts at combining parsing and word sense disambiguation in a unified model, using a subset of SemCor (Miller et al, 1994).</S> | Reference Offset:  ['146','163'] | Reference Text:  <S sid = 146 ssid = >REFERENCES I. Gale, W., Church, K. W., and Yarowsky, D. (1992) Estimating upper and lower beunds on the performance of word-sense disambiguation programs.</S><S sid = 163 ssid = >Leacock, C., Towel], G., and Voorhees, E. (1993) Corpus- based statistical sense resolution.</S> | Discourse Facet:  NA | Annotator: Automatic


