Citance Number: 1 | Reference Article:  P96-1038.txt | Citing Article:  W11-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use AuToBI's models, which were trained on the spontaneous speech Boston Directions Corpus (BDC) (Hirschberg and Nakatani, 1996), to identify prosodic events in our corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The current investigation of discourse and intonation is based on analysis of a corpus of spontaneous and read speech, the Boston Directions Corpus.'</S><S sid = NA ssid = NA>This 'The Boston Directions Corpus was designed and collected in collaboration with Barbara Grosz. corpus comprises elicited monologues produced by multiple non-professional speakers, who were given written instructions to perform a series of nine increasingly complex direction-giving tasks.</S> | Discourse Facet:  NA | Annotator: Automatic

Citance Number: 5 | Reference Article:  P96-1038.txt | Citing Article:  W04-2323.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most previous work that has combined multiple annotations has used linear segmentations, i.e. discourse segmentations without hierarchies (Hirschberg and Nakatani, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have demonstrated that a theory-based method for discourse analysis can provide reliable segmentations of spontaneous as well as read speech.</S><S sid = NA ssid = NA>An intention-based theory of discourse was used in (Hirschberg and Grosz, 1992; Grosz and Hirschberg, 1992) to identify intonational correlates of discourse structure in news stories read by a professional speaker.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P96-1038.txt | Citing Article:  W04-2323.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A conservative way to combine segmentationsinto a gold standard is the Consensus (CNS) (or raw agreement) approach (Hir chberg and Nakatani, 1996).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 1 shows that group S produced significantly more consensus boundaries for both read (p<.001, x=58.8, df=1) and spontaneous (p<.001, x=55.4, df=1) speech than did 3Use of consensus labels is a conservative measure of labeler agreement.</S><S sid = NA ssid = NA>This coefficient is defined as where Po represents the observed agreement and PE represents the expected agreement.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P96-1038.txt | Citing Article:  P07-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Discourse structure has been successfully used in non-interactive settings (e.g. understanding specific lexical and prosodic phenomena (Hirschberg and Nakatani, 1996), natural language generation (Hovy, 1993), essay scoring (Higgins et al, 2004) as well as in interactive settings (e.g. predictive/generative models of postural shifts (Cassell et al., 2001), generation/interpretation of anaphoric expressions (Allen et al, 2001), performance modeling (Rotaru and Litman, 2006)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It has long been assumed in computational linguistics that discourse structure plays an important role in Natural Language Understanding tasks such as identifying speaker intentions and resolving anaphoric reference.</S><S sid = NA ssid = NA>Brown et al. (1980) found that subjects typically started new topics relatively high in their pitch range and finished topics by compressing their range.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P96-1038.txt | Citing Article:  N07-1001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We report results on the Boston University (BU) Radio Speech Corpus (Ostendorf et al, 1995) and Boston Directions Corpus (BDC) (Hirschberg and Nakatani, 1996), two publicly available speech corpora with manual ToBI annotations intended for experiments in automatic prosody labeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The current investigation of discourse and intonation is based on analysis of a corpus of spontaneous and read speech, the Boston Directions Corpus.'</S><S sid = NA ssid = NA>Swerts and Ostendorf (1995), however, report negative rate results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P96-1038.txt | Citing Article:  C08-1129.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In spontaneous monologue, Butterworth (1972) found that the beginning of a discourse segment exhibited slower speaking rate; Swerts (1995), and Passonneau and Litman (1997) found that pause length correlates with discourse segment boundaries; Hirschberg and Nakatani (1996) found that the beginning of a discourse segment correlates with higher pitch.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>And speaking rate has been found to correlate with structural variation; in several studies (Lehiste, 1980; Brubaker, 1972; Butterworth, 1975) segment-initial utterances exhibited slower rates, and segment-final, faster rates.</S><S sid = NA ssid = NA>Segment-medial and segment-final utterances are distinguished more clearly by rhythmic features, primarily pause.</S> | Discourse Facet:  NA | Annotator: Automatic


