Citance Number: 1 | Reference Article:  W97-1306.txt | Citing Article:  P98-2143.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We felt appropriate to extend the evaluation of our approach by comparing it to Breck Baldwin's CogNIAC (Baldwin 1997) approach which features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CogNIAC is both an engineering effort and a different approach to information processing in variable knowledge contexts.</S><S sid = NA ssid = NA>The system has been evaluated in two distinct experiments which support the overall validity of the approach.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W97-1306.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>RAP (Kennedy and Boguraev, 1996), Baldwin's pronoun resolution method (Baldwin, 1997) and Mitkov's knowledge-poor pronoun resolution approach (Mitkov, 1998b).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Pronoun resolution is one of the 'classic' computational linguistics problems.</S><S sid = NA ssid = NA>Pronoun resolution systems have extremely limited knowledge sources, they cannot access a fraction of human common sense knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W97-1306.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Since the original version of CogNiac is non-robust and resolves only anaphors that obey certain rules, for fairer and comparable results we implemented the resolve-all version as described in (Baldwin, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the first experiment, the high precision version of CogNIAC correctly resolved 62% of the pronouns as compared to the resolve all pronouns version which resolved 79% of them--a 27% loss of overall recall.</S><S sid = NA ssid = NA>In comparison, none of the six rules of CogNIAC would resolve the pronoun.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W97-1306.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baldwin's CogNiac (Baldwin, 1997) is a knowledge poor approach to anaphora resolution based on a set of high confidence rules which are successively applied over the pronoun under consideration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For each pronoun, the rules are applied in the presented order.</S><S sid = NA ssid = NA>The system does this by being very sensitive to ambiguity, and only resolving pronouns when very high confidence rules have been satisfied.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W97-1306.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This definition is slightly different from the one used in (Baldwin, 1997) and (Gaizauskas and Humphreys, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CogNIAC has been evaluated in two different contexts.</S><S sid = NA ssid = NA>CogNIAC is both an engineering effort and a different approach to information processing in variable knowledge contexts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W97-1306.txt | Citing Article:  P01-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As expected, the results reported in Table 1 do not match the original results published by Kennedy and Boguraev (1996), Baldwin (1997) and Mitkov (1998b) where the algorithms were tested on different data, employed different pre-processing tools, resorted to different degrees of manual intervention and thus provided no common ground for any reliable comparison.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>CogNIAC has been evaluated in two different contexts.</S><S sid = NA ssid = NA>The performance of the individual rules was quite different from the narrative texts, as shown in the table below: The results for CogNIAC for all pronouns in the first 15 articles of the MUC-6 evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W97-1306.txt | Citing Article:  W11-1811.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Evaluation results for both evaluation modes are 76 given in traditional precision, recall and f-score, which are similar to (Baldwin, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3.2.2 Experiment 2-- All pronouns in MUC-6 evaluation: CogNIAC was used as the pronoun component in the University Pennsylvania's coreference entry5 in the MUC-6 evaluation.</S><S sid = NA ssid = NA>The performance of the individual rules was quite different from the narrative texts, as shown in the table below: The results for CogNIAC for all pronouns in the first 15 articles of the MUC-6 evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W97-1306.txt | Citing Article:  W06-1807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pronoun resolution is carried out using the Glencova Pronoun Resolution algorithm (Halpin et al, 2004), based on a series of rules similar to the CogNIAC engine (Baldwin, 1997), but without gender information based rules since this is not provided by the Penn Treebank tag set.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In comparison, none of the six rules of CogNIAC would resolve the pronoun.</S><S sid = NA ssid = NA>But the essential component behind CogNIAC is not the rules themselves, but the control structure of behind its coreference resolution algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W97-1306.txt | Citing Article:  P98-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As a consequence, current anaphor resolution implementations mainly rely on constraints and preference heuristics which employ information originated from morphosyntactic or shallow semantic analysis ,e.g. in Baldwin (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There is not a need to expand the space of candidate antecedents with additional knowledge, but rather eliminate semantically plausible antecedents with constraints from verb knowledge and other sources of constraints currently not available to the system.</S><S sid = NA ssid = NA>The kinds of information CogNIAC does require includes: sentence detection, part-of-speech tagging, simple noun phrase recognition, basic semantic category information like, gender, number, and in one configuration, partial parse trees.</S> | Discourse Facet:  NA | Annotator: Automatic


