Citance Number: 1 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In general, coreference errors in state-of-the art systems are frequently due to poor models of semantic compatibility (Haghighi and Klein, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There are several general trends to the errors made by our system.</S><S sid = NA ssid = NA>Overall, we conclude that our system outperforms state-of-the-art unsupervised systems12 and is in the range of the state-of-the art systems of Culotta et al. (2007) and Bengston and Roth (2008).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We also compared to the strong deterministic system of Haghighi and Klein (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we offer our approach as a very strong, yet easy to implement, baseline.</S><S sid = NA ssid = NA>Some of these paths can be ruled in or out by deterministic but conservative syntactic constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Haghighi and Klein (2009) reports on true mentions; here, we report performance on automatically detected mentions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this section we develop our system and report developmental results on ACE2004-ROTHDEV (see Section 2.1); we report pairwise F1 figures here, but report on many more evaluation metrics in Section 4.</S><S sid = NA ssid = NA>The closest (in tree distance, see Section 3.1.1) compatible mention is The Israelis, which is correct particular, this fixes examples such as those in Figure 1 where the true antecedent has many embedded mentions between itself and the pronoun.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  D09-1120.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We compared our output to the deterministic system of Haghighi and Klein (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Some of these paths can be ruled in or out by deterministic but conservative syntactic constraints.</S><S sid = NA ssid = NA>Instead, we consider a vastly more modular system in which coreference is predicted from a deterministic function of a few rich features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  D09-1120.txt | Citing Article:  P14-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The news have been processed with a tokenizer, a sentence splitter (Gillick and Favre, 2009), a part-of-speech tagger and dependency parser (Nivre, 2006), a co-reference resolution module (Haghighi and Klein, 2009) and an entity linker based on Wikipedia and Freebase (Milneand Witten, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The resolution of entity reference is influenced by a variety of constraints.</S><S sid = NA ssid = NA>First, a selfcontained syntactic module carefully represents syntactic structures using an augmented parser and extracts syntactic paths from mentions to potential antecedents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  D09-1120.txt | Citing Article:  W12-4504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Specifically, when searching for an antecedent for mk, its candidate antecedents are visited in an order determined by their positions in the associated parse tree (Haghighi and Klein, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Mapping Mentions to Parse Nodes: In order to use the syntactic position of mentions to determine anaphoricity, we must associate each mention in the document with a parse tree node.</S><S sid = NA ssid = NA>Now that each mention is situated in a parse tree, we utilize the length of the shortest tree path between mentions as our notion of distance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  D09-1120.txt | Citing Article:  W12-4511.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For Chinese, we handle role appositives as introduced by Haghighi and Klein (2009) analogously.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Role Appositives: During development, we discovered many errors which involved a variant of appositives which we call ‘role appositives’ (see painter in Figure 3), where an NP modifying the head NP describes the role of that entity (typically a person entity).</S><S sid = NA ssid = NA>There are several challenges to correctly labeling these role NPs as being appositives.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  D09-1120.txt | Citing Article:  P11-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Nonetheless, our coreference system, despite being relatively simple and having no tunable parameters or complexity beyond the non-reference complexity of its component modules, manages to outperform state-of-the-art unsupervised coreference resolution and be broadly comparable to state-of-the-art supervised systems.</S><S sid = NA ssid = NA>A common error arose from the use of mention head distance as a poor proxy for discourse salience.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  D09-1120.txt | Citing Article:  P11-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This was what (Haghighi and Klein, 2009) did and we did this in training with the REUTERS corpus (Hasler et al, 2006) in which syntactic roles are annotated.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The one exploited most in coreference work (Soon et al., 1999; Ng and Cardie, 2002; Luo et al., 2004; Culotta et al., 2007; Poon and Domingos, 2008; Bengston and Roth, 2008) is the appositive construction.</S><S sid = NA ssid = NA>Importantly, the bulk of the work in the syntactic module is in making sure the parses are correctly constructed and used, and this module’s most important training data is a treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  D09-1120.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Nonetheless, our coreference system, despite being relatively simple and having no tunable parameters or complexity beyond the non-reference complexity of its component modules, manages to outperform state-of-the-art unsupervised coreference resolution and be broadly comparable to state-of-the-art supervised systems.</S><S sid = NA ssid = NA>A common error arose from the use of mention head distance as a poor proxy for discourse salience.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  D09-1120.txt | Citing Article:  P12-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The other systems we compare to and outperform are the perceptron-based Reconcile system of Stoyanov et al (2009), the strong deterministic system of Haghighi and Klein (2009), and the cluster-ranking model of Rahman and Ng (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The one exploited most in coreference work (Soon et al., 1999; Ng and Cardie, 2002; Luo et al., 2004; Culotta et al., 2007; Poon and Domingos, 2008; Bengston and Roth, 2008) is the appositive construction.</S><S sid = NA ssid = NA>While much research (Ng and Cardie, 2002; Culotta et al., 2007; Haghighi and Klein, 2007; Poon and Domingos, 2008; Finkel and Manning, 2008) has explored how to reconcile pairwise decisions to form coherent clusters, we simply take the transitive closure of our pairwise decision (as in Ng and Cardie (2002) and Bengston and Roth (2008)) which can and does cause system errors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  D09-1120.txt | Citing Article:  P11-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Nonetheless, our coreference system, despite being relatively simple and having no tunable parameters or complexity beyond the non-reference complexity of its component modules, manages to outperform state-of-the-art unsupervised coreference resolution and be broadly comparable to state-of-the-art supervised systems.</S><S sid = NA ssid = NA>A common error arose from the use of mention head distance as a poor proxy for discourse salience.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  D09-1120.txt | Citing Article:  P13-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We start by preprocessing all the news in the news collections with a standard NLP pipeline: tokenization and sentence boundary detection (Gillick, 2009), part-of-speech tagging, dependency parsing (Nivre, 2006), coreference resolution (Haghighi and Klein, 2009) and entity linking based on Wikipedia and Freebase.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this work, we break from the standard view.</S><S sid = NA ssid = NA>The resolution of entity reference is influenced by a variety of constraints.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  D09-1120.txt | Citing Article:  W12-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>ARKref is a syntactically rich, rule-based within-document coreference system very similar to (the syntactic components of) Haghighi and Klein (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Simple Coreference Resolution with Rich Syntactic and Semantic Features</S><S sid = NA ssid = NA>Across metrics, the syntactic constraints and semantic compatibility components contribute most to the overall final result.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  D09-1120.txt | Citing Article:  W12-2414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We implemented an algorithm for the task described above which was inspired by the work of Haghighi and Klein (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this work, we break from the standard view.</S><S sid = NA ssid = NA>However, it is rich in important ways which we argue are marginalized in recent coreference work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  D09-1120.txt | Citing Article:  W12-2414.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>F1-scores could range between 39.8 and 67.3 for various methods and test sets (Haghighi and Klein, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the MUC6-TEST dataset, our system outpersion made by the system.</S><S sid = NA ssid = NA>Our best b3 result of 79.0 is broadly in the range of these results.</S> | Discourse Facet:  NA | Annotator: Automatic


