Citance Number: 1 | Reference Article:  H05-1115.txt | Citing Article:  P09-1083.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  Topic-sensitive LexRank (Otterbacher et al., 2005) | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |
Citance Number: 7 | Reference Article:  H05-1115.txt | Citing Article:  P06-1039.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  random-walk summarization model (Otterbacher et al., 2005) | Reference Offset:  ['0', '174'] | Reference Text:  Using Random Walks for Question-focused Sentence Retrieval ... Web-based news summarization system | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 8 | Reference Article:  H05-1115.txt | Citing Article:  D08-1032.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  A topic-sensitive LexRank is proposed in (Otterbacher et al., 2005) ... As in LexRank, the set of sentences in a document cluster is represented as a graph, where nodes are sentences and links between the nodes are induced by a similarity relation between the sentences. Then the system ranked the sentences according to a random walk model defined in terms of both the inter-sentence similarities and the similarities of the sentences to the topic description or question | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 9 | Reference Article:  H05-1115.txt | Citing Article:  D08-1032.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  To apply LexRank to query-focused context, a topic-sensitive version of LexRank is proposed in (Otterbacher et al., 2005) | Reference Offset:  ['36', '40', '41', '46', '47', '48', '49'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method ... The output of our system, a ranked list of sentences relevant to the users question, can be subsequently used as input to an answer selection system in order to find specic answers from the extracted sentences. Alternatively, the sentences can be returned to the user as a question-focused summary ... To apply LexRank, a similarity graph is produced for the sentences in an input document set. In the graph, each node represents a sentence. There are edges between nodes for which the cosine similarity between the respective pair of sentences exceeds a given threshold. The degree of a given node is an indication of how much information the respective sentence has in common with other sentences | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 10 | Reference Article:  H05-1115.txt | Citing Article:  P08-2003.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  A topic-sensitive LexRank is proposed in (Otterbacher et al., 2005) | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 11 | Reference Article:  H05-1115.txt | Citing Article:  P08-2003.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  To apply LexRank to query-focused context, a topic-sensitive version of LexRank is proposed in (Otterbacher et al., 2005) | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 12 | Reference Article:  H05-1115.txt | Citing Article:  P10-2055.txt | Citation Marker Offset:  [] | Citation Marker:  Otterbacher et al., 2005 | Citation Offset:  [] | Citation Text:  topic-sensitive LexRank (Otterbacher et al., 2005) | Reference Offset:  ['36'] | Reference Text:  Our goal is to build a question-focused sentence retrieval mechanism using a topic-sensitive version of the LexRank method | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


