Citance Number: 1 | Reference Article:  P99-1016.txt | Citing Article:  W99-0609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >See Caraballo (1999) for a detailed description of a method to construct such a hierarchy.</S> | Reference Offset:  ['19','42'] | Reference Text:  <S sid = 19 ssid = >Compute the similarity between each pair of nodes using the cosine method.</S><S sid = 42 ssid = >For each internal node of the tree, we construct a vector of hypernyms by adding together the vectors of its children.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P99-1016.txt | Citing Article:  W02-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As was also reported by Caraballo (1999), the judges sometimes found proper nouns (as hyponyms) hard to evaluate.</S> | Reference Offset:  ['73','76'] | Reference Text:  <S sid = 73 ssid = >Three human judges were asked to evaluate for each noun and each of the (up to) three hypernyms listed as &quot;best&quot; for that cluster, whether they were actually in a hyponym-hypernym relation.</S><S sid = 76 ssid = >Some nouns, especially proper nouns, were not recognized by the judges.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P99-1016.txt | Citing Article:  W02-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It is difficult to compare these results with results from other studies such as that of Caraballo (1999), as the data used is not the same.</S> | Reference Offset:  ['82','124'] | Reference Text:  <S sid = 82 ssid = >The &quot;Hypernym 1/any&quot; column can be used to compare results to Riloff and Shepherd (1997).</S><S sid = 124 ssid = >Unfortunately it is difficult to compare their results to ours since their evaluation is based on the verb-object relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P99-1016.txt | Citing Article:  W02-0904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Caraballo (1999) let three judges evaluate ten internal nodes in the hyponymy hierarchy that had at least twenty descendants.</S> | Reference Offset:  ['62','71'] | Reference Text:  <S sid = 62 ssid = >There are 20,014 leaves (nouns) and 654 internal nodes in the final tree (reduced from 20,013 internal nodes in the uncompressed tree).</S><S sid = 71 ssid = >To evaluate the hierarchy, 10 internal nodes dominating at least 20 nouns were selected at random.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P99-1016.txt | Citing Article:  W03-0415.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In Section 4, we show how correctly extracted relationships can be used as "seed-cases" to extract several more relationships, thus improving recall; this work shares some similarities with that of Caraballo (1999).</S> | Reference Offset:  ['47','129'] | Reference Text:  <S sid = 47 ssid = >Because of the method of selecting hypernyms, the hypernyms may be synonyms of each other, have hypernym-hyponym relationships of their own, or be completely unrelated.)</S><S sid = 129 ssid = >Hearst (1992) introduced the idea of learning hypernym-hyponym relationships from text and gives several examples of patterns that can be used to detect these relationships including those used here, along with an algorithm for identifying new patterns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P99-1016.txt | Citing Article:  W03-0415.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another definition is given by Caraballo (1999).</S> | Reference Offset:  ['94','101'] | Reference Text:  <S sid = 94 ssid = >In our current tree, the best hypernym for the entire tree is &quot;product&quot;; however, many times nodes deeper in the tree are given this label also.</S><S sid = 101 ssid = >As noted in the previous section, one major spurious result is a cluster of 51 nouns, mainly people, which is given the hypernym &quot;conductor&quot;.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P99-1016.txt | Citing Article:  W03-0415.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >First of all, it would be interesting to apply LSA to a system for building an entire hypernym-labelled ontology in roughly the way described in (Caraballo, 1999), perhaps by using an LSA-weighted voting method to determine which hypernym would be used to label each node.</S> | Reference Offset:  ['21','94'] | Reference Text:  <S sid = 21 ssid = >We can then compute the new node's similarity to each other node by computing a weighted average of the similarities between each of its children and the other node.</S><S sid = 94 ssid = >In our current tree, the best hypernym for the entire tree is &quot;product&quot;; however, many times nodes deeper in the tree are given this label also.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P99-1016.txt | Citing Article:  W08-2113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As stated in (Caraballo, 1999), WordNet has been an important lexical knowledge base, but it is insufficient for domain specific texts.</S> | Reference Offset:  ['3','4'] | Reference Text:  <S sid = 3 ssid = >The purpose of this work is to build something like the hypernym-labeled noun hierarchy of WordNet (Fellbaum, 1998) automatically from text using no other lexical resources.</S><S sid = 4 ssid = >WordNet has been an important research tool, but it is insufficient for domainspecific text, such as that encountered in the MUCs (Message Understanding Conferences).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P99-1016.txt | Citing Article:  W08-2113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >So, many attempts have been made to automatically produce taxonomies (Grefenstette, 1994), but (Caraballo, 1999) is certainly the first work which proposes a complete overview of the problem by (1) automatically building a hierarchical structure of nouns based on bottom-up clustering methods and (2) labeling the internal nodes of the resulting tree with hypernyms from the nouns clustered underneath by using patterns such as B is a kind of A.</S> | Reference Offset:  ['7','133'] | Reference Text:  <S sid = 7 ssid = >The internal nodes of the resulting tree are then labeled with hypernyms for the nouns clustered underneath them, also based on data extracted from the Wall Street Journal.</S><S sid = 133 ssid = >We have shown that hypernym hierarchies of nouns can be constructed automatically from text with similar performance to semantic lexicons built automatically for hand-selected hypernyms.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P99-1016.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Caraballo (1999) was the first to use clustering for labeling is-a relations using conjunction and apposition features to build noun clusters.</S> | Reference Offset:  ['121','126'] | Reference Text:  <S sid = 121 ssid = >Their clustering is based on verb-object relations rather than on the noun-noun relations that we use.</S><S sid = 126 ssid = >Roark and Charniak (1998) built on that work by actually using conjunction and appositive data for noun clustering, as we do here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P99-1016.txt | Citing Article:  P04-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Caraballo, 1999B) also used contextual information to determine the specificity of nouns.</S> | Reference Offset:  ['32','119'] | Reference Text:  <S sid = 32 ssid = >Since the lowest-frequency nouns are clustered based on very little information and have a greater tendency to be clustered badly, we chose to filter some of these out.</S><S sid = 119 ssid = >Pereira et al. (1993) used clustering to build an unlabeled hierarchy of nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P99-1016.txt | Citing Article:  P04-2001.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Contrary, domain specific terms don't tend to be modified by other words, because they have sufficient information in themselves (Caraballo, 1999B).</S> | Reference Offset:  ['49','108'] | Reference Text:  <S sid = 49 ssid = >Not every node has sufficient data to be assigned a hypernym.</S><S sid = 108 ssid = >It would be useful to try to identify terms made up of multiple words, rather than just using the head nouns of the noun phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P99-1016.txt | Citing Article:  D09-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','139'] | Reference Text:  <S sid = 43 ssid = >We then assign a hypernym to this node by simply choosing the hypernym with the largest value in this vector; that is, the hypernym which appeared with the largest number of the node's descendant nouns.</S><S sid = 139 ssid = >This research is supported in part by NSF grant IRI-9319516 and by ONR grant N0014-96-1-0549.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P99-1016.txt | Citing Article:  E09-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Caraballo (1999) uses conjunction and appositive annotations in the vector representation.</S> | Reference Offset:  ['10','15'] | Reference Text:  <S sid = 10 ssid = >Nouns are clustered based on conjunction and appositive data collected from the Wall Street Journal corpus.</S><S sid = 15 ssid = >A vector is created for each noun containing counts for how many times each other noun appears in a conjunction or appositive with it.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P99-1016.txt | Citing Article:  W04-1806.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Other approaches use natural language data, sometimes just by analyzing the corpus (Sanderson and Croft 1999), (Caraballo 1999) or by learning to expand WordNet with clusters of terms from a corpus, e.g., (Girju et al 2003).</S> | Reference Offset:  ['5','11'] | Reference Text:  <S sid = 5 ssid = >Our work develops a labeled hierarchy based on a text corpus.</S><S sid = 11 ssid = >Some of the data comes from the parsed files 2-21 of the Wall Street Journal Penn Treebank corpus (Marcus et al., 1993), and additional parsed text was obtained by parsing the 1987 Wall Street Journal text using the parser described in Charniak et al. (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P99-1016.txt | Citing Article:  W04-1806.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, based on (Caraballo 1999), each parent of a leaf node could be viewed as a cluster label for its children, with the weight of a parent-child link being determined based on how strongly the child is associated with the cluster.</S> | Reference Offset:  ['61','97'] | Reference Text:  <S sid = 61 ssid = >If the child is itself an internal node, and it either has no best hypernym or the same three best hypernyms as its parent, delete this child and make its children into children of the parent instead.</S><S sid = 97 ssid = >If we knew that &quot;product&quot; was a hypernym of &quot;currency&quot;, we could detect that the parent node's label is more specific and simply absorb the child node into the parent.</S> | Discourse Facet:  NA | Annotator: Automatic


