Citance Number: 1 | Reference Article:  W08-2121.txt | Citing Article:  W09-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following the successful approaches taken by the participants of the CoNLL-2008 shared task (Surdeanu et al, 2008) on monolingual syntactic and semantic dependency analysis, we designed and implemented our CoNLL-2009 SRL only system with pipeline architecture.</S> | Reference Offset:  ['0','216'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 216 ssid = >For example, Riedel and Meza-Ruiz (2008) perform predicate and argument identification and classification jointly, whereas Ciaramita et al. (2008) implemented a pipeline architecture of three components.</S> | Discourse Facet:  NA | Annotator: Automatic

Citance Number: 5 | Reference Article:  W08-2121.txt | Citing Article:  N10-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CoNLL 2008 shared task (Surdeanu et al, 2008) first introduced the predicate classification task, which can be regarded as the predicate sense disambiguation.</S> | Reference Offset:  ['0','216'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 216 ssid = >For example, Riedel and Meza-Ruiz (2008) perform predicate and argument identification and classification jointly, whereas Ciaramita et al. (2008) implemented a pipeline architecture of three components.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W08-2121.txt | Citing Article:  W10-4237.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Perhaps the most immediately promising resource is the CoNLL shared task data from 2008 (Surdeanu et al, 2008) which has syntactic dependency annotations, named-entity boundaries and the semantic dependencies model roles of both verbal and nominal predicates.</S> | Reference Offset:  ['0','3'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 3 ssid = >This shared task not only unifies the shared tasks of the previous four years under a unique dependency-based formalism, but also extends them significantly: this year’s syntactic dependencies include more information such as named-entity boundaries; the semantic dependencies model roles of both verbal and nominal predicates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W08-2121.txt | Citing Article:  W12-2511.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These resources exist on a large scale spearheading the SRL research in the associated languages (Carreras and Marquez, 2005), Surdeanu et al (2008).</S> | Reference Offset:  ['94','109'] | Reference Text:  <S sid = 94 ssid = >).8 Rather than using PropBank directly, we used the version created for the CoNLL-2005 shared task (Carreras and M`arquez, 2005).</S><S sid = 109 ssid = >There exists no large-scale dependency treebank for English, and we thus had to construct a dependency-annotated corpus automatically from the Penn Treebank (Marcus et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W08-2121.txt | Citing Article:  W09-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In 2008, the shared task (Surdeanu et al, 2008) used a unified dependency based formalism, which modeled both syntactic dependencies and semantic roles for English.</S> | Reference Offset:  ['8','9'] | Reference Text:  <S sid = 8 ssid = >The CoNLL-2008 shared task1 proposes a unified dependency-based formalism, which models both syntactic dependencies and semantic roles.</S><S sid = 9 ssid = >Using this formalism, this shared task merges both the task of syntactic dependency parsing and the task of identifying semantic arguments and labeling them with semantic roles.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W08-2121.txt | Citing Article:  W09-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In all sections, we will mention some of the differences between last year's and this year's tasks while keeping the text self-contained whenever possible; for details and observations on the English data, please refer to the overview paper of the CoNLL-2008 Shared Task (Surdeanu et al, 2008) and to the references mentioned in the sections describing the other languages.</S> | Reference Offset:  ['0','312'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 312 ssid = >This shared task would not have been possible without their previous effort.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W08-2121.txt | Citing Article:  W09-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Surdeanu et al, 2008), (Burchardt et al, 2006) and (Kawahara et al, 2002).</S> | Reference Offset:  ['272','295'] | Reference Text:  <S sid = 272 ssid = >First, the ranking of the top three systems in Table 10 changes: the system of Che et al. (2008) is now ranked first, and the system of Johansson and Nugues (2008) is second.</S><S sid = 295 ssid = >Che et al. (2008) followed the same method but they also implemented separate domain constraints for inference for the two models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W08-2121.txt | Citing Article:  W09-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The English corpus is almost identical to the corpus used in the closed challenge in the CoNLL-2008 shared task evaluation (Surdeanu et al, 2008).</S> | Reference Offset:  ['0','64'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 64 ssid = >Similarly to the CoNLL-2005 shared task, this shared task evaluation is separated into two challenges: Closed Challenge - systems have to be built strictly with information contained in the given training corpus, and tuned with the development section.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W08-2121.txt | Citing Article:  W09-1201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The complete merging process and the conversion from the constituent representation to dependencies is detailed in (Surdeanu et al, 2008).</S> | Reference Offset:  ['76','302'] | Reference Text:  <S sid = 76 ssid = >This section starts with an introduction of the input corpora used, followed by a description of the constituent-to-dependency conversion process.</S><S sid = 302 ssid = >For example, is the dependency-based representation better for SRL than the constituent-based formalism?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W08-2121.txt | Citing Article:  P12-1068.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >LGS denotes a logical subject in a passive construction (Surdeanu et al, 2008).</S> | Reference Offset:  ['101','272'] | Reference Text:  <S sid = 101 ssid = >In contrast, the CoNLL2005 version only includes the filler of the gap and if there is no filler, the argument is omitted, e.g., no ARG0 (subject) for leave would be included in I said to leave because the subject of leave is unspecified.</S><S sid = 272 ssid = >First, the ranking of the top three systems in Table 10 changes: the system of Che et al. (2008) is now ranked first, and the system of Johansson and Nugues (2008) is second.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W08-2121.txt | Citing Article:  D10-1072.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Table 1 shows SRL performance for the local model described above, and the full global CCG-system described by Boxwell et al (2009). We use the method for calculating the accuracy of Propbank verbal semantic roles described in the CoNLL-2008 shared task on semantic role labeling (Surdeanu et al, 2008).</S> | Reference Offset:  ['0','131'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 131 ssid = >Conceptually, this conversion can be handled using similar heuristics as described in Section 3.2.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W08-2121.txt | Citing Article:  C10-1093.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a second experiment, we applied the feature discovery procedure to the English corpus from CoNLL 2008 (Surdeanu et al, 2008), a dependency corpus converted from the Penn Tree bank and the Brown corpus.</S> | Reference Offset:  ['109','272'] | Reference Text:  <S sid = 109 ssid = >There exists no large-scale dependency treebank for English, and we thus had to construct a dependency-annotated corpus automatically from the Penn Treebank (Marcus et al., 1993).</S><S sid = 272 ssid = >First, the ranking of the top three systems in Table 10 changes: the system of Che et al. (2008) is now ranked first, and the system of Johansson and Nugues (2008) is second.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W08-2121.txt | Citing Article:  P10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The CoNLL 2008 shared task (Surdeanu et al, 2008) was on joint parsing and semantic role labeling, but the best systems (Johansson and Nugues, 2008) were the ones which completely decoupled the tasks.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 2 ssid = >In 2008 the shared task was dedicated to the joint parsing of syntactic and semantic dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W08-2121.txt | Citing Article:  D09-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is a purely syntactic resource, but we can also include this tree bank in the category of multistratal resources since the PropBank (Palmer et al, 2005 )andNomBank (Meyers et al, 2004) projects have an notated shallow semantic structures on top of it. Dependency-converted versions of the Penn Tree bank, PropBank and NomBank were used in the CoNLL-2008 Shared Task (Surdeanu et al, 2008), in which the task of the participants was to produce a bistratal dependency structure consisting of surface syntax and shallow semantics.</S> | Reference Offset:  ['90','102'] | Reference Text:  <S sid = 90 ssid = >The PropBank annotation (Palmer et al., 2005) classifies the arguments of all the main verbs in the Penn Treebank corpus, other than be.</S><S sid = 102 ssid = >NomBank annotation (Meyers et al., 2004) uses essentially the same framework as PropBank to annotate arguments of nouns.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W08-2121.txt | Citing Article:  D09-1059.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We applied the bistratal search method in Algorithm 3 on the data from the CoNLL-2008 Shared Task (Surdeanu et al, 2008).</S> | Reference Offset:  ['0','295'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 295 ssid = >Che et al. (2008) followed the same method but they also implemented separate domain constraints for inference for the two models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W08-2121.txt | Citing Article:  C10-2083.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Here A0 represents the seller, and A1 represents the things sold (CoNLL 2008 shared task, Surdeanu et al, 2008).</S> | Reference Offset:  ['0','31'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 31 ssid = >However, the format also represents how the parts originally fit together before splitting (columns 2–5).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W08-2121.txt | Citing Article:  W09-1216.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The submitted parser is simpler than the submission in which I participated at the CoNLL 2008 shared task on joint learning of syntactic and semantic dependencies (Surdeanu et al., 2008), in which we used a more complex committee based approach to both syntax and semantics (Samuelsson et al, 2008).</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >The CoNLL 2008 Shared Task on Joint Parsing of Syntactic and Semantic Dependencies</S><S sid = 2 ssid = >In 2008 the shared task was dedicated to the joint parsing of syntactic and semantic dependencies.</S> | Discourse Facet:  NA | Annotator: Automatic


