Citance Number: 1 | Reference Article:  C04-1100.txt | Citing Article:  P05-1026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >and (2) the relation between predicates, question stem and the words that determine the answer type (Narayanan and Harabagiu, 2004).</S> | Reference Offset:  ['31','36'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 36 ssid = >bilogical agents] Possible paths of action Predicate?argument structure PREDICATE: = detect Arg0 (detector) : Answer (1) Arg1 (detected): biological weapons program Arg2 (instrument) ; Answer (2) 2) development ?</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C04-1100.txt | Citing Article:  D09-1133.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, the well-defined semantic role labeling (SRL) task has been drawing more and more attention in recent years due to its importance in deep NLP applications, such as question answering (Narayanan and Harabagiu, 2004), information extraction (Surdeanu et al, 2003), and co-reference resolution (Ponzetto and Strube, 2006).</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 32 ssid = >Question FOCUS: X = biological weapons program TOPIC MODEL [stockpile ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C04-1100.txt | Citing Article:  W06-3502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Lexical semantic features are known to be helpful in both deep (Tetreault, 2005) and shallow interpretation tasks (Narayanan and Harabagiu,2004).</S> | Reference Offset:  ['54','174'] | Reference Text:  <S sid = 54 ssid = >?9?????9??????2???????????</S><S sid = 174 ssid = >?a???9?s???4???9?????a?s?0??2?a?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C04-1100.txt | Citing Article:  D08-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, predicate argument structure analysis has attracted the attention of researchers because this information can increase the precision of text processing tasks, such as machine translation ,information extraction (Hirschman et al, 1999), question answering (Narayanan and Harabagiu, 2004) (Shen and Lapata, 2007), and summarization (Melli et al., 2005).</S> | Reference Offset:  ['31','36'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 36 ssid = >bilogical agents] Possible paths of action Predicate?argument structure PREDICATE: = detect Arg0 (detector) : Answer (1) Arg1 (detected): biological weapons program Arg2 (instrument) ; Answer (2) 2) development ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C04-1100.txt | Citing Article:  W06-3504.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Semantic types and role labelling are helpful in both deep (Tetreault, 2005) and shallow interpretation tasks (Narayanan and Harabagiu, 2004).</S> | Reference Offset:  ['54','174'] | Reference Text:  <S sid = 54 ssid = >?9?????9??????2???????????</S><S sid = 174 ssid = >?a???9?s???4???9?????a?s?0??2?a?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C04-1100.txt | Citing Article:  W06-3506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One such question answering system (Narayanan and Harabagiu, 2004) takes PropBank/FrameNet annotations as input, uses the PropBank targets to indicate which actions are being described with which arguments and produces an answer using probabilistic models of actions as the tools of inference.</S> | Reference Offset:  ['31','36'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 36 ssid = >bilogical agents] Possible paths of action Predicate?argument structure PREDICATE: = detect Arg0 (detector) : Answer (1) Arg1 (detected): biological weapons program Arg2 (instrument) ; Answer (2) 2) development ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C04-1100.txt | Citing Article:  D08-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Typical tags include Agent, Patient, Source, etc. and some adjuncts such as Temporal, Manner, Extent, etc. Since the arguments can provide useful semantic information, the SRL is crucial to many natural language processing tasks, such as Question and Answering (Narayanan and Harabagiu 2004), Information Extraction (Surdeanu et al 2003), and Machine Translation (Boas 2002).</S> | Reference Offset:  ['91','92'] | Reference Text:  <S sid = 91 ssid = >7KG HEU") MEANS: ?m SOURCE: "in Sovetskaya Gavan" GOODS: "approx.</S><S sid = 92 ssid = >7 KG of HEU" VICTIM: "Russian Navy, Pacific Fleet,Naval Base" PERPETRATOR: ?x:AGENT SOURCE: "in Sovetskaya Gavan" GOODS: "approx.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C04-1100.txt | Citing Article:  W06-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Harabagiu, 2004) computed automatically from collections of documents relevant to a scenario in order to approximate the semantic content of a scenario, (Narayanan and Harabagiu, 2004) employed formal models of the interrelated events, actions, states, and relations implicit to a scenario in order to produce fine-grained, context sensitive inferences that could be used to answer questions.</S> | Reference Offset:  ['34','35'] | Reference Text:  <S sid = 34 ssid = >missiles] Topic relations: [develop ??</S><S sid = 35 ssid = >program], [produce ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C04-1100.txt | Citing Article:  D09-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples include information extraction (Surdeanu et al, 2003), question answering (Narayanan and Harabagiu, 2004), machine translation (Boas, 2005), and summarization (Melli et al, 2005). Much progress in the area of semantic role labeling is due to the creation of resources like FrameNet (Fillmore et al, 2003), which document the surface realization of semantic roles in real world corpora.</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 32 ssid = >Question FOCUS: X = biological weapons program TOPIC MODEL [stockpile ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C04-1100.txt | Citing Article:  H05-1081.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It was shown that the identification of such event frames has a significant contribution for many Natural Language Processing (NLP) applications such as Information Extraction (Surdeanu et al, 2003) and Question Answering (Narayanan and Harabagiu, 2004).</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 32 ssid = >Question FOCUS: X = biological weapons program TOPIC MODEL [stockpile ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C04-1100.txt | Citing Article:  W08-1810.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus, Narayanan and Harabagiu (2004) apply the argument-predicate relationship from PropBank (Palmer et al, 2005) together with the semantic frames from FrameNet (Baker et al, 1998) to create an inference mechanism to improve QA.</S> | Reference Offset:  ['36','62'] | Reference Text:  <S sid = 36 ssid = >bilogical agents] Possible paths of action Predicate?argument structure PREDICATE: = detect Arg0 (detector) : Answer (1) Arg1 (detected): biological weapons program Arg2 (instrument) ; Answer (2) 2) development ?</S><S sid = 62 ssid = >FS(Q3): What [GOODS: kind of nuclear materials] were PAS(Q3): What [Arg1: kind of nuclear materials] were [Predicate: stolen] [target?Predicate: stolen] [VICTIM: from the Russian navy]?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C04-1100.txt | Citing Article:  D10-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Thus, Narayanan and Harabagiu (2004) apply the argument-predicate relationship from PropBank (Palmer et al, 2005) together with the semantic frames from FrameNet (Baker et al, 1998) to create an inference mechanism to improve QA.</S> | Reference Offset:  ['36','62'] | Reference Text:  <S sid = 36 ssid = >bilogical agents] Possible paths of action Predicate?argument structure PREDICATE: = detect Arg0 (detector) : Answer (1) Arg1 (detected): biological weapons program Arg2 (instrument) ; Answer (2) 2) development ?</S><S sid = 62 ssid = >FS(Q3): What [GOODS: kind of nuclear materials] were PAS(Q3): What [Arg1: kind of nuclear materials] were [Predicate: stolen] [target?Predicate: stolen] [VICTIM: from the Russian navy]?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C04-1100.txt | Citing Article:  H05-1084.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The benefit of semantic roles has already been demonstrated for a number of tasks, among others for machine translation (Boas, 2002), information extraction (Surdeanu et al, 2003), and question answering (Narayanan and Harabagiu, 2004). Robust and accurate automatic semantic role assignment, a prerequisite for the wide-range use of semantic roles in NLP, has been investigated in a number of studies and shared tasks.</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >Question PATTERN: How can X be detected?</S><S sid = 32 ssid = >Question FOCUS: X = biological weapons program TOPIC MODEL [stockpile ??</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C04-1100.txt | Citing Article:  D07-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Narayanan and Harabagiu (2004) were the first to stress the importance of semantic roles in answering complex questions.</S> | Reference Offset:  ['54','174'] | Reference Text:  <S sid = 54 ssid = >?9?????9??????2???????????</S><S sid = 174 ssid = >?a???9?s???4???9?????a?s?0??2?a?</S> | Discourse Facet:  NA | Annotator: Automatic


