Citance Number: 1 | Reference Article:  P92-1017.txt | Citing Article:  C92-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The latter property is important as we would like to be able to use bracketing information in the input corpus as in (Pereira and Schabes, 1992).</S> | Reference Offset:  ['14','43'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 43 ssid = >Note that there is no requirement that a bracketing of w describe fully a constituent structure of w. In fact, some or all sentences in a corpus may have empty bracketings, in which case the new algorithm behaves like the original one.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P92-1017.txt | Citing Article:  P05-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The algorithm is a special variant of the inside-outside algorithm of Pereira and Schabes (1992).</S> | Reference Offset:  ['14','75'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 75 ssid = >Each of the three steps of an iteration of the original inside-outside algorithm — computation of inside probabilities, computation of outside probabilities and rule probability reestimation — takes time 0(1w13) for each training sentence w. Thus, the whole algorithm is 0(1w I) on each training sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P92-1017.txt | Citing Article:  P05-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The derivation of the estimation algorithm is largely omitted; see Pereira and Schabes (1992) for details.</S> | Reference Offset:  ['14','47'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 47 ssid = >A derivation of w is then compatible with a bracketing B of ID if the span of every symbol occurrence in the derivation is valid in B.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P92-1017.txt | Citing Article:  D12-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These improvements could make DBMs quick-and easy to bootstrap directly from any available partial bracketings (Pereira and Schabes, 1992), for example capitalized phrases (Spitkovsky et al2012b).</S> | Reference Offset:  ['14','29'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 29 ssid = >For example, since in English texts pronouns are very likely to immediately precede a verb, a grammar inferred from raw text will tend to make a constituent of a subject pronoun and the following verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P92-1017.txt | Citing Article:  W07-2203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, Pereira and Schabes (1992) adapted the IOA to apply over semi-supervised data (unlabeled bracketings) extracted from the PTB.</S> | Reference Offset:  ['14','86'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 86 ssid = >We compare the bracketings assigned by grammars inferred from raw and from bracketed training material with the Penn Treebank bracketings of a separate test set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P92-1017.txt | Citing Article:  W07-2203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These some what negative results, in contrast to those of Pereira and Schabes (1992), suggest that EM techniques require fairly determinate training data to yield useful models.</S> | Reference Offset:  ['14','18'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 18 ssid = >The most successful stochastic language models have been based on finite-state descriptions such as n-grams or hidden Markov models (HMMs) (Jelinek et al., 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P92-1017.txt | Citing Article:  W07-2203.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Pereira and Schabes (1992) given t=(s, U), a node's span in the parse forest is valid if it does not overlap with any span outlined in U, and hence, a derivation is correct if the span of every node in the derivation is valid in U.</S> | Reference Offset:  ['42','47'] | Reference Text:  <S sid = 42 ssid = >A span s is valid for a bracketing B if {s} is compatible with B.</S><S sid = 47 ssid = >A derivation of w is then compatible with a bracketing B of ID if the span of every symbol occurrence in the derivation is valid in B.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P92-1017.txt | Citing Article:  P00-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Experi mental results con rming this wisdom have been presented, e.g., by Elworthy (1994) and Pereira and Schabes (1992) for EM training of Hidden Markov Models and PCFGs.</S> | Reference Offset:  ['14','18'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 18 ssid = >The most successful stochastic language models have been based on finite-state descriptions such as n-grams or hidden Markov models (HMMs) (Jelinek et al., 1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P92-1017.txt | Citing Article:  N03-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Hwa (1999) used a variant of the inside-outside algorithm presented in Pereira and Schabes (1992) to exploit a partially labeled out-of-domain tree bank, and found an advantage to adaptation over direct grammar induction.</S> | Reference Offset:  ['31','121'] | Reference Text:  <S sid = 31 ssid = >The algorithm takes advantage of whatever constituent information is provided by the training corpus bracketing, ranging from a complete constituent analysis of the training sentences to the unparsed corpus used for the original inside-outside algorithm.</S><S sid = 121 ssid = >We have introduced a modification of the wellknown inside-outside algorithm for inferring the parameters of a stochastic context-free grammar that can take advantage of constituent information (constituent bracketing) in a partially bracketed corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P92-1017.txt | Citing Article:  P05-2026.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this we use an approach similar to Pereira and Schabes' grammar induction from partially bracketed text (Pereira and Schabes, 1992).</S> | Reference Offset:  ['13','14'] | Reference Text:  <S sid = 13 ssid = >Yves Schabes.</S><S sid = 14 ssid = >1992.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P92-1017.txt | Citing Article:  P04-3032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The role of supervision is to permit some constituents to be built but not others (Pereira and Schabes, 1992).</S> | Reference Offset:  ['13','14'] | Reference Text:  <S sid = 13 ssid = >Yves Schabes.</S><S sid = 14 ssid = >1992.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P92-1017.txt | Citing Article:  P08-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Specifically, we use the Inside-Outside algorithm defined in (Pereira and Schabes, 1992) to learn transformed dependency grammars annotated with hidden symbols.</S> | Reference Offset:  ['14','125'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 125 ssid = >Most importantly, the use of partially bracketed natural corpus enables the algorithm to infer grammars specifying linguistically reasonable constituent boundaries that cannot be inferred by the inside-outside algorithm on raw text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P92-1017.txt | Citing Article:  P08-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >CFGs extracted from such structures were then annotated with hidden variables encoding the constraints described in the previous section and trained until convergence by means of the Inside-Outside algorithm defined in (Pereira and Schabes, 1992) and applied in (Matsuzaki et al, 2005).</S> | Reference Offset:  ['50','83'] | Reference Text:  <S sid = 50 ssid = >A reestimation algorithm can be used both to refine the parameter estimates for a CNF SCFG derived by other means (Fujisaki et al., 1989) or to infer a grammar from scratch.</S><S sid = 83 ssid = >The first experiment involves an artificial example used by Lan i and Young (1990) in a previous evaluation of the inside-outside algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P92-1017.txt | Citing Article:  D09-1023.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The summation over target word sequences and alignments given fixed? t bears a resemblance to the inside algorithm, except that the tree structure is fixed (Pereira and Schabes, 1992).</S> | Reference Offset:  ['14','52'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 52 ssid = >In what follows, we will take N, E as fixed, n = INI, t = lEi, and assume enumerations N = {A1, An} and E = {b1, ,b}, with A1 the grammar start symbol.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P92-1017.txt | Citing Article:  P01-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Bracketed Corpora Training introduced by Pereira and Schabes (1992) employs a context free grammar and a training corpus, which is partially tagged with brackets.</S> | Reference Offset:  ['0','121'] | Reference Text:  <S sid = 0 ssid = >Inside-Outside Reestimation From Partially Bracketed Corpora</S><S sid = 121 ssid = >We have introduced a modification of the wellknown inside-outside algorithm for inferring the parameters of a stochastic context-free grammar that can take advantage of constituent information (constituent bracketing) in a partially bracketed corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P92-1017.txt | Citing Article:  D11-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The language processing community actively works on the problem of automatically inducing grammatical structure from a corpus of text (Pereira and Schabes, 1992).</S> | Reference Offset:  ['14','28'] | Reference Text:  <S sid = 14 ssid = >1992.</S><S sid = 28 ssid = >Finally, while SCFGs do provide a hierarchical model of the language, that structure is undetermined by raw text and only by chance will the inferred grammar agree with qualitative linguistic judgments of sentence structure.</S> | Discourse Facet:  NA | Annotator: Automatic


