Citance Number: 1 | Reference Article:  J05-4003.txt | Citing Article:  W06-0605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nevertheless, very little of that text seems to be genuinely parallel, although recent work (Munteanu and Marcu, 2005) indicates that true parallelism may not be required for some tasks, eg machine translation, in order to gain acceptable results.</S> | Reference Offset:  ['33','43'] | Reference Text:  <S sid = 33 ssid = >This article describes a method for identifying parallel sentences in comparable corpora and builds on our earlier work on parallel sentence extraction (Munteanu, Fraser, and Marcu 2004).</S><S sid = 43 ssid = >We work in the context of Arabic-English and Chinese-English statistical machine translation systems.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J05-4003.txt | Citing Article:  N10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Munteanu and Marcu (2005) use publication date and vector-based similarity (after projecting words through a bilingual dictionary) to identify similar news articles.</S> | Reference Offset:  ['208','307'] | Reference Text:  <S sid = 208 ssid = >We obtained comparable corpora from the Web by going to bilingual news websites (such as Al-Jazeera) and downloading news articles in each language independently.</S><S sid = 307 ssid = >They start by attempting to identify similar article pairs from the two corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J05-4003.txt | Citing Article:  N10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Munteanu and Marcu (2005) filter out negative examples with high length difference or low word overlap (based on a bilingual dictionary).</S> | Reference Offset:  ['148','180'] | Reference Text:  <S sid = 148 ssid = >Thus, low-overlap sentence pairs, which would be discarded by the filter, are unlikely to be useful as training examples.</S><S sid = 180 ssid = >The classifiers achieve high precision because their positive training examples are clean parallel sentence pairs, with high word overlap (since the pairs with low overlap are filtered out); thus, the classification decision frontier is pushed towards “goodlooking” alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J05-4003.txt | Citing Article:  N10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In both the binary classifier approach and the ranking approach, we use a Maximum Entropy classifier, following Munteanu and Marcu (2005).</S> | Reference Offset:  ['2','34'] | Reference Text:  <S sid = 2 ssid = >We train a maximum entropy classifier that, given a pair of sentences, can reliably determine whether or not they are translations of each other.</S><S sid = 34 ssid = >We describe how to build a maximum entropy-based classifier that can reliably judge whether two sentences are translations of each other, without making use of any context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J05-4003.txt | Citing Article:  N10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use a feature set inspired by (Munteanu and Marcu, 2005), who defined features primarily based on IBM Model 1 alignments (Brown et al, 1993).</S> | Reference Offset:  ['112','124'] | Reference Text:  <S sid = 112 ssid = >We follow Brown et al. (1993) in defining the fertility of a word in an alignment as the number of words it is connected to.</S><S sid = 124 ssid = >One such model is the IBM Model 1 (Brown et al. 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J05-4003.txt | Citing Article:  N10-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One approach that begins to address this problem is the use of self-training, as in (Munteanu and Marcu, 2005).</S> | Reference Offset:  ['38','65'] | Reference Text:  <S sid = 38 ssid = >Our main experimental framework is designed to address the commonly encountered situation that exists when the MT training and test data come from different domains.</S><S sid = 65 ssid = >The parallel sentence extraction process begins by selecting, for each foreign article, English articles that are likely to contain sentences that are parallel to those in the foreign one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J05-4003.txt | Citing Article:  D10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, machine translation (MT) systems can be improved by training on sentences extracted from parallel or comparable documents mined from the Web (Munteanu and Marcu, 2005).</S> | Reference Offset:  ['346','369'] | Reference Text:  <S sid = 346 ssid = >Their system is potentially a good way of acquiring comparable corpora from the Web that could then be mined for parallel sentences using our method.</S><S sid = 369 ssid = >In this article, we have shown how they can be efficiently mined for parallel sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J05-4003.txt | Citing Article:  D07-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Others extract parallel sentences from comparable or non-parallel corpora (Munteanu and Marcu 2005, 2006).</S> | Reference Offset:  ['1','7'] | Reference Text:  <S sid = 1 ssid = >We present a novel method for discovering parallel sentences in comparable, non-parallel corpora.</S><S sid = 7 ssid = >We present a novel method for discovering parallel sentences in comparable, non-parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J05-4003.txt | Citing Article:  W11-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cross-lingual information retrieval methods (Munteanu and Marcu, 2005) and other similarity measures (Fung and Cheung, 2004) have been used for the document alignment task.</S> | Reference Offset:  ['267','323'] | Reference Text:  <S sid = 267 ssid = >Bootstrapping was also successfully applied to this problem by Fung and Cheung (2004).</S><S sid = 323 ssid = >The approach of Fung and Cheung (2004) is a simpler version of ours.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J05-4003.txt | Citing Article:  W11-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such classifiers have been used in the past to detect parallel sentence pairs in large collections of comparable documents (Munteanu and Marcu, 2005).</S> | Reference Offset:  ['33','58'] | Reference Text:  <S sid = 33 ssid = >This article describes a method for identifying parallel sentences in comparable corpora and builds on our earlier work on parallel sentence extraction (Munteanu, Fraser, and Marcu 2004).</S><S sid = 58 ssid = >Starting with two large monolingual corpora (a non-parallel corpus) divided into documents, we begin by selecting pairs of similar documents (Section 2.1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J05-4003.txt | Citing Article:  W11-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The feature set we use is inspired by Munteanu and Marcu (2005) who define the features based on IBM Model-1 (Brown et al, 1993) alignments for source and target pairs.</S> | Reference Offset:  ['112','124'] | Reference Text:  <S sid = 112 ssid = >We follow Brown et al. (1993) in defining the fertility of a word in an alignment as the number of words it is connected to.</S><S sid = 124 ssid = >One such model is the IBM Model 1 (Brown et al. 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J05-4003.txt | Citing Article:  W11-1209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In selecting negative examples, we followed the same approach as in (Munteanu and Marcu, 2005): pairing all source phrases with all target phrases, but filter out the parallel pairs and those that have high length difference or a low lexical overlap, and then randomly select a subset of phrase pairs as the negative training set.</S> | Reference Offset:  ['143','148'] | Reference Text:  <S sid = 143 ssid = >One drawback of this approach is that the resulting training set is very imbalanced, i.e., it has many more negative examples than positive ones.</S><S sid = 148 ssid = >Thus, low-overlap sentence pairs, which would be discarded by the filter, are unlikely to be useful as training examples.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J05-4003.txt | Citing Article:  W11-1205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Based on this observation, dynamic programming (Yang and Li, 2003), similarity measures such as Cosine (Fung and Cheung, 2004) or word and translation error ratios (Abdul-Rauf and Schwenk, 2009), or maximum entropy classifier (Munteanu and Marcu, 2005) are used for discovering parallel sentences.</S> | Reference Offset:  ['34','323'] | Reference Text:  <S sid = 34 ssid = >We describe how to build a maximum entropy-based classifier that can reliably judge whether two sentences are translations of each other, without making use of any context.</S><S sid = 323 ssid = >The approach of Fung and Cheung (2004) is a simpler version of ours.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J05-4003.txt | Citing Article:  P09-2057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This paper extends previous work on extracting parallel sentence pairs from comparable data (Munteanu and Marcu, 2005).</S> | Reference Offset:  ['33','344'] | Reference Text:  <S sid = 33 ssid = >This article describes a method for identifying parallel sentences in comparable corpora and builds on our earlier work on parallel sentence extraction (Munteanu, Fraser, and Marcu 2004).</S><S sid = 344 ssid = >However, STRAND focuses on extracting pairs of parallel Web pages rather than sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J05-4003.txt | Citing Article:  P09-2057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We select source-target sentence pairs (S, T) based on a ME classifier (Munteanu and Marcu, 2005).</S> | Reference Offset:  ['292','325'] | Reference Text:  <S sid = 292 ssid = >The IBM-1 alignment model takes no account of word order and allows a source word to be connected to arbitrarily many target words.</S><S sid = 325 ssid = >Then, from each document pair, they generate all possible sentence pairs, compute their cosine similarity, and apply another threshold in order to select the ones that are parallel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J05-4003.txt | Citing Article:  P09-2057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, the sentence length filter in (Munteanu and Marcu, 2005) is used: the length ratio of source and target sentence has to be smaller than 2.</S> | Reference Offset:  ['81','313'] | Reference Text:  <S sid = 81 ssid = >The filter verifies that the ratio of the lengths of the two sentences is no greater than two.</S><S sid = 313 ssid = >Zhao and Vogel (2002) combine a sentence length model with an IBM Model 1-type translation model.</S> | Discourse Facet:  NA | Annotator: Automatic


