Citance Number: 1 | Reference Article:  P09-2004.txt | Citing Article:  C10-2118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The same assumption underlies methods for automatically identifying DRMs (Pitler and Nenkova, 2009).</S> | Reference Offset:  ['8','25'] | Reference Text:  <S sid = 8 ssid = >We report state-ofthe-art results for identifying discourse vs. non-discourse usage and human-level performance on sense disambiguation.</S><S sid = 25 ssid = >Implicit relations are those inferred by the reader in the absence of a discourse connective and so are hard to identify automatically.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P09-2004.txt | Citing Article:  P13-2013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Prior work (Pitler and Nenkova, 2009) showed that where explicit markers exist, the class of the relation can be disambiguated with f-scores higher than 90%. Predicting the class of implicit discourse relations, however, is much more difficult.</S> | Reference Offset:  ['24','83'] | Reference Text:  <S sid = 24 ssid = >Most prior work on relation sense identification reports results obtained on data consisting of both explicit and implicit relations (Wellner et al., 2006; Soricut and Marcu, 2003).</S><S sid = 83 ssid = >Error Analysis While Temporal relations are the least frequent of the four senses, making up only 19% of the explicit relations, more than half of the errors involve the Temporal class.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P09-2004.txt | Citing Article:  P14-2047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We identify discourse connectives and their senses (TEMPORAL, COMPARISON, CONTINGENCY or EXPANSION) in each reference segment using the system in Pitler and Nenkova (2009).</S> | Reference Offset:  ['10','75'] | Reference Text:  <S sid = 10 ssid = >Some connectives are largely unambiguous, such as although and additionally, which are almost always used as discourse connectives and the relations they signal are unambiguously identified as comparison and expansion, respectively.</S><S sid = 75 ssid = >Contingency and Temporal are the senses most often annotated together.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P09-2004.txt | Citing Article:  W11-2022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The state of-the-art for recognizing all types of explicit connectives in English is therefore already high, at 97% accuracy for disambiguating discourse vs. non discourse uses (Lin et al, 2010) and 94% for disambiguating the four main senses from the PDTB hierarchy (Pitler and Nenkova, 2009).</S> | Reference Offset:  ['8','88'] | Reference Text:  <S sid = 8 ssid = >We report state-ofthe-art results for identifying discourse vs. non-discourse usage and human-level performance on sense disambiguation.</S><S sid = 88 ssid = >We have shown that using a few syntactic features leads to state-of-the-art accuracy for discourse vs. non-discourse usage classification.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P09-2004.txt | Citing Article:  W12-1622.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The sense of the connective feature (F2) extracted from PDTB for the base system, though for the fully automatic one (Ghosh et al, 2011b) it needs the PTB (Penn TreeBank)-style syntactic parse trees as input (Pitler and Nenkova, 2009).</S> | Reference Offset:  ['29','36'] | Reference Text:  <S sid = 29 ssid = >2 Corpus and features In our work we use the Penn Discourse Treebank (PDTB) (Prasad et al., 2008), the largest public resource containing discourse annotations.</S><S sid = 36 ssid = >The syntactic features we used were extracted from the gold standard Penn Treebank (Marcus et al., 1994) parses of the PDTB articles: Self Category The highest node in the tree which dominates the words in the connective but nothing else.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P09-2004.txt | Citing Article:  W12-0117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The labeling of the four main senses from the PDTB sense hierarchy (temporal, contingency, comparison, expansion) reaches 94% ac curacy (Pitler and Nenkova, 2009) however, the baseline accuracy is already around 85% when using only the connective token as a feature.</S> | Reference Offset:  ['61','75'] | Reference Text:  <S sid = 61 ssid = >Using the string of the connective as the only feature sets a reasonably high baseline, with an f-score of 75.33% and an accuracy of 85.86%.</S><S sid = 75 ssid = >Contingency and Temporal are the senses most often annotated together.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P09-2004.txt | Citing Article:  P11-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The state of the art for recognizing explicit connectives in English is therefore already high, at a level of 94% for disambiguating the four main senses on the first level of the PDTB sense hierarchy (Pitler and Nenkova, 2009).</S> | Reference Offset:  ['8','33'] | Reference Text:  <S sid = 8 ssid = >We report state-ofthe-art results for identifying discourse vs. non-discourse usage and human-level performance on sense disambiguation.</S><S sid = 33 ssid = >These top-level discourse relation senses are general enough to be annotated with high inter-annotator agreement and are common to most theories of discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P09-2004.txt | Citing Article:  P11-3009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For instance, Pitler and Nenkova (2009) report an accuracy of 85.86% for correctly classified connectives (with the 4 main senses), when using the connective token as the only feature.</S> | Reference Offset:  ['61','78'] | Reference Text:  <S sid = 61 ssid = >Using the string of the connective as the only feature sets a reasonably high baseline, with an f-score of 75.33% and an accuracy of 85.86%.</S><S sid = 78 ssid = >The sense classification accuracy using just the connective is already quite high, 93.67%.</S> | Discourse Facet:  NA | Annotator: Automatic


