Citance Number: 1 | Reference Article:  E06-1043.txt | Citing Article:  W06-1204.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some of them are Frequency, Point-wise mutual information (Church and Hanks, 1989), Distributed frequency of object (Tapanainen et al, 1998), Distributed frequency of object using verb information (Venkatapathy and Joshi, 2005), Similarity of object in verb object pair using the LSA model (Baldwin et al, 2003), (Venkatapathy and Joshi, 2005) and Lexical and Syntactic fixedness (Fazly and Stevenson, 2006).</S> | Reference Offset:  ['63','173'] | Reference Text:  <S sid = 63 ssid = >We calculate the association strength for the target pair, and for each of its variants, , using pointwise mutual information (PMI) (Church et al., 1991): where and is the target noun; is the set of all transitive verbs in the corpus; is the set of all nouns appearing as the direct object of some verb; is the frequency of and occurring as a verb–object pair; is the total frequency of the target verb with any noun in ; is the total frequency of the noun in the direct object position of any verb in .</S><S sid = 173 ssid = >Most previous work on compositionality of MWEs either treat them as collocations (Smadja, 1993), or examine the distributional similarity between the expression and its constituents (McCarthy et al., 2003; Baldwin et al., 2003; Bannard et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic

Citance Number: 5 | Reference Article:  E06-1043.txt | Citing Article:  W07-1101.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fazly and Stevenson (2006) propose a measure for detecting the syntactic fixedness of English verb phrases of the same variety as us.</S> | Reference Offset:  ['80','90'] | Reference Text:  <S sid = 80 ssid = >We propose a measure that compares the “syntactic behaviour” of the target pair with that of a “typical” verb–noun pair.</S><S sid = 90 ssid = >We thus propose a new measure of idiomaticity to be a measure of the overall fixedness of a given pair.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  E06-1043.txt | Citing Article:  D09-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fazly and Stevenson (2006) combine information about syntactic and lexical fixedness (i.e., estimated degree of compositionality) into one measure.</S> | Reference Offset:  ['83','129'] | Reference Text:  <S sid = 83 ssid = >The posterior probability of an individual pattern is estimated as: The degree of syntactic fixedness of the target verb–noun pair is estimated as the divergence of its syntactic behaviour (the posterior distribution 2We collapse some patterns since with a larger pattern set the measure may require larger corpora to perform reliably. over the patterns), from the typical syntactic behaviour (the prior distribution).</S><S sid = 129 ssid = >These results demonstrate that syntactic fixedness is a good indicator of idiomaticity, better than a simple measure of collocation ( ), or a measure of lexical fixedness.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  E06-1043.txt | Citing Article:  W08-2107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In particular, Fazly and Stevenson (2006) look at the correlation between syntactic fixedness (in terms of e.g. passivisation, choice of determiner type and pluralisation) and non-compositionality of verb-noun compounds such as shoot the breeze.</S> | Reference Offset:  ['43','74'] | Reference Text:  <S sid = 43 ssid = >For example, the meaning of shoot the breeze, a highly idiomatic expression, has nothing to do with either shoot or breeze.</S><S sid = 74 ssid = >Determiner Type A strong correlation exists between the flexibility of the determiner preceding the noun in a verb+noun combination and the overall flexibility of the phrase (Fellbaum, 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  E06-1043.txt | Citing Article:  W07-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In their work on automatically identifying idiom types, Fazly and Stevenson (2006) - henceforth FS06 - show that an idiomatic VNC tends to have one (or at most a small number of) canonical form (s), which are its most preferred syntactic patterns.</S> | Reference Offset:  ['79','144'] | Reference Text:  <S sid = 79 ssid = >Merging the three variation types results in a pattern set, , of distinct syntactic patterns, given in Table 1.2 The second step is to devise a statistical measure that quantifies the degree of syntactic fixedness of a verb–noun pair, with respect to the selected set of patterns, .</S><S sid = 144 ssid = >To represent such pairs in a lexicon, however, we must determine their canonical form(s)—Cforms henceforth.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  E06-1043.txt | Citing Article:  E09-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fazly and Stevenson (2006) combine information about syntactic and lexical fixedness (i.e., estimated degree of compositionality) into one measure.</S> | Reference Offset:  ['83','129'] | Reference Text:  <S sid = 83 ssid = >The posterior probability of an individual pattern is estimated as: The degree of syntactic fixedness of the target verb–noun pair is estimated as the divergence of its syntactic behaviour (the posterior distribution 2We collapse some patterns since with a larger pattern set the measure may require larger corpora to perform reliably. over the patterns), from the typical syntactic behaviour (the prior distribution).</S><S sid = 129 ssid = >These results demonstrate that syntactic fixedness is a good indicator of idiomaticity, better than a simple measure of collocation ( ), or a measure of lexical fixedness.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  E06-1043.txt | Citing Article:  D09-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In a previous study (Fazly and Stevenson, 2006), the authors came up with a dozen possible syntactic forms for verb-object pairs (based on passivization, determiner, and object pluralization) and used a corpus based statistical measure to determine the canonical form (s).</S> | Reference Offset:  ['134','144'] | Reference Text:  <S sid = 134 ssid = >Interestingly, although it is a PMI-based measure, performs slightly better when the data is separated based on frequency.</S><S sid = 144 ssid = >To represent such pairs in a lexicon, however, we must determine their canonical form(s)—Cforms henceforth.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  E06-1043.txt | Citing Article:  D07-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fazly and Stevenson (2006) use statistical measures of syntactic behaviour to gauge whether a verb and noun combination is likely to be a idiom.</S> | Reference Offset:  ['50','54'] | Reference Text:  <S sid = 50 ssid = >We thus propose to use the degree of lexical and syntactic flexibility of a given verb+noun combination to determine the level of idiomaticity of the expression.</S><S sid = 54 ssid = >Here we describe our measures for idiomaticity, which quantify the degree of lexical, syntactic, and overall fixedness of a given verb+noun combination, represented as a verb–noun pair.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  E06-1043.txt | Citing Article:  D07-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Certainly it would be worth combining the preferences with other measures, such as syntactic fixedness (Fazly and Stevenson, 2006).</S> | Reference Offset:  ['141','185'] | Reference Text:  <S sid = 141 ssid = >Each of the lexical and syntactic fixedness measures is a good indicator of idiomaticity on its own, with syntactic fixedness being a better predictor.</S><S sid = 185 ssid = >Our ongoing work focuses on combining these measures to distinguish VNICs from other idiosyncratic verb+noun combinations that are neither purely idiomatic nor completely literal, so that we can identify linguistically plausible classes of verb+noun combinations on this continuum (Fazly and Stevenson, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  E06-1043.txt | Citing Article:  W07-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nonetheless, the mentioned characteristics are useful indicators to distinguish literal and idiomatic expressions (Fazly and Stevenson, 2006).</S> | Reference Offset:  ['87','185'] | Reference Text:  <S sid = 87 ssid = >Nonetheless, it has proven useful in many NLP applications (Resnik, 1999; Dagan et al., 1994).</S><S sid = 185 ssid = >Our ongoing work focuses on combining these measures to distinguish VNICs from other idiosyncratic verb+noun combinations that are neither purely idiomatic nor completely literal, so that we can identify linguistically plausible classes of verb+noun combinations on this continuum (Fazly and Stevenson, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  E06-1043.txt | Citing Article:  W07-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fazly and Stevenson (2006) use lexical and syntactic fixedness as partial indicators of noncompositionality.</S> | Reference Offset:  ['53','141'] | Reference Text:  <S sid = 53 ssid = >Nevertheless, lexical and syntactic flexibility may well be used as partial indicators of semantic analyzability, and hence idiomaticity.</S><S sid = 141 ssid = >Each of the lexical and syntactic fixedness measures is a good indicator of idiomaticity on its own, with syntactic fixedness being a better predictor.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  E06-1043.txt | Citing Article:  W07-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to Lin (1999), McCarthy et al (2003) and Fazly and Stevenson (2006), our method makes use of automatically generated thesauri; the technique used to compile the thesauri differs from previous work.</S> | Reference Offset:  ['60','173'] | Reference Text:  <S sid = 60 ssid = >We use the automatically-built thesaurus of Lin (1998) to find similar words to the noun of the target expression, in order to automatically generate variants.</S><S sid = 173 ssid = >Most previous work on compositionality of MWEs either treat them as collocations (Smadja, 1993), or examine the distributional similarity between the expression and its constituents (McCarthy et al., 2003; Baldwin et al., 2003; Bannard et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  E06-1043.txt | Citing Article:  W07-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Combining our semantics-based approach with other extraction techniques such as the syntactic fixedness measure proposed by Fazly and Stevenson (2006) might improve the results significantly.</S> | Reference Offset:  ['116','142'] | Reference Text:  <S sid = 116 ssid = >Based on the development results, the best value for is (giving more weight to the syntactic fixedness measure).</S><S sid = 142 ssid = >Here we demonstrate that combining them into a single measure of fixedness, while giving more weight to the better measure, results in a more effective predictor of idiomaticity.</S> | Discourse Facet:  NA | Annotator: Automatic


