Citance Number: 1 | Reference Article:  W08-1301.txt | Citing Article:  W09-2307.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In English, this kind of typed dependencies has been introduced by de Marneffe and Manning (2008) and de Marneffe et al (2006).</S> | Reference Offset:  ['0','25'] | Reference Text:  <S sid = 0 ssid = >The Stanford Typed Dependencies Representation</S><S sid = 25 ssid = >These were used as a starting point for developing the Stanford dependencies (de Marneffe et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W08-1301.txt | Citing Article:  W10-1901.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this stage, we connect the triggers extracted with appropriate arguments using rules defined with the Stanford dependency (SD) scheme (de Marneffe and Manning, 2008).</S> | Reference Offset:  ['90','95'] | Reference Text:  <S sid = 90 ssid = >The primary focus of the SD scheme, however, has been to offer grammatical relations appropriate for end-users.</S><S sid = 95 ssid = >Then for each grammatical relation, patterns are defined over the phrase structure parse tree using the tree-expression syntax defined by tregex (Levy and Andrew, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W08-1301.txt | Citing Article:  W11-1611.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >More recent approaches to compression introduce reordering and paraphrase operations (e.g. ,dencies (Briscoe, 2006) while there are over 50 Stanford Dependencies (de Marneffe and Manning, 2008).</S> | Reference Offset:  ['25','144'] | Reference Text:  <S sid = 25 ssid = >These were used as a starting point for developing the Stanford dependencies (de Marneffe et al., 2006).</S><S sid = 144 ssid = >We believe that the SD scheme approaches these goals.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W08-1301.txt | Citing Article:  D11-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we describe 1) a new dependency conversion (Section 3) of the Penn Treebank (Marcus, et al, 1993) along with the associated dependency label scheme, which is based upon the Stanford parser's popular scheme (de Marneffe and Manning, 2008), and a fast, accurate dependency parser with non-projectivity support (Section 4) and additional integrated semantic annotation modules for automatic preposition sense disambiguation and noun compound interpretation (Section 5).</S> | Reference Offset:  ['12','132'] | Reference Text:  <S sid = 12 ssid = >First, we noted how frequently WordNet (Fellbaum, 1998) gets used compared to other resources, such as FrameNet (Fillmore et al., 2003) or the Penn Treebank (Marcus et al., 1993).</S><S sid = 132 ssid = >Some of the results of the previous section at least broadly support the utility of the SD scheme for practical use in higherlevel tasks.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W08-1301.txt | Citing Article:  D11-1116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >By far the most prominent of these is the Stanford typed dependency scheme (de Marneffe and Manning, 2008).</S> | Reference Offset:  ['0','25'] | Reference Text:  <S sid = 0 ssid = >The Stanford Typed Dependencies Representation</S><S sid = 25 ssid = >These were used as a starting point for developing the Stanford dependencies (de Marneffe et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W08-1301.txt | Citing Article:  P10-4007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This semantic representation can be extracted from the user input by our understanding component via a robust hybrid approach: either via a number of surface patterns containing regular expressions or via patterns reflecting the syntactic analysis of a dependency parser (de Marneffe and Manning, 2008).</S> | Reference Offset:  ['1','95'] | Reference Text:  <S sid = 1 ssid = >This paper examines the Stanford typed dependencies representation, which was designed to provide a straightforward description of grammatical relations for any user who could benefit from automatic text understanding.</S><S sid = 95 ssid = >Then for each grammatical relation, patterns are defined over the phrase structure parse tree using the tree-expression syntax defined by tregex (Levy and Andrew, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W08-1301.txt | Citing Article:  P12-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Stanford dependencies (de Marneffe and Manning, 2008) provide a simple description of relations between pairs of words in a sentence.</S> | Reference Offset:  ['1','5'] | Reference Text:  <S sid = 1 ssid = >This paper examines the Stanford typed dependencies representation, which was designed to provide a straightforward description of grammatical relations for any user who could benefit from automatic text understanding.</S><S sid = 5 ssid = >The Stanford typed dependencies representation was designed to provide a simple description of the grammatical relationships in a sentence that could easily be understood and effectively used by people without linguistic expertise who wanted to extract textual relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W08-1301.txt | Citing Article:  N12-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We now describe how we build the syntactic relatedness trie (SRT) that forms the scaffolding for the probabilistic models needed to identify sentiment-bearing words via syntactic constraints extracted from a dependency parse (Kubler et al, 2009). We use the Stanford Parser (de Marneffe and Manning, 2008) to produce a dependency graph and con sider the resulting undirected graph structure over words.</S> | Reference Offset:  ['127','140'] | Reference Text:  <S sid = 127 ssid = >The open information extraction system TEXTRUNNER (Banko et al., 2007) also makes use of the SD graph representation: its first module uses the Stanford parser and the dependency tool to automatically identify and label trustworthy and untrustworthy extractions.</S><S sid = 140 ssid = >Although Clegg and Shepherd (2007) also favor dependency graph representations for parser evaluation, they advocate retention of parse trees so information lost in the dependency structures can be accessed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W08-1301.txt | Citing Article:  P11-3015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >3.3.1 Dependency Structures The first set of these features include typed dependency structures (de Marneffe and Manning, 2008) which describe the grammatical relationships between words.</S> | Reference Offset:  ['120','140'] | Reference Text:  <S sid = 120 ssid = >Another example is the prepositional phrase where alternative attachment structures are indicated by different relations.</S><S sid = 140 ssid = >Although Clegg and Shepherd (2007) also favor dependency graph representations for parser evaluation, they advocate retention of parse trees so information lost in the dependency structures can be accessed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W08-1301.txt | Citing Article:  P12-2066.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To obtain dependency trees, we passed the Stanford constituency trees through the Stanford constituency-to-dependency converter (de Marneffe and Manning, 2008).</S> | Reference Offset:  ['0','140'] | Reference Text:  <S sid = 0 ssid = >The Stanford Typed Dependencies Representation</S><S sid = 140 ssid = >Although Clegg and Shepherd (2007) also favor dependency graph representations for parser evaluation, they advocate retention of parse trees so information lost in the dependency structures can be accessed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W08-1301.txt | Citing Article:  D12-1080.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use both the original dependency paths and their collapsed Stanford Dependencies forms (de Marneffe and Manning, 2008).</S> | Reference Offset:  ['0','27'] | Reference Text:  <S sid = 0 ssid = >The Stanford Typed Dependencies Representation</S><S sid = 27 ssid = >SD makes available two options, suited to different use cases: in one, every word of the original sentence is present as a node with relations between it and other nodes, whereas in the latter, certain words are “collapsed” out of the representation, making such changes as turning prepositions into relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W08-1301.txt | Citing Article:  W10-3003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As recent work in the BioNLP 2009 shared task has shown (Kim et al,2009), domain-adapted parsing benefits information extraction systems. The native output of the C&C parser is converted into the Stanford Dependency (SD) collapsed dependency format (de Marneffe and Manning, 2008).</S> | Reference Offset:  ['135','139'] | Reference Text:  <S sid = 135 ssid = >Recent work on parser evaluation using dependency graphs in the biomedical domain confirms that researchers regard dependency-based evaluation as a more useful surrogate for extrinsic task-based evaluation (Clegg and Shepherd, 2007; Pyysalo et al., 2007a).</S><S sid = 139 ssid = >Their parser evaluation accommodates user needs: they used the collapsed version of the dependency graphs offered by the SD scheme, arguing that this is the kind of graph one would find most useful in an information extraction project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W08-1301.txt | Citing Article:  W10-1819.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also establish the applicability of the PropBank scheme to the clinical sub language with its many atypical characteristics, and finally, we find that the PropBank scheme is compatible with the Stanford Dependency scheme of de Marneffeand Manning (2008a; 2008b) in which the under lying tree bank is annotated.</S> | Reference Offset:  ['4','123'] | Reference Text:  <S sid = 4 ssid = >Finally, we address the question of the suitability of the Stanford scheme for parser evaluation.</S><S sid = 123 ssid = >Therefore, to increase the usability of the BioInfer corpus (Pyysalo et al., 2007b), which provides manually annotated data for information extraction in the biomedical domain and originally followed the Link Grammar scheme, Pyysalo et al. (2007a) developed a version of the corpus annotated with the SD scheme.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W08-1301.txt | Citing Article:  W10-1819.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The tree bank of Haverinen et al is annotated in the Stanford Dependency (SD) scheme of de Marneffe and Manning (2008a; 2008b).</S> | Reference Offset:  ['25','123'] | Reference Text:  <S sid = 25 ssid = >These were used as a starting point for developing the Stanford dependencies (de Marneffe et al., 2006).</S><S sid = 123 ssid = >Therefore, to increase the usability of the BioInfer corpus (Pyysalo et al., 2007b), which provides manually annotated data for information extraction in the biomedical domain and originally followed the Link Grammar scheme, Pyysalo et al. (2007a) developed a version of the corpus annotated with the SD scheme.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W08-1301.txt | Citing Article:  P13-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These relations are labeled using traditional grammatical concepts (subject, object, modifier) that are arranged into an inheritance hierarchy (de Marneffe and Manning, 2008a, Sec.</S> | Reference Offset:  ['31','32'] | Reference Text:  <S sid = 31 ssid = >The grammatical relations of SD are arranged in a hierarchy, rooted with the most generic relation, dependent.</S><S sid = 32 ssid = >The hierarchy contains 56 grammatical relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W08-1301.txt | Citing Article:  P13-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In so far, recovering SD relations from phrase-structure (PS) trees have used a range of structural cues such as positions and phrase-labels (see, for instance, the software of de Marneffe and Manning (2008a)).</S> | Reference Offset:  ['91','120'] | Reference Text:  <S sid = 91 ssid = >The Stanford parser4 comes with a tool, described in (de Marneffe et al., 2006), which provides for the rapid extraction of the grammatical relations from phrase structure parses.</S><S sid = 120 ssid = >Another example is the prepositional phrase where alternative attachment structures are indicated by different relations.</S> | Discourse Facet:  NA | Annotator: Automatic


