Citance Number: 1 | Reference Article:  W04-2609.txt | Citing Article:  W04-2610.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The annotation of each example consisted of specifying its feature vector and the most appropriate semantic relation as defined in (Moldovan et al 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The annotation of each example consisted of specifying its feature vector and the most appropriate semantic relation from those listed in Table 1.</S><S sid = NA ssid = NA>Here is an example.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W04-2609.txt | Citing Article:  P06-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent work on the automatic/semi automatic interpretation of NCs (e.g., Lapata (2002), Rosario and Marti (2001), Moldovan et al (2004) and Kim and Baldwin (2005)) has made assumptions about the scope of semantic relations or restricted the domain of interpretation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More recently, (Rosario and Hearst 2001), (Rosario, Hearst, and Fillmore 2002), (Lapata 2002) have proposed automatic methods that analyze and detect noun compounds relations from text.</S><S sid = NA ssid = NA>Besides the work on semantic roles, considerable interest has been shown in the automatic interpretation of complex nominals, and especially of compound nominals.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-2609.txt | Citing Article:  P06-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moldovan et al (2004) used the word senses of nouns based on the do main or range of interpretation of an NC, leading to questions of scalability and portability to noveldomains/NC types.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Also, the judges tagged the NP nouns in the training corpus with their corresponding WordNet senses.</S><S sid = NA ssid = NA>Several approaches have been proposed for empirical noun-compound interpretation, such as syntactic analysis based on statistical techniques (Lauer and Dras 1994), (Pustejovsky et al. 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-2609.txt | Citing Article:  P06-2064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Rosario and Marti (2001) achieved about 60% using a neural net work in a closed domain, Moldovan et al (2004) achieved 43% using word sense disambiguation of the head noun and modifier over open domain data, and Kim and Baldwin (2005) produced 53% using lexical similarities of the head noun and modifier (using the same relation set, but evaluated over a different dataset).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using a stateof-the-art open-text WSD system, each word is mapped into its corresponding WordNet 2.0 sense.</S><S sid = NA ssid = NA>Noun - noun (adjective - noun, respectively) sequences of words were extracted using the Lauer heuristic (Lauer 1995) which looks for consecutive pairs of nouns that are neither preceded nor succeeded by a noun after each sentence was syntactically parsed with Charniak parser (Charniak 2001) (for XWN we used the gold parse trees).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-2609.txt | Citing Article:  I08-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this study, we selected three semantic similarity based models which had been found to perform strongly in previous research, and which were easy to re-implement: SENSE COLLOCATION (Moldovan et al, 2004), CONSTITUENT SIMILARITY (Kim and Baldwin, 2005) and CO-TRAINING ,e.g. using Sense COLLOCATION or CONSTITUENT SIMILAR ITY (Kim and Baldwin, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Using a stateof-the-art open-text WSD system, each word is mapped into its corresponding WordNet 2.0 sense.</S><S sid = NA ssid = NA>In order to focus our research, we will concentrate for now only on noun - noun or adjective - noun compositional constructions at NP level, ie those whose meaning can be derived from the meaning of the constituent nouns (“door knob”, “cup of wine”).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-2609.txt | Citing Article:  I08-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We tested the original methods of Moldovan et al (2004) and Kim and Baldwin (2005), and combined them with the co-training methods of Kim and Baldwin (2007) to come up with six different hybrid systems for evaluation, as detailed in Table 1.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S><S sid = NA ssid = NA>More recently, (Rosario and Hearst 2001), (Rosario, Hearst, and Fillmore 2002), (Lapata 2002) have proposed automatic methods that analyze and detect noun compounds relations from text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-2609.txt | Citing Article:  W07-2003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moldovan et al (2004) propose a 35 class scheme to classify relations in various phrases; the same scheme has been applied to noun com pounds and other noun phrases (Girju et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S><S sid = NA ssid = NA>Models For The Semantic Classification Of Noun Phrases</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-2609.txt | Citing Article:  P07-3014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moldovan et al (2004) also use WordNet.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S><S sid = NA ssid = NA>This is called semantic blend (Quirk et al.1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-2609.txt | Citing Article:  W07-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first method uses sense collocations as proposed by Moldovan et al (2004), and the second method uses the lexical similarity of the component words in the NC as proposed by Kim and Baldwin (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Several approaches have been proposed for empirical noun-compound interpretation, such as syntactic analysis based on statistical techniques (Lauer and Dras 1994), (Pustejovsky et al. 1993).</S><S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-2609.txt | Citing Article:  W07-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moldovan et al (2004) proposed a method called semantic scattering for interpreting NCs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Semantic Scattering.</S><S sid = NA ssid = NA>This is called semantic blend (Quirk et al.1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-2609.txt | Citing Article:  P08-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A wide variety of features are used by different algorithms, ranging from simple bag-of-words frequencies to WordNet-based features (Moldovan et al., 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet synsets) of the NP modifiers and, respectively NP heads (ie features 2 and 1).</S><S sid = NA ssid = NA>So far, we have identified and experimented with the following NP features: specifies the WordNet synset of the modifier noun.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-2609.txt | Citing Article:  P08-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moldovan et al (2004) proposed a different scheme with 35 classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S><S sid = NA ssid = NA>Several approaches have been proposed for empirical noun-compound interpretation, such as syntactic analysis based on statistical techniques (Lauer and Dras 1994), (Pustejovsky et al. 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-2609.txt | Citing Article:  W07-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moldovan et al (2004) also use WordNet.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S><S sid = NA ssid = NA>This is called semantic blend (Quirk et al.1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-2609.txt | Citing Article:  P10-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moldovan et al (2004) use SVMs as well as a novel algorithm (i.e., semantic scattering).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Semantic Scattering.</S><S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-2609.txt | Citing Article:  H05-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>From these, 80% were used for training and 20% for test ing. Each genitive instance was tagged with the corresponding semantic relations by two annotators, based on a list of 35 most frequently used semantic relations proposed by (Moldovan et al, 2004) and shown in Table 1.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our list contains the most frequently used semantic relations we have observed on a large corpus.</S><S sid = NA ssid = NA>We computed the K coefficient only for those instances tagged with one of the 35 semantic relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W04-2609.txt | Citing Article:  H05-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For this study, we adopt a revised version of these mantic relation set proposed by (Moldovan et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Relation no.</S><S sid = NA ssid = NA>Details about this approach are provided in (Girju et al. 2004)).</S> | Discourse Facet:  NA | Annotator: Automatic


