Citance Number: 1 | Reference Article:  A97-1052.txt | Citing Article:  P98-2247.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The SCFs applicable to each verb are extracted automatically from corpus data using the system of Briscoe and Carroll (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many of these are not exploitable automatically because they rest on semantic judgements which cannot (yet) be made automatically: for example, optional arguments are often 'understood' or implied if missing.</S><S sid = NA ssid = NA>Many of these are not exploitable automatically because they rest on semantic judgements which cannot (yet) be made automatically: for example, optional arguments are often 'understood' or implied if missing.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  A97-1052.txt | Citing Article:  C04-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Brent 1993) estimated pe according to the acquisition system? s performance, while (Briscoe and Carroll 1997) calculated pe from the distribution of SCF types in ANLT and SCF tokens in Susanne as shown in the fol lowing equation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(1993).</S><S sid = NA ssid = NA>This gives us an estimate of the parsing performance that would result from providing a parser with entries built using the system, shown in Figure 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  A97-1052.txt | Citing Article:  C04-1104.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Further more, (Briscoe and Carroll 1997) applied their acquired English SCF lexicon to an intermediate parser, and reported a 7% improvement of both phrase-based precision and recall.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>He also reports a comparison of acquired entries for verbs to the entries given in the Advanced Dictionary of Current English 1989) on which his system achieves a precision of 90% and a recall of 43%.</S><S sid = NA ssid = NA>He also reports a comparison of acquired entries for the verbs to the entries given in the Oxford Advanced Learner's Dictionary of Current English (Hornby, 1989) on which his system achieves a precision of 90% and a recall of 43%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  A97-1052.txt | Citing Article:  P06-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We briefly outline our SCF extraction system for automatically extracting SCFs from corpora, which was based on the design proposed in Briscoe and Carroll (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Automatic Extraction Of Subcategorization From Corpora</S><S sid = NA ssid = NA>It shows the number of true positives (TP), correct classes proposed by our system, false positives (FP), incorrect classes proposed by our system, and false negatives (FN), correct classes not proposed by our system, as judged against the merged entry, and, for seven of the verbs, against the corpus analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  A97-1052.txt | Citing Article:  P06-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the 14 verbs 4 selected by Briscoe and Carroll (1997) and evaluated our results of these verbs against the SCF entries in two gold standards: COMLEX (Grishman et al, 1994) and a manually constructed SCF set from the training data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Figure 3 gives the type precision and recall of our system's recognition of subcategorization classes as evaluated against the merged dictionary entries (14 verbs) and against the manually analysed corpus data (7 verbs).</S><S sid = NA ssid = NA>The results were evaluated against a merged entry for these verbs from the ANLT and COMLEX Syntax dictionaries, and also against a manual analysis of the corpus data for seven of the verbs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  A97-1052.txt | Citing Article:  P06-2067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our experiments show that 14 verbs used in Briscoe and Carroll (1997) are ask, begin, believe, cause, expect, find, give, help, like, move, produce, provide, seem and sway.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other there are 67 negatives by an mean of 7.1 examples which should, ide- 360 Merged TP FP Entry Corpus TP FP Data No. of FN FN Sentences ask 9 0 18 9 0 10 390 begin 4 1 7 4 1 7 311 believe 4 4 11 4 4 8 230 cause 2 3 6 2 3 5 95 expect 6 5 3 - - - 223 find 5 7 15 - - - 645 give 5 2 11 5 2 5 639 help 6 3 8 - - - 223 like 3 2 7 - - - 228 move 4 3 9 - - - 217 produce 2 1 3 - - 152 provide 3 2 6 - - - 217 seem 8 1 4 8 1 4 534 swing 4 0 10 4 0 8 45 Totals 65 34 118 36 11 47 4149 Figure 2: Raw results for test of 14 verbs Token Recall ask 78.5% begin 73.8% believe 34.5% cause 92.1% give 92.2% seem 84.7% swing 39.2% Mean 80.9% Figure 5: Token recall have been accepted by the filter, and 11 should have been rejected.</S><S sid = NA ssid = NA>Dictionary (14 verbs) Corpus (7 verbs) Precision Recall 65.7% 76.6% 35.5% 43.4% Figure 3: Type precision and recall Ranking Accuracy ask 75.0% begin 100.0% believe 66.7% cause 100.0% give 70.0% seem 75.0% swing 83.3% Mean 81.4% Figure 4: Ranking accuracy of classes Figure 3 gives the type precision and recall of our system's recognition of subcategorization classes as evaluated against the merged dictionary entries (14 verbs) and against the manually analysed corpus data (7 verbs).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  A97-1052.txt | Citing Article:  P04-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Briscoe and Carroll, 1997) observe that in the work of (Brent, 1993), (Manning, 1993) and (Ushioda et al, 1993), the maximum number of distinct subcategorization classes recognized is sixteen, and only Ushioda et al attempt to derive relative subcategorization frequency for individual predicates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In these experiments the maximum number of distinct subcategorization classes recognized is sixteen, and only Ushioda et at. attempt to derive relative subcategorization frequency for individual predicates.</S><S sid = NA ssid = NA>Preliminary experiments acquiring a few verbal subcategorization classes have been reported by Brent (1991, 1993), Manning (1993), and Ushioda et at.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  A97-1052.txt | Citing Article:  P04-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast, the system of (Briscoe and Carroll, 1997) distinguishes 163 verbal subcategorisation classes by means of a statistical shallow parser, a classifier of subcategorisation classes, and a priori estimates of the probability that any verb will be a member of those classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We achieve this performance by exploiting a more sophisticated robust statistical parser which yields complete though 'shallow' parses, a more comprehensive subcategorization class classifier, and a priori estimates of the probability of membership of these classes.</S><S sid = NA ssid = NA>So, p(v -i), the probability of verb v not of class i occurring with a pattern for class i is: The probability of the event happening m or more times is: Thus P(m,n,p(v -i)) is the probability that m or more occurrences of patterns for i will occur with a verb which is not a member of i, given n occurrences of that verb.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  A97-1052.txt | Citing Article:  P04-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is a well-documented fact (Briscoe and Carroll,1997) that subcategorisation frames (and their frequencies) vary across domains.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These problems are compounded by the fact that predicate subcategorization is closely associated to lexical sense and the senses of a word change between corpora, sublanguages and/or subject domains (Jensen, 1991).</S><S sid = NA ssid = NA>This gives us an estimate of the accuracy of the relative frequencies of classes output by the system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  A97-1052.txt | Citing Article:  D07-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Several substantial resources exist: e.g., hand-crafted large-scale grammars like the English Resource Grammar (ERG Flickinger (2000)) and the Dutch Alpino Grammar (Bouma et al, 2001). Unfortunately, the construction of these resources is the manual result of human efforts and therefore likely to contain errors of omission and commission (Briscoe and Carroll, 1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unfortunately, neither approach can yield a genuinely accurate or comprehensive computational lexicon, because both rest ultimately on the manual efforts of lexicographers / linguists and are, therefore, prone to errors of omission and commission which are hard or impossible to detect automatically (e.g.</S><S sid = NA ssid = NA>the Alvey NL Tools (ANLT) dictionary, Boguraev et al. (1987); the COMLEX Syntax dictionary, Grishman et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  A97-1052.txt | Citing Article:  C08-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The preliminary experiment on biomedical verb classification (Korhonen et al, 2006) employed basic syntactic features only: SCFs extracted from corpus data using the system of Briscoe and Carroll (1997) which operates on the output of a domain-independent robust statistical parser (RASP) (Briscoe and Carroll, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>the Alvey NL Tools (ANLT) dictionary, Boguraev et al. (1987); the COMLEX Syntax dictionary, Grishman et al.</S><S sid = NA ssid = NA>Grishman et al., 1992); see figure 65.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  A97-1052.txt | Citing Article:  P07-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Briscoe and Carroll, 1997)) is to extract SCFs from parse trees, introducing an unnecessary dependence on the details of a particular parser.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The GEIG measures for the lexicalized parser show a 7% improvement in the crossing bracket score (figure 6). the existing test corpus this is not statisti- 'Carroll & Briscoe (1996) use the same test set, although the baseline results reported here differ slightly due to differences in the mapping from parse trees to Susanne-compatible bracketings.</S><S sid = NA ssid = NA>In particular we wanted to establish whether the subcategorization frequency information for individual verbs could be used to improve the accuracy of a parser that uses statistical techniques to rank analyses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  A97-1052.txt | Citing Article:  W04-2606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Table 2: New Verb Classes 1000 citations, on average, for each verb. Our method for SCF acquisition (Korhonen, 2002) involves first using the system of Briscoe and Carroll (1997) to acquire a putative SCF distribution for each test verb from corpus data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our system rankings include all classes for each verb, from a total of 160 classes, and average 81.4% correct.</S><S sid = NA ssid = NA>Our system rankings include all classes for each verb, from a total of 160 classes, and average 81.4% correct.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  A97-1052.txt | Citing Article:  W04-2411.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The text is parsed using the RASP parser (Briscoe and Carroll, 2002), and sub categorizations are extracted using the system of Briscoe and Carroll (1997).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Boguraev & Briscoe, 1987).</S><S sid = NA ssid = NA>Boguraev & Briscoe, 1987).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  A97-1052.txt | Citing Article:  P04-2008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In their study, they first acquire fine-grained SCFs using the unsupervised method proposed by Briscoe and Carroll (1997) and Korhonen (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It shows the number of true positives (TP), correct classes proposed by our system, false positives (FP), incorrect classes proposed by our system, and false negatives (FN), correct classes not proposed by our system, as judged against the merged entry, and, for seven of the verbs, against the corpus analysis.</S><S sid = NA ssid = NA>It shows the of positives correct classes proby our system, positives incorrect proposed by our system, and negatives classes not proposed by our system, as judged against the merged entry, and, for seven of the verbs, against the corpus analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  A97-1052.txt | Citing Article:  P03-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We propose a novel approach, which involves: (i) obtaining SCF frequency information from a lexicon extracted automatically using the comprehensive system of Briscoe and Carroll (1997) and (ii) applying a clustering mechanism to this information.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unfortunately, neither approach can yield a genuinely accurate or comprehensive computational lexicon, because both rest ultimately on the manual efforts of lexicographers / linguists and are, therefore, prone to errors of omission and commission which are hard or impossible to detect automatically (e.g.</S><S sid = NA ssid = NA>We hope to exploit this information where possible at a later stage in the development of our approach.</S> | Discourse Facet:  NA | Annotator: Automatic


