Citance Number: 1 | Reference Article:  W02-0505.txt | Citing Article:  P02-1051.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly maps English letter sequences into Arabic letter sequences, which are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The spelling-based model we propose directly maps English letter sequences into Arabic letter sequences with probability P(alw), which is trained on an English/Arabic name list without the need for English pronunciations.</S><S sid = NA ssid = NA>Instead we propose a spelling-based model that maps directly into Arabic letter sequences, which can be trained on an English/Arabic name list as we describe in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W02-0505.txt | Citing Article:  P07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Al-Onaizan and Knight (2002) find that a model mapping directly from English to Arabic letters outperforms the phoneme-to-letter model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The spelling-based model we propose directly maps English letter sequences into Arabic letter sequences with probability P(alw), which is trained on an English/Arabic name list without the need for English pronunciations.</S><S sid = NA ssid = NA>Instead we propose a spelling-based model that maps directly into Arabic letter sequences, which can be trained on an English/Arabic name list as we describe in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W02-0505.txt | Citing Article:  P07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The main point of comparison for the evaluation of our substring-based models of transliteration is the letter-based transducer proposed by (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The evaluation is based on human-subjective evaluation. models.</S><S sid = NA ssid = NA>The accuracy of our transliteration models based on the human-subjective evaluation is shown in Table 11.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-0505.txt | Citing Article:  W05-0712.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Al-Onaizan and Knight (Al-Onaizan and Knight, 2002) proposed a spelling-based model which directly maps English letter sequences into Arabic letter sequences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The spelling-based model we propose directly maps English letter sequences into Arabic letter sequences with probability P(alw), which is trained on an English/Arabic name list without the need for English pronunciations.</S><S sid = NA ssid = NA>Instead we propose a spelling-based model that maps directly into Arabic letter sequences, which can be trained on an English/Arabic name list as we describe in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-0505.txt | Citing Article:  W07-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>of these entities is in most cases actually a (more or less phonetic) transliteration, see for example (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In some cases where more than one possible transliteration is acceptable, this criterion is too rigid.</S><S sid = NA ssid = NA>The approach described by Kawtrakul et al. (1998) requires a phonetic dictionary of English in order to match phonetic sequences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-0505.txt | Citing Article:  N07-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Al-Onaizan and Knight (2002) transliterated named entities in Arabic text to English by combining phonetic-based and spelling-based models, and re-ranking candidates with full-name web counts, named entities co-reference, and contextual web counts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Web-based filtering is useful only for our spelling-based model since all candidates generated by the phonetic-based model are in the pronunciation dictionary and all have non-zero Web counts.</S><S sid = NA ssid = NA>Unlikely candidates can be eliminated by filtering out candidates with zero Web counts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-0505.txt | Citing Article:  N07-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These results are also comparable to other state-of-the-art statistical Arabic name trans literation systems such as (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We introduce a new spelling-based model that is much more accurate than state-of-the-art phonetic-based models and can be trained on easier-toobtain training data.</S><S sid = NA ssid = NA>The results shown here are for the phonetic-based model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-0505.txt | Citing Article:  I08-7002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A spelling-based model that directly maps English letter sequences into Arabic letters was developed by Al-Onaizan and Knight (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The spelling-based model we propose directly maps English letter sequences into Arabic letter sequences with probability P(alw), which is trained on an English/Arabic name list without the need for English pronunciations.</S><S sid = NA ssid = NA>Instead we propose a spelling-based model that maps directly into Arabic letter sequences, which can be trained on an English/Arabic name list as we describe in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-0505.txt | Citing Article:  W06-1672.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Al-Onaizan and Knight 2002) showed that use of outside linguistic resources such as WWW counts of transliteration candidates can greatly boost transliteration accuracy.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Unlikely candidates can be eliminated by filtering out candidates with zero Web counts.</S><S sid = NA ssid = NA>For our transliteration algorithm, the human subject was provided with the top 20 transliteration candidates as well.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-0505.txt | Citing Article:  P06-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A spelling-based model is described in (Al-Onaizan and Knight, 2002a; Al-Onaizan and Knight, 2002c) that directly maps English letter sequences into Arabic letter sequences with associated probability that are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The spelling-based model we propose directly maps English letter sequences into Arabic letter sequences with probability P(alw), which is trained on an English/Arabic name list without the need for English pronunciations.</S><S sid = NA ssid = NA>Instead we propose a spelling-based model that maps directly into Arabic letter sequences, which can be trained on an English/Arabic name list as we describe in Section 5.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W02-0505.txt | Citing Article:  P06-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The phonetics-based and spelling-based models have been linearly combined into a single transliteration model in (Al-Onaizan and Knight, 2002b) for transliteration of Arabic named entities into English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The phonetic-based and spelling-based models can be linearly combined into a single transliteration model.</S><S sid = NA ssid = NA>The transliteration process is based on a generative model of how an English name is transliterated into Arabic.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W02-0505.txt | Citing Article:  W05-0705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To improve this performance, we plan to enrich the Arabic lexicon with more proper names, using either name recognition (Maloney and Niv, 1998) or a back translation approach after name recognition in English texts (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Machine Transliteration Of Names In Arabic Texts</S><S sid = NA ssid = NA>The approach described by Kawtrakul et al. (1998) requires a phonetic dictionary of English in order to match phonetic sequences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W02-0505.txt | Citing Article:  W09-0438.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Subsequently, the performance of this system was greatly improved by combining different spelling and phonetic models (Al-Onaizan and Knight,2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The phonetic-based and spelling-based models can be linearly combined into a single transliteration model.</S><S sid = NA ssid = NA>We believe that the reason is that equal weights were given to the phonetic-based and spelling-based models in the combination.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W02-0505.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, the work of (Al-Onaizan and Knight, 2002a; Al-Onaizan and Knight, 2002b; Knight and Graehl, 1998) used the pronunciation of w in translation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The model proposed by Stalls and Knight (1998) uses a pronunciation dictionary to do this conversion.</S><S sid = NA ssid = NA>Stalls and Knight (1998) present an Arabic-toEnglish back-transliteration system based on the source-channel framework.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W02-0505.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Al-Onaizan and Knight (2002b) suggested that pronunciation can be skipped and the target language letters can be mapped directly to source language letters.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Transliteration is the process of replacing words in the source language with their approximate phonetic or spelling equivalents in the target language.</S><S sid = NA ssid = NA>Hence, the language model was mostly trained on English names.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W02-0505.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, Al-Onaizan and Knight (2002a; 2002b) only made use of transliteration information alone and so was not directly comparable.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The use of this spelling correction model slightly improves our transliterations, as shown in Table 3.</S><S sid = NA ssid = NA>Transliterating names between languages that use similar alphabets and sound systems is often very simple, since the phrase mostly remains the same.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W02-0505.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This is because the blind set is mostly of highly frequent, prominent politicians; whereas the development set contains also names of writers and less common political figures and hence are less likely to be in our unigram language model (and our pronunciation dictionary in the case of the phonetic-based model).</S><S sid = NA ssid = NA>For example, Graham is typically transliterated by humans into Arabic as &quot;r .Orciham&quot; and not as jrcim&quot; .</S> | Discourse Facet:  NA | Annotator: Automatic


