Citance Number: 1 | Reference Article:  X96-1048.xml | Citing Article:  A97-1028.xml | Citation Marker Offset:  [] | Citation Marker:  Sundheim ... 1995b | Citation Offset:  [] | Citation Text:  Named Entity evaluation began as a part of recent Message Understanding Conferences (MUC), whose objective was to standardize the evaluation of IE tasks (Sundheim, 1995b). | Reference Offset:  ['357'] | Reference Text:  <S sid ="357" ssid = "158">In addition, there are plans to put evaluations on line, with public access, starting with the NE evaluation; this is intended to make the NE task familiar to new sites and to give them a convenient and low-pressure way to try their hand at following a standardized test procedure.</S> | Discourse Facet:  Implication_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |

Citance Number: 5 | Reference Article:  X96-1048.xml | Citing Article:  J00-4003.xml | Citation Marker Offset:  ['72'] | Citation Marker:  Sundheim 1995 | Citation Offset:  ['71','72'] | Citation Text:  <S sid ="71" ssid = "42">The third main result was that we found very little agreement between our sub­ jects on identifying briding descriptions: in our second experiment, the agreement on 5 Previous attempts to annotate anaphoric relations had resulted in very low agreement levels; for.</S><S sid ="72" ssid = "43">example, in the corefercnce annotation experiments for MUC6 (Sundheim 1995), relations other than identity were dropped due to difficulties in annotating them.</S> | Reference Offset:  ['129', '132', '133'] | Reference Text:  <S sid ="129" ssid = "129">In the middle of the effort of preparing the test data for the formal evaluation, an interannotator variability test was conducted.</S><S sid ="132" ssid = "132">There was a large number of factors that contributed to the 20% disagreement, including overlooking coreferential NPs, using different interpretations of vague portions of the guidelines, and making different subjective decisions when the text of an article was ambiguous, sloppy, etc..</S><S sid ="133" ssid = "133">Most human errors pertained to definite descriptions and bare nominals, not to names and pronouns.</S> | Discourse Facet:  Results_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 6 | Reference Article:  X96-1048.xml | Citing Article:  W97-1307.xml | Citation Marker Offset:  ['29'] | Citation Marker:  Sund heim, 1995 | Citation Offset:  ['29','30'] | Citation Text:  <S sid ="29" ssid = "29">Algorit hmThis algorithm was first implemented for the MUC 6 FASTUS system (Appelt et al., 1995) , and prod.</S><S sid ="30" ssid = "30">uced one of the top scores (a recall of 59% and precision of 72%) in the MUC6 Coreference Task, which evaluated systems&apos; ability to recog nize coreference among noun phrases (Sund heim, 1995).</S> | Reference Offset:  ['13'] | Reference Text:  <S sid ="13" ssid = "13">• Coreference (CO) --Insert SGML tags into the text to link strings that represent coreferring noun phrases.</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 7 | Reference Article:  X96-1048.xml | Citing Article:  P06-1059.xml | Citation Marker Offset:  ['8'] | Citation Marker:  Sundheim, 1995 | Citation Offset:  ['8'] | Citation Text:  <S sid ="8" ssid = "8">whereasthe best performance at MUC6, in which systemstried to identify general named entities such asperson or organization names, was an accuracy of95% (Sundheim, 1995).</S> | Reference Offset:  ['54'] | Reference Text:  <S sid ="54" ssid = "54">When the outputs are scored in &quot;key-to-response&quot; mode, as though one annotator&apos;s output represented the &quot;key&quot; and the other the &quot;response,&quot; the humans achieved an overall F-measure of 96.68 and a corresponding error per response fill (ERR) score of 6%.</S> | Discourse Facet:  Results_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 8 | Reference Article:  X96-1048.xml | Citing Article:  C04-1126.xml | Citation Marker Offset:  [] | Citation Marker:  Sundheim ... 1995 | Citation Offset:  [] | Citation Text:  The MUC organisers provided strict guidelines about what constituted a succession event and how the templates should be lled which the annotators sometimes found dicult to interpret (Sundheim, 1995). Interannotator agreement was measured on 30 texts which were examined by two annotators. It was found to be 83% when one annotators templates were assumed to be correct and compared with the other | Reference Offset:  ['27', '28', '31', '227'] | Reference Text:  <S sid ="27" ssid = "27">CORPUS Testing was conducted using Wall Street Journal texts provided by the Linguistic Data Consortium.</S><S sid ="28" ssid = "28">The articles used in the evaluation were drawn from a corpus of approximately 58,000 articles spanning the period of January 1993 through June 1994.</S><S sid ="31" ssid = "31">The training set and test set each consisted of 100 articles and were drawn from the corpus using a text retrieval system called Managing Gigabytes, whose retrieval engine is based on a context-vector model, producing a ranked list of hits according to degree of match with a keyword search query.</S><S sid ="227" ssid = "28">Of the 100 texts in the test set, 54 were relevant to the management succession scenario, including six that were only marginally relevant.</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 9 | Reference Article:  X96-1048.xml | Citing Article:  C04-1126.xml | Citation Marker Offset:  ['34'] | Citation Marker:  Sundheim, 1995 | Citation Offset:  ['34'] | Citation Text:  <S sid ="34" ssid = "3">The test corpus consists of 100 Wall Street Jour­nal documents from the period January 1993 to June 1994, 54 of which contained management succession events (Sundheim, 1995).</S> | Reference Offset:  ['212','213'] | Reference Text:  <S sid ="212" ssid = "13">In this article, the management succession scenario will be used as the basis for discussion.</S><S sid ="213" ssid = "14">The management succession template consists of four object types, which are linked together via one-way pointers to form a hierarchical structure.</S> | Discourse Facet:  Results_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 10 | Reference Article:  X96-1048.xml | Citing Article:  W99-0612.xml | Citation Marker Offset:  ['142'] | Citation Marker:  Sundheim 1995 | Citation Offset:  ['141','142'] | Citation Text:  <S sid ="141" ssid = "141">It is not clear what resources are required to adapt systems to new languages.&quot;</S><S sid ="142" ssid = "142">It is important to mention that the F-measure for the human performance on this task is about 96%, (Sundheim 1995).</S> | Reference Offset:  ['54', '57'] | Reference Text:  <S sid ="54" ssid = "54">When the outputs are scored in &quot;key-to-response&quot; mode, as though one annotator&apos;s output represented the &quot;key&quot; and the other the &quot;response,&quot; the humans achieved an overall F-measure of 96.68 and a corresponding error per response fill (ERR) score of 6%.</S><S sid ="57" ssid = "57">Summary NE scores on primary metrics for the top 16 (out of 20) systems tested, in order of decreasing F-Measure (P&amp;R) 1 1 Key to F-measure scores: BBN baseline configuration 93.65, BBN experimental configuration 92.88, Knight-Ridder 85.73, Lockheed-Martin 90.84, UManitoba 93.33, UMass 84.95, MITRE 91.2, NMSU CRL baseline configuration 85.82, NYU 88.19, USheffield 89.06, SRA baseline configuration 96.42, SRA &quot;fast&quot; configuration 95.66, SRA &quot;fastest&quot; configuration 92.61, SRA &quot;nonames&quot; configuration 94.92, SRI 94.0, Sterling Software 92.74..</S> | Discourse Facet:  Results_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 11 | Reference Article:  X96-1048.xml | Citing Article:  E99-1001.xml | Citation Marker Offset:  ['17'] | Citation Marker: 1995 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "17">In an article on the Named Entity recognition competition (part of MUC6)Sundheim (1995) remarks that &quot;common organization names, first names of people and location names can be handled by recourse to list lookup, although there are drawbacks&quot; (Sundheim 1995: 16).</S> | Reference Offset:  ['72'] | Reference Text:  <S sid ="72" ssid = "72">Common organization names, first names of people, and location names can be handled by recourse to list lookup, although there are drawbacks: some names may be on more than one list, the lists will not be complete and may not match the name as it is realized in the text (e.g., may not cover the needed abbreviated form of an organization name, may not cover the complete person name), etc..</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 12 | Reference Article:  X96-1048.xml | Citing Article:  M98-1003.xml | Citation Marker Offset:  ['3'] | Citation Marker:  Sundheim1995 | Citation Offset:  ['3'] | Citation Text:  <S sid ="3" ssid = "3">TheorganizersofMUC6didnotattempttocomparethedifcultyoftheMUC6tasktothepreviousMUCtaskssayingthat.theproblemofcomingupwithareasonable,objectivewayofmeasuringrelativetaskdifcultyhasnotbeenadequatelyaddressed&quot;[Sundheim1995].</S> | Reference Offset:  ['245', '246'] | Reference Text:  <S sid ="245" ssid = "46">No analysis has been done of the relative difficulty of the MUC6 ST task compared to previous extraction evaluation tasks.</S><S sid ="246" ssid = "47">The one-month limitation on development in preparation for MUC6 would be difficult to factor into the computation, and even without that additional factor, the problem of coming up with a reasonable, objective way of measuring relative task difficulty has not been adequately addressed.</S> | Discourse Facet:  Implication_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


