Citance Number: 1 | Reference Article:  J93-2005.txt | Citing Article:  W94-0103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pustejovsky confronted with the problem of automatic acquisition more extensively in [Pustejovsky et al 1993].</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This process and the corpus tuning for both argument typing and subcategorization acquisition are described in Cowie, Guthrie, and Pustejovsky (1992) and Pustejovsky et al. (1992).</S><S sid = NA ssid = NA>It is these lexical structures that are then statistically tuned against the corpus, following the methods outlined in Anick and Pustejovsky (1990) and Pustejovsky (1992).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J93-2005.txt | Citing Article:  W07-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Mats Rooth, Scott Waterman, and four anonymous reviewers for useful comments and discussion.</S><S sid = NA ssid = NA>Many properties of a word sense or the semantic relationships between word senses are available in MRDs, but this information can only be identified computationally through some analysis of the definition text of an entry (Atkins 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J93-2005.txt | Citing Article:  W04-2609.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Mats Rooth, Scott Waterman, and four anonymous reviewers for useful comments and discussion.</S><S sid = NA ssid = NA>Many properties of a word sense or the semantic relationships between word senses are available in MRDs, but this information can only be identified computationally through some analysis of the definition text of an entry (Atkins 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J93-2005.txt | Citing Article:  W05-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, (Pustejovsky et al, 1993) present an interesting framework for the acquisition of semantic relations from corpora not only relying on statistics, but guided by theoretical lexicon principles.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will assume, for this paper, the general framework of a generative lexicon as outlined in Pustejovsky (1991).</S><S sid = NA ssid = NA>This process and the corpus tuning for both argument typing and subcategorization acquisition are described in Cowie, Guthrie, and Pustejovsky (1992) and Pustejovsky et al. (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J93-2005.txt | Citing Article:  W05-0603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The best known early work on automated unsupervised NC bracketing is that of Lauer (1995) who introduces the probabilistic dependency model for the syntactic disambiguation of NCs and argues against the adjacency model, proposed by Marcus (1980), Pustejovsky et al (1993) and Resnik (1993).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We describe research on conversion of a machine-tractable dictionary (Wilks et al. 1993) into a usable lexical knowledge base (Boguraev 1991).</S><S sid = NA ssid = NA>For example, the model must know that paper can enclose shredded tobacco, but not the reverse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J93-2005.txt | Citing Article:  C96-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Pustejovsky et al (1993) show how statistical techniques, such as mutual information measures can contribute to automatically acquire lexical information regarding the link between a noun and a predicate.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Such information about how nouns relate to other lexical items and their concepts might prove to be much more useful in full-text information retrieval than what has come from standard statistical techniques.</S><S sid = NA ssid = NA>Techniques for identifying explicit information in machine-readable dictionaries have been developed by many researchers (Boguraev et al. 1989; Slator 1988; Slator and Wilks 1987; Guthrie et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J93-2005.txt | Citing Article:  P02-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Mats Rooth, Scott Waterman, and four anonymous reviewers for useful comments and discussion.</S><S sid = NA ssid = NA>Many properties of a word sense or the semantic relationships between word senses are available in MRDs, but this information can only be identified computationally through some analysis of the definition text of an entry (Atkins 1991).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J93-2005.txt | Citing Article:  D09-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Pustejovsky et al (1993) use generalized syntactic patterns for extracting qualia structures from a partially parsed corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The database of partially parsed sentences provides the raw material for a number of sublanguage analyses.</S><S sid = NA ssid = NA>This process and the corpus tuning for both argument typing and subcategorization acquisition are described in Cowie, Guthrie, and Pustejovsky (1992) and Pustejovsky et al. (1992).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J93-2005.txt | Citing Article:  D09-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Concerning relatedness measure, additional corpus-based measures such as Web-basedmeasures (Cimiano and Wenderoth, 2007) or measures based on syntactic relations (Pustejovsky et al, 1993) could appear to be useful for improving the ranking of the extracted relations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition to conventional lexical semantic relations, we show how information concerning lexical presuppositions and preference relations can also be acquired from corpora, when analyzed with the appropriate semantic tools.</S><S sid = NA ssid = NA>In addition to conventional lexical semantic relations, we show how information concerning lexical presuppositions and preference relations can also be acquired from corpora, when analyzed with the appropriate semantic tools.</S> | Discourse Facet:  NA | Annotator: Automatic


