Citance Number: 1 | Reference Article:  W04-3207.txt | Citing Article:  H05-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, the work that is the closest to ours in spirit is the idea of joint estimation (Smith and Smith, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the spirit of joint optimization, we might have also combined the Korean morphology and syntax models into one inference task.</S><S sid = NA ssid = NA>We might take the projection idea a step farther.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W04-3207.txt | Citing Article:  W10-2906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Smith and Smith (2004 ) consider a similar setting for parsing both English and Korean, but instead of learning a joint model, they consider a fixed combination of two parsers and a word aligner.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A second filter we consider is to keep only the (remaining) bilingual constituents corresponding to an English head word’s maximal span.</S><S sid = NA ssid = NA>Consider the problem of parsing a language L for which annotated resources like treebanks are scarce.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3207.txt | Citing Article:  D07-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported under a National Science Foundation Graduate Research Fellowship and a Fannie and John Hertz Foundation Fellowship.</S><S sid = NA ssid = NA>6 When we combine the PCFG with the other models to do joint bilingual parsing, we simply use the logs of the PCFG probabilities as if they were log-linear weights.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3207.txt | Citing Article:  W05-0807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Another distinct body of work addresses the problem of parser bootstrapping based on syntactic dependency projection (e.g. Hwa et al 2002), often using approaches based in synchronous parsing (e.g. Smith and Smith, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Following Hwa et al. (2002), we looked at dependency links in the true English parses from the KTB where both the dependent and the head were linked to words on the Korean side using the intersection alignment.</S><S sid = NA ssid = NA>Fox (2002) has considered English and French, and Hwa et al. (2002) investigate Chinese and English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3207.txt | Citing Article:  H05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The lattice-conditional estimation approach was first used by Kudo et al (2004) for Japanese segmentation and hierarchical POS-tagging and by Smith and Smith (2004) for Korean morphological disambiguation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In order to experiment easily with different algorithms, we implemented all the morphological disambiguation and parsing models in this paper in Dyna, a new language for weighted dynamic programming (Eisner et al., 2004).</S><S sid = NA ssid = NA>Improved English parsers—such as Collins’ models—have also been implemented in Dyna, the dynamic programming framework used here (Eisner et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3207.txt | Citing Article:  H05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar results were presented by Smith and Smith (2004), using a similar estimation strategy with a model that included far more feature templates.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The feature templates used by our model are shown in Table 2.</S><S sid = NA ssid = NA>The first feature corresponds to the fully-described child-generation event; others are similar but less informative.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3207.txt | Citing Article:  H05-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Smith and Smith (2004) applied factored estimation to a bilingual weighted grammar, driven by data limitations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Bilingual Parsing With Factored Estimation: Using English To Parse Korean</S><S sid = NA ssid = NA>The model used for parsing is completely factored into the two parsers and the TM, allowing separate parameter estimation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3207.txt | Citing Article:  D11-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In our case, the weak signals come from aligned source and target sentences, and the agreement in their corresponding parses, which is similar to posterior regularization or the bilingual view of Smith and Smith (2004) and Burkett et al (2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since the IBM models only hypothesize one-to-many alignments from target to source, we trained using each side of the bitext as source and target in turn.</S><S sid = NA ssid = NA>The output of our bilingual parser contains three types of constituents: English-only (aligned to 0), Korean-only (aligned to 0), and bilingual.</S> | Discourse Facet:  NA | Annotator: Automatic


