Citance Number: 1 | Reference Article:  W03-1809.txt | Citing Article:  W03-1812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bannard et al (2003) extended this research in looking explicitly at the task of classifying verb-particles as being compositional or not.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similarly to this research, McCarthy et al. in part used the similarity measure of Lin (1998a) to model compositionality, e.g., in taking the top N similar words to each VPC and looking at overlap with the top N similar words to the head verb.</S><S sid = NA ssid = NA>A Statistical Approach To The Semantics Of Verb-Particles</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W03-1809.txt | Citing Article:  W06-1207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bannard (2005), extending work by Bannard et al (2003), instead considers the extent to which the verb and particle each contribute semantically to the VPC.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first of these loosely followed Lin in measuring the extent to which the component verb or particle of any VPC could be replaced with items of a similar semantic class to form a corpusattested VPC; WordNet (Miller et al., 1990) was used as the source for verb substitution candidates, and a hand-build semantic taxonomy for particles.</S><S sid = NA ssid = NA>Baldwin et al. (2003) use LSA as a technique for analysing the compositionality (or decomposability) of a given MWE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W03-1809.txt | Citing Article:  C10-2144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Semantically, the compositionality of MWEs is gradual, ranging from fully com positional to idiomatic (Bannard et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Baldwin et al. (2003) use LSA as a technique for analysing the compositionality (or decomposability) of a given MWE.</S><S sid = NA ssid = NA>McCarthy et al. (2003) carry out research close in spirit to that described here, in taking VPC tokens automatically extracted from the BNC and using an automatically acquired thesaurus to classify their relative compositionality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W03-1809.txt | Citing Article:  W05-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bannard et al (2003), on the other hand, look at the separate contribution of the verb and particle, but assume that a binary decision on the compositionality of each is sufficient.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Baldwin et al. (2003) use LSA as a technique for analysing the compositionality (or decomposability) of a given MWE.</S><S sid = NA ssid = NA>Bannard (2002) used a combination of hand-built thesauri and corpus statistics to explore the compositionality of VPCs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W03-1809.txt | Citing Article:  W06-2110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then implemented four different techniques and showed that they offer a significant improvement over a naive approach.</S><S sid = NA ssid = NA>Rather than intervene to customise example sentences to a prescribed sense, we accepted whatever composition of senses random sampling produced.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W03-1809.txt | Citing Article:  H05-1113.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They do not fall cleanly into mutually exclusive classes, but populate the continuum between the two extremes (Bannard et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The unique challenge posed by MWEs for empirical NLP is precisely that they do not fall cleanly into the binary classes of compositional and non-compositional expressions, but populate a continuum between the two extremes.</S><S sid = NA ssid = NA>Baldwin et al. (2003) use LSA as a technique for analysing the compositionality (or decomposability) of a given MWE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W03-1809.txt | Citing Article:  W03-1808.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Possible alternatives for dealing with this issue are discussed by both Bannard et al (2003) and McCarthy et al (2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Baldwin et al. (2003) use LSA as a technique for analysing the compositionality (or decomposability) of a given MWE.</S><S sid = NA ssid = NA>McCarthy et al. (2003) carry out research close in spirit to that described here, in taking VPC tokens automatically extracted from the BNC and using an automatically acquired thesaurus to classify their relative compositionality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W03-1809.txt | Citing Article:  W06-1202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Bannard et al (2003) tested techniques using statistical models to infer the meaning of verb-particle constructions (VPCs), focus 2 In this lexicon, many MWEs are encoded as templates,.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then go on to report on the implementation of some techniques for using statistical models acquired from corpus data to infer the meaning of verb-particle constructions.</S><S sid = NA ssid = NA>The task was to predict whether the verb and/or the particle were contributing meaning to a given item, using statistical analysis of a set of VPCs extracted from the Wall Street Journal section of the Penn Treebank (Marcus et al., 1993).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W03-1809.txt | Citing Article:  D10-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We then implemented four different techniques and showed that they offer a significant improvement over a naive approach.</S><S sid = NA ssid = NA>Rather than intervene to customise example sentences to a prescribed sense, we accepted whatever composition of senses random sampling produced.</S> | Discourse Facet:  NA | Annotator: Automatic


