Citance Number: 1 | Reference Article:  P07-1031.txt | Citing Article:  P14-2131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For WSJ parsing, we use the standard train (02-21) / dev (22) / test (23) split and apply the NP bracketing patch by Vadas and Curran (2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When they shuffled their data with Lauer’s to create a new test and training split, their accuracy increased to 83.1% which may be a result of the 10% duplication in Lauer’s test set.</S><S sid = NA ssid = NA>Girju et al. (2005) draw a training set from raw WSJ text and use it to train a decision tree classifier achieving 73.1% accuracy.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>PropBank (Palmer et al, 2005) is used as a gold-standard to inform these decisions, similar to the way that we use the Vadas and Curran (2007a) data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Girju et al. (2005) draw a training set from raw WSJ text and use it to train a decision tree classifier achieving 73.1% accuracy.</S><S sid = NA ssid = NA>With our new data set, we began running experiments similar to those carried out in the literature (Nakov and Hearst, 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This section describes the process of converting the Vadas and Curran (2007a) data to CCG derivations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For instance, CCGbank (Hockenmaier, 2003) was created by semi-automatically converting the Treebank phrase structure to Combinatory Categorial Grammar (CCG) (Steedman, 2000) derivations.</S><S sid = NA ssid = NA>Since CCG derivations are binary branching, they cannot directly represent the flat structure of the Penn Treebank base-NPs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This simple heuristic captures NP structure not explicitly annotated by Vadas and Curran (2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We found however, that while there are certainly difficult cases, the vast majority are quite simple and can be annotated reliably.</S><S sid = NA ssid = NA>Base-NP structure is also important for annotated data derived from the Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vadas and Curran (2007a) describe using NE tags during the annotation process, suggesting that NER based features will be helpful in a statistical model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The best model in this case comes from using all the features.</S><S sid = NA ssid = NA>We ran the tool over the original corpus, following NE-based suggestions where possible.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P07-1031.txt | Citing Article:  P08-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vadas and Curran (2007a) experienced a similar drop in performance on Penn Tree bank data, and noted that the F-score for NML and JJP brackets was about 20% lower than the overall figure.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The performance on only the new NML and JJP brackets is not very high.</S><S sid = NA ssid = NA>Table 8 shows that the new brackets make parsing marginally more difficult overall (by about 0.5% in F-score).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P07-1031.txt | Citing Article:  C10-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recent annotations by Vadas and Curran (2007a) added NP structure to the PTB.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We also give an analysis of our extended Treebank, quantifying how much structure we have added, and how it is distributed across NPs.</S><S sid = NA ssid = NA>We find there are 32772 NP children, and 579 ADJP, which are quite similar numbers to the amount of nodes we have added.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P07-1031.txt | Citing Article:  C10-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, the precision on NML and JJP constituents was quite high, so the parser is able to identify at least some of the structure very well.</S><S sid = NA ssid = NA>The label of the newly created constituent is NML or JJP, depending on whether its head is a noun or an adjective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P07-1031.txt | Citing Article:  C10-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our training and testing data are derived from recent annotations by Vadas and Curran (2007a).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Base-NP structure is also important for annotated data derived from the Penn Treebank.</S><S sid = NA ssid = NA>We present two configurations in Table 7: training on our corpus and testing on Lauer’s set; and performing 10-fold cross validation using our corpus alone.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P07-1031.txt | Citing Article:  C10-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vadas and Curran (2007a) annotated NP-internal structure by adding annotations whenever there is a left-bracketing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Adding Noun Phrase Structure to the Penn Treebank</S><S sid = NA ssid = NA>With a large annotated corpus, we can now run supervised NP bracketing experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P07-1031.txt | Citing Article:  C10-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, the precision on NML and JJP constituents was quite high, so the parser is able to identify at least some of the structure very well.</S><S sid = NA ssid = NA>The label of the newly created constituent is NML or JJP, depending on whether its head is a noun or an adjective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P07-1031.txt | Citing Article:  C10-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, the precision on NML and JJP constituents was quite high, so the parser is able to identify at least some of the structure very well.</S><S sid = NA ssid = NA>The label of the newly created constituent is NML or JJP, depending on whether its head is a noun or an adjective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P07-1031.txt | Citing Article:  C10-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the other hand, the precision on NML and JJP constituents was quite high, so the parser is able to identify at least some of the structure very well.</S><S sid = NA ssid = NA>The label of the newly created constituent is NML or JJP, depending on whether its head is a noun or an adjective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P07-1031.txt | Citing Article:  C10-1100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use Vadas and Curran (2007a)'s annotations (Section 3) to create training, development and testing data for base NPs, using standard splits of the Penn Treebank (Table 1).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Base-NP structure is also important for annotated data derived from the Penn Treebank.</S><S sid = NA ssid = NA>The following NP is an example of the flat structure of base-NPs within the Penn Treebank:</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P07-1031.txt | Citing Article:  P11-3013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Due to the annotation and work of Vadas and Curran (2007a; 2007b; 2008), we are now able to create Natural Language Processing (NLP) systems that take advantage of the internal structure of noun phrases in the Penn Treebank.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The Penn Treebank (Marcus et al., 1993) is perhaps the most influential resource in Natural Language Processing (NLP).</S><S sid = NA ssid = NA>Unfortunately, the Penn Treebank does not annotate the internal structure of base noun phrases, instead leaving them flat.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P07-1031.txt | Citing Article:  P11-3013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Vadas' internal noun phrase structure has been used in previous work on constituent parsing using Collins parser (Vadas and Curran, 2007c), but has yet to be analyzed for its effects on dependency parsing.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Adding Noun Phrase Structure to the Penn Treebank</S><S sid = NA ssid = NA>We use Bikel’s implementation (Bikel, 2004) of Collins’ parser (Collins, 1999) in order to carry out these experiments, using the non-deficient Collins settings.</S> | Discourse Facet:  NA | Annotator: Automatic


