Citance Number: 1 | Reference Article:  J86-3001.txt | Citing Article:  P89-1030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As a discourse progresses, an adequate discourse model must represent the relevant entities, and the relationships between them (Grosz and Sidner, 1986), A speaker may then felicitously refer anaphorically to an object (subject to focusing or centering constraints (Grosz et al, 1983, Sidner 1981, 1983, Brennan et al 1987)) if there is an existing DE representing it, or if a corresponding DE may be directly inferred from an existing DE.</S> | Reference Offset:  ['37','162'] | Reference Text:  <S sid = 37 ssid = >The theory is a further development and integration of two lines of research: work on focusing in discourse (Grosz 1978a, 1978b, 1981) and more recent work on intention recognition in discourse (Sidner and Israel 1981; Sidner 1983; 1985; Allen 1983, Litman 1985; Pollack 1986).</S><S sid = 162 ssid = >Reichman-Adar 1984, Schank et al. 1982, Mann and Thompson 1983), nor on the particulars of individual intentions.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J86-3001.txt | Citing Article:  W12-3205.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This belief that different aspects of discourse would be related, is what led Grosz and Sidner (1986b) to propose a theory that linked what they called the intentional structure of discourse, with its linguistic structure and with the reader or listener's cognitive attentional structure.</S> | Reference Offset:  ['2','14'] | Reference Text:  <S sid = 2 ssid = >In this theory, discourse structure is composed of three separate but interrelated components: the structure of the sequence of utterances (called the linguistic structure), a structure of purposes (called the intentional structure), and the state of focus of attention (called the attentional state).</S><S sid = 14 ssid = >In this theory, discourse structure is composed of three separate but interrelated components: the structure of the sequence of utterances (called the linguistic structure), a structure of purposes (called the intentional structure), and the state of focus of attention (called the attentional state).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J86-3001.txt | Citing Article:  P06-2097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As Grosz and Sidner (Grosz and Sidner, 1986) pointed out, cue phrases such as now and well serve to indicate a topic change.</S> | Reference Offset:  ['568','586'] | Reference Text:  <S sid = 568 ssid = >We examine several changes and the cue phrases that can indicate each of them.</S><S sid = 586 ssid = >There are cue phrases that announce one and only one kind of change.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J86-3001.txt | Citing Article:  C04-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Indeed, the COLLAGEN architecture, like that of the Queen's Communicator, manages discourse using a focus stack, a classical idea in the theory of discourse structure (Grosz and Sidner, 1986).</S> | Reference Offset:  ['186','225'] | Reference Text:  <S sid = 186 ssid = >The focusing structure is a stack.</S><S sid = 225 ssid = >It is rather that one objective of discourse theory (not a topic considered here, however) is to explain how the OCP builds up a model of the task structure by using information supplied in the discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J86-3001.txt | Citing Article:  N04-4035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This structure, in turn, identifies domains for interpretation; many systems for anaphora resolution rely on some notion of locality (Grosz and Sidner, 1986).</S> | Reference Offset:  ['168','259'] | Reference Text:  <S sid = 168 ssid = >We use the term determination to refer to a semantic-like notion, namely, the complete specification of what is intended by whom; we use the term recognition to refer to a processing notion, namely, the processing that leads a discourse participant to identify what the intention is.</S><S sid = 259 ssid = >We turn to these matters directly in Subsection 4.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J86-3001.txt | Citing Article:  W06-1309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Examples of such models and their implementation are the information state-update approach (an implemented system is described in (Larsson, 2002)), or more linguistically oriented approaches like the adjacency-pair models or intentional models such as GROSZ and SIDNER's (see (Grosz and Sidner, 1986)).</S> | Reference Offset:  ['341','533'] | Reference Text:  <S sid = 341 ssid = >Pollack (1986) describes several properties such theories and models must possess if they are to be adequate for supporting recognition of intention in single-utterance queries; she shows how current Al planning models are inadequate and proposes an alternative planning formalism.</S><S sid = 533 ssid = >In either of these two models, however, FSBill would be the space returned to first.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J86-3001.txt | Citing Article:  C04-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >DAR presupposes the discourse structure described by Grosz and Sidner (1986).</S> | Reference Offset:  ['37','646'] | Reference Text:  <S sid = 37 ssid = >The theory is a further development and integration of two lines of research: work on focusing in discourse (Grosz 1978a, 1978b, 1981) and more recent work on intention recognition in discourse (Sidner and Israel 1981; Sidner 1983; 1985; Allen 1983, Litman 1985; Pollack 1986).</S><S sid = 646 ssid = >In Section 4 we described certain constraints on the recognition process.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J86-3001.txt | Citing Article:  W99-0112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to cover coreference over discourse segments the centering model was extended by a stack mechanism (Grosz and Sidner, 1986).</S> | Reference Offset:  ['437','519'] | Reference Text:  <S sid = 437 ssid = >One such mechanism is centering (which we previously called immediate focusing; Grosz, Joshi, and Weinstein 1983; Sidner 1979).</S><S sid = 519 ssid = >Flashbacks are also distinct from normally embedded discourses because of the precedence relationship between the DSPs for the two segments and the order in which the segments occur.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J86-3001.txt | Citing Article:  W99-0112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since a more general theory to referring expressions is needed, an extension is presented by Grosz and Sidner (1986).</S> | Reference Offset:  ['114','721'] | Reference Text:  <S sid = 114 ssid = >Referring expressions provide the primary example of this effect.3 The segmentation of discourse constrains the use of referring expressions by delineating certain points at which there is a significant change in what entities (objects, properties, or relations) are being discussed.</S><S sid = 721 ssid = >The theory of discourse structure presented in this paper is a generalization of theories of task-oriented dialogues.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J86-3001.txt | Citing Article:  W11-0506.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This message constitutes the primary communicative or dis course goal (Grosz and Sidner, 1986) of the graphic and captures its main contribution to the overall dis course goal of the entire document.</S> | Reference Offset:  ['38','339'] | Reference Text:  <S sid = 38 ssid = >Our goal has been to generalize these constructs properly to a wide range of discourse types.</S><S sid = 339 ssid = >An adequate computational model of the recognition process depends critically on an adequate theory of intention and action; this, of course, is a large research problem in itself and one not restricted to matters of discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J86-3001.txt | Citing Article:  W08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Therefore, it is appropriate to close the initial summary with propositions from the computational class so that the whole graphic is in the user's focus of attention (Grosz and Sidner, 1986).</S> | Reference Offset:  ['34','60'] | Reference Text:  <S sid = 34 ssid = >Copyright 1986 by the Association for Computational Linguistics.</S><S sid = 60 ssid = >Whether one constructs a computer system that can participate in a discourse (i.e., one that is a language user) or defines a psychological theory of language use, the task will require the appropriate projection of this abstract model onto properties of a language user, and specification of additional details (e.g., specifying memory for linguistic structure, means for encoding attentional state, and appropriate representations of intentional structure).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J86-3001.txt | Citing Article:  W04-2318.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >structure of discourse segment purposes in the view of (Grosz and Sidner, 1986).</S> | Reference Offset:  ['132','482'] | Reference Text:  <S sid = 132 ssid = >The kinds of intentions that can serve as discourse purposes or discourse segment purposes are distinguished from other intentions by the fact that they are intended to be recognized (cf.</S><S sid = 482 ssid = >It is not necessary to relate these two; indeed, from an intuitive point of view, they are not related.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J86-3001.txt | Citing Article:  W04-2906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This structure, in turn, identifies domains for interpretation; many systems for anaphora resolution rely on some notion of locality (Grosz and Sidner, 1986).</S> | Reference Offset:  ['168','259'] | Reference Text:  <S sid = 168 ssid = >We use the term determination to refer to a semantic-like notion, namely, the complete specification of what is intended by whom; we use the term recognition to refer to a processing notion, namely, the processing that leads a discourse participant to identify what the intention is.</S><S sid = 259 ssid = >We turn to these matters directly in Subsection 4.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J86-3001.txt | Citing Article:  E93-1028.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recognizing the structure of text is an essential task in text understanding. [GroszandSidner, 1986].</S> | Reference Offset:  ['233','237'] | Reference Text:  <S sid = 233 ssid = >To illustrate the basic theory we have just sketched, we will give a brief analysis of two kinds of discourse: an argument from a rhetoric text and a task-oriented dialogue.</S><S sid = 237 ssid = >Our first example is an argument taken from a rhetoric text (Holmes and Gallagher 19176).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J86-3001.txt | Citing Article:  P07-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Third, the knowledge of textual structure helps to interpret the meaning of entities in a text (Grosz and Sidner 1986).</S> | Reference Offset:  ['333','632'] | Reference Text:  <S sid = 333 ssid = >Moreover, they are also related: the intentional structure is a primary factor in determining focus space changes, and the focus space structure helps constrain the intention recognition process.</S><S sid = 632 ssid = >Although the intentional structure of a discourse plays a role in determining discourse meaning, the DP/DSPs do not in and of themselves constitute discourse segment meaning.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J86-3001.txt | Citing Article:  W01-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Grosz and Sidner (1986) proposed a theory of discourse structure to account for why an utterance was said and what was meant by it.</S> | Reference Offset:  ['26','28'] | Reference Text:  <S sid = 26 ssid = >By specifying the basic units a discourse comprises and the ways in which they can relate, a proper account of discourse structure provides the basis for an account of discourse meaning.</S><S sid = 28 ssid = >An account of discourse structure is closely related to two questions: What individuates a discourse?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J86-3001.txt | Citing Article:  W01-1621.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We start by discussing the work of Grosz and Sidner (1986), which ties speaker's intentions to linguistic structure.</S> | Reference Offset:  ['37','280'] | Reference Text:  <S sid = 37 ssid = >The theory is a further development and integration of two lines of research: work on focusing in discourse (Grosz 1978a, 1978b, 1981) and more recent work on intention recognition in discourse (Sidner and Israel 1981; Sidner 1983; 1985; Allen 1983, Litman 1985; Pollack 1986).</S><S sid = 280 ssid = >For the purposes of discussing this example, though, we need to postulate two properties of the relationships among the participants' intentions.</S> | Discourse Facet:  NA | Annotator: Automatic


