Citance Number: 1 | Reference Article:  C02-1114.txt | Citing Article:  N03-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This problem is addressed by Riloff and Shepherd (1997), Roark and Charniak (1998) and more recently byWiddows and Dorow (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(The first 4 cat egories are also used by (Riloff and Shepherd, 1997) and (Roark and Charniak, 1998) and so were included for comparison.)</S><S sid = NA ssid = NA>Riloff and Shepherd (1997) also give some credit for ?related words?</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C02-1114.txt | Citing Article:  P08-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The work by (Widdows and Dorow, 2002) on lexical acquisition is similar to ours because they also use graph structures to learn semantic classes.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Most work on automatic lexical acquisition has been based at some point on the notion of semantic similarity.</S><S sid = NA ssid = NA>A Graph Model For Unsupervised Lexical Acquisition</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C02-1114.txt | Citing Article:  P06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is the same general observation exploited by (Widdows and Dorow, 2002), who try to find graph regions that are more connected internally than externally.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Definition 3 Let G be a graph of words closely related to a seed-word w, and let G \ w be the subgraph which results from the removal of the seed-node w. The connected components of the subgraph G \ w are the senses of the word w with respect to the graph G. As an illustrative example, consider the localgraph generated for the word apple (6).</S><S sid = NA ssid = NA>Definition 2 (Bolloba?s, 1998, Ch 1 ?1) Let G = (V,E) be a graph, where V is the set of vertices (nodes) of G and E ? V ? V is the set of edges of G. ? Two nodes v1, vn are said to be connected if there exists a path {v1, v2, . . .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C02-1114.txt | Citing Article:  P06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The major guideline in this part of the evaluation was to compare our results with previous work having a similar goal (Widdows and Dorow, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Section 2 reviews previous work on semanticsimilarity and lexical acquisition.</S><S sid = NA ssid = NA>5.2 Results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C02-1114.txt | Citing Article:  P06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2 1http://infomap.stanford.edu/graphs 2http://muchmore.dfki.deFigure 1: Automatically generated graph show ing the word apple and semantically related nouns</S><S sid = NA ssid = NA>This algorithm has been built into an on-line demonstration where the user inputs a givenseed word and can then see the cluster of re lated words being gradually assembled.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C02-1114.txt | Citing Article:  P06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The only difference from the (Widdows and Dorow, 2002) experiment is the usage of pairs rather than single words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The graph model is built by linking pairs of words which participate in particular syntacticrelationships.</S><S sid = NA ssid = NA>We focus on the symmetric relationship between pairs of nouns which occur to gether in lists.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C02-1114.txt | Citing Article:  P06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This was not needed in (Widdows and Dorow, 2002) because they had directly accessed the word graph, which may be an advantage in some applications. The Russian evaluation posed a bit of a problem because the Russian WordNet is not readily available and its coverage is rather small.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>or ?WordNet category?</S><S sid = NA ssid = NA>For a given category, choose a small.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C02-1114.txt | Citing Article:  P06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Fortunately, the subject list is such that WordNet words (Widdows and Dorow, 2002) also reports results for an LSA-based clustering algorithm that are vastly inferior to the pattern-based ones.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>used in these cases was based on co occurrence in lists.</S><S sid = NA ssid = NA>5.2 Results.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C02-1114.txt | Citing Article:  P06-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This metric was reported to be 82% in (Widdows and Dorow, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The LSI similarity thesaurus obtained an accuracy of 31%, much less than the graph model?s 82%.</S><S sid = NA ssid = NA>(Our results are also slightly better than those reported by Riloff and Jones (1999)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C02-1114.txt | Citing Article:  W09-0805.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to identify such useful patterns, for each pattern we build a graph following (Widdows and Dorow, 2002). The graph is constructed from a node for each content word, and a directed arc from the node x to y if the corresponding content words appear in the pattern such that x precedes y.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The best new node is taken to be the node b ? N(A)\A with the highest proportion of links to N(A).</S><S sid = NA ssid = NA>Our full graph contains many directed links between words of different parts of speech.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C02-1114.txt | Citing Article:  W08-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the context of graph-based clustering of words, Widdows and Dorow (2002) used a graph model for unsupervised lexical acquisition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Graph Model For Unsupervised Lexical Acquisition</S><S sid = NA ssid = NA>Most work on automatic lexical acquisition has been based at some point on the notion of semantic similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C02-1114.txt | Citing Article:  W06-1664.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Widdows and Dorow (2002) use a graph model for unsupervised lexical acquisition.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Graph Model For Unsupervised Lexical Acquisition</S><S sid = NA ssid = NA>So far we have presented a graph model built upon noun co-occurrence which performs much better than previously reported methods at the task of automatic lexical acquisition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C02-1114.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to identify symmetric patterns, for each pattern we define a pattern graph G (P), as proposed by (Widdows and Dorow, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Define the ?WordNet class?</S><S sid = NA ssid = NA>The equivalence classes of the graph G un der this relation are called the components of G. We are now in a position to define the senses of a word as represented by a particular graph.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C02-1114.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The concept discovery algorithmis essentially the same as used by (Davidov and Rappoport, 2006) and has some similarity with the one used by (Widdows and Dorow, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since the algorithms used are in many waysvery similar, this improvement demands expla nation.Some of the difference in accuracy can be at tributed to the corpora used.</S><S sid = NA ssid = NA>used in these cases was based on co occurrence in lists.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C02-1114.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have also performed an indirect comparison to (Widdows and Dorow, 2002). While there is a significant number of other related studies on concept acquisition (see Section 2), Most are supervised and/or use language-specific tools.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Section 2 reviews previous work on semanticsimilarity and lexical acquisition.</S><S sid = NA ssid = NA>The same number of nouns was re trieved for each class using the graph model and LSI.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C02-1114.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All of these corpora were also used by (Davidov and Rappoport, 2006) and BNC was used in similar settings by (Widdows and Dorow, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since the algorithms used are in many waysvery similar, this improvement demands expla nation.Some of the difference in accuracy can be at tributed to the corpora used.</S><S sid = NA ssid = NA>Since lists are usually comprised of objects which are similar in some way, these relationships have been used to extract lists of nouns with similar properties (Riloff and Shepherd, 1997) (Roarkand Charniak, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C02-1114.txt | Citing Article:  W09-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This also allows indirect comparison to several other studies, thus (Widdows and Dorow, 2002) reports results for an LSA-based clustering algorithm that are vastly inferior to the pattern-based ones.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>used in these cases was based on co occurrence in lists.</S><S sid = NA ssid = NA>5.2 Results.</S> | Discourse Facet:  NA | Annotator: Automatic


