Citance Number: 1 | Reference Article:  P06-1121.txt | Citing Article:  W06-1606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>If we analyze these three models in terms of expressive power, the Galley et al (2006) model is more expressive than the SPMT models, which in turn, are more expressive than Chiang's model.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>3 Probability models.</S><S sid = NA ssid = NA>For this, we need a formalism that is expressive enough to deal with cases of syntactic divergence between source and target languages (Fox, 2002): for any given (pi, f ,a) triple, it is useful to produce a derivationthat minimally explains the transformation be tween pi and f , while remaining consistent with a. Galley et al (2004) present one such formalism (henceforth ?GHKM?).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P06-1121.txt | Citing Article:  N07-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Syntax-driven (Galley et al, 2006) and hierarchical translation models (Chiang, 2005) take advantage of probabilistic synchronous context free grammars (PSCFGs) to represent structured, lexical reordering constraints during the decoding process.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>With the notable exception of Poutsma, most related works rely on models that are restricted to synchronous context-free grammars (SCFG).While the state-of-the-art hierarchical SMT system (Chiang, 2005) performs well despite stringent constraints imposed on its context-free gram mar, we believe its main advantage lies in its ability to extract hierarchical rules across phrasal boundaries.</S><S sid = NA ssid = NA>Context-free grammars (such as PennTreebank and Chiang?s grammars) make independence assumptions that are arguably often unrea sonable, but as our work suggests, relaxations of these assumptions by using contextually richer rules results in translations of increasing quality.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P06-1121.txt | Citing Article:  N07-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Galley et al, 2006) use syntactic constituents for the PSCFG nonterminal set and (Zollmann and Venugopal, 2006) take advantage of CCG (Steedman, 1999) categories, while (Chiang, 2005) uses a single generic nonterminal.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>and use p(?)</S><S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P06-1121.txt | Citing Article:  W10-3812.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, the tree-to-string syntax-based transduction approach offers a complete translation framework (Galley et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.1 Tree-to-string alignments.</S><S sid = NA ssid = NA>Syn tactic approaches seek to remedy these problems.In this paper, we take the framework for acquiring multi-level syntactic translation rules of (Gal ley et al, 2004) from aligned tree-string pairs, and present two main extensions of their approach: first, instead of merely computing a single derivation that minimally explains a sentence pair, we constructa large number of derivations that include contextually richer rules, and account for multiple interpretations of unaligned words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1121.txt | Citing Article:  P09-4007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>HR0011 06-C-0022.</S><S sid = NA ssid = NA>2.2 Unaligned words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1121.txt | Citing Article:  P07-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Six MT systems were combined: three (A, C, E) were phrase based similar to (Koehn, 2004), two (B, D) were hierarchical similar to (Chiang, 2005) and one (F) was syntax-based similar to (Galley et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>similar to G, but additionally con taining a word alignment between 7 and ?.</S><S sid = NA ssid = NA>An empirical evaluation against a state-of-the-art SMT system similar to (Och and Ney, 2004) indicates positive prospects.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1121.txt | Citing Article:  P09-2036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this paper, we focus on syntactic translation with tree-transducer rules (Galley et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>5.1 Syntactic translation tables.</S><S sid = NA ssid = NA>In this paper, we developed probability models for the multi-level transfer rules presented in (Galley et al, 2004), showed how to acquire larger rules that crucially condition on more syntactic context, and how to pack multiple derivations, including interpretations of unaligned words, into derivation forests.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1121.txt | Citing Article:  W08-0306.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>GIZA++ union alignments have been used in the state-of-the-art syntax-based statistical MT system described in (Galley et al, 2006) and in the hierarchical phrase-based system Hiero (Chiang, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We compare our syntax-based system against an implementation of the alignment template (AlTemp) approach to MT (Och and Ney, 2004), which is widely considered to represent the state of the art in the field.</S><S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1121.txt | Citing Article:  W08-0306.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Using these alignments, which we refer to as GIZA++ union + link deletion, we train a syntax-based translation system similar to that described in (Galley et al., 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S><S sid = NA ssid = NA>2.1 Tree-to-string alignments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1121.txt | Citing Article:  P11-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Galley et al (2004) initially built a syntax-based system using only minimal rules, and subsequently reported (Galley et al, 2006) that composing rules improves Bleu by 3.6 points, while increasing grammar size 60-fold and decoding time 15-fold.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we show that our contextually richer rules provide a 3.63 BLEU point increase over those of (Galley et al, 2004).</S><S sid = NA ssid = NA>We presented some theoretical argumentsfor not limiting extraction to minimal rules, val idated them on concrete examples, and presented experiments showing that contextually richer rulesprovide a 3.63 BLEU point increase over the min imal rules of (Galley et al, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1121.txt | Citing Article:  W11-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Galley et al (2006 )argued that breaking a single tree pair into multiple decompositions is important for correct probability modeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We contrast our work with (Galley et al, 2004), highlight some severe limitations of probability estimates computed from single derivations, and demonstrate that it is critical to account for many derivations for each sentence pair.</S><S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1121.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Galley et al (2006) proposed the idea of rule composing which composes two or more rules with shared states to form a larger, composed rule.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S><S sid = NA ssid = NA>In the minimal-rule extraction ofGHKM, only three rules are extracted from the example corpus, i.e. rules r2, r3, and r4.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1121.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Galley et al (2006)'s work, Marcu et al (2006) proposed SPMT models to improve the coverage of phrasal rules, and demonstrated that the system performance could be further improved by using their proposed models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S><S sid = NA ssid = NA>3 Probability models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-1121.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As shown in the following parts of this paper, it works very well with the existing techniques, such as rule composing (Galley et al, 2006), SPMT models (Marcu et al, 2006) and rule extraction with k best parses (Venugopal et al, 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S><S sid = NA ssid = NA>Finally, we show that our contextually richer rules provide a 3.63 BLEU point increase over those of (Galley et al, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-1121.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this work, the issue of translation rule extraction is studied in the string-to-tree model proposed by Galley et al (2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.1 Tree-to-string alignments.</S><S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-1121.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, the rule composing method (Galley et al, 2006) is used to compose two or more minimal GHKM or SPMT rules having shared states to form larger rules.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Finally, we show that our contextually richer rules provide a 3.63 BLEU point increase over those of (Galley et al, 2004).</S><S sid = NA ssid = NA>Its rule binarization is described in (Zhang et al, 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-1121.txt | Citing Article:  C10-2154.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our baseline MT system is built based on the string-to-tree model proposed in (Galley et al, 2006).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>2.1 Tree-to-string alignments.</S><S sid = NA ssid = NA>We believe that our tree-to-string model has several advantages over tree-to-tree transformations such as the ones acquired by Poutsma (2000).</S> | Discourse Facet:  NA | Annotator: Automatic


