Citance Number: 1 | Reference Article:  P03-1058.txt | Citing Article:  P06-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To tackle this problem, in one of our recent work (Ng et al, 2003), we had gathered training data from parallel texts and obtained encouraging results in our evaluation on the nouns of SENSEVAL-2 English lexical sample task (Kilgarriff, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated our approach to word sense disambiguation on all the 29 nouns in the English lexical sample task of SENSEVAL-2 (Edmonds and Cotton, 2001; Kilgarriff 2001).</S><S sid = NA ssid = NA>We evaluated our approach on all the nouns in the English lexical sample task of SENSEVAL-2 (Edmonds and Cotton, 2001; Kilgarriff 2001), which used the WordNet 1.7 sense inventory (Miller, 1990).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P03-1058.txt | Citing Article:  D10-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There is a growing number of methods that use data available in one language to build text processing tools for another language, for diverse tasks such as word sense disambiguation (Ng et al, 2003), syntactic parsing (Hwa et al, 2005), information retrieval (Monz and Dorr, 2005), subjectivity analysis (Mihalcea et al, 2007), and others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It is a fundamental problem in natural language processing (NLP), and the ability to disambiguate word sense accurately is important for applications like machine translation, information retrieval, etc.</S><S sid = NA ssid = NA>Ide et al. (2002) investigated word sense distinctions using parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P03-1058.txt | Citing Article:  W09-1309.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the translation of ambiguous English words Ng et al (2003) made use of the fact that the various senses are often translated differently.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(iii) Truly ambiguous word: Sometimes, a word is truly ambiguous in a particular context, and different translators may translate it differently.</S><S sid = NA ssid = NA>For the 7 nouns that are lumped into one sense (i.e., they are all translated into one Chinese word), we do not perform WSD on these words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1058.txt | Citing Article:  D07-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ng et al (2003) show that it is possible to use automatically word aligned parallel corpora to train accurate supervised WSD models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this step, parallel texts are first sentence-aligned and then word-aligned.</S><S sid = NA ssid = NA>Ide et al. (2002) investigated word sense distinctions using parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1058.txt | Citing Article:  D10-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, (Ng et al, 2003) report a research study which uses an English-Chinese parallel corpus in order to extract sense-tagged training data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we reported an empirical study to evaluate an approach of automatically acquiring sense-tagged training data from English-Chinese parallel corpora, which were then used for disambiguating the nouns in the SENSEVAL-2 English lexical sample task.</S><S sid = NA ssid = NA>In this paper, we address the above issues and report our findings, exploiting the English-Chinese parallel corpora in Table 2 for word sense disambiguation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1058.txt | Citing Article:  P06-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research is partially supported by a research grant R252-000-125-112 from National University of Singapore Academic Research Fund.</S><S sid = NA ssid = NA>We rely on two sources to decide on the sense classes of w: (i) The sense definitions in WordNet 1.7, which lists seven senses for the noun channel.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1058.txt | Citing Article:  W06-2505.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similarly, Ng et al (2003) employ English Chinese parallel word aligned corpora to identify a repository of senses for English.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this step, parallel texts are first sentence-aligned and then word-aligned.</S><S sid = NA ssid = NA>In the output of GIZA++, each English word token is aligned to some Chinese word token.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1058.txt | Citing Article:  W06-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, Ng et al (2003) proposed to train a classifier on sense examples acquired from word-aligned English-Chinese parallel corpora.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, six English-Chinese parallel corpora are now available from Linguistic Data Consortium.</S><S sid = NA ssid = NA>After word alignment, each 3-sentence context in English containing an occurrence of the noun w that is aligned to a selected Chinese translation then forms a training example.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1058.txt | Citing Article:  H05-1097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ng et al (2003) address word sense disambiguation by manually annotating WordNet senses with their translation in the target language (Chinese), and then automatically extracting labeled examples for word sense disambiguation by applying the IBM Models to a bilingual corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>By defining sense distinction in terms of different target translations, the outcome of word sense disambiguation of a source language word is the selection of a target word, which directly corresponds to word selection in machine translation.</S><S sid = NA ssid = NA>Given a word-aligned parallel corpus, the different translations in a target language serve as the “sense-tags” of an ambiguous word in the source language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1058.txt | Citing Article:  W09-2413.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, some studies present multilingual WSD systems that attain state-of-the-art performance in all-words disambiguation (Ng et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our previous research demonstrated that such an approach leads to a state-of-the-art WSD program with good performance.</S><S sid = NA ssid = NA>Our present work can be similarly extended beyond bilingual corpora to multilingual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1058.txt | Citing Article:  I05-2021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, Ng et al (2003) showed that it is possible to use word aligned parallel corpora to train accurate supervised WSD models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this step, parallel texts are first sentence-aligned and then word-aligned.</S><S sid = NA ssid = NA>Ide et al. (2002) investigated word sense distinctions using parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1058.txt | Citing Article:  C08-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ng et al (2003) extend this approach further and demonstrate that it is feasible for large scale WSD.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, large-scale, good-quality parallel corpora have recently become available.</S><S sid = NA ssid = NA>The lack of large-scale parallel corpora no doubt has impeded progress in this direction, although attempts have been made to mine parallel corpora from the Web (Resnik, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1058.txt | Citing Article:  C08-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike Ng et al (2003) our algorithm works on monolingual corpora, which are much more abundant than parallel ones, and is fully automatic.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The parallel text alignment approach works well for nature and sense, among these nouns.</S><S sid = NA ssid = NA>Ide et al. (2002) investigated word sense distinctions using parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1058.txt | Citing Article:  W07-2054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To gather examples from these parallel corpora, we followed the approach in (Ng et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Next, we randomly selected 10 sets of training examples from the parallel corpora, such that the number of training examples in each sense followed the official training set of w. (When there were insufficient training examples for a sense, we just used as many as we could find from the parallel corpora.)</S><S sid = NA ssid = NA>Ide et al. (2002) investigated word sense distinctions using parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1058.txt | Citing Article:  P05-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For instance, Ng et al (2003) showed that it is possible to use word aligned parallel corpora to train accurate supervised WSD models.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this step, parallel texts are first sentence-aligned and then word-aligned.</S><S sid = NA ssid = NA>Ide et al. (2002) investigated word sense distinctions using parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1058.txt | Citing Article:  W07-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To gather examples from parallel corpora, we followed the approach in (Ng et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Next, we randomly selected 10 sets of training examples from the parallel corpora, such that the number of training examples in each sense followed the official training set of w. (When there were insufficient training examples for a sense, we just used as many as we could find from the parallel corpora.)</S><S sid = NA ssid = NA>Ide et al. (2002) investigated word sense distinctions using parallel corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1058.txt | Citing Article:  W07-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As described in (Ng et al, 2003), when several senses of an English word are translated by the same Chinese word, we can collapse these senses to obtain a coarser-grained, lumped sense inventory.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Two senses are lumped together if they are translated in the same way in Chinese.</S><S sid = NA ssid = NA>For example, sense 1 and 7 of channel are both translated as “频道” in Chinese, so these two senses are lumped together.</S> | Discourse Facet:  NA | Annotator: Automatic


