Citance Number: 1 | Reference Article:  P03-1022.txt | Citing Article:  W03-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Consider the following example (see Figure 1 for an illustration): In recent work dealing with pronoun resolution in spoken dialogue (Strube and Muller, 2003), different types of expressions (noun phrases, verb phrases, whole utterances and disfluencies) had to be annotated.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>On the top level, different types of markables are distinguished: NPmarkables identify referring expressions like noun phrases, pronouns and proper names.</S><S sid = NA ssid = NA>Disfluency-markables are noun phrases or pronouns which occur in unfinished or abandoned utterances.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P03-1022.txt | Citing Article:  W07-1523.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P03-1022.txt | Citing Article:  E09-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1022.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1022.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Strube and Mu?ller (2003) propose a similar idea, but aim instead at finding a subset of the available features with which the resulting coreference classifier yields the best clustering-level accuracy on held-out data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The baseline model performs very well on this data set (the low recall figure is due to the fact that the 3mf data set contains only a small subset of the coreference links expected by the evaluation).</S><S sid = NA ssid = NA>We again choose the best performing classifier and add the corresponding new feature to the model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1022.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1022.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1022.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1022.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1022.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1022.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This suggests that a robust model of discourse structure could complement current robust interpretation systems, which tend to focus on only one aspect of the semantically ambiguous material, such as pronouns (e.g., Strube and Muller (2003)), definite descriptions (e.g., Vieira and Poesio (2000)), or temporal expressions (e.g., Wiebe et al (1998)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We believe that our system is more robust than hers and that it can more easily be ported to new domains.</S><S sid = NA ssid = NA>This paper describes the extensions and adaptations needed for applying our anaphora resolution system (M¨uller et al., 2002; Strube et al., 2002) to pronoun resolution in spoken dialogue.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1022.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1022.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1022.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1022.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1022.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1022.txt | Citing Article:  W05-0613.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Susanne Wilhelm and Lutz Wind for doing the annotations, Kerstin Sch¨urmann, Torben Pastuch and Klaus Rothenh¨ausler for helping with the data preparation.</S><S sid = NA ssid = NA>The work presented here has been partially funded by the German Ministry of Research and Technology as part of the EMBASSI project (01 IL 904 D/2) and by the Klaus Tschira Foundation.</S> | Discourse Facet:  NA | Annotator: Automatic


