Citance Number: 1 | Reference Article:  C92-2070.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['82','264'] | Reference Text:  <S sid = 82 ssid = >The one miselassified case had a low score for all models, indicating a lack of confidence in any classification.</S><S sid = 264 ssid = >OF COL1NG-92, NANrFES, AUG. 23-28, 1992</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C92-2070.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In fact, Yarowsky (1992) falls below the baseline for one of the twelve words (issue), although perhaps, we needn't be too concerned about this one deviation.</S> | Reference Offset:  ['152','246'] | Reference Text:  <S sid = 152 ssid = >taste, issue, duty and sentence).</S><S sid = 246 ssid = >(Special Issue).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C92-2070.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['82','264'] | Reference Text:  <S sid = 82 ssid = >The one miselassified case had a low score for all models, indicating a lack of confidence in any classification.</S><S sid = 264 ssid = >OF COL1NG-92, NANrFES, AUG. 23-28, 1992</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C92-2070.txt | Citing Article:  A97-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Semantic tags are assigned from on-line thesauras like WordNet (Basili et al 1996) (Resnik, 1995), Roget's categories (Yarowsky 1992) (Chen and Chen, 1996), the Japanese BGH (Utsuro et al 1993), or assigned manually (Basili et al 1992) 1.</S> | Reference Offset:  ['107','183'] | Reference Text:  <S sid = 107 ssid = >DUTY (Gale et el, 1992: 96%) Obligation DUTY 347 96% Tax PRICE.Iq:~.</S><S sid = 183 ssid = >Others such as Lesk (1986), Walker (1987), Veronis and Ide (1990), and Guthrie et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C92-2070.txt | Citing Article:  P05-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yarowsky (1992) used Roget's Thesaurus categories as classes for word senses.</S> | Reference Offset:  ['9','33'] | Reference Text:  <S sid = 9 ssid = >For the purposes of this study, we will define the senses of a word as the categories li ted for that word in Rogers International Thesaurus (Fourth Edition - Chapman, 1977).</S><S sid = 33 ssid = >For each of the 1042 Roget Categories: 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C92-2070.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['82','264'] | Reference Text:  <S sid = 82 ssid = >The one miselassified case had a low score for all models, indicating a lack of confidence in any classification.</S><S sid = 264 ssid = >OF COL1NG-92, NANrFES, AUG. 23-28, 1992</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C92-2070.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The best examples of this approach has been the resent work of Yarowsky (Yarowsky, 1992), (Yarowsky, 1993), (Yarowsky, 1995).</S> | Reference Offset:  ['135','234'] | Reference Text:  <S sid = 135 ssid = >Gale, Church and Yarowsky (1992) reported 92% accuracy, also on 2-way distinctions.</S><S sid = 234 ssid = >Gale, William, Kenneth Church, and David Yarowsky (1992), "A Method for Disarnbiguating Word S~ses in ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C92-2070.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Much of the research in this area has been compromised by the fact that researchers have focused on lexical ambiguities that are not true word sense distinctions, such as words translated differently across two languages (Gale, Church, and Yarowsky, 1992) or homophones (Yarowsky, 1993).</S> | Reference Offset:  ['135','234'] | Reference Text:  <S sid = 135 ssid = >Gale, Church and Yarowsky (1992) reported 92% accuracy, also on 2-way distinctions.</S><S sid = 234 ssid = >Gale, William, Kenneth Church, and David Yarowsky (1992), "A Method for Disarnbiguating Word S~ses in ?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C92-2070.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pragmatic domain codes can be used to disambiguate (usually nominal) senses, as was shown by (Bruce and Guthrie, 1992) and (Yarowsky, 1992).</S> | Reference Offset:  ['73','135'] | Reference Text:  <S sid = 73 ssid = >This range was shown by Gale, Church and Yarowsky (1992) to be useful for this type of broad topic classification, in contrast to the relatively narrow (+3-6 word) window used in previous studies (e.g.</S><S sid = 135 ssid = >Gale, Church and Yarowsky (1992) reported 92% accuracy, also on 2-way distinctions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C92-2070.txt | Citing Article:  W97-0208.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['82','264'] | Reference Text:  <S sid = 82 ssid = >The one miselassified case had a low score for all models, indicating a lack of confidence in any classification.</S><S sid = 264 ssid = >OF COL1NG-92, NANrFES, AUG. 23-28, 1992</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C92-2070.txt | Citing Article:  W97-0213.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Some clusters of studies have used common test suites, most notably the 2094-word Hne data of Leacock et al (1993), shared by Lehman (1994) and Mooney (1996) and evaluated on the system of Gale, Church and Yarowsky (1992).</S> | Reference Offset:  ['73','135'] | Reference Text:  <S sid = 73 ssid = >This range was shown by Gale, Church and Yarowsky (1992) to be useful for this type of broad topic classification, in contrast to the relatively narrow (+3-6 word) window used in previous studies (e.g.</S><S sid = 135 ssid = >Gale, Church and Yarowsky (1992) reported 92% accuracy, also on 2-way distinctions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C92-2070.txt | Citing Article:  W07-2096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yarowsky (Yarowsky, 1992) used instead thesauri for their experiments.</S> | Reference Offset:  ['73','135'] | Reference Text:  <S sid = 73 ssid = >This range was shown by Gale, Church and Yarowsky (1992) to be useful for this type of broad topic classification, in contrast to the relatively narrow (+3-6 word) window used in previous studies (e.g.</S><S sid = 135 ssid = >Gale, Church and Yarowsky (1992) reported 92% accuracy, also on 2-way distinctions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C92-2070.txt | Citing Article:  P98-2180.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The massive network of inverted semrel structures contained in MindNet invalidates the criticism leveled against dictionary-based methods by Yarowsky (1992) and Ide and Veronis (1993) that LKBs created from MRDs provide spotty coverage of a language at best.</S> | Reference Offset:  ['183','203'] | Reference Text:  <S sid = 183 ssid = >Others such as Lesk (1986), Walker (1987), Veronis and Ide (1990), and Guthrie et al.</S><S sid = 203 ssid = >Until more diverse, large bilingual corpora become available, the coverage of these methods will remain limited.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C92-2070.txt | Citing Article:  P98-2180.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Syntagmatic strategies for determining similarity have often been based on statistical analyses of large corpora that yield clusters of words occurring in similar bigram and trigram contexts (e.g., Brown et al 1992, Yarowsky 1992), as well as in similar predicate argument structure contexts (e.g., Grishman and Sterling 1994).</S> | Reference Offset:  ['34','154'] | Reference Text:  <S sid = 34 ssid = >Collect contexts which are representative of the Roget category 2.</S><S sid = 154 ssid = >Similar problems occur with the musical senses of bass.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C92-2070.txt | Citing Article:  W11-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As in prior work including B&L, we rely on the intuition that the senses of words are hinted at by their contextual information (Yarowsky, 1992). From the perspective of a generative process, neighboring words of a target are generated by the target's underlying sense.</S> | Reference Offset:  ['14','78'] | Reference Text:  <S sid = 14 ssid = >list of the words in each category.</S><S sid = 78 ssid = >tense classification is based exclusively on otmte~tual information, i dependent of he underlying prd3abillt y of a given Re?el category appearing at any point in the colpos.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C92-2070.txt | Citing Article:  W99-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['82','264'] | Reference Text:  <S sid = 82 ssid = >The one miselassified case had a low score for all models, indicating a lack of confidence in any classification.</S><S sid = 264 ssid = >OF COL1NG-92, NANrFES, AUG. 23-28, 1992</S> | Discourse Facet:  NA | Annotator: Automatic


