Citance Number: 1 | Reference Article:  P94-1012.txt | Citing Article:  E95-1010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In byte-length ratio approaches, the presence of long stretches of blocks that have roughly similar lengths can be problematic, and some improvement can be achieved by augmenting the byte-length measure by scores derived from lexical feature matching (Wu, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The introductory session header exemplifies a weakness of the pure length-based strategy, namely, its susceptibility to long stretches of passages with roughly similar lengths.</S><S sid = NA ssid = NA>To obtain further improvement in alignment accuracy requires matching the passages' lexical content, rather than using pure length criteria.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  P94-1012.txt | Citing Article:  W02-1211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The first sentence alignment model used to align English-Chinese bilingual texts is proposed by Wu (1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We describe our experience with automatic alignment of sentences in parallel English-Chinese texts.</S><S sid = NA ssid = NA>Also, (11, 12) shows an example of a 3-for-1, 1-for-1 sequence that the model has no choice but to align as 2-for-2, 2-for-2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  P94-1012.txt | Citing Article:  W95-0114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use parts of the HKUST English-Chinese Bilingual Corpora for our experiments (Wu 1994), consisting of transcriptions of the Hong Kong Legislative Council debates in both English and Chinese.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have been concentrating on the Hong Kong Hansard, which are the parliamentary proceedings of the Legislative Council (LegCo).</S><S sid = NA ssid = NA>In the first of the following sections, we describe the objectives of the HKUST English-Chinese Parallel Bilingual Corpus, and our progress.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P94-1012.txt | Citing Article:  P03-2040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Work on sentence alignment of English and Chinese texts (Wu 1994), indicates that the lengths of English and Chinese texts are not as highly correlated as in French-English task, leading to lower success rate (85-94%) for length-based aligners.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We describe our experience with automatic alignment of sentences in parallel English-Chinese texts.</S><S sid = NA ssid = NA>Formally, where A is an alignment, and Ti and 7-2 are the English and Chinese texts, respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P94-1012.txt | Citing Article:  W04-1121.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(DeKai Wu, 1994) offered that (1:1) sentence beads occupied 89% in English-Chinese as well.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In (4), two English sentences are correctly aligned with a single Chinese sentence.</S><S sid = NA ssid = NA>Figure 1 shows a plot of English versus Chinese sentence lengths for a hand-aligned sample of 142 sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P94-1012.txt | Citing Article:  C10-2010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The approaches by (Wu, 1994), (Haruno and Yamazaki, 1996), (Ma, 2006) and (Gautam and Sinha, 2007) require an externally supplied bilingual lexicon.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In contrast, statistical techniques require almost no prior knowledge and are based solely on the lengths of sentences.</S><S sid = NA ssid = NA>Approaches to alignment fall into two main classes: lexical and statistical.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P94-1012.txt | Citing Article:  W05-0816.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wu (Wu, 1994) also used lexical cues from corpus-specific bilingual lexicon for better alignment.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Further approximations vary according to the specific method being used.</S><S sid = NA ssid = NA>Our report concerns three related topics: (1) progress on the HKUST English-Chinese Parallel Bilingual Corpus; (2) experiments addressing applicability of Gale (1991) lengthbased statistical method to the task of alignment involving a non-Indo-European language; and (3) an improved statistical method that also incorporates domain-specific lexical cues.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P94-1012.txt | Citing Article:  I05-4010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Existing parallel corpora have illustrated their particular value in empirical NLP research, e.g., Canadian Hansard Corpus (Gale and Church, 1991b), HK Hansard (Wu, 1994), INTERSECT (Salkie, 1995), ENPC (Ebeling, 1998), the Bible parallel corpus (Resnik et al, 1999) and many others.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Analogously to the bilingual texts of the Canadian Hansard (Gale 8.6 Church 1991), LegCo transcripts are kept in full translation in both English and Cantonese.2 However, unlike the Canadian Hansard, the Hong Kong Hansard has not previously been available in machine-readable form.</S><S sid = NA ssid = NA>Recently, a number of automatic techniques for aligning sentences in parallel bilingual corpora have been proposed (Kay & ROscheisen 1988; Catizone et al. 1989; Gale & Church 1991; Brown et at.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P94-1012.txt | Citing Article:  P95-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>All experiments reported in this paper were performed on sentence-pairs from the HKUST English-Chinese Parallel Bilingual Corpus, which consists of governmental transcripts (Wu 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the first of the following sections, we describe the objectives of the HKUST English-Chinese Parallel Bilingual Corpus, and our progress.</S><S sid = NA ssid = NA>In this paper, we describe our experience with automatic alignment of sentences in parallel English-Chinese texts, which was performed as part of the SILC machine translation project.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P94-1012.txt | Citing Article:  P98-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>I am indebted to Bill Gale for helpful clarifying discussions, Xuanyin Xia and Wing Hong Chan for assistance with conversion of corpus materials, as well as Graeme Hirst and Linda Peto.</S><S sid = NA ssid = NA>The first commonly made approximation is that the probabilities of the individual aligned pairs within an alignment are independent, i.e., The other common approximation is that each Pr(Li L2171 , 7-2) depends not on the entire texts, but only on the contents of the specific passages within the alignment: Maximization of this approximation to the alignment probabilities is easily converted into a minimum-sum problem: The minimization can be implemented using a dynamic programming strategy.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P94-1012.txt | Citing Article:  P98-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous studies such as (Fung and Wu, 1994) have commented 268 that methods developed for Indo-European language pairs using alphabetic haracters have not addressed important issues which occur with European-Asian language pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, as far as we know, the literature on automatic alignment has been restricted to alphabetic Indo-European languages.</S><S sid = NA ssid = NA>A translation to the other language is made later to yield complete parallel texts, with annotations specifying the source language used by each speaker.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P94-1012.txt | Citing Article:  P98-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It has also been suggested by (Wu, 1994) that sentence length ratio correlations may arise partly out of historic cognate-based relationships between Indo-European languages.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The dearth of work on non-Indo-European languages can partly be attributed to a lack of the prequisite bilingual corpora.</S><S sid = NA ssid = NA>Although it has been suggested that lengthbased methods are language-independent (Gale Sz Church 1991; Brown et al. 1991), they may in fact rely to some extent on length correlations arising from the historical relationships of the languages being aligned.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P94-1012.txt | Citing Article:  P98-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Wu, 1994), about whether the byte length model by itself can perform well.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To do this we look at the relation between /1 and 12 under the generative model.</S><S sid = NA ssid = NA>Gale & Church's (1991) length-based alignment method is based on the model that each English character in L1 is responsible for generating some number of characters in L2.</S> | Discourse Facet:  NA | Annotator: Automatic


