Citance Number: 1 | Reference Article:  N04-1038.txt | Citing Article:  E12-1054.txt | Citation Marker Offset:  ['7'] | Citation Marker:  Bean and Riloff, 2004 | Citation Offset:  ['7'] | Citation Text:  <S sid ="7" ssid = "7">Measuring the contextual fitness of a term in its context is a key component in different NLP applications like speech recognition (Inkpen and DeÂ´silets, 2005), optical character recognition (Wick et al., 2007), co-reference resolution (Bean and Riloff, 2004)</S> | Reference Offset:  ['8'] | Reference Text:  <S sid ="8" ssid = "8">The focus of our work is on the use of contextual role knowledge for coreference resolution.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka |
Citance Number: 5 | Reference Article:  N04-1038.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  ['46'] | Citation Marker:  2004 | Citation Offset:  ['46'] | Citation Text:  <S sid ="46" ssid = "5">A learning-based coreference system can be defined by four elements: the learning algorithm used to train the coreference classifier, the method of creating training instances for the learner, the feature set 2 Examples of such scoring functions include the DempsterShafer rule (see Kehler (1997) and Bean and Riloff (2004))</S> | Reference Offset:  ['0'] | Reference Text:  <S sid="0">Unsupervised Learning of Contextual Role Knowledge for Coreference Resolution</S> | Discourse Facet:  ['Method_Citation','Aim_Citation'] | Annotator:  Kokil Jaidka |


Citance Number: 6 | Reference Article:  N04-1038.txt | Citing Article:  P05-1020.txt | Citation Marker Offset:  ['202'] | Citation Marker:  2004 | Citation Offset:  ['202'] | Citation Text:  <S sid ="202" ssid = "71">(2001)) and unsupervised approaches (e.g., Cardie and Wagstaff (1999), Bean and Riloff (2004)).</S> | Reference Offset:  ['158'] | Reference Text:  <S sid ="158" ssid = "96">Finally, a DempsterShafer probabilistic model evaluates the evidence provided by the knowledge sources for all candidate antecedents and makes the final resolution decision.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 7 | Reference Article:  N04-1038.txt | Citing Article:  P05-1021.txt | Citation Marker Offset:  ['13'] | Citation Marker:  2004 | Citation Offset:  ['13'] | Citation Text:  <S sid ="13" ssid = "13">Recently, Bean and Riloff (2004) presented an unsupervised approach to coreference resolution, which mined the co-referring NP pairs with similar predicate- arguments from a large corpus using a bootstrapping method.</S> | Reference Offset:  ['0', '83'] | Reference Text:  <S sid="0">Unsupervised Learning of Contextual Role Knowledge for Coreference Resolution</S><S sid ="83" ssid = "21">We generate these caseframes automatically by running AutoSlog over the training corpus exhaustively so that it literally generates a pattern to extract every noun phrase in the corpus.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Kokil Jaidka |


Citance Number: 8 | Reference Article:  N04-1038.txt | Citing Article:  P06-1005.txt | Citation Marker Offset:  ['124'] | Citation Marker:  Bean and Riloff, 2004 | Citation Offset:  ['124'] | Citation Text:  <S sid ="124" ssid = "9">Since no such corpus exists, researchers have used coarser features learned from smaller sets through supervised learning (Soon et al., 2001; Ng and Cardie, 2002), manually-defined coreference patterns to mine specific kinds of data (Bean and Riloff, 2004; Bergsma, 2005)</S> | Reference Offset:  ['49','63'] | Reference Text:  <S sid ="49" ssid = "20">Using this heuristic, BABAR identifies existential definite NPs in the training corpus using our previous learning algorithm (Bean and Riloff, 1999) and resolves all occurrences of the same existential NP with each another.1 2.1.2 Syntactic Seeding BABAR also uses syntactic heuristics to identify anaphors and antecedents that can be easily resolved.</S><S sid ="63" ssid = "1">Ex: Mr. Bush disclosed the policy by reading it</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 9 | Reference Article:  N04-1038.txt | Citing Article:  P06-1005.txt | Citation Marker Offset:  ['177'] | Citation Marker:  2004 | Citation Offset:  ['177','178','179'] | Citation Text:  <S sid ="177" ssid = "62">Bean and Riloff (2004) used bootstrapping to extend their semantic compatibility model, which they called contextual-role knowledge, by identifying certain cases of easily-resolved anaphors and antecedents.</S><S sid ="178" ssid = "63">They give the example â€œMr.</S><S sid ="179" ssid = "64">Bush disclosed the policy by reading it.â€ Once we identify that it and policy are coreferent, we include read:obj:policy as part of the compatibility model.</S> | Reference Offset:  ['2'] | Reference Text:  <S sid ="2" ssid = "2">BABAR uses information extraction patterns to identify contextual roles and creates four contextual role knowledge sources using unsupervised learning.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 10 | Reference Article:  N04-1038.txt | Citing Article:  P07-1067.txt | Citation Marker Offset:  ['46'] | Citation Marker:  2004 | Citation Offset:  ['46','47','48','49'] | Citation Text:  <S sid ="46" ssid = "9">Bean and Riloff (2004) present a system called BABAR that uses contextual role knowledge to do coreference resolution.</S><S sid ="47" ssid = "10">They apply an IE component to unannotated texts to generate a set of extraction caseframes.</S><S sid ="48" ssid = "11">Each caseframe represents a linguistic expression and a syntactic position, e.g. â€œmurder of &lt;NP&gt;â€, â€œkilled &lt;patient&gt;â€.</S><S sid ="49" ssid = "12">From the case- frames, they derive different types of contextual role knowledge for resolution, for example, whether an anaphor and an antecedent candidate can be filled into co-occurring caseframes, or whether they are substitutable for each other in their caseframes.</S> | Reference Offset:  ['1','8','70','76','77','137'] | Reference Text:  <S sid ="1" ssid = "1">We present a coreference resolver called BABAR that uses contextual role knowledge to evaluate possible antecedents for an anaphor.</S> <S sid ="8" ssid = "8">The focus of our work is on the use of contextual role knowledge for coreference resolution.</S><S sid ="70" ssid = "8">Next, we describe four contextual role knowledge sources that are created from the training examples and the caseframes.</S><S sid ="76" ssid = "14">We applied the AutoSlog system (Riloff, 1996) to our unannotated training texts to generate a set of extraction patterns for each domain.</S><S sid ="77" ssid = "15">Each extraction pattern represents a linguistic expression and a syntactic position indicating where a role filler can be found.</S><S sid ="137" ssid = "75">One knowledge source, called WordSemCFSem, is analogous to CFLex: it checks whether the anaphor and candidate antecedent are substitutable for one another, but based on their semantic classes instead of the words themselves.</S> | Discourse Facet:  ['Aim_Citation','Method_Citation'] | Annotator:  Kokil Jaidka |


Citance Number: 11 | Reference Article:  N04-1038.txt | Citing Article:  P07-1068.txt | Citation Marker Offset:  ['11'] | Citation Marker:  2004 | Citation Offset:  ['11'] | Citation Text:  <S sid ="11" ssid = "11">(2004)) or Wikipedia (Ponzetto and Strube, 2006), and the contextual role played by an NP (see Bean and Riloff (2004)).</S> | Reference Offset:  ['9'] | Reference Text:  <S sid ="9" ssid = "9">A contextual role represents the role that a noun phrase plays in an event or relationship.</S> | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka |


Citance Number: 12 | Reference Article:  N04-1038.txt | Citing Article:  P08-1090.txt | Citation Marker Offset:  ['35'] | Citation Marker:  2004 | Citation Offset:  ['35','38'] | Citation Text:  <S sid ="35" ssid = "5">Bean and Riloff (2004) proposed the use of caseframe networks as a kind of contextual role knoweldge for anaphora resolution.</S><S sid ="38" ssid = "8">Bean and Riloff learn these networks from two topic-specific texts and apply them to the problem of anaphora resolution.</S> | Reference Offset:  ['68','87'] | Reference Text:  <S sid ="68" ssid = "6">Our representation of contextual roles is based on information extraction patterns that are converted into simple caseframes.</S><S sid ="87" ssid = "25">2.2.2 The Caseframe Network The first type of contextual role knowledge that BABAR learns is the Caseframe Network (CFNet), which identifies caseframes that co-occur in anaphor/antecedent resolutions.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 13 | Reference Article:  N04-1038.txt | Citing Article:  P09-1068.txt | Citation Marker Offset:  ['17'] | Citation Marker:  Bean and Riloff, 2004 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "17">In this paper we extend this work to represent sets of situation-specific events not unlike scripts, caseframes (Bean and Riloff, 2004)</S> | Reference Offset:  ['68'] | Reference Text:  <S sid ="68" ssid = "6">Our representation of contextual roles is based on information extraction patterns that are converted into simple caseframes.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 14 | Reference Article:  N04-1038.txt | Citing Article:  P09-1074.txt | Citation Marker Offset:  ['223'] | Citation Marker:  2004 | Citation Offset:  ['223'] | Citation Text:  <S sid ="223" ssid = "160">Finally, several coreference systems have successfully incorporated anaphoricity determination modules (e.g. Ng and Cardie (2002a) and Bean and Riloff (2004)).</S> | Reference Offset:  ['8'] | Reference Text:  <S sid ="8" ssid = "8">The focus of our work is on the use of contextual role knowledge for coreference resolution.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka |


Citance Number: 15 | Reference Article:  N04-1038.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  ['72'] | Citation Marker:  2004 | Citation Offset:  ['72'] | Citation Text:  <S sid ="72" ssid = "42">The DempsterShafer rule (Dempster, 1968), which combines the positive and negative pairwise decisions to score a partition, is used by Kehler (1997) and Bean and Riloff (2004) to identify the most probable NP partition.</S> | Reference Offset:  ['158'] | Reference Text:  <S sid ="158" ssid = "96">Finally, a DempsterShafer probabilistic model evaluates the evidence provided by the knowledge sources for all candidate antecedents and makes the final resolution decision.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 16 | Reference Article:  N04-1038.txt | Citing Article:  P11-1082.txt | Citation Marker Offset:  ['129'] | Citation Marker:  2004 | Citation Offset:  ['129'] | Citation Text:  <S sid ="129" ssid = "39">However, the use of related verbs is similar in spirit to Bean and Riloffâ€™s (2004) use of patterns for inducing contextual role knowledge, and the use of semantic roles is also discussed in Ponzetto and Strube (2006).</S> | Reference Offset:  ['2'] | Reference Text:  <S sid ="2" ssid = "2">BABAR uses information extraction patterns to identify contextual roles and creates four contextual role knowledge sources using unsupervised learning.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 17 | Reference Article:  N04-1038.txt | Citing Article:  P13-1121.txt | Citation Marker Offset:  ['63'] | Citation Marker:  2004 | Citation Offset:  ['63'] | Citation Text:  <S sid ="63" ssid = "13">Caseframes do not consider the dependents of the semantic role approximations.The use of caseframes is well grounded in a va riety of NLP tasks relevant to summarization such as coreference resolution (Bean and Riloff, 2004)</S> | Reference Offset:  ['68'] | Reference Text:  <S sid ="68" ssid = "6">Our representation of contextual roles is based on information extraction patterns that are converted into simple caseframes.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 18 | Reference Article:  N04-1038.txt | Citing Article:  P13-2015.txt | Citation Marker Offset:  ['46'] | Citation Marker:  Bean and Riloff, 2004 | Citation Offset:  ['46','47'] | Citation Text:  <S sid ="46" ssid = "28">In addition, BABAR (Bean and Riloff, 2004) used contextual role knowledge for coreference resolution in the domains of terrorism and natural disasters.</S><S sid ="47" ssid = "29">But BABAR acquired and used lexical information to match the compatibility of contexts surrounding NPs, not the NPs themselves.</S> | Reference Offset:  ['0', '3', '201'] | Reference Text:  <S sid="0">Unsupervised Learning of Contextual Role Knowledge for Coreference Resolution</S><S sid ="3" ssid = "3">These knowledge sources determine whether the contexts surrounding an anaphor and antecedent are compatible.</S><S sid ="201" ssid = "139">We evaluated BABAR on two domains: terrorism and natural disasters.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 19 | Reference Article:  N04-1038.txt | Citing Article:  W05-0612.txt | Citation Marker Offset:  ['33'] | Citation Marker:  Bean and Riloff, 2004 | Citation Offset:  ['33'] | Citation Text:  <S sid ="33" ssid = "13">There are also approaches to anaphora resolution using unsupervised methods to extract useful information, such as gender and number (Ge et al., 1998), or contextual role-knowledge (Bean and Riloff, 2004).</S> | Reference Offset:  ['2'] | Reference Text:  <S sid ="2" ssid = "2">BABAR uses information extraction patterns to identify contextual roles and creates four contextual role knowledge sources using unsupervised learning.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 20 | Reference Article:  N04-1038.txt | Citing Article:  W06-0106.txt | Citation Marker Offset:  ['181'] | Citation Marker:  2004 | Citation Offset:  ['181'] | Citation Text:  <S sid ="181" ssid = "10">Bean and Riloff (2004) used information extraction patterns to identify contextual clues that would determine the compatibility between NPs.</S> | Reference Offset:  ['2','3'] | Reference Text:  <S sid ="2" ssid = "2">BABAR uses information extraction patterns to identify contextual roles and creates four contextual role knowledge sources using unsupervised learning.</S><S sid ="3" ssid = "3">These knowledge sources determine whether the contexts surrounding an anaphor and antecedent are compatible.</S> | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka |


Citance Number: 21 | Reference Article:  N04-1038.txt | Citing Article:  W06-0206.txt | Citation Marker Offset: ['10'] | Citation Marker:  Bean and Riloff, 2004 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">It has shown promise in improving the performance of many tasks such as name tagging (Miller et al., 2004), semantic class extraction (Lin et al., 2003), chunking (Ando and Zhang, 2005), coreference resolution (Bean and Riloff, 2004)</S> | Reference Offset:  ['8'] | Reference Text:  <S sid ="8" ssid = "8">The focus of our work is on the use of contextual role knowledge for coreference resolution.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka |


Citance Number: 22 | Reference Article:  N04-1038.txt | Citing Article:  W10-3909.txt | Citation Marker Offset:  ['23'] | Citation Marker:  2004 | Citation Offset:  ['22','23'] | Citation Text:  <S sid ="22" ssid = "22">Methods for acquiring and using such knowledge are receiving increasing attention in 60 Proceedings of the Second Workshop on NLP Challenges in the Information Explosion Era (NLPIX 2010), pages 60â€“68, Beijing, August 2010 recent work on anaphora resolution.</S><S sid ="23" ssid = "23">Dagan and Itai (1990), Bean and Riloff (2004), Yang and Su (2007), and Ponzetto and Strube (2006) all explored this task.</S> | Reference Offset:  ['100','101'] | Reference Text:  <S sid ="100" ssid = "38">For each candidate antecedent, BABAR identifies the caseframe that would extract the candidate, pairs it with the anaphorâ€™s caseframe, and consults the CF Network to see if this pair of caseframes has co-occurred in previous resolutions.</S><S sid ="101" ssid = "39">If so, the CF Network reports that the anaphor and candidate may be coreferent.</S> | Discourse Facet:  ['Method_Citation','Implication_Citation'] | Annotator:  Kokil Jaidka |


Citance Number: 23 | Reference Article:  N04-1038.txt | Citing Article:  W10-3909.txt | Citation Marker Offset:  ['36'] | Citation Marker:  2004 | Citation Offset:  ['36','37','38'] | Citation Text:  <S sid ="36" ssid = "3">Bean and Riloff (2004) present a system, which uses contextual role knowledge to aid coreference resolution.</S><S sid ="37" ssid = "4">They used lexical and syntactic heuristics to identify high-confidence coreference relations and used them as training data for learning contextual role knowledge.</S><S sid ="38" ssid = "5">They got substantial gains on articles in two specific domains, terrorism and natural disasters.</S> | Reference Offset:  ['8'] | Reference Text:  <S sid ="8" ssid = "8">The focus of our work is on the use of contextual role knowledge for coreference resolution.</S> | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka |


Citance Number: 24 | Reference Article:  N04-1038.txt | Citing Article:  W10-3909.txt | Citation Marker Offset:  ['50'] | Citation Marker:  2004 | Citation Offset:  ['50','51'] | Citation Text:  <S sid ="50" ssid = "17">Bean and Riloff (2004) used high-precision hand-coded rules to identify coreferent mention pairs, which are then used to acquire role pairs that they refer to as Caseframe Network features.</S><S sid ="51" ssid = "18">They use these features to improve coreference resolution for two domain-specific corpora involving terrorism and natural disasters.</S> | Reference Offset:  ['64','151','156','222','223'] | Reference Text:  <S sid ="64" ssid = "2">Table 1: Syntactic Seeding Heuristics BABARâ€™s reliable case resolution heuristics produced a substantial set of anaphor/antecedent resolutions that will be the training data used to learn contextual role knowledge.</S><S sid ="151" ssid = "89">The confidence level is then used as the belief value for the knowledge source.</S><S sid ="156" ssid = "94">Second, BABAR performs reliable case resolution to identify anaphora that can be easily resolved using the lexical and syntactic heuristics described in Section 2.1.</S><S sid ="222" ssid = "160">The F- measure score increased for both domains, reflecting a substantial increase in recall with a small decrease in precision.</S><S sid ="223" ssid = "161">The contextual role knowledge had the greatest impact on pronouns: +13% recall for terrorism and +15% recall for disasters, with a +1% precision gain in terrorism and a small precision drop of -3% in disasters.</S> | Discourse Facet:  ['Method_Citation','Results_Citation'] | Annotator:  Kokil Jaidka |
