Citance Number: 1 | Reference Article:  N06-1006.txt | Citing Article:  W11-2112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Pado et al. (2009) uses Textual Entailment features extracted from the Standford Entailment Recognizer (MacCartney et al, 2006).</S> | Reference Offset:  ['24','31'] | Reference Text:  <S sid = 24 ssid = >A more structured approach is to formulate the entailment prediction as a graph matching problem (Haghighi et al., 2005; de Salvo Braz et al., 2005).</S><S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N06-1006.txt | Citing Article:  P08-1118.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our system is based on the stage architecture of the Stanford RTE system (MacCartney et al, 2006), but adds a stage for event coreference decision.</S> | Reference Offset:  ['21','200'] | Reference Text:  <S sid = 21 ssid = >Nearly all current textual inference systems use a single-stage matching/proof process, and differ mainly in the sophistication of the matching stage.</S><S sid = 200 ssid = >Using this multi-stage architecture, we report results on the PASCAL RTE data which surpass previously-reported results for alignment-based systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N06-1006.txt | Citing Article:  D10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Based on this representation, we apply a two stage entailment process similar to MacCartney et al (2006) developed for textual entailment: an alignment stage followed by an entailment stage.</S> | Reference Offset:  ['21','62'] | Reference Text:  <S sid = 21 ssid = >Nearly all current textual inference systems use a single-stage matching/proof process, and differ mainly in the sophistication of the matching stage.</S><S sid = 62 ssid = >We propose that all three problems can be resolved in a two-stage architecture, where the alignment phase is followed by a separate phase of entailment determination.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N06-1006.txt | Citing Article:  D10-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Given the clause representation, we follow the idea similar to MacCartney et al (2006), and predict the entailment decision in two stages of processing: (1) an alignment model aligns terms in the hypothesis to terms in the conversation segment; and (2) an inference model predicts the entailment based on the alignment between the hypothesis and the conversation segment.</S> | Reference Offset:  ['69','73'] | Reference Text:  <S sid = 69 ssid = >Given a good alignment, the determination of entailment reduces to a simple classification decision.</S><S sid = 73 ssid = >Our system has three stages: linguistic analysis, alignment, and entailment determination.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N06-1006.txt | Citing Article:  W09-2501.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We base our experiments on the Stanford RTE system which uses a staged architecture (MacCartney et al, 2006).</S> | Reference Offset:  ['31','36'] | Reference Text:  <S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S><S sid = 36 ssid = >The two models become distinct when there is a good supply of additional linguistic and world knowledge axioms—as in Moldovan et al. (2003) but not Raina et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N06-1006.txt | Citing Article:  C10-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Later systems that include more linguistic features extracted from resources such as WordNet have enjoyed more success (MacCartney et al, 2006).</S> | Reference Offset:  ['31','36'] | Reference Text:  <S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S><S sid = 36 ssid = >The two models become distinct when there is a good supply of additional linguistic and world knowledge axioms—as in Moldovan et al. (2003) but not Raina et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N06-1006.txt | Citing Article:  C10-1131.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many of these features are inspired by MacCartney et al (2006) and Snow et al (2006), but not as sophisticated.</S> | Reference Offset:  ['31','36'] | Reference Text:  <S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S><S sid = 36 ssid = >The two models become distinct when there is a good supply of additional linguistic and world knowledge axioms—as in Moldovan et al. (2003) but not Raina et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N06-1006.txt | Citing Article:  P09-1034.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Stanford Entailment Recognizer (MacCartney et al, 2006) is a stochastic model that computes match and mismatch features for each premise hypothesis pair.</S> | Reference Offset:  ['31','43'] | Reference Text:  <S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S><S sid = 43 ssid = >First, the above systems assume a form of upward monotonicity: if a good match is found with a part of the text, other material in the text is assumed not to affect the validity of the match.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N06-1006.txt | Citing Article:  W10-3904.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has a three-stage architecture similar to the RTE system of MacCartney et al (2006).</S> | Reference Offset:  ['31','200'] | Reference Text:  <S sid = 31 ssid = >A third approach, exemplified by Moldovan et al. (2003) and Raina et al.</S><S sid = 200 ssid = >Using this multi-stage architecture, we report results on the PASCAL RTE data which surpass previously-reported results for alignment-based systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N06-1006.txt | Citing Article:  W06-1673.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >MacCartney et al (2006) describe a system for doing robust textual inference.</S> | Reference Offset:  ['6','61'] | Reference Text:  <S sid = 6 ssid = >During the last five years there has been a surge in work which aims to provide robust textual inference in arbitrary domains about which the system has no expertise.</S><S sid = 61 ssid = >A robust inference guesser will still likely conclude that there is entailment.</S> | Discourse Facet:  NA | Annotator: Automatic


