Citance Number: 1 | Reference Article:  P11-1038.txt | Citing Article:  W12-2109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use unsupervised methods to build a pipeline that identifies ill-formed English SMS word tokens and builds a dictionary of their most likely normalized forms.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our objective is to restore ill-formed words to their canonical lexical forms in standard English.</S><S sid = NA ssid = NA>We define the task of text normalisation to be a mapping from “ill-formed” OOV lexical items to their standard lexical forms, focusing exclusively on English for the purposes of this paper.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P11-1038.txt | Citing Article:  P12-3006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Han and Baldwin (2011) use a classifier to detect ill-formed words, and generate correction candidates based on morphophonemic similarity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our method uses a classifier to detect ill-formed words, and generates correction candidates based on morphophonemic similarity.</S><S sid = NA ssid = NA>We found that most illformed words are based on morphophonemic variation and proposed a cascaded method to detect and normalise ill-formed words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Recently, Han and Baldwin (2011) and Gouwsetal2011) propose two-step unsupervised approaches to normalisation, in which lexical variants are first identified, and then normalised.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This step is crucial to further normalisation, because if correct OOV words are identified as ill-formed, the candidate selection step can never be correct.</S><S sid = NA ssid = NA>We identified 254 token instances of lexical normalisation, and broke them down into categories, as listed in Table 1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>They approach lexical variant detection by using a context fitness classifier (Han and Baldwin, 2011) or through dictionary lookup (Gouws et al 2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To the best of our knowledge, we are the first to target the task of ill-formed word detection in the context of short text messages, although related work exists for text with lower relative occurrences of OOV words (Izumi et al., 2003; Sun et al., 2007).</S><S sid = NA ssid = NA>For example, Kobus et al. (2008) firstly convert input text tokens into phonetic tokens and then restore them to words by phonetic dictionary lookup.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast to the normalisation dictionaries of Han and Baldwin (2011) and Gouws et al 2011) which focus on very frequent lexical variants, we focus on moderate frequency lexical variants of a minimum character length, which tend to have unambiguous standard forms; our intention is to produce normalisation lexicons that are complementary to those currently available.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our aim in this paper is this task of lexical normalisation of noisy English text, with a particular focus on Twitter and SMS messages.</S><S sid = NA ssid = NA>We define the task of text normalisation to be a mapping from “ill-formed” OOV lexical items to their standard lexical forms, focusing exclusively on English for the purposes of this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To further narrow the search space, we only consider IV words which are morphophonemic ally similar to the OOV type, following settings in Han and Baldwin (2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In confusion set generation, we generate a set of IV normalisation candidates for each OOV word type based on morphophonemic variation.</S><S sid = NA ssid = NA>The most direct source of evidence is IV words around an OOV word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Given the re-ranked pairs from Section 5, here we apply them to a token-level normalisation task using the normalisation dataset of Han and Baldwin (2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For candidate selection, we once again evaluate using token-level precision, recall and F-score.</S><S sid = NA ssid = NA>The message normalisation task is challenging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, the contribution of these dictionaries in hybrid normalisation approaches is also presented, in which we first normalise OOVs using a given dictionary (combined or otherwise), and then apply the normalisation method of Gouws et al2011) based on consonant edit distance (GHM-norm), or the approach of Han and Baldwin (2011) based on the summation of many unsupervised approaches (HB-norm), to the remaining OOVs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition to comparing our method with competitor methods, we also study the contribution of different feature groups.</S><S sid = NA ssid = NA>The best F-score is achieved when combining dictionary lookup, word similarity and context support (“DL+WS+CS”), in which ill-formed words are first looked up in the slang dictionary, and only if no match is found do we apply our normalisation method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>the Internet slang dictionary (HB-dict) from Han and Baldwin (2011), and combinations of these dictionaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>“Slang” refers to instances of Internet slang (e.g. lol “laugh out loud”), as found in a slang dictionary (see Section 3.1).</S><S sid = NA ssid = NA>We separately compare dictionary lookup over our Internet slang dictionary, the contextual feature model, and the word similarity feature model, as well as combinations of these three.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, we combine the dictionaries with the normalisation method of Gouws et al2011) (GHM-norm) and the combined unsupervised approach of Han and Baldwin (2011) (HB-norm).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, the detection of ill-formed words is difficult due to noisy context.</S><S sid = NA ssid = NA>We found several limitations in our proposed approach by analysing the output of our method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P11-1038.txt | Citing Article:  D12-1039.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>6.2.3 Hybrid Approaches The methods of Gouws et al2011) (i.e. GHM-dict+GHM-norm) and Han and Baldwin (2011) (i.e. HB-dict+HB-norm) have lower precision and higher false alarm rates than the dictionary based approaches; this is largely caused by lexical variant detection errors.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, higher detection threshold values (td) give better precision but lower recall.</S><S sid = NA ssid = NA>The lower precision for the Blog corpus appears to be due to the text not being as clean as NYT, introducing parser errors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P11-1038.txt | Citing Article:  E12-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The present lexical normalisation used by our system is the dictionary lookup method of Hanand Baldwin (2011) which normalises noisy tokens only when the normalised form is known with high confidence (e.g. you for u).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In our annotation, the annotators only normalised ill-formed word if they had high confidence of how to normalise, as with talkin “talking”.</S><S sid = NA ssid = NA>Furthermore, we intend to alleviate noisy contexts with a bootstrapping approach, in which ill-formed words with high confidence and no ambiguity will be replaced by their standard forms, and fed into the normalisation model as new training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P11-1038.txt | Citing Article:  E12-2014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Ultimately, however, we are interested in performing context sensitive lexical normalisation, based on a reimplementation of the method of Han and Baldwin (2011).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For such cases, the method falls back to context-independent normalisation.</S><S sid = NA ssid = NA>Statistical machine translation (SMT) has been proposed as a means of context-sensitive text normalisation, by treating the ill-formed text as the source language, and the standard form as the target language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P11-1038.txt | Citing Article:  P12-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Hanand Baldwin, 2011) reported an average of 127 candidates per nonstandard token with the correct-word coverage of 84%.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>If we truncate the ranking to the top 10% of candidates, the recall drops back to 84% with a 90% reduction in candidates.</S><S sid = NA ssid = NA>We separately introduce a threshold td E 11, 2, ...,10} on the number of positive predictions returned by the detection classifier over the set of normalisation candidates for a given OOV token: the token is considered to be ill-formed iff td or more candidates are positively classified, i.e. predicted to be correct candidates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P11-1038.txt | Citing Article:  P12-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Han and Baldwin, 2011) developed classifiers for detecting the ill-formed word sand generated corrections based on the morphophonemic similarity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our method uses a classifier to detect ill-formed words, and generates correction candidates based on morphophonemic similarity.</S><S sid = NA ssid = NA>Then, all candidates are ranked according to a list of features generated from noisy context and similarity between ill-formed words and candidates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P11-1038.txt | Citing Article:  P12-1109.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>NICTA is funded by the Australian government as represented by Department of Broadband, Communication and Digital Economy, and the Australian Research Council through the ICT centre of Excellence programme.</S><S sid = NA ssid = NA>“Slang” refers to instances of Internet slang (e.g. lol “laugh out loud”), as found in a slang dictionary (see Section 3.1).</S> | Discourse Facet:  NA | Annotator: Automatic


