Citance Number: 1 | Reference Article:  C94-1027.txt | Citing Article:  W11-2124.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For both tasks the reordering was performed as a preprocessing step using POS information from the TreeTagger (Schmid, 1994) for German and using the Amira Tagger (Diab, 2009) for Arabic.</S> | Reference Offset:  ['8','118'] | Reference Text:  <S sid = 8 ssid = >A part-of-speech tagger is a system which automat- ically assigns the part of speech to words using con- textual information.</S><S sid = 118 ssid = >In the next step, an information measure I(S) was calculated for each node of the tree: I(S) = - ~ P(posiS ) tomd(p,>,qS) (7) po* IIere, S is the suffix which corresponds to the current node and P(poslS ) is the probability of tag pos given a word with suff ix S. Using this information measure, the suffix tree has been pruned.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 7 | Reference Article:  C94-1027.txt | Citing Article:  P96-1043.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A statistical-based suffix learner is presented in (Schmid, 1994).</S> | Reference Offset:  ['162','169'] | Reference Text:  <S sid = 162 ssid = >7 CONCLUSIONS In this paper, the Net-Tagger was presented, a part- of-speech tagger which is based on a MLP-network.</S><S sid = 169 ssid = >A disadvantage of the presented method may be its lower processing speed compared to statistical meth- ods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C94-1027.txt | Citing Article:  P06-2100.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >Instead a weighted average of the actual output and the target output is used.</S><S sid = 198 ssid = >MIT-Press, Cambridge, MA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C94-1027.txt | Citing Article:  E09-1079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The TreeTagger showed an accuracy of 96.06% (Schmid, 1994a).</S> | Reference Offset:  ['132','163'] | Reference Text:  <S sid = 132 ssid = >Table 2: Comparison of recognition rates method accuracy t Net-Tagger 96.22 % trigrarn tagger 96.06 % IIMM tagger 94.24 % G(less) = 95(1.32-  0.56) = 72,20 (11) Both wdues are well above a threshohl of 10, and there- fore none of them should be deleted.</S><S sid = 163 ssid = >A comparison of the tagging results with those of a trigram tagger and a IIMM tagger showed that the accuracy is as high as that of the trigram tagger and the robustness on small training corpora is as good as that of the HMM tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C94-1027.txt | Citing Article:  S10-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >Instead a weighted average of the actual output and the target output is used.</S><S sid = 198 ssid = >MIT-Press, Cambridge, MA.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C94-1027.txt | Citing Article:  P98-2186.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There have been attempts to apply neural networks to POS tagging (e.g., (Schmid, 1994)).</S> | Reference Offset:  ['20','37'] | Reference Text:  <S sid = 20 ssid = >A third and rather new approach is tagging with artificial neural networks.</S><S sid = 37 ssid = >3 NEURAL NETWORKS Artificial neural networks consist of a large number of simple processing units.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C94-1027.txt | Citing Article:  P08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the Tree Tagger (Schmid, 1994) for all POS tagging except for Arabic, where we use the tagger described in Diab et al.</S> | Reference Offset:  ['1','143'] | Reference Text:  <S sid = 1 ssid = >In this paper, a new part-of-speech tagging method hased on neural networks (Net-Tagger) is pre- sented and its performance is compared to that of a llMM-tagger (Cutting et al., 1992) and a trigram- based tagger (Kempe, 1993).</S><S sid = 143 ssid = >In tabh; 2, the accuracy rate of the Net-Tagger is cOrolLated to that of a trigram l)msed tagger (Kempe, 1993) and a lIidden Markov Model tagger (Cutting et al., 1992) which were.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C94-1027.txt | Citing Article:  P08-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use TreeTagger (Schmid, 1994) to produce POS tags and then open class words are restricted if the POS tagger assigned a tag with a probability over a certain threshold.</S> | Reference Offset:  ['117','159'] | Reference Text:  <S sid = 117 ssid = >First, a sujJiz tree wits constructed from the suffices of length 5 of sill words wliich were annotated with an open class l)art-of-speecli s. Then tag frequencies were cotlnted for all suffices and stored at the corresponding tree nodes.</S><S sid = 159 ssid = >As mentioned previously, the tagger can produce an alternative tag, if the decision between two tags is difficult.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C94-1027.txt | Citing Article:  C96-2130.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A statistical-based suffix learner is presented in (Schmid, 1994).</S> | Reference Offset:  ['162','169'] | Reference Text:  <S sid = 162 ssid = >7 CONCLUSIONS In this paper, the Net-Tagger was presented, a part- of-speech tagger which is based on a MLP-network.</S><S sid = 169 ssid = >A disadvantage of the presented method may be its lower processing speed compared to statistical meth- ods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C94-1027.txt | Citing Article:  W11-2401.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['73','198'] | Reference Text:  <S sid = 73 ssid = >Instead a weighted average of the actual output and the target output is used.</S><S sid = 198 ssid = >MIT-Press, Cambridge, MA.</S> | Discourse Facet:  NA | Annotator: Automatic


