Citance Number: 1 | Reference Article:  C02-1011.txt | Citing Article:  P03-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We integrate both empirical and symbolic knowledge sources as features into our system which outperforms the best known methods in statistical machine translation. Previous work on defining subtasks within statistical machine translation has been performed on ,e.g., noun-noun pair (Cao and Li, 2002) and named entity translation (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >Base Noun Phrase Translation Using Web Data And The EM Algorithm</S><S sid = 1 ssid = >We consider here the problem of Base Noun Phrase translation.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  C02-1011.txt | Citing Article:  W11-1206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cao and Li (2002) have achieved 91% accuracy for the top three candidates using the Web as a comparable corpus.</S> | Reference Offset:  ['42','220'] | Reference Text:  <S sid = 42 ssid = >2.2 Translation Using Web Data.</S><S sid = 220 ssid = >Translation results Accuracy%Data Top 1 Top 3 Coverage % Web (EM-NBC-Ensemble) 62.9 79.7 91.4 Non-web (EM-NBC-Ensemble) 56.9 74.7 79.3 Web (EM-IF-IDF) 62.2 79.8 91.4 Non-web (EM-TF-IDF) 51.5 71.4 78.5 The results in Table 5 show that the use of web data can yield better results than non-use of it, although the sizes of the non-web data we used were considerably large in practice.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  C02-1011.txt | Citing Article:  C04-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cao and Li (2002) restricted candidate bilingual compound term pairs by consulting a seed bilingual lexicon and requiring their constituent words to be translation of each other across languages.</S> | Reference Offset:  ['51','71'] | Reference Text:  <S sid = 51 ssid = >3.1 Translation Candidate Collection.</S><S sid = 71 ssid = >Translation candidate collection 3.2 Translation Selection --.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C02-1011.txt | Citing Article:  C04-1149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >On the other hand, in the framework of bilingual term correspondences estimation of this paper, the computational complexity of enumerating translation candidates can be easily avoided with the help of cross-language retrieval of relevant news texts. Furthermore, unlike Cao and Li (2002), bilingual term correspondences for compound terms are not restricted to compositional translation.</S> | Reference Offset:  ['12','49'] | Reference Text:  <S sid = 12 ssid = >In many cases, Base NPs represent holistic and non-divisible concepts, and thus accurate translation of them from one language to another is extremely important in applications like machine translation, cross language information retrieval, and foreign language writing assistance.</S><S sid = 49 ssid = >In translation selection, we find out possible translation(s) from the translation candidates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C02-1011.txt | Citing Article:  W06-1703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the first approach, translation candidates are validated through the search engine (Cao and Li, 2002).</S> | Reference Offset:  ['3','152'] | Reference Text:  <S sid = 3 ssid = >For a given Base NP, we first search its translation candidates from the web.</S><S sid = 152 ssid = >As a web search engine, we used Google (http://www.google.com).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C02-1011.txt | Citing Article:  W06-1703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The scoring function? I is intended to evaluate the approach proposed in (Cao and Li, 2002).</S> | Reference Offset:  ['40','210'] | Reference Text:  <S sid = 40 ssid = >This approach, however, has a drawback of losing information in vector transformation, as will be described.</S><S sid = 210 ssid = >The results indicate that our proposed Back-off strategy for translation is justifiable.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C02-1011.txt | Citing Article:  W06-1703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Cao and Li, 2002) also proposed a method of compositional translation estimation for compounds.</S> | Reference Offset:  ['142','222'] | Reference Text:  <S sid = 142 ssid = >In order to further boost the performance of translation, we propose to also use the translation method proposed in Nagata et al Specifically, we combine our method with that of Nagata et alby using a back-off strategy.</S><S sid = 222 ssid = >This paper has proposed a new and effective method for Base NP translation by using web data and the EM Algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C02-1011.txt | Citing Article:  W06-1703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the method of (Cao and Li, 2002), the translation candidates of a term are composition ally generated by concatenating the translation of the constituents of the term and are validated directly through the search engine.</S> | Reference Offset:  ['3','49'] | Reference Text:  <S sid = 3 ssid = >For a given Base NP, we first search its translation candidates from the web.</S><S sid = 49 ssid = >In translation selection, we find out possible translation(s) from the translation candidates.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C02-1011.txt | Citing Article:  W06-1703.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this paper, we evaluate the approach proposed in (Cao and Li, 2002) by introducing a total scoring function 17 that is based on validating translation candidates directly through the search engine.</S> | Reference Offset:  ['3','222'] | Reference Text:  <S sid = 3 ssid = >For a given Base NP, we first search its translation candidates from the web.</S><S sid = 222 ssid = >This paper has proposed a new and effective method for Base NP translation by using web data and the EM Algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C02-1011.txt | Citing Article:  I05-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Another important difference is that in (Fujii and Ishikawa, 2001), they evaluate only the performance of cross-language information retrieval but not that of translation estimation. (Cao and Li, 2002) proposed a method of compositional translation estimation for compounds.</S> | Reference Offset:  ['12','59'] | Reference Text:  <S sid = 12 ssid = >In many cases, Base NPs represent holistic and non-divisible concepts, and thus accurate translation of them from one language to another is extremely important in applications like machine translation, cross language information retrieval, and foreign language writing assistance.</S><S sid = 59 ssid = >information -></S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C02-1011.txt | Citing Article:  I05-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the proposed method of (Cao and Li, 2002), translation candidates of a term are compositionally generated by concatenating the translation of the constituents of the term and are re-ranked by measuring contextual similarity against the source language term.</S> | Reference Offset:  ['14','61'] | Reference Text:  <S sid = 14 ssid = >In translation candidate collection, for a given Base NP in the source language, we look for its translation candidates in the target language.</S><S sid = 61 ssid = >Compositionally create translation candidates in.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C02-1011.txt | Citing Article:  I05-2020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One of the major differences of the technique of (Cao and Li, 2002) and the one proposed in this paper is that in (Cao and Li, 2002), they do not use the domain/topic specific corpus.</S> | Reference Offset:  ['37','38'] | Reference Text:  <S sid = 37 ssid = >Fung and Yee assumed that in a specific domain there is only one-to-one mapping relationship between words in the two languages.</S><S sid = 38 ssid = >The assumption is reasonable in a specific domain, but is too strict in the general domain, in which we presume to perform translation here.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C02-1011.txt | Citing Article:  P05-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cao and Li (2002) propose a new method to translate base noun phrases.</S> | Reference Offset:  ['2','13'] | Reference Text:  <S sid = 2 ssid = >We propose a new method to perform the task.</S><S sid = 13 ssid = >In this paper, we propose a new method for Base NP translation, which contains two steps: (1) translation candidate collection, and (2) translation selection.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C02-1011.txt | Citing Article:  P04-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Cao and Li, 2002) acquire noun phrase translations by making use of web data.</S> | Reference Offset:  ['0','215'] | Reference Text:  <S sid = 0 ssid = >Base Noun Phrase Translation Using Web Data And The EM Algorithm</S><S sid = 215 ssid = >4.4 Web Data vs. Non-web Data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C02-1011.txt | Citing Article:  D07-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Cao and Li (2002) described a new method for base noun phrase translation by using Web data.</S> | Reference Offset:  ['0','42'] | Reference Text:  <S sid = 0 ssid = >Base Noun Phrase Translation Using Web Data And The EM Algorithm</S><S sid = 42 ssid = >2.2 Translation Using Web Data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C02-1011.txt | Citing Article:  W04-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We translate NN compounds by way of a two-phase procedure, incorporating generation and selection (similarly to Cao and Li (2002) and Langkilde and Knight (1998)).</S> | Reference Offset:  ['112','218'] | Reference Text:  <S sid = 112 ssid = >3.3 Translation Selection -- EM-TF-IDF.</S><S sid = 218 ssid = >We followed the Back-off strategy as in Section 4.3 to translate the 1000 Base NPs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C02-1011.txt | Citing Article:  W04-0404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >One piece of research relatively closely related to our method is that of Cao and Li (2002), who use bilingual bootstrapping over Chinese and English web data in various forms to translate Chinese NN compounds into English.</S> | Reference Offset:  ['10','62'] | Reference Text:  <S sid = 10 ssid = >in Chinese).</S><S sid = 62 ssid = >Chinese:</S> | Discourse Facet:  NA | Annotator: Automatic


