Citance Number: 1 | Reference Article:  W02-0902.txt | Citing Article:  C10-2070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2002) combine a vector-space approach with other clues such as orthographic similarity and frequency.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We combine various clues such as cognates, similar context, preservation of word similarity, and word frequency.</S><S sid = NA ssid = NA>The similarity and frequency clues, however, seem to be too imprecise to pinpoint the search to the correct translations.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W02-0902.txt | Citing Article:  P08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Also, as in Koehn and Knight (2002), we make use of a seed lexicon, which consists of a small, and perhaps incorrect, set of initial translation pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are trying to build a one-to-one GermanEnglish translation lexicon for the use in a machine translation system.</S><S sid = NA ssid = NA>The important point here is that we have generated a similarity matrix, which we will use now to find new translation word pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-0902.txt | Citing Article:  P08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The second method is to heuristically induce, where applicable, a seed lexicon using edit distance, as is done in Koehn and Knight (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In related work, string edit distance (or, Levenshtein distance) has been used [Mann and Yarowski, 2001].</S><S sid = NA ssid = NA>The counts are then normalized by a using the tf/idf method which is often used in information retrieval [Jones, 1979].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-0902.txt | Citing Article:  P08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In order to explore system robustness to heuristically chosen seed lexicons, we automatically extracted a seed lexicon similarly to Koehn and Knight (2002): we ran EDITDIST on EN-ES-D and took the top 100 most confident translation pairs.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For experiments on training probabilistic translation lexicons from parallel corpora and similar tasks on the same test corpus, refer to our earlier work [Koehn and Knight, 2000, 2001].</S><S sid = NA ssid = NA>Clearly, a seed lexicon to bootstrap these methods is needed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-0902.txt | Citing Article:  P08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, we attempted to run an experiment as similar as possible in setup to Koehn and Knight (2002), using English Gigaword and German Europarl.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Or: dog is similar to cat in English, as Hund is similar to Katze in German.</S><S sid = NA ssid = NA>Besides this linear combination of scores from the different clues, more sophisticated methods may be possible [Koehn, 2002].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-0902.txt | Citing Article:  P08-1088.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this setting, our MCCA system yielded 61.7% accuracy on the 186 most confident predictions compared to 39% reported in Koehn and Knight (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Noun translation accuracy of 39% scored against a parallel test corpus could be achieved.</S><S sid = NA ssid = NA>Experimental results for the construction of a German-English noun lexicon are reported.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-0902.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2002) describe few potential clues that may help in extracting bilingual lexicon from two monolingual corpora such as identical words, similar spelling, and similar context features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>One strategy is to define two words as similar if they occur in a similar context.</S><S sid = NA ssid = NA>This section will describe clues that enable us to find translations of words of the two monolingual corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-0902.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2002) map 976 identical word pairs that are found in their two monolingual German-English corpora and report that 88.0 percent of them are correct.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When checking them against a benchmark lexicon, we found these mappings to be 88% correct.</S><S sid = NA ssid = NA>We add this word pair to the lexicon, and drop word pairs that include either the German and English word from further search.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-0902.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2002) mention few related works that use different measurement to compute the similarity, such as longest common subsequence ratio (Melamed, 1995) and string edit distance (Mann 10 and Yarowski, 2001).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This measurement is called longest common subsequence ratio [Melamed, 1995].</S><S sid = NA ssid = NA>In related work, string edit distance (or, Levenshtein distance) has been used [Mann and Yarowski, 2001].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W02-0902.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, Koehn and Knight (2002) point out that majority of their word pairs do not show much resemblance at all since they use German-English language pair.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Obviously, the vast majority of word pairs can not be collected this way, since their spelling shows no resemblance at all.</S><S sid = NA ssid = NA>We add this word pair to the lexicon, and drop word pairs that include either the German and English word from further search.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W02-0902.txt | Citing Article:  W09-1702.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2002) present one interesting idea of using extracted cognate pairs from corpus as the seed words in order to alleviate the need of huge, initial bilingual lexicon.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In an experiment where we identified the best lexical entries using a very large parallel corpus, we could achieve 89% accuracy on this test corpus. many correct lexicon entries where added (Entries), and how well the resulting translation lexicon performs compared to the actual wordlevel translations in a parallel corpus (Corpus).</S><S sid = NA ssid = NA>This idea has already been investigated in earlier work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W02-0902.txt | Citing Article:  C04-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These may be learned using the described methods.</S><S sid = NA ssid = NA>Obviously, the vast majority of word pairs can not be collected this way, since their spelling shows no resemblance at all.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W02-0902.txt | Citing Article:  C04-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Koehn and Knight (2002) derived such a seed lexicon from German-English cognates which were selected by using string similarity criteria.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Tiedemann [1999] explores the automatic construction of a string similarity measure that learns which letter changes occur more likely between cognates of two languages.</S><S sid = NA ssid = NA>The similarity of two context vectors a = (ai) and b = (bi) is then defined by:3 The result of all this is a matrix with similarity scores between all German words, and second one with similarity scores between all English words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W02-0902.txt | Citing Article:  E12-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Other methods such as (Koehn and Knight, 2002) try to design a bootstrapping algorithm based on an initial seed lexicon of translations and various lexical evidences.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Clearly, a seed lexicon to bootstrap these methods is needed.</S><S sid = NA ssid = NA>Recently, there has been a surge in research in machine translation that is based on empirical methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W02-0902.txt | Citing Article:  E12-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Koehn and Knight (2002), we have also employed simple transformation rules for the adoption of words from one language to another.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As already mentioned, there are some wellestablished transformation rules for the adoption of words from a foreign language.</S><S sid = NA ssid = NA>Intuitively it is obvious that pairs of words that are similar in one language should have translations that are similar in the other language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W02-0902.txt | Citing Article:  E12-1046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The previous approach relying on work from Koehn and Knight (2002) has been outperformed in terms of precision and coverage.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Their approach to constructing and comparing context vectors differs significantly from methods discussed in the previous section.</S><S sid = NA ssid = NA>For experiments on training probabilistic translation lexicons from parallel corpora and similar tasks on the same test corpus, refer to our earlier work [Koehn and Knight, 2000, 2001].</S> | Discourse Facet:  NA | Annotator: Automatic


