Citance Number: 1 | Reference Article:  W04-3103.txt | Citing Article:  P07-1125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The most clearly relevant study is Light et al (2004) where the focus is on introducing the problem, exploring annotation issues and outlining potential applications rather than on the specificities of the ML approach, though they do present some results using a manually crafted substring matching classifier and a supervised SVM on a collection of Medline abstracts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since results obtained were similar we present only results using stemming and no weights.</S><S sid = NA ssid = NA>For example a human language technology workshop will be held this Spring entitled “Exploring Attitude and Affect in Text: Theories and Applications.” (Qu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W04-3103.txt | Citing Article:  P08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Previous studies (Light et al, 2004) showed that the detection of hedging can be solved effectively by looking for specific keywords which imply that the content of a sentence is speculative and constructing simple expert rules that describe the circumstances of where and how a key word should appear.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There has also been some work on constructing test sets for knowledge discovery.</S><S sid = NA ssid = NA>For example, (Friedman et al., 1994) discusses uncertainty and hedging in radiology reports and their system assigns one of five levels of certainty to extracted findings.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W04-3103.txt | Citing Article:  P08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Results obtained adding external dictionaries In our final model we added the keywords used in (Light et al, 2004) and those gathered for our ICD 9-CM hedge detection module.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Since results obtained were similar we present only results using stemming and no weights.</S><S sid = NA ssid = NA>In fact the final sentence contains a speculation more often than not.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3103.txt | Citing Article:  P08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Baseline 1 denotes the substring matching system of Light et al (Light et al, 2004) and Baseline 2de notes the system of Medlock and Briscoe (Medlock and Briscoe, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Another baseline option is to use a set of strings and look for them as substrings in the sentences.</S><S sid = NA ssid = NA>We have started this process by considering (Hyland, 1998) and (Harris et al., 1989).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3103.txt | Citing Article:  P08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For clinical free texts, Baseline 1 is an out-domain model since the keywords were collected for scientific texts by (Light et al, 2004) .</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research focuses on newswire texts and other texts on the topic of politics and current events.</S><S sid = NA ssid = NA>The following people performed the annotations: Padmini Srinivasan, who has analyzed crohns and turmeric documents for a separate knowledge discover research task, Xin Ying Qiu, who is completely new to all three topics, Marc Light, who has some experience with gene regulation texts (e.g., (Light et al., 2003)), Vladimir Leontiev, who is a research scientist in an anatomy and cell biology department.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3103.txt | Citing Article:  P08-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our finding that token unigram features are capable of solving the task accurately agrees with the the results of previous work son hedge classification ((Light et al, 2004), (Med 287 lock and Briscoe, 2007)), and we argue that 2-3 word-long phrases also play an important role as hedge cues and as non-speculative uses of an otherwise speculative keyword as well (i.e. to resolve an ambiguity).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We give accuracy on the categorization task and precision and recall numbers for finding speculative sentences.</S><S sid = NA ssid = NA>Differentiating between speculative and definite statements is one part of finding such statement pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3103.txt | Citing Article:  W08-0607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In recent years, there has been increasing interest in the speculative aspect of biomedical language (Light et al, 2004, Wilbur et al, 2006, Medlock and Briscoe, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example a human language technology workshop will be held this Spring entitled “Exploring Attitude and Affect in Text: Theories and Applications.” (Qu et al., 2004).</S><S sid = NA ssid = NA>We have started this process by considering (Hyland, 1998) and (Harris et al., 1989).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3103.txt | Citing Article:  W08-0607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In general, these studies focus on issues regarding annotating speculation and approach the problem of recognizing speculation as a text classification problem, using the well-known bag of words method (Light et al 2004, Medlock and Briscoe, 2007) or simple substring matching (Light et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Future work concerning manual annotation would include revising the guidelines, throwing out the High vs. Low distinction, annotating more data, annotating sub-sentential units, annotating the focus of the speculation (e.g., a gene), and annotating full text articles.</S><S sid = NA ssid = NA>If we assume a default strategy as a simple baseline, where the majority decision is always made, then we get an accuracy of 82% for the classification problem on the last two sentences data set and 89% for the all sentences data set.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3103.txt | Citing Article:  W08-0607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Light et al (2004) explore issues with annotating speculative language in biomedicine and out line potential applications.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We explore the use of speculative language in MEDLINE abstracts.</S><S sid = NA ssid = NA>For example a human language technology workshop will be held this Spring entitled “Exploring Attitude and Affect in Text: Theories and Applications.” (Qu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3103.txt | Citing Article:  W08-0607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Light et al (2004) report low inter-annotator agreement in distinguishing low speculative sentences from highly speculative ones.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this experiment, four human annotators manually marked sentences as highly speculative, low speculative, or definite.</S><S sid = NA ssid = NA>Some of the questions we hoped to answer with this experiment were: can we characterize what a speculative sentence is (as demonstrated by good inter-annotator agreement), can a distinction between high and low speculation be made, how much speculative speech is there, where are speculative sentences located in the abstract, is there variation across topics?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3103.txt | Citing Article:  W08-0607.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, we used the substring matching method reported in Light et al (2004), which labels sentences containing one of more of the following as speculative: suggest, potential, likely, may, at least ,inpart ,possibl, further investigation, unlikely ,putative, insights, point toward, promise and propose (Baseline1).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The following 14 strings were identified by Light while annotating the gene regulation abstracts (sets a&b): suggest, potential, likely, may, at least, in part, possibl, potential, further investigation, unlikely, putative, insights, point toward, promise, propose.</S><S sid = NA ssid = NA>The substring method was run on a subset of the datasets where the gene regulation data (sets a&b) was removed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-3103.txt | Citing Article:  W10-3010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, on line product and movie reviews have provided a rich context for analyzing sentiments and opinions in text (see Pang and Lee (2008) for a recent survey), while tentative, speculative nature of scientific writing, particularly in biomedical literature, has provided impetus for recent research in speculation detection (Light et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The PubMed identifier is provided following each sentence.</S><S sid = NA ssid = NA>We know of no work specifically on speculative speech in the context of text processing of bioscience literature.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-3103.txt | Citing Article:  D11-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We collected cue phrases for such a content shifted sentence detection from the dataset adapters can be found as the supplementary material 765 works of Chapman et al (2007), Light et al (2004) and Vincze et al (2008) and from the experiments of Farkas and Szarvas (2008) and Farkas et al (2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have started this process by considering (Hyland, 1998) and (Harris et al., 1989).</S><S sid = NA ssid = NA>For example a human language technology workshop will be held this Spring entitled “Exploring Attitude and Affect in Text: Theories and Applications.” (Qu et al., 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-3103.txt | Citing Article:  P09-2044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Light et al (2004) present a study on an notating hedges in biomedical documents.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this study we only considered annotations at the sentence level.</S><S sid = NA ssid = NA>The following people performed the annotations: Padmini Srinivasan, who has analyzed crohns and turmeric documents for a separate knowledge discover research task, Xin Ying Qiu, who is completely new to all three topics, Marc Light, who has some experience with gene regulation texts (e.g., (Light et al., 2003)), Vladimir Leontiev, who is a research scientist in an anatomy and cell biology department.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-3103.txt | Citing Article:  P09-2044.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The overall inter-annotator agreement was = 0.65, which is similar to what Light et al (2004) report but worse than Medlock and Briscoe' s (2007) results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our inter-annotator agreement results are expressed in the following four tables.</S><S sid = NA ssid = NA>Since results obtained were similar we present only results using stemming and no weights.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-3103.txt | Citing Article:  W10-3013.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>And as we expected, the feature that represents whether the word is in the hedge list or not is very useful especially in hedge cue finding, indicating that methods based on a hedge cue lists (Light et al, 2004) or keyword selection (Szarvas, 2008) are quite significant way to accomplish such tasks.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The general idea behind the low speculative level was that the authors expressed a statement in such a way that it is clear that it follows almost directly from results but not quite.</S><S sid = NA ssid = NA>In addition, an experiment with automated methods also suggest that reliable automated methods might also be developed.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W04-3103.txt | Citing Article:  W10-3016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Light et al (2004) started to do annotations on biomedicine article abstracts, and conducted the preliminary work of automatic classification for uncertainty.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The gene regulation annotations marked by Light (sets a & b using only Light’s annotations) can be used to answer questions about the position of speculative fragments in abstracts.</S><S sid = NA ssid = NA>The work presented here is preliminary but promising.</S> | Discourse Facet:  NA | Annotator: Automatic


