Citance Number: 1 | Reference Article:  W04-3111.txt | Citing Article:  W05-1306.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We omit discussion here of the corpus currently in production by the University of Pennsylvania and the Children's Hospital of Philadelphia (Kulick et al 2004), since it is not yet available in finished form.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are collaborating with researchers in the Division of Oncology at The Children’s Hospital of Philadelphia, with the goal of automatically mining the corpus of cancer literature for those associations that link specified variations in individual genes with known malignancies.</S><S sid = NA ssid = NA>We also plan to make publicly available the corpus and associated statistical taggers.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W04-3111.txt | Citing Article:  W08-0605.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the biomedical domain, for example, several annotated corpora such as GENIA (Kim et al, 2003), PennBioIE (Kulick et al, 2004), and GENETAG (Tanabe et al, 2005) have been created and made publicly available, but the named entity categories annotated in these corpora are tailored to their specific needs and not always sufficient or suit able for text mining tasks that other researchers need to address.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have been influenced in this by previous work in annotation for biomedical information extraction (Ohta et al., 2002; Gaizauskas et al., 2003).</S><S sid = NA ssid = NA>Work over the last few years in literature data mining for biology has progressed from linguistically unsophisticated models to the adaptation of Natural Language Processing (NLP) techniques that use full parsers (Park et al., 2001; Yakushiji et al., 2001) and coreference to extract relations that span multiple sentences (Pustejovsky et al., 2002; Hahn et al., 2002) (For an overview, see (Hirschman et al., 2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W04-3111.txt | Citing Article:  P07-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our annotation guidelines are based on those developed for annotating full sub-NP structure in the biomedical domain (Kulick et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here we give a summary of the main features of the annotation guidelines that have been developed.</S><S sid = NA ssid = NA>We have been influenced in this by previous work in annotation for biomedical information extraction (Ohta et al., 2002; Gaizauskas et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3111.txt | Citing Article:  D07-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the second adaptation task we were given a large collection of unlabeled data in the chemistry domain (Kulick et al 2004) as well as a test set of 5000 tokens (200 sentences) to parse (eng-lish_pchemtbtb_test.conll).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Work over the last few years in literature data mining for biology has progressed from linguistically unsophisticated models to the adaptation of Natural Language Processing (NLP) techniques that use full parsers (Park et al., 2001; Yakushiji et al., 2001) and coreference to extract relations that span multiple sentences (Pustejovsky et al., 2002; Hahn et al., 2002) (For an overview, see (Hirschman et al., 2002)).</S><S sid = NA ssid = NA>Tokens are somewhat more fine-grained than in the Penn Treebank, so that H-ras, e.g., would consist of three tokens: H, -, and ras.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3111.txt | Citing Article:  W07-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Their corpus contains MEDLINE abstracts on the inhibition of the enzyme CYP450 (Kulick et al, 2004), specifically those abstracts that contain at least one overlapping and one discontinuous annotation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are currently annotating MEDLINE abstracts for both the oncology and CYP domains.</S><S sid = NA ssid = NA>For example, the family of words based on inhibit occurs commonly in MEDLINE abstracts about CYP enzymes (as in the example in the introduction) in patterns like A inhibited B, A inhibited the catalytic activity of B, inhibition of B by A, etc.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3111.txt | Citing Article:  W07-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Both the GENIA corpus (Kim et al, 2003) and the BioIE cytochrome P450 corpus (Kulick et al, 2004) come with named entity annotations that include a proportion of chemicals, and at least a few abstracts that are recognis able as chemistry abstracts.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have been influenced in this by previous work in annotation for biomedical information extraction (Ohta et al., 2002; Gaizauskas et al., 2003).</S><S sid = NA ssid = NA>Work over the last few years in literature data mining for biology has progressed from linguistically unsophisticated models to the adaptation of Natural Language Processing (NLP) techniques that use full parsers (Park et al., 2001; Yakushiji et al., 2001) and coreference to extract relations that span multiple sentences (Pustejovsky et al., 2002; Hahn et al., 2002) (For an overview, see (Hirschman et al., 2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3111.txt | Citing Article:  W07-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The BioIE P450 corpus (Kulick et al, 2004), by contrast, includes chemicals, proteins and other sub stances such as foodstuffs in a single category called substance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our approach instead is to build an annotated corpus in which the predicate-argument information is annotated on top of the parsing annotations in the Treebank, the resulting corpus being called a “proposition bank” or Propbank.</S><S sid = NA ssid = NA>Work over the last few years in literature data mining for biology has progressed from linguistically unsophisticated models to the adaptation of Natural Language Processing (NLP) techniques that use full parsers (Park et al., 2001; Yakushiji et al., 2001) and coreference to extract relations that span multiple sentences (Pustejovsky et al., 2002; Hahn et al., 2002) (For an overview, see (Hirschman et al., 2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3111.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Aravind Joshi, Jeremy Lacivita, Paula Matuszek, Tom Morton, and Fernando Pereira for their comments.</S><S sid = NA ssid = NA>The project described in this paper is based at the Institute for Research in Cognitive Science at the University of Pennsylvania and is supported by grant EIA0205448 from the National Science Foundation’s Information Technology Research (ITR) program.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3111.txt | Citing Article:  C10-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Notable examples of corpus construction projects for the biomedical domain are PennBioIE (Kulick et al, 2004) and GENIA (Kim et al, 2003).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have been influenced in this by previous work in annotation for biomedical information extraction (Ohta et al., 2002; Gaizauskas et al., 2003).</S><S sid = NA ssid = NA>This is similar to other work in biomedical extraction projects (Hirschman et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3111.txt | Citing Article:  N07-2041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar to the approach in (Miller et al, 2000) and (Kulick et al, 2004), our parser integrates both syntactic and semantic annotations into a single annotation as shown in Figure 2.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The flowchart for the annotation process is shown in Figure 1.</S><S sid = NA ssid = NA>This is similar to other work in biomedical extraction projects (Hirschman et al., 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3111.txt | Citing Article:  C08-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would like to thank Aravind Joshi, Jeremy Lacivita, Paula Matuszek, Tom Morton, and Fernando Pereira for their comments.</S><S sid = NA ssid = NA>The project described in this paper is based at the Institute for Research in Cognitive Science at the University of Pennsylvania and is supported by grant EIA0205448 from the National Science Foundation’s Information Technology Research (ITR) program.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-3111.txt | Citing Article:  W06-3320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, there is some evidence suggesting that standoff annotation and embedded XML are the two most highly preferred corpus annotation formats, and second, these for mats are employed by the two largest extant curated biomedical corpora, GENIA (Kim et al, 2001) and BioIE (Kulick et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As has been noted in the literature on biomedical IE (e.g., (Pustejovsky et al., 2002; Yakushiji et al., 2001)), the same relation can take a number of syntactic forms.</S><S sid = NA ssid = NA>Work over the last few years in literature data mining for biology has progressed from linguistically unsophisticated models to the adaptation of Natural Language Processing (NLP) techniques that use full parsers (Park et al., 2001; Yakushiji et al., 2001) and coreference to extract relations that span multiple sentences (Pustejovsky et al., 2002; Hahn et al., 2002) (For an overview, see (Hirschman et al., 2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-3111.txt | Citing Article:  D07-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The development data was 200 sentences of labeled biomedical oncology text (BIO, the ONCO portion of the Penn Biomedical Treebank), as well as 200K unlabeled sentences (Kulick et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Work over the last few years in literature data mining for biology has progressed from linguistically unsophisticated models to the adaptation of Natural Language Processing (NLP) techniques that use full parsers (Park et al., 2001; Yakushiji et al., 2001) and coreference to extract relations that span multiple sentences (Pustejovsky et al., 2002; Hahn et al., 2002) (For an overview, see (Hirschman et al., 2002)).</S><S sid = NA ssid = NA>In a Propbank for biomedical text, the types of inhibit examples listed above would consistently have their compounds labeled as Arg0 and their enzymes labeled as Arg1, for nominalized forms such as A is an inhibitor of B, A caused inhibition of B, inhibition of B by A, as well the standard A inhibits B.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-3111.txt | Citing Article:  W10-1906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on an analysis of the PennBioIE corpus (Kulick et al, 2004), detailed distributional results are provided on alternation patterns for several nominalizations with high frequency of occurrence in biomedical text, such as activation and treatment.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This text, being a financial domain, differs in significant ways from the biomedical text, and so it is necessary for this approach to have a corpus of biomedical texts such as MEDLINE articles annotated for both syntactic structure (Treebanking) and shallow semantic structure (Propbanking).</S><S sid = NA ssid = NA>We have been influenced in this by previous work in annotation for biomedical information extraction (Ohta et al., 2002; Gaizauskas et al., 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-3111.txt | Citing Article:  P09-1117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>From the sub language biology domain, we used the oncology part of the PENNBIOIE corpus (Kulick et al,2004) and removed all but three gene entity subtypes (generic, protein, and rna).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, it is sometimes unclear as to whether it is the gene or protein being referenced, or the same name might refer to the gene or the protein at different locations in the same document.</S><S sid = NA ssid = NA>Work over the last few years in literature data mining for biology has progressed from linguistically unsophisticated models to the adaptation of Natural Language Processing (NLP) techniques that use full parsers (Park et al., 2001; Yakushiji et al., 2001) and coreference to extract relations that span multiple sentences (Pustejovsky et al., 2002; Hahn et al., 2002) (For an overview, see (Hirschman et al., 2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-3111.txt | Citing Article:  W09-1321.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Co hen et al, 2008) investigated syntactic alternations of verbs and their nominalized forms which occurred in the PennBioIE corpus (Kulick et al, 2004), whilst keeping PASs of the PASBio in their minds. The BioFrameNet (Dolbey et al, 2006) is an at tempt to extend the FrameNet with specific frames to the bio-medical domain, and to apply the frames to corpus annotation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As has been noted in the literature on biomedical IE (e.g., (Pustejovsky et al., 2002; Yakushiji et al., 2001)), the same relation can take a number of syntactic forms.</S><S sid = NA ssid = NA>Work over the last few years in literature data mining for biology has progressed from linguistically unsophisticated models to the adaptation of Natural Language Processing (NLP) techniques that use full parsers (Park et al., 2001; Yakushiji et al., 2001) and coreference to extract relations that span multiple sentences (Pustejovsky et al., 2002; Hahn et al., 2002) (For an overview, see (Hirschman et al., 2002)).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W04-3111.txt | Citing Article:  I05-2038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar attempt of constructing integrated corpora is being done in University of Pennsylvania, where a corpus of MEDLINE abstracts in CYP450 and oncology domains where annotated for named entities, POS, and tree structure of sentences (Kulick et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are currently annotating MEDLINE abstracts for both the oncology and CYP domains.</S><S sid = NA ssid = NA>Annotation has been proceeding for both the oncology and the inhibition domains.</S> | Discourse Facet:  NA | Annotator: Automatic


