Citance Number: 1 | Reference Article:  H92-1045.txt | Citing Article:  P92-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Fortunately, we have found in (Gale et al, 1992) that the agreement rate can be very high (96.8%), which is well above the baseline, under very different experimental conditions.</S> | Reference Offset:  ['93','95'] | Reference Text:  <S sid = 93 ssid = >Table 4 shows that there was very high agreement among the judges.</S><S sid = 95 ssid = >The agree- ment rate was 96.8%, averaged over all judges, or 99.1%, averaged over the four best judges.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  H92-1045.txt | Citing Article:  W03-1807.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It has been claimed (by Gale et al 1992) on the basis of corpus analysis that to a very large extent a word keeps the same meaning throughout a text.</S> | Reference Offset:  ['1','13'] | Reference Text:  <S sid = 1 ssid = >ABSTRACT It is well-known that there are polysemous words like sentence whose "meaning" or "sense" depends on the context of use.</S><S sid = 13 ssid = >Rather than depending on small amounts of hand-tagged text, we have been making use of relatively large amounts of parallel text, text such as the Canadian Hansards, which are available in multiple languages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H92-1045.txt | Citing Article:  P98-1045.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is a reasonable restriction supported by empirical evidence (see also (Gale et al 1992)).</S> | Reference Offset:  ['32','76'] | Reference Text:  <S sid = 32 ssid = >Clearly, we need to be fairly careful given that we have so many parameters and so little evidence.</S><S sid = 76 ssid = >2 A simple (but non-blind) preliminary experiment provided some suggestive evidence confirming the hypothesis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H92-1045.txt | Citing Article:  C10-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, if two NPs are the same string in a given document, then it is more likely than not that they have the same semantic subtype according to the 'one sense per discourse' hypothesis (Gale et al., 1992).</S> | Reference Offset:  ['4','50'] | Reference Text:  <S sid = 4 ssid = >That is, if a polysemous word such as sentence appears two or more times in a well-written discourse, it is extremely likely that they will all share the same sense.</S><S sid = 50 ssid = >The second condition, for example, would exclude bank, perhaps the canoni- cal example of a polysemous noun, since there are very few instances of the "river" sense of bank in our corpus of Canadian Hansards.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H92-1045.txt | Citing Article:  W04-0403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this case we cannot accept the general assumption of one sense per discourse (Gale et al, 1992), because words such as line, large in English or kljuch in Russian can function in the same discourse in a totally different sense.</S> | Reference Offset:  ['58','101'] | Reference Text:  <S sid = 58 ssid = >Moreover, the assumption that differences in translation correspond to differences in word-sense has always been somewhat suspect.</S><S sid = 101 ssid = >In other words, there is a very strong tendency (98%) for multiple uses of a word to share the same sense in well-written coherent discourse.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H92-1045.txt | Citing Article:  W09-2404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In the original one sense per discourse study, Gale et al (1992b) considered a sample of 9 polysemous English words.</S> | Reference Offset:  ['46','66'] | Reference Text:  <S sid = 46 ssid = >A Small Study We have looked at six polysemous nouns in some de- tail: duty, drug, land, language, position and sentence, as shown in Table 1.</S><S sid = 66 ssid = >Table 3 below shows a sample of the 30,924 concordances for the words in category 348.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H92-1045.txt | Citing Article:  W09-2404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','135'] | Reference Text:  <S sid = 42 ssid = >In fact, just as they had anticipated, we have found that only 2% of the vocabulary in the Federalist corpus has significantly different probabilities depending on the author.</S><S sid = 135 ssid = >Yarowsky, David (1991) "Word-Sense Disamhigua- tion Using Statistical Models of Rogets Categories Trained on Large Corpora", submitted to COLING- 92.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H92-1045.txt | Citing Article:  W09-2404.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >While these numbers are not as high as the 94% agreement reported by Gale et al (1992b) in their empirical study, they still strongly support the one translation per discourse hypothesis.</S> | Reference Offset:  ['93','100'] | Reference Text:  <S sid = 93 ssid = >Table 4 shows that there was very high agreement among the judges.</S><S sid = 100 ssid = >If we assume a mixture of 60% un- ambiguous words and 40% polysemous words, then the probability moves from 94% to 100% x .60 + 94% x .40 98%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H92-1045.txt | Citing Article:  W11-2403.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >If more than one match of the same term is found in a document, we assume one sense-per-discourse (Gale et al, 1992) and jointly extract features for all matches of the term.</S> | Reference Offset:  ['21','129'] | Reference Text:  <S sid = 21 ssid = >Our word-sense disambiguation algorithm uses the words in a 100-word context 1 surrounding the polysemous word very much like the other two applications use the words in a test document.</S><S sid = 129 ssid = >Gale, Church, and Yarowsky, 1992, "Discrimination Decisions for 100,000-Dimensional Spaces" AT&T Statistical Research Report No.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H92-1045.txt | Citing Article:  W04-1218.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Addressing word sense disambiguation, Gale et al (1992) introduced the idea of a word sense located at the discourse-level and observed a 93 strong one-sense-per-discourse tendency, i.e. several occurrences of a polysemous word form have a tendency to belong to the same semantic class within one discourse.</S> | Reference Offset:  ['101','109'] | Reference Text:  <S sid = 101 ssid = >In other words, there is a very strong tendency (98%) for multiple uses of a word to share the same sense in well-written coherent discourse.</S><S sid = 109 ssid = >Thus, it appears that one-sense-per-discourse tendency is also fairly strong in the Brown Corpus (102/106 ~ 96%), as well as in the Groliers Encyclopedia.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H92-1045.txt | Citing Article:  D07-1074.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Nonetheless, there are a non-negligible number of cases in which the one sense per discourse assumption (Gale et al, 1992) does not hold.</S> | Reference Offset:  ['29','94'] | Reference Text:  <S sid = 29 ssid = >It is a non-trivial task to estimate such a large number of pa- rameters, especially given the sparseness of the training data.</S><S sid = 94 ssid = >With the exception of judge 2, all of the judges agreed with the majority opinion in all but one or two of the 82 cases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H92-1045.txt | Citing Article:  W10-2602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This effect of "meaning consistency" also known as the principle of "one sense per discourse" has been applied in word sense disambiguation with quite some success (Gale et al., 1992).</S> | Reference Offset:  ['1','119'] | Reference Text:  <S sid = 1 ssid = >ABSTRACT It is well-known that there are polysemous words like sentence whose "meaning" or "sense" depends on the context of use.</S><S sid = 119 ssid = >Perhaps the word-sense disambiguation problem is not as difficult as we might have thought.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H92-1045.txt | Citing Article:  H05-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This property tends to hold for correct classifiers (Gale et al, 1992a), at least for homonyms.</S> | Reference Offset:  ['73','122'] | Reference Text:  <S sid = 73 ssid = >Yarowsky (1991) reports 93% correct disambiguation, averaged over the following words selected from the word-sense disambiguation liter- ature: bow, bass, galley, mole, sentence, slug, star, duty, issue, taste, cone, interest.</S><S sid = 122 ssid = >CONCLUSION In conclusion, it appears that our hypothesis correct; well-written discourses tend to avoid multiple senses of a polysemous word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H92-1045.txt | Citing Article:  H05-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','135'] | Reference Text:  <S sid = 42 ssid = >In fact, just as they had anticipated, we have found that only 2% of the vocabulary in the Federalist corpus has significantly different probabilities depending on the author.</S><S sid = 135 ssid = >Yarowsky, David (1991) "Word-Sense Disamhigua- tion Using Statistical Models of Rogets Categories Trained on Large Corpora", submitted to COLING- 92.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H92-1045.txt | Citing Article:  H05-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','135'] | Reference Text:  <S sid = 42 ssid = >In fact, just as they had anticipated, we have found that only 2% of the vocabulary in the Federalist corpus has significantly different probabilities depending on the author.</S><S sid = 135 ssid = >Yarowsky, David (1991) "Word-Sense Disamhigua- tion Using Statistical Models of Rogets Categories Trained on Large Corpora", submitted to COLING- 92.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H92-1045.txt | Citing Article:  H05-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['42','135'] | Reference Text:  <S sid = 42 ssid = >In fact, just as they had anticipated, we have found that only 2% of the vocabulary in the Federalist corpus has significantly different probabilities depending on the author.</S><S sid = 135 ssid = >Yarowsky, David (1991) "Word-Sense Disamhigua- tion Using Statistical Models of Rogets Categories Trained on Large Corpora", submitted to COLING- 92.</S> | Discourse Facet:  NA | Annotator: Automatic


