Citance Number: 1 | Reference Article:  J00-3003.xml | Citing Article:  W13-4047.xml | Citation Marker Offset:  ['13'] | Citation Marker:  Stolcke et al., 2000 | Citation Offset:  ['13','14'] | Citation Text:  <S sid ="13" ssid = "2">(Stolcke et al., 2000) use HMMs for dialogue modelling, where sequences of observations correspond to sequences of dialogue act types.</S><S sid ="14" ssid = "3">They also explore the performance with decision trees and neural networks and report their highest accuracy at 65% on the Switchboard corpus.</S> | Reference Offset:  ['214', '358', '392','394'] | Reference Text:  <S sid ="214" ssid = "37">The importance of the Markov assumption for the discourse grammar is that we can now view the whole system of discourse grammar and local utterance-based likelihoods as a kth-order hidden Markov model (HMM) (Rabiner and Juang 1986).</S><S sid ="358" ssid = "89">We conducted preliminary experiments to assess how neural networks compare to decision trees for the type of data studied here.</S><S sid ="392" ssid = "123">Table 9 Combined utterance classification accuracies (chance = 35%).</S><S sid ="394" ssid = "125">Discourse Grammar Accuracy (%) Prosody Recognizer Combined None 38.9 42.8 56.5 Unigram 48.3 61.8 62.4 Bigram 49.7 64.3 65.0 Table 10 Accuracy (in %) for individual and combined models for two subtasks, using uniform priors (chance = 50%).</S> | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |

Citance Number: 5 | Reference Article:  J00-3003.xml | Citing Article:  W13-4011.xml | Citation Marker Offset:  ['1'] | Citation Marker:  Stolcke et al., 2000 | Citation Offset:  ['1','2'] | Citation Text:  <S sid ="1" ssid = "1">Conversational feedback is mostly performedthrough short utterances such as yeah, mh, okaynot produced by the main speaker but by one ofthe other participants of a conversation.</S><S sid ="2" ssid = "2">Such utterances are among the most frequent in conversational data (Stolcke et al., 2000).</S> | Reference Offset:  ['155', '156'] | Reference Text:  <S sid ="155" ssid = "75">A backchannel is a short utterance that plays discourse-structuring roles, e.g., indicating that the speaker should go on talking.</S><S sid ="156" ssid = "76">These are usually referred to in the conversation analysis literature as &quot;continuers&quot; and have been studied extensively (Jefferson 1984; Schegloff 1982; Yngve 1970).</S> | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 6 | Reference Article:  J00-3003.xml | Citing Article:  W01-1627.xml | Citation Marker Offset:  ['18'] | Citation Marker:  2000 | Citation Offset:  ['18'] | Citation Text:  <S sid ="18" ssid = "18">Previous research has leveraged prosodic cues (Sridhar et al., 2009; Stolcke et al., 2000) and facial expressions (Boyer et al., 2011) for automatic dialogue act classification, but other types of nonverbal cues remain unexplored.</S> | Reference Offset:  ['38'] | Reference Text:  <S sid ="38" ssid = "38">Tag STATEMENT BACKCHANNEL/ACKNOWLEDGE OPINION ABANDONED/UNINTERPRETABLE AGREEMENT/ACCEPT APPRECIATION YEs-No-QUESTION NONVERBAL YES ANSWERS CONVENTIONAL-CLOSING WH-QUESTION NO ANSWERS RESPONSE ACKNOWLEDGMENT HEDGE DECLARATIVE YES-No-QuESTION OTHER BACKCHANNEL-QUESTION QUOTATION SUMMARIZE/REFORMULATE AFFIRMATIVE NON-YES ANSWERS ACTION-DIRECTIVE COLLABORATIVE COMPLETION REPEAT-PHRASE OPEN-QUESTION RHETORICAL-QUESTIONS HOLD BEFORE ANSWER/AGREEMENT REJECT NEGATIVE NON-NO ANSWERS SIGNAL-NON-UNDERSTANDING OTHER ANSWERS CONVENTIONAL-OPENING OR-CLAUSE DISPREFERRED ANSWERS 3RD-PARTY-TALK OFFERS, OPTIONS ~ COMMITS SELF-TALK D OWNPLAYER MAYBE/AcCEPT-PART TAG-QUESTION DECLARATIVE WH-QUESTION APOLOGY THANKING Example % Me, I&apos;m in the legal department.</S> | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 7 | Reference Article:  J00-3003.xml | Citing Article:  N13-1099.xml | Citation Marker Offset:  ['18'] | Citation Marker:  Stolcke et al.,2000 | Citation Offset:  ['17','18'] | Citation Text:  <S sid ="17" ssid = "1">Dialog act (DA) annotations and tagging, inspiredby the speech act theory of Austin (1975) and Searle(1976), have been used in the NLP community to understand and model dialog.</S><S sid ="18" ssid = "2">Initial work was done onspoken interactions (see for example (Stolcke et al.,2000)).</S> | Reference Offset:  ['21', '22', '27'] | Reference Text:  <S sid ="22" ssid = "22">While there is hardly consensus on exactly how discourse structure should be described, some agreement exists that a useful first level of analysis involves the identification of dialogue acts (DAs).</S><S sid ="27" ssid = "27">Thus, DAs can be thought of as a tag set that classifies utterances according to a combination of pragmatic, semantic, and syntactic criteria.</S> | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 8 | Reference Article:  J00-3003.xml | Citing Article:  H01-1001.xml | Citation Marker Offset:  ['95'] | Citation Marker:  2000 | Citation Offset:  ['95','96'] | Citation Text:  <S sid ="95" ssid = "14">dialogue acts such as statements, questions, backchannels, ... are detected using a language model based detec­tor trained on Switchboard similar to Stolcke et al.</S><S sid ="96" ssid = "15">(2000</S> | Reference Offset:  ['64', '67', '81'] | Reference Text:  <S sid ="64" ssid = "64">&lt;.1% Hey thanks a lot &lt;.1% The goal of this article is twofold: On the one hand, we aim to present a comprehensive framework for modeling and automatic classification of DAs, founded on well-known statistical methods.</S><S sid ="67" ssid = "67">However, our framework generalizes earlier models, giving us a clean probabilistic approach for performing DA classification from unreliable words and nonlexical evidence.</S><S sid ="81" ssid = "1">The domain we chose to model is the Switchboard corpus of human-human conversational telephone speech (Godfrey, Holliman, and McDaniel 1992) distributed by the Linguistic Data Consortium.</S> | Discourse Facet:  Aim_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 9 | Reference Article:  J00-3003.xml | Citing Article:  N06-2021.xml | Citation Marker Offset:  ['66'] | Citation Marker:  Stolcke et al., 2000 | Citation Offset:  ['64','65','66'] | Citation Text:  <S sid ="64" ssid = "18">The HMM has been widely used in many tagging problems.</S><S sid ="65" ssid = "19">Stolcke et al.</S><S sid ="66" ssid = "20">(Stolcke et al., 2000) used it for dialog act classification, where each utterance (or dialog act) is used as the observation.</S> | Reference Offset:  ['66', '214', '215'] | Reference Text:  <S sid ="66" ssid = "66">For example, our model draws on the use of DA n-grams and the hidden Markov models of conversation present in earlier work, such as Nagata and Morimoto (1993, 1994) and Woszczyna and Waibel (1994) (see Section 7).</S><S sid ="214" ssid = "37">The importance of the Markov assumption for the discourse grammar is that we can now view the whole system of discourse grammar and local utterance-based likelihoods as a kth-order hidden Markov model (HMM) (Rabiner and Juang 1986).</S><S sid ="215" ssid = "38">The HMM states correspond to DAs, observations correspond to utterances, transition probabilities are given by the discourse grammar (see Section 4), and observation probabilities are given by the local likelihoods P(Eil Ui).</S> | Discourse Facet:  Aim_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 10 | Reference Article:  J00-3003.xml | Citing Article:  W12-1616.xml | Citation Marker Offset:  ['6'] | Citation Marker:  Stolcke et al., 2000 | Citation Offset:  ['6'] | Citation Text:  <S sid ="6" ssid = "6">By representing a higher level intention of utterancesduring human conversation, dialogue act labels arebeing used to enrich the information provided byspoken words (Stolcke et al., 2000).</S> | Reference Offset:  ['32', '33'] | Reference Text:  <S sid ="32" ssid = "32">Interactional dominance (Linell 1990) might be measured more accurately using DA distributions than with simpler techniques, and could serve as an indicator of the type or genre of discourse at hand.</S><S sid ="33" ssid = "33">In all these cases, DA labels would enrich the available input for higher-level processing of the spoken words.</S> | Discourse Facet:  Method_Facet | Annotator:  Muthu Kumar Chandrasekaran, NUS |


