Citance Number: 1 | Reference Article:  N07-1011.txt | Citing Article:  P08-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta et al (2007) present a system which uses an online learning approach to train a classifier to judge whether two entities are coreferential or not.</S> | Reference Offset:  ['82','112'] | Reference Text:  <S sid = 82 ssid = >All entity types are candidates for coreference (pronouns, named entities, and nominal entities).</S><S sid = 112 ssid = >Collins and Roark (2004) present an incremental perceptron algorithm for parsing that uses “early update” to update the parameters when an error is encountered.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  N07-1011.txt | Citing Article:  C10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, with the advent of the ACE data, many systems either evaluated only true mentions, i.e. mentions which are included in the annotation, the so-called key, or even received true information for mention boundaries, heads of mentions and mention type (Culotta et al, 2007, inter alia).</S> | Reference Offset:  ['86','119'] | Reference Text:  <S sid = 86 ssid = >All-X is true if all pairs share a feature X, Most-True-X is true if the majority of pairs share a feature X, and Most-False-X is true if most of the pairs do not share feature X.</S><S sid = 119 ssid = >Luo et al. (2004) do enable features between mention-cluster pairs, but do not perform the error-driven and ranking enhancements proposed in our work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N07-1011.txt | Citing Article:  C10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta et al (2007) introduce a first-order probabilistic model which implements features over sets of mentions.</S> | Reference Offset:  ['0','20'] | Reference Text:  <S sid = 0 ssid = >First-Order Probabilistic Models for Coreference Resolution</S><S sid = 20 ssid = >Conceptually, a first-order probabilistic model can be described quite compactly.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N07-1011.txt | Citing Article:  C10-1017.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['44','141'] | Reference Text:  <S sid = 44 ssid = >Exactly how to update the parameter vector is addressed by the second enhancement.</S><S sid = 141 ssid = >Any opinions, findings and conclusions or recommendations expressed in this material are the author(s)’ and do not necessarily reflect those of the sponsor.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N07-1011.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As we show, this combination of a pairwise model and strong features produces a 1.5 percentage point increase in B-Cubed F-Score over a complex model in the state-of-the-art system by Culotta et al. (2007), although their system uses a complex, non-pairwise model, computing features over partial clusters of mentions.</S> | Reference Offset:  ['14','84'] | Reference Text:  <S sid = 14 ssid = >This restriction can be detrimental if there exist features of sets of noun phrases that cannot be captured by a combination of pairwise features.</S><S sid = 84 ssid = >We follow Soon et al. (2001) and Ng and Cardie (2002) to generate most of our features for the Pairwise Model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N07-1011.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta et al (2007) introduced a model that predicts whether a pair of equivalence classes should be merged, using features computed over all the mentions in both classes.</S> | Reference Offset:  ['85','125'] | Reference Text:  <S sid = 85 ssid = >These include: The First-Order Model includes the following features: • Enumerate each pair of noun phrases and compute the features listed above.</S><S sid = 125 ssid = >These pairwise decisions are made collectively using relational inference; however, as pointed out in Milch et al. (2004), this model has limited representational power since it does not capture features of entities, only of pairs of mention.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N07-1011.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For our experiments in Section 5, we use gold mention types as is done by Culotta et al (2007) and Luo and Zitouni (2005).</S> | Reference Offset:  ['110','119'] | Reference Text:  <S sid = 110 ssid = >Our experiments show the advantages of this ranking-based loss function.</S><S sid = 119 ssid = >Luo et al. (2004) do enable features between mention-cluster pairs, but do not perform the error-driven and ranking enhancements proposed in our work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N07-1011.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many of our features are similar to those described in Culotta et al (2007).</S> | Reference Offset:  ['84','127'] | Reference Text:  <S sid = 84 ssid = >We follow Soon et al. (2001) and Ng and Cardie (2002) to generate most of our features for the Pairwise Model.</S><S sid = 127 ssid = >Our current work has similar representational flexibility as Milch et al. (2005) but is discriminatively trained.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N07-1011.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our test set contains the same 107 documents as Culotta et al (2007).</S> | Reference Offset:  ['46','81'] | Reference Text:  <S sid = 46 ssid = >Consider a training example cluster with a negative label, indicating that not all of the noun phrases it contains are coreferent.</S><S sid = 81 ssid = >336 documents are used for training, and the remainder for testing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N07-1011.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the experiments in Section 5, following Culotta et al (2007), to make experiments more comparable across systems, we assume that perfect mention boundaries and mention type labels are given.</S> | Reference Offset:  ['110','119'] | Reference Text:  <S sid = 110 ssid = >Our experiments show the advantages of this ranking-based loss function.</S><S sid = 119 ssid = >Luo et al. (2004) do enable features between mention-cluster pairs, but do not perform the error-driven and ranking enhancements proposed in our work.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N07-1011.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Culotta et al (2007) is the best comparable system of which we are aware.</S> | Reference Offset:  ['7','102'] | Reference Text:  <S sid = 7 ssid = >First, it is not clear how best to convert the set of pairwise classifications into a disjoint clustering of noun phrases.</S><S sid = 102 ssid = >To our knowledge, the best results on this dataset were obtained by the meta-classification scheme of Ng (2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N07-1011.txt | Citing Article:  D08-1031.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that since we report results on Dev-Eval, the results in Table 6 are not directly comparable with Culotta et al (2007).</S> | Reference Offset:  ['99','104'] | Reference Text:  <S sid = 99 ssid = >(However, we should note that there are also small differences in the feature sets used for error-driven and standard training results.)</S><S sid = 104 ssid = >Also note that the Pairwise baseline obtains results similar to those in Ng and Cardie (2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N07-1011.txt | Citing Article:  P11-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Motivated in part by Culotta et al (2007), we create cluster-level features from the relational features in our feature set using four predicates: NONE, MOST FALSE, MOST-TRUE, and ALL.</S> | Reference Offset:  ['86','125'] | Reference Text:  <S sid = 86 ssid = >All-X is true if all pairs share a feature X, Most-True-X is true if the majority of pairs share a feature X, and Most-False-X is true if most of the pairs do not share feature X.</S><S sid = 125 ssid = >These pairwise decisions are made collectively using relational inference; however, as pointed out in Milch et al. (2004), this model has limited representational power since it does not capture features of entities, only of pairs of mention.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N07-1011.txt | Citing Article:  N10-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['44','141'] | Reference Text:  <S sid = 44 ssid = >Exactly how to update the parameter vector is addressed by the second enhancement.</S><S sid = 141 ssid = >Any opinions, findings and conclusions or recommendations expressed in this material are the author(s)’ and do not necessarily reflect those of the sponsor.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N07-1011.txt | Citing Article:  D09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['44','141'] | Reference Text:  <S sid = 44 ssid = >Exactly how to update the parameter vector is addressed by the second enhancement.</S><S sid = 141 ssid = >Any opinions, findings and conclusions or recommendations expressed in this material are the author(s)’ and do not necessarily reflect those of the sponsor.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N07-1011.txt | Citing Article:  D09-1120.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We first evaluate our model on the ACE2004-CULOTTA-TEST dataset used in the state-of-the-art systems from Culotta et al (2007) and Bengston and Roth (2008).</S> | Reference Offset:  ['81','88'] | Reference Text:  <S sid = 81 ssid = >336 documents are used for training, and the remainder for testing.</S><S sid = 88 ssid = >We use the B3 algorithm to evaluate the predicted coreferent clusters (Amit and Baldwin, 1998).</S> | Discourse Facet:  NA | Annotator: Automatic


