Citance Number: 1 | Reference Article:  X96-1048.xml | Citing Article:  A97-1028.xml | Citation Marker Offset:  ['3'] | Citation Marker:  Sundheim, 1995b | Citation Offset:  ['3'] | Citation Text:  <S sid ="3" ssid = "3">Named Entity evaluation began as a part of recent Message Understanding Conferences (MUC), whose objective was to standardize the evaluation of IE tasks (Sundheim, 1995b).</S> | Reference Offset:  ['357'] | Reference Text:  <S sid ="357" ssid = "158">In addition, there are plans to put evaluations on line, with public access, starting with the NE evaluation; this is intended to make the NE task familiar to new sites and to give them a convenient and low-pressure way to try their hand at following a standardized test procedure.</S> | Discourse Facet:  Implication_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |

Citance Number: 7 | Reference Article:  X96-1048.xml | Citing Article:  P06-1059.xml | Citation Marker Offset:  ['10'] | Citation Marker:  Sundheim, 1995 | Citation Offset:  ['10'] | Citation Text:  <S sid ="10" ssid = "10">For example, the best F-score in the shared task of BioNER in COLING 2004 JNLPBA (Kim et al., 2004) was 72.55% (Zhou and Su, 2004) 1, whereas the best performance at MUC6, in which systems tried to identify general named entities such as person or organization names, was an accuracy of 95% (Sundheim, 1995).</S> | Reference Offset:  ['174'] | Reference Text:  <S sid ="174" ssid = "174">5 The highest score for the PERSON object, 95% recall and 95% precision, is close to the highest score on the NE subcategorization for person, which was 98% recall and 99% precision..</S> | Discourse Facet:  Results_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 8 | Reference Article:  X96-1048.xml | Citing Article:  C04-1126.xml | Citation Marker Offset:  ['49'] | Citation Marker:  Sundheim, 1995 | Citation Offset:  ['49','50','51'] | Citation Text:  <S sid ="49" ssid = "18">The MUC organisers provided strict guidelines about what constituted a succession event and how the templates should be .lled which the an­notators sometimes found di.cult to interpret (Sundheim, 1995).</S><S sid ="50" ssid = "19">Interannotator agreement was measured on 30 texts which were examined by two annotators.</S><S sid ="51" ssid = "20">It was found to be 83% when one annotator’s templates were assumed to be correct and compared with the other.</S> | Reference Offset:  ['27', '28', '31', '227'] | Reference Text:  <S sid ="27" ssid = "27">CORPUS Testing was conducted using Wall Street Journal texts provided by the Linguistic Data Consortium.</S><S sid ="28" ssid = "28">The articles used in the evaluation were drawn from a corpus of approximately 58,000 articles spanning the period of January 1993 through June 1994.</S><S sid ="31" ssid = "31">The training set and test set each consisted of 100 articles and were drawn from the corpus using a text retrieval system called Managing Gigabytes, whose retrieval engine is based on a context-vector model, producing a ranked list of hits according to degree of match with a keyword search query.</S><S sid ="227" ssid = "28">Of the 100 texts in the test set, 54 were relevant to the management succession scenario, including six that were only marginally relevant.</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 9 | Reference Article:  X96-1048.xml | Citing Article:  C04-1126.xml | Citation Marker Offset:  ['34'] | Citation Marker:  Sundheim, 1995 | Citation Offset:  ['34'] | Citation Text:  <S sid ="34" ssid = "3">The test corpus consists of 100 Wall Street Jour­nal documents from the period January 1993 to June 1994, 54 of which contained management succession events (Sundheim, 1995).</S> | Reference Offset:  ['212','213'] | Reference Text:  <S sid ="212" ssid = "13">In this article, the management succession scenario will be used as the basis for discussion.</S><S sid ="213" ssid = "14">The management succession template consists of four object types, which are linked together via one-way pointers to form a hierarchical structure.</S> | Discourse Facet:  Results_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 10 | Reference Article:  X96-1048.xml | Citing Article:  W99-0612.xml | Citation Marker Offset:  ['142'] | Citation Marker:  Sundheim 1995 | Citation Offset:  ['141','142'] | Citation Text:  <S sid ="141" ssid = "141">It is not clear what resources are required to adapt systems to new languages.&quot;</S><S sid ="142" ssid = "142">It is important to mention that the F-measure for the human performance on this task is about 96%, (Sundheim 1995).</S> | Reference Offset:  ['54', '57'] | Reference Text:  <S sid ="54" ssid = "54">When the outputs are scored in &quot;key-to-response&quot; mode, as though one annotator&apos;s output represented the &quot;key&quot; and the other the &quot;response,&quot; the humans achieved an overall F-measure of 96.68 and a corresponding error per response fill (ERR) score of 6%.</S><S sid ="57" ssid = "57">Summary NE scores on primary metrics for the top 16 (out of 20) systems tested, in order of decreasing F-Measure (P&amp;R) 1 1 Key to F-measure scores: BBN baseline configuration 93.65, BBN experimental configuration 92.88, Knight-Ridder 85.73, Lockheed-Martin 90.84, UManitoba 93.33, UMass 84.95, MITRE 91.2, NMSU CRL baseline configuration 85.82, NYU 88.19, USheffield 89.06, SRA baseline configuration 96.42, SRA &quot;fast&quot; configuration 95.66, SRA &quot;fastest&quot; configuration 92.61, SRA &quot;nonames&quot; configuration 94.92, SRI 94.0, Sterling Software 92.74..</S> | Discourse Facet:  Results_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 11 | Reference Article:  X96-1048.xml | Citing Article:  E99-1001.xml | Citation Marker Offset:  ['17'] | Citation Marker: 1995 | Citation Offset:  ['17'] | Citation Text:  <S sid ="17" ssid = "17">In an article on the Named Entity recognition competition (part of MUC6)Sundheim (1995) remarks that &quot;common organization names, first names of people and location names can be handled by recourse to list lookup, although there are drawbacks&quot; (Sundheim 1995: 16).</S> | Reference Offset:  ['72'] | Reference Text:  <S sid ="72" ssid = "72">Common organization names, first names of people, and location names can be handled by recourse to list lookup, although there are drawbacks: some names may be on more than one list, the lists will not be complete and may not match the name as it is realized in the text (e.g., may not cover the needed abbreviated form of an organization name, may not cover the complete person name), etc..</S> | Discourse Facet:  Method_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


Citance Number: 12 | Reference Article:  X96-1048.xml | Citing Article:  M98-1003.xml | Citation Marker Offset:  ['3'] | Citation Marker:  Sundheim1995 | Citation Offset:  ['3'] | Citation Text:  <S sid ="3" ssid = "3">The organizers of MUC 6 did not attempt to compare the difficulty of the MUC 6 task to the previous MUC tasks saying that the problem of coming up with a reasonable, objective way of measuring relative task difficulty has not been adequately addressed [Sundheim1995].</S> | Reference Offset:  ['245', '246'] | Reference Text:  <S sid ="245" ssid = "46">No analysis has been done of the relative difficulty of the MUC6 ST task compared to previous extraction evaluation tasks.</S><S sid ="246" ssid = "47">The one-month limitation on development in preparation for MUC6 would be difficult to factor into the computation, and even without that additional factor, the problem of coming up with a reasonable, objective way of measuring relative task difficulty has not been adequately addressed.</S> | Discourse Facet:  Implication_Citation | Annotator:  Muthu Kumar Chandrasekaran, NUS |


