Citance Number: 1 | Reference Article:  J04-4004.txt | Citing Article:  W04-3224.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Subsequently, we replicated Gildea's experiment with a complete emulation of Model 2 and presented additional evidence that bilexical statistics were barely getting used during decoding (Bikel, 2004), appearing to confirm the original result.</S> | Reference Offset:  ['332','341'] | Reference Text:  <S sid = 332 ssid = >In other words, Gildea removed all bilexical statistics from the overall model.</S><S sid = 341 ssid = >Combined with the results from the previous experiment, this suggests rather convincingly that such statistics are far less significant than once thought to the overall discriminative power of Collins’ models, confirming Gildea’s result for Model 2.36 If not bilexical statistics, then surely, one might think, head-choice is critical to the performance of a head-driven lexicalized statistical parsing model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J04-4004.txt | Citing Article:  P08-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For Chinese, we experimented on the Penn Chinese Treebank 4.0 (CTB4) (Palmer et al, 2004) and we used the rules in (Bikel, 2004) for conversion.</S> | Reference Offset:  ['213','345'] | Reference Text:  <S sid = 213 ssid = >These confidence values can be derived in a number of sensible ways; the technique used by Collins was adapted from that used in Bikel et al. (1997), which makes use of a quantity called the diversity of the history context (Witten and Bell 1991), which is equal to the number of unique futures observed in training for that history context.</S><S sid = 345 ssid = >In particular, it appeared that the head rules used in Collins’ parser had been tweaked specifically for the English Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J04-4004.txt | Citing Article:  N10-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They were then parsed using Bikel's parser (Bikel,2004) and corrected by hand using the Penn Tree bank Bracketing Guidelines (Bies et al, 1995).</S> | Reference Offset:  ['51','213'] | Reference Text:  <S sid = 51 ssid = >There are two reasons to remove these types of subtrees when parsing the English Treebank: First, in the treebanking guidelines (Bies 1995), quotation marks were given the lowest possible priority and thus cannot be expected to appear within constituent boundaries in any kind of consistent way, and second, neither of these types of preterminals—nor any punctuation marks, for that matter—counts towards the parsing score.</S><S sid = 213 ssid = >These confidence values can be derived in a number of sensible ways; the technique used by Collins was adapted from that used in Bikel et al. (1997), which makes use of a quantity called the diversity of the history context (Witten and Bell 1991), which is equal to the number of unique futures observed in training for that history context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J04-4004.txt | Citing Article:  D12-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Conditioning on crossing punctuation could be of help then, playing a role similar to that of comma-counting (Collins, 1997, §2.1) — and 'verb intervening' (Bikel, 2004, §5.1) - in early head-outward models for supervised parsing.</S> | Reference Offset:  ['168','297'] | Reference Text:  <S sid = 168 ssid = >Finally, the intervening punctuation is generated conditioning on the parent, the head, and the right conjunct, including the headwords of the two conjoined phrases, and the intervening CC is similarly generated.</S><S sid = 297 ssid = >Accordingly, if a comma in an input Overall parsing results using only details found in Collins (1997, 1999).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J04-4004.txt | Citing Article:  D12-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['122','392'] | Reference Text:  <S sid = 122 ssid = >After these events have been collected 13 This phrase was taken from a comment in one of Collins’ preprocessing Perl scripts.</S><S sid = 392 ssid = >N66001-00-1-8915.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J04-4004.txt | Citing Article:  W06-3603.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['122','392'] | Reference Text:  <S sid = 122 ssid = >After these events have been collected 13 This phrase was taken from a comment in one of Collins’ preprocessing Perl scripts.</S><S sid = 392 ssid = >N66001-00-1-8915.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J04-4004.txt | Citing Article:  P06-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['122','392'] | Reference Text:  <S sid = 122 ssid = >After these events have been collected 13 This phrase was taken from a comment in one of Collins’ preprocessing Perl scripts.</S><S sid = 392 ssid = >N66001-00-1-8915.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J04-4004.txt | Citing Article:  P06-1110.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['122','392'] | Reference Text:  <S sid = 122 ssid = >After these events have been collected 13 This phrase was taken from a comment in one of Collins’ preprocessing Perl scripts.</S><S sid = 392 ssid = >N66001-00-1-8915.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J04-4004.txt | Citing Article:  W09-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used Bikel's reimplementation of Collins' parsing model 2 (Bikel, 2004).</S> | Reference Offset:  ['13','22'] | Reference Text:  <S sid = 13 ssid = >Recently, in order to continue our work combining word sense with parsing (Bikel 2000) and the study of language-dependent and -independent parsing features (Bikel and Chiang 2000), we built a multilingual parsing engine that is capable of instantiating a wide variety of generative statistical parsing models (Bikel 2002).1 As an appropriate baseline model, we chose to instantiate the parameters of Collins’ Model 2.</S><S sid = 22 ssid = >First, Collins’ parsing model represents a widely used and cited parsing model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J04-4004.txt | Citing Article:  W07-2219.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our best performing model incorporates three dimensions of parametrization and our best result (75.25%) is similar to the one obtained by the parser of (Bikel, 2004) for Modern Standard Arabic (75%) using a fully lexicalized model and a training corpus about three times as large as our newest MH tree bank.</S> | Reference Offset:  ['32','237'] | Reference Text:  <S sid = 32 ssid = >For example, Gildea (2001) reimplemented Collins’ Model 1 but obtained results with roughly 16.7% more relative error than Collins’ reported results using that model.</S><S sid = 237 ssid = >This is a crucial part of the way smoothing is done: If a particular history context φi(B) has never been observed in training, the smoothed estimate using less context, φi+1(B), is simply substituted as the “best guess” for the estimate using more context; that is, ˜ei = ˜ei+1.28 As mentioned in Section 6.4, fully lexicalized modifying nonterminals are generated in two steps.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J04-4004.txt | Citing Article:  D09-1119.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This was followed by (Bikel, 2004) who showed that bilexical-information is used in only 1.49% of the decisions in Collins' Model-2 parser, and that removing this information results in an exceedingly small drop in performance.</S> | Reference Offset:  ['6','336'] | Reference Text:  <S sid = 6 ssid = >This article documents a large set of heretofore unpublished details Collins used in his parser, such that, along with Collins’ (1999) thesis, this article contains all information necessary to duplicate Collins’ benchmark results.</S><S sid = 336 ssid = >Without bigrams, performance drops only to 89.49% on recall, 89.95% on precision— an exceedingly small drop in performance (see Table 8, Model Mtw,t).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J04-4004.txt | Citing Article:  C10-1153.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use 2-best parse trees of Berkeley parser (Petrov and Klein, 2007) and 1-best parse tree of Bikel parser (Bikel, 2004) and Stanford parser (Klein and Manning, 2003) as inputs to the full parsing based system.</S> | Reference Offset:  ['244','298'] | Reference Text:  <S sid = 244 ssid = >Every headword in a lexicalized parse tree is the modifier of some other headword—except the word that is the head of the entire sentence (i.e., the headword of the root nonterminal).</S><S sid = 298 ssid = >The first two lines show the results of Collins’ parser and those of our parser in its “complete” emulation mode (i.e., including unpublished details).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J04-4004.txt | Citing Article:  P07-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This can be seen in state-of-the-art constituency-based parsers such as Collins (1999), Charniak (2000), and Petrov et al (2006), and the effects of different transformations have been studied by Johnson (1998), Klein and Manning (2003), and Bikel (2004).</S> | Reference Offset:  ['13','213'] | Reference Text:  <S sid = 13 ssid = >Recently, in order to continue our work combining word sense with parsing (Bikel 2000) and the study of language-dependent and -independent parsing features (Bikel and Chiang 2000), we built a multilingual parsing engine that is capable of instantiating a wide variety of generative statistical parsing models (Bikel 2002).1 As an appropriate baseline model, we chose to instantiate the parameters of Collins’ Model 2.</S><S sid = 213 ssid = >These confidence values can be derived in a number of sensible ways; the technique used by Collins was adapted from that used in Bikel et al. (1997), which makes use of a quantity called the diversity of the history context (Witten and Bell 1991), which is equal to the number of unique futures observed in training for that history context.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J04-4004.txt | Citing Article:  W05-0211.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Collins's statistical parser (CBP; (Collins, 1997)), improved by Bikel (Bikel, 2004), is based on the probabilities between head-words in parse trees.</S> | Reference Offset:  ['127','204'] | Reference Text:  <S sid = 127 ssid = >All parameters that generate trees in Collins’ model are estimates of conditional probabilities.</S><S sid = 204 ssid = >Many of the parameter classes in Collins’ model—and indeed, in most statistical parsing models—define conditional probabilities with very large conditioning contexts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J04-4004.txt | Citing Article:  W07-0406.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The English sentences were parsed using the Bikel parser (Bikel, 2004), and the sentences were aligned with GIZA++ (Och and Ney,2000).</S> | Reference Offset:  ['13','67'] | Reference Text:  <S sid = 13 ssid = >Recently, in order to continue our work combining word sense with parsing (Bikel 2000) and the study of language-dependent and -independent parsing features (Bikel and Chiang 2000), we built a multilingual parsing engine that is capable of instantiating a wide variety of generative statistical parsing models (Bikel 2002).1 As an appropriate baseline model, we chose to instantiate the parameters of Collins’ Model 2.</S><S sid = 67 ssid = >This step enables the parsing model to be sensitive to the different contexts in which such subjectless sentences occur as compared to normal S nodes, since the subjectless sentences are functionally acting as noun phrases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J04-4004.txt | Citing Article:  P09-1004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For English we use the Bikel parser default head word rules (Bikel, 2004).</S> | Reference Offset:  ['13','345'] | Reference Text:  <S sid = 13 ssid = >Recently, in order to continue our work combining word sense with parsing (Bikel 2000) and the study of language-dependent and -independent parsing features (Bikel and Chiang 2000), we built a multilingual parsing engine that is capable of instantiating a wide variety of generative statistical parsing models (Bikel 2002).1 As an appropriate baseline model, we chose to instantiate the parameters of Collins’ Model 2.</S><S sid = 345 ssid = >In particular, it appeared that the head rules used in Collins’ parser had been tweaked specifically for the English Penn Treebank.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J04-4004.txt | Citing Article:  W05-1515.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['122','392'] | Reference Text:  <S sid = 122 ssid = >After these events have been collected 13 This phrase was taken from a comment in one of Collins’ preprocessing Perl scripts.</S><S sid = 392 ssid = >N66001-00-1-8915.</S> | Discourse Facet:  NA | Annotator: Automatic


