Citance Number: 1 | Reference Article:  P98-1081.txt | Citing Article:  W01-0712.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  [] | Citation Text:  Nine combination methods were originally suggested by Van Halteren et al. (1998) | Reference Offset:  ['107'] | Reference Text:  Table 2: Accuracy of individual taggers and combination methods | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |
Citance Number: 7 | Reference Article:  P98-1081.txt | Citing Article:  W02-1004.txt | Citation Marker Offset: [] | Citation Marker: 1998 | Citation Offset: [] | Citation Text: Van Halteren et al. (1998) introduce a modified version of voting called TagPair...Each classifier votes for its classification and every pair of classifiers votes for the sense that is most likely given the joint classification. | Reference Offset:  ['116', '117'] | Reference Text:  A next step is to examine them in pairs. We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 8 | Reference Article:  P98-1081.txt | Citing Article:  E99-1025.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  [] | Citation Text:  We consider three voting strategies suggested by van Halteren et al. (1998): equal vote, where each classifier's vote is weighted equally, overall accuracy, where the weight depends on the overall accuracy of a classifier, and pair-wise voting | Reference Offset:  ['100', '102', '116', '118'] | Reference Text:  The most democratic option is to give each tagger one vote (Majority) ... each tagger votes its overall precision (TotPrecision) ... A next step is to examine them in pairs ... When combining the taggers, every tagger pair is taken in turn and allowed to vote (with the probability described above) for each possible tag | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 9 | Reference Article:  P98-1081.txt | Citing Article:  W03-1728.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren et al., 1998 | Citation Offset:  [] | Citation Text:  pairwise voting (van Halteren et al., 1998) | Reference Offset:  ['115'] | Reference Text:  5 Pairwise Voting | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 10 | Reference Article:  P98-1081.txt | Citing Article:  P06-2060.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  [] | Citation Text:  Halteren et al (1998) compare a number of voting methods including a Majority Vote scheme with other combination methods for part of speech tagging | Reference Offset:  ['100'] | Reference Text:  The most democratic option is to give each tagger one vote (Majority) | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 11 | Reference Article:  P98-1081.txt | Citing Article:  A00-1024.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren et al., 1998 | Citation Offset:  [] | Citation Text:  (cf. (van Halteren et al., 1998) who found that combining the results of several part of speech taggers increased performance) | Reference Offset:  ['158'] | Reference Text:  Our experiment shows that, at least for the task at hand, combination of several different systems allows us to raise the performance ceiling for data driven systems | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 12 | Reference Article:  P98-1081.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren et ... al., 1998 | Citation Offset:  [] | Citation Text:  Combination techniques have been successfully applied to part of speech tagging (van Halteren et ... al., 1998; ... the investigators were able to achieve significant improvements over the previous best tagging results | Reference Offset:  ['101', '102'] | Reference Text:  it appears more useful to give more weight to taggers which have proved their quality. This can be general quality, e.g. each tagger votes its overall precision (TotPrecision) | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 13 | Reference Article:  P98-1081.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  [] | Citation Marker: 1998 | Citation Offset:  [] | Citation Text:  Van Halteren et al. (1998) have generalized this approach for higher number of classifiers in their TotPrecision voting method. The vote of each classifier (parser) is weighted by their respective accuracy | Reference Offset:  ['145', '146', '147'] | Reference Text:  The most important observation is that every combination (significantly) outperforms the combination of any strict subset of its components. Also of note is the improvement yielded by the best combination. The pairwise voting system, using all four individual taggers, scores 97.92% correct on Test, a 19.1% reduction in error rate over the best individual system | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 14 | Reference Article:  P98-1081.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  [] | Citation Marker: van Halteren et al., 1998 | Citation Offset:  [] | Citation Text:  Parallel to (van Halteren et al., 1998), we ran experiments with two stacked classifiers, Memory-Based, and Decision-Tree-Based | Reference Offset:  ['101', '102'] | Reference Text:  However, it appears more useful to give more weight to taggers which have proved their quality. This can be general quality, e.g. each tagger votes its overall precision (TotPrecision) | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 15 | Reference Article:  P98-1081.txt | Citing Article:  W05-1518.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren et al., 1998 | Citation Offset:  [] | Citation Text: In all experiments, the TotPrecision voting scheme of (van Halteren et al., 1998) has been used | Reference Offset:  ['130', '137'] | Reference Text:  The first choice for this is to use a Memory-Based second level learner ... To examine if the overtraining effects are specific to this particular second level classifier, we also used the C5.0 system ... for the induction of decision trees, on the same training material | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 16 | Reference Article:  P98-1081.txt | Citing Article:  W00-0733.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  2948-3221 | Citation Text: The most advanced voting method examines output values of pairs of classifiers and assigns weights to tags based on how often they appear with this pair in the tuning data (Tag-Pair, Van Halteren et al., (1998)) | Reference Offset: ['116', '117'] | Reference Text:  A next step is to examine them in pairs. We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citation Number: 17 | Reference Article: P98-1081.txt | Citing Article: W00-0733.txt | Citation Marker Offset:  3035-3060 | Citation Marker:  Van Halteren et al., 1998 | Citation Offset:  [] | Citation Text: We will evaluate nine different methods for combining the output of our five chunkers (Van Halteren et al., 1998). Five are so-called voting methods. They assign weights to the output of the individual systems and use these weights to determine the most probable output tag |  Reference Offset:  ['94', '101'] | Reference Text:  There are many ways in which the results of the component taggers can be combined, selecting a single tag from the set proposed by these taggers ... However, it appears more useful to give more weight to taggers which have proved their quality | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 18 | Reference Article:  P98-1081.txt | Citing Article:  W00-0733.txt | Citation Marker Offset:  [] | Citation Marker:  Van Halteren et al., 1998 | Citation Offset:  [] | Citation Text:  For this purpose we have used the part-of-speech tag of the current word as compressed representation of the first stage input (Van Halteren et al., 1998) | Reference Offset:  ['129'] | Reference Text:  The second stage can be provided with the first level outputs, and with additional information, e.g. about the original input pattern | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 19 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren, Zavrel, and Daelemans 1998 | Citation Offset:  [] | Citation Text:  First experiments (van Halteren, Zavrel, and Daelemans 1998...) demonstrated the basic validity of the approach for tagging, with the error rate of the best combiner being 19.1% lower than that of the best individual tagger (van Halteren, Zavrel, and Daelemans 1998). | Reference Offset:  ['145', '146', '147'] | Reference Text:  The most important observation is that every combination (significantly) outperforms the combination of any strict subset of its components. Also of note is the improvement yielded by the best combination. The pairwise voting system, using all four individual taggers, scores 97.92% correct on Test, a 19.1% reduction in error rate over the best individual system | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 20 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren, Zavrel, and Daelemans 1998. | Citation Offset:  [] | Citation Text:  (van Halteren, Zavrel, and Daelemans 1998). However, these experiments were restricted to a single language, a single tagset and, more importantly, a limited amount of training data for the combiners | Reference Offset:  ['161'] | Reference Text:  extend our investigation of combination, starting with additional component taggers and selection strategies, and going on to shifts to other tagsets and/or languages | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 21 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  [] | Citation Text:  Compare this to the "tune" set in van Halteren, Zavrel, and Daelemans (1998). This consisted of 114K ... tokens, but, because of a 92.5% agreement over all four taggers, it yielded less than 9K tokens of useful training material to resolve disagreements. This was suspected to be the main reason for the relative lack of performance by the more sophisticated combiners | Reference Offset:  ['75', '90', '136'] | Reference Text:  The second part, Tune, consists of 10% of the data (every ninth utterance, 114479 tokens) ... 92.49 ... Table 1: Tagger agreement on Tune ... Tune is probably too small to collect case bases which can leverage the stacking effect convincingly, especially since only 7.51% of the second stage material shows disagreement between the featured tags | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 22 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset: [] | Citation Marker: 1998 | Citation Offset:  [] | Citation Text:  For part-of-speech tagging, a significant increase in accuracy through combining the output of different taggers was first demonstrated in van Halteren, Zavrel, and Daelemans (1998) ... In both approaches, different tagger generators were applied to the same training data and their predictions combined using different combination methods, including stacking | Reference Offset:  ['0', '3', '4', '125'] | Reference Text:  Improving Data Driven Wordclass Tagging by System Combination ...  Four well-known tagger generators (Hidden Markov Model, Memory-Based, Transformation Rules and Maximum Entropy) are trained on the same corpus data. After comparison, their outputs are combined using several voting strategies and second stage classifiers ... 6 Stacked classifiers | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 23 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren, Zavrel, and Daelemans 1998 | Citation Offset:  [] | Citation Text:  One of the best methods for tagger combination in (van Halteren, Zavrel, and Daelemans 1998) is the TagPair method. It looks at all situations where one tagger suggests tag 1 and the other tag 2 and estimates the probability that in this situation the tag should actually be tag x. Although it is presented as a variant of voting in that paper, it is in fact also a stacked classifier, because it does not necessarily select one of the tags suggested by the component taggers | Reference Offset:  ['116', '117', '127', '128', '129', '134'] | Reference Text:  A next step is to examine them in pairs. We can investigate all situations where one tagger suggests T1 and the other T2 and estimate the probability that in this situation the tag should actually be Tx ... The practice of feeding the outputs of a number of classifiers as features for a next learner ... is usually called stacking (Wolpert 1992). The second stage can be provided with the first level outputs, and with additional information, e.g. about the original input pattern ... Surprisingly, none of the Memory-Based  based methods reaches the quality of TagPair | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 24 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren,Zavrel, and Daelemans 1998 | Citation Offset:  [] | Citation Text:  In previous work (van Halteren,Zavrel, and Daelemans 1998), we were unable to confirm the latter half of the hypothesis unequivocally. As we judged this to be due to insufficient training data for proper training of the second-level classifiers | Reference Offset:  ['136', '161'] | Reference Text:  Tune is probably too small to collect case bases which can leverage the stacking effect convincingly, especially since only 7.51% of the second stage material shows disagreement between the featured tags ... extend our investigation of combination, starting with additional component taggers and selection strategies, and going on to shifts to other tagsets and / or languages | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 25 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  [] | Citation Text:  The most important result that has undergone a change between van Halteren, Zavrel, and Daelemans (1998) and our current experiments is the relative accuracy of TagPair and stacked systems such as MBL | Reference Offset:  ['124', '134'] | Reference Text:  When used on Test, the pairwise voting strategy (TagPair) clearly outperforms the other voting strategies, 8 but does not yet approach the level where all tying majority votes are handled correctly (98.31%) ... Surprisingly, none of the Memory-Based based methods reaches the quality of TagPair | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 26 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren, Zavrel, and Daelemans 1998 | Citation Offset:  [] | Citation Text:  The first is the LOB corpus ... which we used in the earlier experiments as well (van Halteren, Zavrel, and Daelemans 1998) and which has proved to be a good testing ground. | Reference Offset:  ['63'] | Reference Text:  The data we use for our experiment consists of the tagged LOB corpus (Johansson 1986) | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 27 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker: 1998 | Citation Offset:  [] | Citation Text:  In van Halteren, Zavrel, and Daelemans (1998) we used a straightforward implementation of HMM's, which turned out to have the worst accuracy of the four competing methods | Reference Offset:  ['3', '107'] | Reference Text:  Four well-known tagger generators (Hidden Markov Model, Memory-Based, Transformation Rules and Maximum Entropy) are trained on the same corpus data ... Table 2: Accuracy of individual taggers and combination methods | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 28 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  van Halteren,Zavrel, and Daelemans 1998 | Citation Offset:  [] | Citation Text:  With LOB and a single 114K tune set (van Halteren, Zavrel, and Daelemans 1998), both MBL and Decision Trees degraded significantly when adding context, and MBL degraded when adding the word | Reference Offset:  ['130', '134', '137', '138'] | Reference Text:  The first choice for this is to use a Memory-Based second level learner ... Surprisingly, none of the Memory-Based based methods reaches the quality of TagPair ... To examine if the overtraining effects are specific to this particular second level classifier, we also used the C5.0 system ... but the results on Test are also worse | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 29 | Reference Article:  P98-1081.txt | Citing Article:  J01-2002.txt | Citation Marker Offset:  [] | Citation Marker:  1998 | Citation Offset:  [] | Citation Text:  As we now apply the methods of van Halteren, Zavrel, and Daelemans (1998) to WSJ as well, it is easier to make a comparison | Reference Offset: ['0'] | Reference Text: Improving Data Driven Wordclass Tagging by System Combination| Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


