Citance Number: 1 | Reference Article:  W02-1006.txt | Citing Article:  P03-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In this paper, we used the WSD program reported in (Lee and Ng, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our reported results in this paper used the linear kernel.</S><S sid = NA ssid = NA>This parameter is also used by (Ng and Lee, 1996).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W02-1006.txt | Citing Article:  D09-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our approach to building a preposition WSD classifier follows that of Lee and Ng (2002), who evaluated a set of different knowledge sources and learning algorithms for WSD.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Ng and Lee (1996) reported the relative contribution of different knowledge sources, but on only one word “interest”.</S><S sid = NA ssid = NA>We ran the different learning algorithms using various knowledge sources.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W02-1006.txt | Citing Article:  D09-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For every preposition, a baseline maxent model is trained using a set of features reported in the state-of-the-art WSD system of LeeandNg (2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Note that we are able to obtain state-of-the-art results using a single learning algorithm (SVM), without resorting to combining multiple learning algorithms.</S><S sid = NA ssid = NA>This set of 11 features is the union of the collocation features used in Ng and Lee (1996) and Ng (1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W02-1006.txt | Citing Article:  H05-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Supervised feature selection improves the performance of an examplar based learning algorithm over SENSEVAL2 data (Mihalcea, 2002), Naive Bayes and decision tree over SENSEVAL-1 and SENSEVAL-2 data (Lee and Ng, 2002), but feature selection does not improve SVM and Adaboost over SENSEVAL-1 and SENSEVAL-2 data (Lee and Ng, 2002) for word sense disambiguation.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In this paper, we evaluate a variety of knowledge sources and supervised learning algorithms for word sense disambiguation on SENSEVAL-2 and SENSEVAL-1 data.</S><S sid = NA ssid = NA>Our evaluation is based on all the official training and test data of SENSEVAL-2.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W02-1006.txt | Citing Article:  H05-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The performance drop from 61.8% may be due to the different collocations used in the two systems.</S><S sid = NA ssid = NA>Following the description in (Cabezas et al., 2001), our own re-implementation of UMD-SST gives a recall of 58.6%, close to their reported figure of 56.8%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W02-1006.txt | Citing Article:  H05-1114.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For each ambiguous word in ELS task of SENSEVAL-3, we used three types of features to capture contextual information: part-of-speech of neighboring words with position information, unordered single words in topical context, and local collocations (as same as the feature set used in (Lee and Ng, 2002) except that we did not use syntactic relations).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our knowledge sources include the part-of-speech of neighboring words, single words in the surrounding context, local collocations, and syntactic relations.</S><S sid = NA ssid = NA>In SENSEVAL-1, hopkins used hierarchical decision lists with features similar to those used by JHU in SENSEVAL-2. ets-pu used a Naive Bayes classifier with topical and local words and their POS. tilburg used a k-nearest neighbor algorithm with features similar to those used by (Ng and Lee, 1996). tilburg also used dictionary examples as additional training data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W02-1006.txt | Citing Article:  P07-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Prior research has shown that using Support Vector Machines (SVM) as the learning algorithm for WSD achieves good results (Lee and Ng, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The learning algorithms evaluated include Support Vector Machines (SVM), Naive Bayes, AdaBoost, and decision tree algorithms.</S><S sid = NA ssid = NA>There is a large body of prior research on WSD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W02-1006.txt | Citing Article:  P07-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our implemented WSD classifier uses the knowledge sources of local collocations, parts-of-speech (POS), and surrounding words, following the successful approach of (Lee and Ng, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our knowledge sources include the part-of-speech of neighboring words, single words in the surrounding context, local collocations, and syntactic relations.</S><S sid = NA ssid = NA>For example, local collocations contribute the most for SVM, while parts-of-speech (POS) contribute the most for NB.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W02-1006.txt | Citing Article:  C08-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These feature types have been widely used in WSD algorithms (see Lee and Ng (2002) for an evaluation of their effectiveness).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This parameter is also used by (Ng and Lee, 1996).</S><S sid = NA ssid = NA>For SENSEVAL-1, we used the 36 trainable words for our evaluation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W02-1006.txt | Citing Article:  P07-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These knowledge sources were effectively used to build a state-of-the-art WSD pro gram in one of our prior work (Lee and Ng, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This parameter is also used by (Ng and Lee, 1996).</S><S sid = NA ssid = NA>Ng and Lee (1996) reported the relative contribution of different knowledge sources, but on only one word “interest”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W02-1006.txt | Citing Article:  P06-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Similar to our previous work (Chan and Ng, 2005b), we used the supervised WSD approach described in (Lee and Ng, 2002) for our experiments, using the naive Bayes algorithm as our classifier.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In SENSEVAL-1, hopkins used hierarchical decision lists with features similar to those used by JHU in SENSEVAL-2. ets-pu used a Naive Bayes classifier with topical and local words and their POS. tilburg used a k-nearest neighbor algorithm with features similar to those used by (Ng and Lee, 1996). tilburg also used dictionary examples as additional training data.</S><S sid = NA ssid = NA>Otherwise, the classifier for is used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W02-1006.txt | Citing Article:  D08-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For the experiments reported in this paper, we follow the supervised learning approach of (Lee and Ng, 2002), by training an individual classifier for each word using the knowledge sources of local col locations, parts-of-speech (POS), and surrounding words.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our knowledge sources include the part-of-speech of neighboring words, single words in the surrounding context, local collocations, and syntactic relations.</S><S sid = NA ssid = NA>Ng and Lee (1996) reported the relative contribution of different knowledge sources, but on only one word “interest”.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W02-1006.txt | Citing Article:  D07-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The features used in these systems usually include local features, such as part-of-speech (POS) of neighboring words, local collocations, syntactic patterns and global features such as single words in the surrounding context (bag-of-words) (Lee and Ng, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our knowledge sources include the part-of-speech of neighboring words, single words in the surrounding context, local collocations, and syntactic relations.</S><S sid = NA ssid = NA>This set of 11 features is the union of the collocation features used in Ng and Lee (1996) and Ng (1997).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W02-1006.txt | Citing Article:  D07-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The performance drop from 61.8% may be due to the different collocations used in the two systems.</S><S sid = NA ssid = NA>Following the description in (Cabezas et al., 2001), our own re-implementation of UMD-SST gives a recall of 58.6%, close to their reported figure of 56.8%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W02-1006.txt | Citing Article:  D07-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We adopt the same syntactic relations as (Lee and Ng, 2002).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We use different types of syntactic relations, depending on the POS of .</S><S sid = NA ssid = NA>This parameter is also used by (Ng and Lee, 1996).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W02-1006.txt | Citing Article:  D07-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the SVM (Vapnik, 1995) approach, we first form a training and a testing file using all standard features for each sense following (Lee and Ng, 2002) (one classifier per sense).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>During testing, if appears in a phrasal word form, the classifier for that phrasal word form is used.</S><S sid = NA ssid = NA>The SVM (Vapnik, 1995) performs optimization to find a hyperplane with the largest margin that separates training examples into two classes.</S> | Discourse Facet:  NA | Annotator: Automatic


