Citance Number: 1 | Reference Article:  J94-4001.txt | Citing Article:  C02-1157.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>we calculated the bunsetsu-based accuracies of our model and KNP (Kurohashi and Nagao, 1994) on the rst 100 sentences of the test corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>• There were two incomplete conjunctive structures in the test sentences.</S><S sid = NA ssid = NA>There was no modifier ellipsis of this type that could not be found by our method in the test sentences.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  J94-4001.txt | Citing Article:  C04-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>If the current modifier bunsetsu is a distinctive key bunsetsu (Kurohashi and Nagao, 1994, page 510), these features are triggered.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>That is, it is not easy to determine which bunsetsu to the left of a KB is the leftmost bunsetsu of the pre-conjunct (we call this starting bunsetsu SB) and which bunsetsu to the right of a KB is the rightmost bunsetsu of the post-conjunct (this ending bunsetsu is called EB and is a post-head).</S><S sid = NA ssid = NA>For all of these types, it is relatively easy to detect the presence of a CS by looking for a distinctive key bunsetsu (we call this a KB) that accompanies a word indicating a CS listed in Table 1 or has the renyoh forms (the underlined bunsetsus are KBs in Sadao Kurohashi and Makoto Nagao Syntactic Analysis Method Table 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J94-4001.txt | Citing Article:  P06-2082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To make further progress in this field, we feel it is necessary to be able to take into consideration more possible interactions among a wider range of components of long sentences.</S><S sid = NA ssid = NA>Our method detects the scope of a CS by finding the two series of bunsetsus from before and after the KB that have the greatest similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J94-4001.txt | Citing Article:  D07-1064.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The state space of our model resembles that of Kurohashi and Nagao's Japanese coordination detection method (Kurohashi and Nagao, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Syntactic Analysis Method Of Long Japanese Sentences Based On The Detection Of Conjunctive Structures</S><S sid = NA ssid = NA>For all of these types, it is relatively easy to detect the presence of a CS by looking for a distinctive key bunsetsu (we call this a KB) that accompanies a word indicating a CS listed in Table 1 or has the renyoh forms (the underlined bunsetsus are KBs in Sadao Kurohashi and Makoto Nagao Syntactic Analysis Method Table 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J94-4001.txt | Citing Article:  C04-1158.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use a syntactic parser KNP (Kurohashi and Nagao, 1994) to divide the ASR results into the phrases.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We can find these phrases by the words listed in Table 1-a.</S><S sid = NA ssid = NA>At first, the CS [HYOUDAI(a title),]-[CHOSHA(an author),]- [SHUDAI-NADO-NO(such as a theme)] is analyzed; because each conjunct consists of only one bunsetsu, the analysis results only in creating Sadao Kurohashi and Makoto Nagao Syntactic Analysis Method a CS node and assigning each bunsetsu to it (Figure 12a: 'PARA' is the CS node, and the nodes accompanying '<P>' are the root nodes of the dependency trees for conjuncts).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J94-4001.txt | Citing Article:  C04-1174.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>An input sentence is parsed using the Japanese parser, KNP (Kurohashi and Nagao, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>An input sentence is first divided into bunsetsus by conventional morphological analysis.</S><S sid = NA ssid = NA>In a Japanese sentence, because each bunsetsu depends on one of the bunsetsus to the right of it, a sentence can be transformed into a tree whose root node is the last bunsetsu in the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J94-4001.txt | Citing Article:  D07-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>while Sassano (2004) used richer features which are not used in the proposed method, such as features for conjunctive structures based on Kurohashi and Nagao (1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Syntactic Analysis Method Of Long Japanese Sentences Based On The Detection Of Conjunctive Structures</S><S sid = NA ssid = NA>This form is used frequently in Japanese and is a major cause of structural ambiguity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J94-4001.txt | Citing Article:  P06-2097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We first process them with the Japanese morphological analyzer, JUMAN (Kurohashi et al., 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Conjunctive structures (CSs) that appear in Japanese are classified into three types (Shudo et al. 1986).</S><S sid = NA ssid = NA>In Japanese, the word preceding a conjunction is the pre-head, and the post-head that is most similar to the pre-head is searched for (Nagao et al. 1983) (see the upper part of Figure 1).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J94-4001.txt | Citing Article:  I08-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have crawled 218 million web pages over three months, May July in 2007, by using the Shim Crawler, and then converted these pages into web standard format data with results of a Japanese parser, KNP (Kurohashi and Nagao, 1994), through our conversion tools.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We evaluated the results of analyzing 150 Japanese sentences.</S><S sid = NA ssid = NA>Considering these conditions and comparing results using our method with those using the conventional method, the total success ratio for determining correct dependency structures for a complete sentence, 65%, can be considered to be fairly good.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J94-4001.txt | Citing Article:  C04-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A large raw corpus is parsed by the Japanese parser, KNP (Kurohashi and Nagao, 1994b), and reliable predicate argument examples are extracted from the parse results.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In these structures, neither conjunct can be parsed into a dependency tree, because there is no predicate in it that should become the root node of a dependency tree.</S><S sid = NA ssid = NA>Two examples of detecting CSs are shown in Figures 7 and 8.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J94-4001.txt | Citing Article:  C04-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To make further progress in this field, we feel it is necessary to be able to take into consideration more possible interactions among a wider range of components of long sentences.</S><S sid = NA ssid = NA>Our method detects the scope of a CS by finding the two series of bunsetsus from before and after the KB that have the greatest similarity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J94-4001.txt | Citing Article:  D07-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kurohashi and Nagao proposed a similarity-based method to resolve both of the two tasks for Japanese (Kurohashi and Nagao, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Syntactic Analysis Method Of Long Japanese Sentences Based On The Detection Of Conjunctive Structures</S><S sid = NA ssid = NA>A method proposed by some researchers (Agarwal and Boggess 1992; Nagao et al. 1983) for selecting the correct structure is, in outline, that the two most similar components to the left side and to the right side of a conjunction are detected as two conjoined heads in a conjunctive structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J94-4001.txt | Citing Article:  D07-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Kurohashi and Nagao proposed a Japanese parsing method that included coordinate structure detection (Kurohashi and Nagao, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A Syntactic Analysis Method Of Long Japanese Sentences Based On The Detection Of Conjunctive Structures</S><S sid = NA ssid = NA>A method proposed by some researchers (Agarwal and Boggess 1992; Nagao et al. 1983) for selecting the correct structure is, in outline, that the two most similar components to the left side and to the right side of a conjunction are detected as two conjoined heads in a conjunctive structure.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J94-4001.txt | Citing Article:  D07-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Therefore, we use a method to calculate the similarity between two whole coordinate conjuncts (Kurohashi and Nagao, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Then we calculate similarities in all pairs of bunsetsus in the sentence.</S><S sid = NA ssid = NA>First, we calculate similarities for all pairs of bunsetsus in the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J94-4001.txt | Citing Article:  D07-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A similarity value between two bunsetsus is calculated on the basis of POS matching, exact word matching, and their semantic closeness in a thesaurus tree (Kurohashi and Nagao, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Matching of the generic two layers is ignored to prevent too vague matching in a broader sense.</S><S sid = NA ssid = NA>For such technical terms, some similarity points can be given according to the degree of partial character matching by step 3, as for the latter example.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J94-4001.txt | Citing Article:  D07-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We classified coordination keys into 52 classes ac cording to the classification proposed by (Kurohashiand Nagao, 1994).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The second type is the conjunctive predicative clause, in which two or more predicates in a sentence form a coordination.</S><S sid = NA ssid = NA>A method proposed by some researchers (Agarwal and Boggess 1992; Nagao et al. 1983) for selecting the correct structure is, in outline, that the two most similar components to the left side and to the right side of a conjunction are detected as two conjoined heads in a conjunctive structure.</S> | Discourse Facet:  NA | Annotator: Automatic


