Citance Number: 1 | Reference Article:  C96-2183.txt | Citing Article:  P14-2047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It stands to reason that long sentences will be harder to process automatically and this reasoning has motivated the first approaches to text simplification (Chandrasekar et al, 1996).</S> | Reference Offset:  ['41','156'] | Reference Text:  <S sid = 41 ssid = >We view simplification as a two stage process.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C96-2183.txt | Citing Article:  P12-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Sentence simplification can also serve to preprocess the input of other tasks, such as summarization (Knight and Marcu, 2000), parsing, machine translation (Chandrasekar et al, 1996), semantic role labeling (Vickrey and Koller, 2008) or sentence fusion (Filippova and Strube, 2008).</S> | Reference Offset:  ['63','156'] | Reference Text:  <S sid = 63 ssid = >3 FSG based Simplification (Chandrasekar, 1994) discusses an approach that uses a FSG for text simplification as part of a machine aided translation prototype named Vaakya.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C96-2183.txt | Citing Article:  W12-2202.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Together with syntactic analysis and transformations similar to those of Chandrasekar et al (1996), they employed lexical simplification based on looking up synonyms in WordNet and extracting Kucera-Francis frequency from the Oxford Psycholinguistic Database (Quinlan, 1992).</S> | Reference Offset:  ['45','156'] | Reference Text:  <S sid = 45 ssid = >To overcome the limitations of full parsers, researchers have adopted FSG based approaches to parsing (Abney, 1994; Hobbs et al., 1992; Grishman, 1995).</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C96-2183.txt | Citing Article:  W11-1602.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >or more adapted for subsequent machine processing tasks (Chandrasekar et al., 1996).</S> | Reference Offset:  ['153','156'] | Reference Text:  <S sid = 153 ssid = >R. Chandrasekar and S. Ramani.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C96-2183.txt | Citing Article:  D11-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','174'] | Reference Text:  <S sid = 54 ssid = >2o simplify sentences, we nced to know where we can split them.</S><S sid = 174 ssid = >In Proceedings of the 31~t Conference of Association of Computational Lin- guistics, Ohio State University, Columbus, Ohio.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C96-2183.txt | Citing Article:  C04-1129.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Chandrasekar et al (1996) viewed text simplification as a preprocessing tool to improve the performance of their parser.</S> | Reference Offset:  ['138','156'] | Reference Text:  <S sid = 138 ssid = >The first is as a preprocessor to a flfll parser so as to reduce ];he parse ambiguity for the parser.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C96-2183.txt | Citing Article:  W11-1608.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Text simplification has been associated with techniques that deal not only with helping readers with reading disabilities, but also to help NLP systems (Chandrasekar et al, 1996).</S> | Reference Offset:  ['99','156'] | Reference Text:  <S sid = 99 ssid = >Henc.e, each word is associated with more than one supertag.</S><S sid = 156 ssid = >R. Chandrasekar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C96-2183.txt | Citing Article:  P14-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['54','174'] | Reference Text:  <S sid = 54 ssid = >2o simplify sentences, we nced to know where we can split them.</S><S sid = 174 ssid = >In Proceedings of the 31~t Conference of Association of Computational Lin- guistics, Ohio State University, Columbus, Ohio.</S> | Discourse Facet:  NA | Annotator: Automatic


