Citance Number: 1 | Reference Article:  C00-1072.txt | Citing Article:  P02-1058.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This is similar to the idea of topic signature introduced in (Lin and Hovy 2000).</S> | Reference Offset:  ['26','69'] | Reference Text:  <S sid = 26 ssid = >495 to text categorization and information extraction, the concept of relevancy signatures introduced by her is very similar to the topic si.qnatures we pro- posed in this paper.</S><S sid = 69 ssid = >Our idea is simple.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C00-1072.txt | Citing Article:  W09-1312.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >There are signature terms for different topic texts (Lin and Hovy, 2000).</S> | Reference Offset:  ['74','137'] | Reference Text:  <S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S><S sid = 137 ssid = >7These four topics are: topic 151: Overcrowded Prisons, 1211 texts, 85 relevant; topic 257: Cigarette Consumption, 1727 texts, 126 relevant; topic 258: Computer Security, 1701 texts, 49 relevant; topic 271: Solar Power, 1555 texts, 59 relevant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C00-1072.txt | Citing Article:  W08-2207.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Topic Signatures (TS) are word vectors related to a particular topic (Lin and Hovy, 2000).</S> | Reference Offset:  ['74','236'] | Reference Text:  <S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S><S sid = 236 ssid = >Topic signatures can not only recognize related terms (topic identifi- (:ation), but grout) related terms togetlmr under one target concept (topic interpretation).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C00-1072.txt | Citing Article:  P07-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Such words are called signature terms in Lin and Hovy (2000) who were the first to introduce the log-likelihood weighting scheme for summarization.</S> | Reference Offset:  ['261','262'] | Reference Text:  <S sid = 261 ssid = >Eduard Hovy and Chin-Yew Lin.</S><S sid = 262 ssid = >Automated text summarization i SUMMAIRIST.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C00-1072.txt | Citing Article:  W08-1902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our next steps will be to take a closer look at the following work: clustering of similar words (Lin, 1998), topic signatures (Lin and Hovy, 2000) and Kilgariff's sketch engine (Kilgarriff et al, 2004). We plan also to add other lexical functions to enrich our database with a ws. We plan to experiment.</S> | Reference Offset:  ['110','241'] | Reference Text:  <S sid = 110 ssid = >-SUMMAC (Mani et al., 1998) that is a sttbset of the TREC collectioliS.</S><S sid = 241 ssid = >Although we focus the ltse of topic signatures to aid text summarization i this paper, we plan to explore the possibility of applying topic signatures to perform query expansion in the future.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C00-1072.txt | Citing Article:  W04-0906.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These are essentially scripts that provide information that is very useful in general reasoning as well as reasoning for NLP (e.g., Schank and Abelson 1977, Lin and Hovy 2000, Clark and Porter 2000).</S> | Reference Offset:  ['31','261'] | Reference Text:  <S sid = 31 ssid = >In the next section, we describe the automated text smmnarization system SUMMARIST that we used in the experiments to provide the context of discussion.</S><S sid = 261 ssid = >Eduard Hovy and Chin-Yew Lin.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C00-1072.txt | Citing Article:  W06-1663.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Topic Signatures (TS) are word vectors related to a particular topic (Lin and Hovy, 2000).</S> | Reference Offset:  ['74','236'] | Reference Text:  <S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S><S sid = 236 ssid = >Topic signatures can not only recognize related terms (topic identifi- (:ation), but grout) related terms togetlmr under one target concept (topic interpretation).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C00-1072.txt | Citing Article:  P06-1015.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To date, researchers have harvested, with varying success, several resources, including concept lists (Lin and Pantel 2002), topic signatures (Lin and Hovy 2000), facts (Etzioni et al 2005), and word similarity lists (Hindle 1990).</S> | Reference Offset:  ['74','261'] | Reference Text:  <S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S><S sid = 261 ssid = >Eduard Hovy and Chin-Yew Lin.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C00-1072.txt | Citing Article:  D09-1032.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >the input and all words of the summary Topic signatures are words highly descriptive of the input, as determined by the application of log likelihood test (Lin and Hovy, 2000).</S> | Reference Offset:  ['74','147'] | Reference Text:  <S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S><S sid = 147 ssid = >The -2logA values decrease as the number of words in a term increases.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C00-1072.txt | Citing Article:  P06-4007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Under this approach, topic representations like those introduced in (Lin and Hovy, 2000) and (Harabagiu, 2004) are used to identify aset of text passages that are relevant to a user's domain of interest.</S> | Reference Offset:  ['46','259'] | Reference Text:  <S sid = 46 ssid = >We have investigated concept aWe would like to use only the relevant parts of documents to generate topic signatures in the future, qkext segmentation algorithms uch as TextTiling (Ilearst, 1997) can be used to find subtopic segments in text.</S><S sid = 259 ssid = >TextTiling: Segmenting text into nmlti-l)aragraph subtopic passages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C00-1072.txt | Citing Article:  P08-1092.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A similar approach is explored in Biryukov et al (2005), which uses Topic Signatures (Lin and Hovy, 2000) constructed around the target individual's name to identify sentences to be included in the biography.</S> | Reference Offset:  ['28','229'] | Reference Text:  <S sid = 28 ssid = >The main differences to our approach are: relevancy signatures require a parser.</S><S sid = 229 ssid = >As discussed in (Agirre et al., 2000), we propose using an existing ontology such as SENSUS (Knight and Luk, 1994) to identify signature term relations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C00-1072.txt | Citing Article:  P08-1090.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In summarization, topic signatures are a set of terms indicative of a topic (Lin and Hovy, 2000).</S> | Reference Offset:  ['40','74'] | Reference Text:  <S sid = 40 ssid = >: summarization = topic identification + topic interpretation + generation.</S><S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C00-1072.txt | Citing Article:  C08-1021.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Topic Signatures (TS) are word vectors related to a particular topic (Lin and Hovy, 2000).</S> | Reference Offset:  ['74','236'] | Reference Text:  <S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S><S sid = 236 ssid = >Topic signatures can not only recognize related terms (topic identifi- (:ation), but grout) related terms togetlmr under one target concept (topic interpretation).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C00-1072.txt | Citing Article:  N03-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Two methods are used: topic signature (Lin and Hovy, 2000): a topic signature is a family of related terms (topic, signature), where topic is the target concept and signature is a vector related ms. The topic in e formula is assigned with the domain ame.</S> | Reference Offset:  ['74','236'] | Reference Text:  <S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S><S sid = 236 ssid = >Topic signatures can not only recognize related terms (topic identifi- (:ation), but grout) related terms togetlmr under one target concept (topic interpretation).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C00-1072.txt | Citing Article:  W11-1402.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our domain topic set contains 288 words extracted from the collection of student papers using topic-lexicon ex traction software; our feature (domain Word). The software extracts topic words based on topic signatures (Lin and Hovy, 2000), and was kindly provided by Annie Louis.</S> | Reference Offset:  ['74','227'] | Reference Text:  <S sid = 74 ssid = >= {topic,< ( t , ,w l ) , .</S><S sid = 227 ssid = >6.2 Enriching Topic Signatures Using Existing Ontologies We have shown in the previous sections that topic signatures can be used to al)I)roximate topic iden- tification at the lexieal level.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C00-1072.txt | Citing Article:  P09-2030.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Among them, query relevance, centroid (Radev et al, 2004) and signature term (Lin and Hovy, 2000) are most remarkable.</S> | Reference Offset:  ['154','229'] | Reference Text:  <S sid = 154 ssid = >As indicated by (Mani et al., 1998) the majority of rel- evant documents for topic 258 have the query topic as their main theme; while the others mostly have the query topics as their subsidiary themes.</S><S sid = 229 ssid = >As discussed in (Agirre et al., 2000), we propose using an existing ontology such as SENSUS (Knight and Luk, 1994) to identify signature term relations.</S> | Discourse Facet:  NA | Annotator: Automatic


