Citance Number: 1 | Reference Article:  E06-1002.txt | Citing Article:  N07-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 7 | Reference Article:  E06-1002.txt | Citing Article:  P09-2046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Based on the aforementioned resources of information, we follow the method presented in (Bunescu and Pasca, 2006) to build a dictionary called ViDic.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>More exactly, the method: 1.</S><S sid = NA ssid = NA>Whenever the queries search for pinpointed, factual information, the burden of filling the gap between the output granularity (whole documents) and the targeted information (a set of sentences or relevant phrases) stays with theusers, by browsing the returned documents in or der to find the actually relevant bits of information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  E06-1002.txt | Citing Article:  P09-2046.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  E06-1002.txt | Citing Article:  P09-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  E06-1002.txt | Citing Article:  P09-1047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Bunescu and Pasca, 2006) showed that external information from Wikipedia can improve the disambiguation performance.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It seems therefore natural to try to exploit the webin order to also improve the performance of relation extraction, i.e. the discovery of useful re lationships between named entities mentioned in text documents.</S><S sid = NA ssid = NA>Whenever the queries search for pinpointed, factual information, the burden of filling the gap between the output granularity (whole documents) and the targeted information (a set of sentences or relevant phrases) stays with theusers, by browsing the returned documents in or der to find the actually relevant bits of information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  E06-1002.txt | Citing Article:  W12-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>After the task of EL was initiated with Wikipedia-based works on entity disambiguation, in particular by Cucerzan (2007) and Bunescu and Pasca (2006), numerous systems have been developed, encouraged by the TAC 2009 KB population task (McNamee and Dang, 2009).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Section 2 describes Wikipedia, with an emphasis on the features that are most important to the entity disambiguation task.</S><S sid = NA ssid = NA>The window size is set to 55, which is the value that was observed to give optimum performance in the related task of cross-document coreference (Gooi and Allan, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  E06-1002.txt | Citing Article:  W12-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is addressed by various methods, such as setting a threshold of minimal similarity for an entity selection (Bunescu and Pasca, 2006), or training a separate binary classifier to judge whether the returned top candidate is the actual denotation (Zheng et al, 2010).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>4.1 Context-Article Similarity.</S><S sid = NA ssid = NA>entity, when compared with the simple cosine similarity baseline.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  E06-1002.txt | Citing Article:  I08-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  E06-1002.txt | Citing Article:  I08-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  E06-1002.txt | Citing Article:  D12-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  E06-1002.txt | Citing Article:  D12-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We then employ standard entity linking techniques including string matching, prominence priors (Fader et al2009), and context matching (Bunescu and Pasca, 2006) to link the noun phrase subjects into Wikipedia.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The string from the second link (?Rome?)</S><S sid = NA ssid = NA>If there is a dictionary entry matching the proper name in the query q such that the set of denoted entities q:E contains at least two entities, one of them the true answer entity q:e, then the query q is included in the dataset.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  E06-1002.txt | Citing Article:  D12-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  E06-1002.txt | Citing Article:  E09-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Culotta et al (2006) deal with learning contextual patterns for extracting family relation ships from Wikipedia.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>9Without solving it, a relation extraction system an alyzing the sentences in the above example could mistakenly consider the third as evidence that John Williams the composer fought at Rorke?s Drift.</S><S sid = NA ssid = NA>It seems therefore natural to try to exploit the webin order to also improve the performance of relation extraction, i.e. the discovery of useful re lationships between named entities mentioned in text documents.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  E06-1002.txt | Citing Article:  E09-1035.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  E06-1002.txt | Citing Article:  P12-1086.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>w+ C P  q;k subject to: w ((q; q:e)</S><S sid = NA ssid = NA>2.1 Redirect Pages.</S> | Discourse Facet:  NA | Annotator: Automatic


