Citance Number: 1 | Reference Article:  P89-1009.txt | Citing Article:  P97-1027.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','140'] | Reference Text:  <S sid = 43 ssid = >I f  the status includes the features [centre, +] and [oblig,-], then this participant should be omitted from the surface semantic struc- ture altogether.</S><S sid = 140 ssid = >London: Garland Pub- lishing.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P89-1009.txt | Citing Article:  W06-1410.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Full Brevity algorithm (Dale, 1989) attempts to build a minimal distinguishing description by always selecting the most discriminatory property available;.</S> | Reference Offset:  ['48','61'] | Reference Text:  <S sid = 48 ssid = >FULL  DEF IN ITE  NOUN PHRASE REFERENCE If pronominalization is ruled out, we have to build an appropriate description of the intended refer- ent.</S><S sid = 61 ssid = >We find a minimal distinguishing description by observing that different attribute-value pairs differ in the effectiveness with which they distin- guish an entity from a set of entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P89-1009.txt | Citing Article:  W08-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Based on the Gricean Quantity maxim (Grice, 1975), and originally discussed by Appelt (1985), and further by Dale (1989), Reiter (1990) and Gardent (2002), this principle holds that descriptions should contain no more information than is necessary to distinguish an intended referent.</S> | Reference Offset:  ['50','51'] | Reference Text:  <S sid = 50 ssid = >The p~nciple of adequacy requires that a referring ex- pression should identify the intended referent un- ambiguously, and provide sufficient information to serve the purpose of the reference; and the princi- ple of e~ciency, pulling in the opposite direction, requires that the referring expression used must not contain more information than is necessary for the task at hand.</S><S sid = 51 ssid = >2 These principles are implemented in EPICUItE 2Similar considerations are discussed by Appelt  (1985).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P89-1009.txt | Citing Article:  W08-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In ASGRE, this has been translated into a criterion which determines the adequacy of an attribute set, implemented in its most straightforward form in Full Brevity algorithms which select the smallest attribute set that uniquely refers to the intended referent (Dale, 1989).</S> | Reference Offset:  ['60','63'] | Reference Text:  <S sid = 60 ssid = >A mini- mal distinguishing description is then a set of such attribute-value pairs, where the cardinality of that set is such that there are no other sets of attribute- value pairs of lesser cardinality which are sufficient to distinguish the intended referent.</S><S sid = 63 ssid = >Then, any attribute-value pair true of the intended referent zl will be true of n entities in this set, where n >_ i.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P89-1009.txt | Citing Article:  W08-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first of these is Minimality, defined as the proportion of descriptions produced by a system that are maximally brief, as per the original definition in Dale (1989).</S> | Reference Offset:  ['5','11'] | Reference Text:  <S sid = 5 ssid = >In particular, the system generates natural lan- guage descriptions of cookery recipes.</S><S sid = 11 ssid = >In more complex domains, such as recipes, this simplification is of limited value, since a large proportion of the objects we find are masses or sets, such as those described by the noun phrases two ounces of salt and three pounds of carrots respectively.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P89-1009.txt | Citing Article:  W08-1108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Just one system adopts the FullBrevity approach of Dale (1989), while the majority (11 systems) adopt the Dale and Reiterconvention of always adding TYPE.</S> | Reference Offset:  ['10','28'] | Reference Text:  <S sid = 10 ssid = >THE REPRESENTATION OF INGREDIENTS In most natural anguage systems, it is assumed that all the entities in the domain of discourse are singular individuals.</S><S sid = 28 ssid = >The approach taken here is rel- atively simple.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P89-1009.txt | Citing Article:  P06-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yet, brevity plays a part in all GRE algorithms, sometimes in a strict form (Dale, 1989), or by letting the algorithm approximate the shortest description (for example, in the Dale and Reiter's IA).</S> | Reference Offset:  ['68','71'] | Reference Text:  <S sid = 68 ssid = >This is the set of distinguishable enti- sstrictly speaking, this mechanism is only applicable in the form described here to those properties of an entity which are realizable by what are known as abJolute (or t~- tereect/ee or pred~tiee) adjectives (see, for example, Kamp (1975), Keenan and FaRm (1978)).</S><S sid = 71 ssid = >4 Suppose, for example, we  determine that we must identify a given object as being a set of olives which have been pitted (in a context, for example, where there are also olives which have not been pitted}; the corresponding deep semantic struc- ture is then as in figure 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P89-1009.txt | Citing Article:  D07-1011.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Due to its hill climbing nature, the IA avoids combinatorial search, unlike some predecessors which searched exhaustively for the briefest possible description of a referent (Dale, 1989), based on a strict interpretation of the GriceanMaxim of Quantity (Grice, 1975).</S> | Reference Offset:  ['49','110'] | Reference Text:  <S sid = 49 ssid = >In EPICURE, the process of constructing a description is driven by two principles, very like Gricean conversational maxims (Grice 1975).</S><S sid = 110 ssid = >Grice, H. Paul (1975) Logic and Conversation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P89-1009.txt | Citing Article:  P10-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Several NLG systems adapt to the user's domain expertize at different levels of generation text planning (Paris, 1987), complexity of instructions (Dale, 1989), referring expressions (Reiter, 1991), and so on.</S> | Reference Offset:  ['4','103'] | Reference Text:  <S sid = 4 ssid = >INTRODUCTION EPICURE (Dale 1989a, 1989b) is a natural lan- guage generation system whose principal concern is the generation of referring expressions which pick out complex entities in connected iscourse.</S><S sid = 103 ssid = >Dale, Robert (1988) The Generation ofSubsequent Referring Expressions in Structured Discourses.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P89-1009.txt | Citing Article:  P08-2050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These measures were included because they are commonly named as desiderata for attribute selection algorithms in the REG field (Dale, 1989).</S> | Reference Offset:  ['57','64'] | Reference Text:  <S sid = 57 ssid = >Suppose, also, that the domain includes a number of attributes (a I, a~, and so on), and that each attribute has a number of permissible values {v,,t, v,,2, and so on}; and that each entity is described by a set of attribute- value pairs.</S><S sid = 64 ssid = >For any attribute-value pair < a, v > that is true of the intended referent, we can compute the discriminatory power (notated here as F) of that attribute-value pair with respect to U as fol- lows" ~(< ~,v>, U) = ~-~ l<n<N F thus has as its range the interval [0,1], where a value of 1 for a given attribute-value pair indi- cates that the attribute-value pair singles out the intended referent from the conte?t, and a value of 7] DS -~- i ndez  = z2 s ta tus  = SSf~t SpSC -~ [ #/uen= + ] unique = + number  = sg agr  = countab le  ---- + type  = ] categor l !</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P89-1009.txt | Citing Article:  W09-0606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many studies in natural language processing are concerned with how to generate definite descriptions that evoke a discourse entity already introduced in the context. A solution to this problem has been initially proposed by Dale (1989) in terms of distinguishing descriptions and distin guishable entities.</S> | Reference Offset:  ['5','61'] | Reference Text:  <S sid = 5 ssid = >In particular, the system generates natural lan- guage descriptions of cookery recipes.</S><S sid = 61 ssid = >We find a minimal distinguishing description by observing that different attribute-value pairs differ in the effectiveness with which they distin- guish an entity from a set of entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P89-1009.txt | Citing Article:  W09-0606.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Following Dale (1989), these definite descriptions are named distinguishing descriptions.</S> | Reference Offset:  ['2','5'] | Reference Text:  <S sid = 2 ssid = >uk ABSTRACT This paper describes the referring expression generation mechanisms used in EPICURE, a com- puter program which produces natural language descriptions of cookery recipes.</S><S sid = 5 ssid = >In particular, the system generates natural lan- guage descriptions of cookery recipes.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P89-1009.txt | Citing Article:  W97-1408.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','140'] | Reference Text:  <S sid = 43 ssid = >I f  the status includes the features [centre, +] and [oblig,-], then this participant should be omitted from the surface semantic struc- ture altogether.</S><S sid = 140 ssid = >London: Garland Pub- lishing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P89-1009.txt | Citing Article:  W08-0508.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the system knows which nodes in the semantic graph have already been mentioned it would also be possible to configure an external call to a GRE system (Dale, 1989) an application which infers the content of a referring expression given the current semantic context.</S> | Reference Offset:  ['22','82'] | Reference Text:  <S sid = 22 ssid = >From the deep semantic structure, a surface semantic structure is then constructed.</S><S sid = 82 ssid = >The mechanisms which construct the surface semantic structure determine whether one-anaphora is possible by comparing the deep semantic struc- ture corresponding to the previous utterance with that corresponding to the current utterance, to identify any elements they have in common.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P89-1009.txt | Citing Article:  D11-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['43','140'] | Reference Text:  <S sid = 43 ssid = >I f  the status includes the features [centre, +] and [oblig,-], then this participant should be omitted from the surface semantic struc- ture altogether.</S><S sid = 140 ssid = >London: Garland Pub- lishing.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P89-1009.txt | Citing Article:  D11-1107.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Much of this work takes as its starting point the characterisation of the problem expressed in (Dale, 1989).</S> | Reference Offset:  ['70','107'] | Reference Text:  <S sid = 70 ssid = >ties in the domain at any given point in time: the constituency of this set changes as a recipe pro- ceeds, since entities may be created or destroyed.</S><S sid = 107 ssid = >Extended Abstracts of the Sec- ond European Natural Language Generation Work- shop, Edinburgh, April 1989.</S> | Discourse Facet:  NA | Annotator: Automatic


