Citance Number: 1 | Reference Article:  W04-3236.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >So we first segmented Chinese text with a Chinese word segmenter that was based on maximum entropy modeling (Ng and Low, 2004).</S> | Reference Offset:  ['18','67'] | Reference Text:  <S sid = 18 ssid = >The word segmenter we built is similar to the maximum entropy word segmenter of (Xue and Shen, 2003).</S><S sid = 67 ssid = >An English POS tagger based on maximum entropy modeling was built by (Ratnaparkhi, 1996).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  W04-3236.txt | Citing Article:  C08-1049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The table's upper column lists the templates that immediately from Ng and Low (2004).</S> | Reference Offset:  ['72','124'] | Reference Text:  <S sid = 72 ssid = >The following feature templates were chosen.</S><S sid = 124 ssid = >Table 1 summarizes the methods investigated in this paper.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W04-3236.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Since the typical approach of discriminative models treats segmentation as a labelling problem by assigning each character a boundary tag (Xue and Shen, 2003), Joint S&T can be conducted in a labelling fashion by expanding boundary tags to include POS information (Ng and Low, 2004).</S> | Reference Offset:  ['23','106'] | Reference Text:  <S sid = 23 ssid = >The default feature, boundary tag feature of the previous character, and boundary tag feature of the character two before the current character used in (Xue and Shen, 2003) were dropped from our word segmenter, as they did not improve word segmentation accuracy in our experiments.</S><S sid = 106 ssid = >Each character is assigned both a boundary tag and a POS tag, for example “b_NN” (i.e., the first character in a word with POS tag NN).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W04-3236.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Compared to performing segmentation and POS tagging one at a time, Joint S&T can achieve higher accuracy not only on segmentation but also on POS tagging (Ng and Low, 2004).</S> | Reference Offset:  ['103','120'] | Reference Text:  <S sid = 103 ssid = >Assuming a one-at-a-time processing architecture, Chinese POS tagging using a character-based approach gives higher accuracy compared to a word-based approach.</S><S sid = 120 ssid = >There is a slight improvement in word segmentation and POS tagging accuracy using this approach, compared to the one-at-a-time, character-based approach.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W04-3236.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Ac cording to Ng and Low (2004), the segmentation task can be transformed to a tagging problem by assigning each character a boundary tag of the following four types: b: the begin of the word m: the middle of the word e: the end of the word s: a single-character word.</S> | Reference Offset:  ['21','39'] | Reference Text:  <S sid = 21 ssid = >Each character can be assigned one of 4 possible boundary tags: “b” for a character that begins a word and is followed by another character, “m” for a character that occurs in the middle of a word, “e” for a character that ends a word, and “s” for a character that occurs as a single-character word.</S><S sid = 39 ssid = >(If W is a single-character word, then the single character is assigned “s”.)</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W04-3236.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In order to perform POS tagging at the same time, we expand boundary tags to include POS information by attaching a POS to the tail of a boundary tag as a postfix following Ng and Low (2004).</S> | Reference Offset:  ['106','109'] | Reference Text:  <S sid = 106 ssid = >Each character is assigned both a boundary tag and a POS tag, for example “b_NN” (i.e., the first character in a word with POS tag NN).</S><S sid = 109 ssid = >In the following templates, B refers to the boundary tag assigned.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W04-3236.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Templates immediately borrowed from Ng and Low (2004) are listed in the upper column named non-lexical-target.</S> | Reference Offset:  ['72','108'] | Reference Text:  <S sid = 72 ssid = >The following feature templates were chosen.</S><S sid = 108 ssid = >The features we used are identical to those employed in the character-based POS tagger described in section 4.1, except that features (g) and (h) are replaced with those listed below.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W04-3236.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that the templates of Ng and Low (2004) have already contained some lexical-target ones.</S> | Reference Offset:  ['72','109'] | Reference Text:  <S sid = 72 ssid = >The following feature templates were chosen.</S><S sid = 109 ssid = >In the following templates, B refers to the boundary tag assigned.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W04-3236.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar trend appeared in experiments of Ng and Low (2004), where they conducted experiments on CTB 3.0 and achieved F measure 0.919 on Joint S&T, a ratio of 96% to the F-measure 0.952 on segmentation.</S> | Reference Offset:  ['57','62'] | Reference Text:  <S sid = 57 ssid = >Our word segmenter achieved higher F-measure than the best reported F-measure in the SIGHAN bakeoff on the ASc, HKc, and PKc corpus.</S><S sid = 62 ssid = >We found that with this additional AS training data added to the original 3 Last ranked participant of SIGHAN CTB (closed) with F-measure 73.2% is not shown in Figure 2 due to space constraint. official released CTB training data of SIGHAN, our word segmenter achieved an F-measure of 92.2%, higher than the best reported F-measure in the CTB open task.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W04-3236.txt | Citing Article:  P08-1102.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In addition, all knowledge sources we used in the core perceptron and the outside-layer linear model come from the training corpus, whereas many open knowledge sources (lexicon etc.) can be used to improve performance (Ng and Low, 2004).</S> | Reference Offset:  ['59','61'] | Reference Text:  <S sid = 59 ssid = >(Note that the top participant of CTBc (Zhang et al., 2003) used additional named entity knowledge/data in their word segmenter).</S><S sid = 61 ssid = >On this CTBO task, we used as additional training data the AS training corpus provided by SIGHAN, after converting the AS training corpus to GB encoding.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W04-3236.txt | Citing Article:  P11-1141.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Li et al (2010) reported that a joint syntactic and semantic model improved the accuracy of both tasks, while Ng and Low (2004) showed it is beneficial to integrate word segmentation and part-of-speech tagging into one model.</S> | Reference Offset:  ['0','136'] | Reference Text:  <S sid = 0 ssid = >Chinese Part-Of-Speech Tagging: One-At-A-Time Or All-At-Once? Word-Based Or Character-Based?</S><S sid = 136 ssid = >Much previous research on Chinese language processing focused on word segmentation (Sproat et al., 1996; Teahan et al., 2000; Sproat and Emerson, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W04-3236.txt | Citing Article:  I08-4024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this bakeoff, our models built for the tasks are similar to that in the work of Ng and Low (2004).</S> | Reference Offset:  ['18','137'] | Reference Text:  <S sid = 18 ssid = >The word segmenter we built is similar to the maximum entropy word segmenter of (Xue and Shen, 2003).</S><S sid = 137 ssid = >Relatively less work has been done on Chinese POS tagging.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W04-3236.txt | Citing Article:  I08-4024.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For this task, because of the time limitation as mentioned in the previous section, we could only port our implemented model by using a part of the feature set which was used in the word-based tagger discussed in the work of Ng and Low (2004).</S> | Reference Offset:  ['91','100'] | Reference Text:  <S sid = 91 ssid = >So we next investigate such a one-at-a-time, character-based POS tagger.</S><S sid = 100 ssid = >With a one-at-a-time, character-based POS tagger, the average POS tagging accuracy improved to 91.7%, 7.6% higher than that achieved by the one-at-a-time, word-based POS tagger.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W04-3236.txt | Citing Article:  W08-0336.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Our linguistic features are adopted from (Ng and Low, 2004) and (Tseng et al., 2005).</S> | Reference Offset:  ['59','136'] | Reference Text:  <S sid = 59 ssid = >(Note that the top participant of CTBc (Zhang et al., 2003) used additional named entity knowledge/data in their word segmenter).</S><S sid = 136 ssid = >Much previous research on Chinese language processing focused on word segmentation (Sproat et al., 1996; Teahan et al., 2000; Sproat and Emerson, 2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W04-3236.txt | Citing Article:  W08-0336.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['47','151'] | Reference Text:  <S sid = 47 ssid = >Recall is the proportion of correctly segmented words in the gold-standard segmentation, and precision is the proportion of correctly segmented words in word segmenter’s output.</S><S sid = 151 ssid = >This research is partially supported by a research grant R252-000-125-112 from National University of Singapore Academic Research Fund.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W04-3236.txt | Citing Article:  W08-0336.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similar to (Ng and Low, 2004), we found the overall F measure only goes up a tiny bit, but we do find a significant OOV recall rate improvement.</S> | Reference Offset:  ['58','133'] | Reference Text:  <S sid = 58 ssid = >For CTBc, due to the exceptionally high out-of-vocabulary (OOV) rate of the test data (18.1%), our word segmenter’s Fmeasure ranked in the third position.</S><S sid = 133 ssid = >In addition, since the out-of-vocabulary (OOV) rate for Chinese words is much higher than the OOV rate for Chinese characters, in the presence of an unknown word, using the component characters in the word to help predict the correct POS tag is a good heuristic.</S> | Discourse Facet:  NA | Annotator: Automatic


