Citance Number: 1 | Reference Article:  C94-1079.txt | Citing Article:  W97-0908.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Principle-based parsers are also designed with universal grammar in mind (Lin 1994), but have yet to demonstrate large scale coverage in several languages.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  C94-1079.txt | Citing Article:  N04-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used Minipar (Lin 1994), a broad coverage parser, to parse 3GB of newspaper text from the Aquaint (TREC-9) collection.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  C94-1079.txt | Citing Article:  P06-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parse questions and candidate sentences with MiniPar (Lin, 1994), a fast and robust parser for grammatical dependency relations.</S> | Reference Offset:  ['196','198'] | Reference Text:  <S sid = 196 ssid = >Our experiments have shown that the parser is very fast.</S><S sid = 198 ssid = >The correct parses for all the sentences in TM)le 1 are returned by the parser.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  C94-1079.txt | Citing Article:  C02-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used Minipar (Lin 1994), a broad coverage English parser, to parse about 1GB (144M words) of newspaper text from the TREC collection (1988 AP Newswire, 1989-90 LA Times, and 1991 San Jose Mercury) at a speed of about 500words/second on a PIII-750 with 512MB memory.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  C94-1079.txt | Citing Article:  P05-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parse a 6 GB newspaper (TREC9 and TREC 2002 collection) corpus using the dependency parser Minipar (Lin, 1994).</S> | Reference Offset:  ['67','69'] | Reference Text:  <S sid = 67 ssid = >The parse trees of the input sentence can be retrieved h'om the parse forest one by one.</S><S sid = 69 ssid = >GB principles are implemented as local and percolation constraints on the items.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  C94-1079.txt | Citing Article:  C04-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the co-occurrence model, we used Minipar (Lin 1994), a broad coverage parser, to parse each data set.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  C94-1079.txt | Citing Article:  C08-2033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the algorithm discussed in Section 4.1, we derived our descriptive properties using the output of the dependency analysis generated by the Minipar (Lin, 1994) dependency parser.</S> | Reference Offset:  ['15','179'] | Reference Text:  <S sid = 15 ssid = >Sentence analysis is divided into three steps.</S><S sid = 179 ssid = >Therefore, only (a) is output as the parse tree of the sentence.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  C94-1079.txt | Citing Article:  E06-1019.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >At that point, the initial message for the next lexical item is fed into the network.</S><S sid = 202 ssid = >This re'- search was supported by NaturM Sciences and Engineering Research Council of Canada grant OGP121338.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  C94-1079.txt | Citing Article:  P00-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parsed a 125-million word newspaper corpus with Minipar3, a descendent of Principar (Lin, 1994).</S> | Reference Offset:  ['0','57'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 57 ssid = >The input sentence is parsed in the follow- ing steps.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  C94-1079.txt | Citing Article:  P05-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used Minipar (Lin 1994), a broad coverage parser, to analyze text.</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  C94-1079.txt | Citing Article:  P05-1016.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We used Minipar (Lin 1994), a broad coverage parser, to parse two 3GB corpora (TREC-9 and TREC-2002).</S> | Reference Offset:  ['0','1'] | Reference Text:  <S sid = 0 ssid = >PRINCIPAR - An Efficient Broad-Coverage Principle-Based Parser</S><S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  C94-1079.txt | Citing Article:  P08-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >English dependency trees are provided by Minipar (Lin, 1994).</S> | Reference Offset:  ['1','67'] | Reference Text:  <S sid = 1 ssid = >We present an efI\]cient, broad-coverage, principle-based parser for English.</S><S sid = 67 ssid = >The parse trees of the input sentence can be retrieved h'om the parse forest one by one.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  C94-1079.txt | Citing Article:  P07-1057.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The Simplified Clause: In order to extract clauses from the text, we use Lin's parser MINI PAR (Lin, 1994).</S> | Reference Offset:  ['35','74'] | Reference Text:  <S sid = 35 ssid = >I t ln order to simplify the diagrain, we did nol.</S><S sid = 74 ssid = >Interested reader is referred to Lin (1993) for more details.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  C94-1079.txt | Citing Article:  D07-1002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['63','202'] | Reference Text:  <S sid = 63 ssid = >At that point, the initial message for the next lexical item is fed into the network.</S><S sid = 202 ssid = >This re'- search was supported by NaturM Sciences and Engineering Research Council of Canada grant OGP121338.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  C94-1079.txt | Citing Article:  W05-0612.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To get the context values and implement the syntactic filters, we parsed our corpora with Minipar (Lin,1994).</S> | Reference Offset:  ['57','195'] | Reference Text:  <S sid = 57 ssid = >The input sentence is parsed in the follow- ing steps.</S><S sid = 195 ssid = >When attribute values are used in messages, the complexity of the Mgorithm is not yet known.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  C94-1079.txt | Citing Article:  N09-2047.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Widely used dependency parsers which generate deep dependency representations include Minipar (Lin, 1994), which uses a declarative grammar, and the Stanford parser (Levy and Manning, 2004), which performs a conversion from a standard phrase-structure parse.</S> | Reference Offset:  ['66','160'] | Reference Text:  <S sid = 66 ssid = >The structure of the parse forest is similar to (Billot and Long, 1989) and (Tomita, 1986), but extended to include attribute values.</S><S sid = 160 ssid = >One of the problems with many parsers is that they typically generate far more parses than humans normally do.</S> | Discourse Facet:  NA | Annotator: Automatic


