Citance Number: 1 | Reference Article:  P02-1051.txt | Citing Article:  N09-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Web counts are frequently used to automatically re-rank candidate lists for various NLP tasks (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  ['194','195'] | Reference Text:  <S sid = 194 ssid = >Straight Web Counts re-score candidates based on their Web counts.</S><S sid = 195 ssid = >Contextual Web Counts uses Web counts within a given context (we used here title of the document as the contextual information).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P02-1051.txt | Citing Article:  P06-2025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The phonetics-based and spelling-based models have been linearly combined into a single transliteration model in (Al-Onaizan and Knight, 2002b) for transliteration of Arabic named entities into English.</S> | Reference Offset:  ['59','72'] | Reference Text:  <S sid = 59 ssid = >The transliteration process is based on a generative model of how an English name is transliterated into Arabic.</S><S sid = 72 ssid = >The transliteration score according to this model is given by: ✄ ✄ ✞(2) The phonetic-based and spelling-based models are combined into a single transliteration model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P02-1051.txt | Citing Article:  I08-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Yaser Al-Onaizan (Al-Onaizan and Knight, 2002) transliterated an NE in Arabic into several candidates in English and ranked the candidates by comparing their counts in several English corpora.</S> | Reference Offset:  ['57','68'] | Reference Text:  <S sid = 57 ssid = >For example, English P and B are both mapped into Arabic “ b”; Arabic “ h. ” and “ h-” into English H; and so on.</S><S sid = 68 ssid = >The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly According to this model, the transliteration probability is given by the following equation: maps English letter sequences into Arabic letter sequences with probability , which are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P02-1051.txt | Citing Article:  C10-2164.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Al-Onaizan and Knight (2002) used Web statistics information to validate the translation candidates generated by language model, and obtained the accuracy of 72.6% in Arabic-English OOV word translation.</S> | Reference Offset:  ['16','68'] | Reference Text:  <S sid = 16 ssid = >In Section 3, we describe how translation candidates are generated.</S><S sid = 68 ssid = >The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly According to this model, the transliteration probability is given by the following equation: maps English letter sequences into Arabic letter sequences with probability , which are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P02-1051.txt | Citing Article:  E09-1050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Al-Onaizan and Knight (2002) describe a system which combines a phonetic based model with a spelling model for transliteration.</S> | Reference Offset:  ['67','72'] | Reference Text:  <S sid = 67 ssid = >To address these limitations, we extend this approach by using a new spelling-based model in addition to the phonetic-based model.</S><S sid = 72 ssid = >The transliteration score according to this model is given by: ✄ ✄ ✞(2) The phonetic-based and spelling-based models are combined into a single transliteration model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P02-1051.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, the work of (Al-Onaizan and Knight, 2002a; Al-Onaizan and Knight, 2002b; Knight and Graehl, 1998) used the pronunciation of w in translation.</S> | Reference Offset:  ['58','68'] | Reference Text:  <S sid = 58 ssid = >Stalls and Knight (1998) present an Arabic-toEnglish back-transliteration system based on the source-channel framework.</S><S sid = 68 ssid = >The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly According to this model, the transliteration probability is given by the following equation: maps English letter sequences into Arabic letter sequences with probability , which are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P02-1051.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Al-Onaizan and Knight (2002b) suggested that pronunciation can be skipped and the target language letters can be mapped directly to source language letters.</S> | Reference Offset:  ['51','146'] | Reference Text:  <S sid = 51 ssid = >Transliteration is the process of replacing words in the source language with their approximate phonetic or spelling equivalents in the target language.</S><S sid = 146 ssid = >This can be done by searching for a document in the target language that is similar to the one being translated from the source language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P02-1051.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Similarly, Al-Onaizan and Knight (2002a; 2002b) only made use of transliteration information alone and so was not directly comparable.</S> | Reference Offset:  ['52','68'] | Reference Text:  <S sid = 52 ssid = >Transliteration between languages that use similar alphabets and sound systems is very simple.</S><S sid = 68 ssid = >The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly According to this model, the transliteration probability is given by the following equation: maps English letter sequences into Arabic letter sequences with probability , which are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P02-1051.txt | Citing Article:  C04-1089.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, the work of (Al Onaizan and Knight, 2002a; Al-Onaizan and Knight, 2002b; Knight and Graehl, 1998) used only the pronunciation or spelling of w in translation.</S> | Reference Offset:  ['58','68'] | Reference Text:  <S sid = 58 ssid = >Stalls and Knight (1998) present an Arabic-toEnglish back-transliteration system based on the source-channel framework.</S><S sid = 68 ssid = >The spelling-based model we propose (described in detail in (Al-Onaizan and Knight, 2002)) directly According to this model, the transliteration probability is given by the following equation: maps English letter sequences into Arabic letter sequences with probability , which are trained on a small English/Arabic name list without the need for English pronunciations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P02-1051.txt | Citing Article:  P03-1040.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Previous work on defining subtasks within statistical machine translation has been performed on, e.g., noun-noun pair (Cao and Li, 2002) and named entity translation (Al-Onaizan and Knight, 2002).</S> | Reference Offset:  ['10','179'] | Reference Text:  <S sid = 10 ssid = >Statistical machine translation systems can use such a system as a component to handle phrase translation in order to improve overall translation quality.</S><S sid = 179 ssid = >Also, the top-20 list in itself is often useful in providing phrasal translation candidates for general purpose statistical machine translation systems or other NLP systems.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P02-1051.txt | Citing Article:  D08-1041.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Al-Onaizan and Knight (2002), Huang (2003) and Ji and Grishman (2007) investigated the general name entity translation problem, especially in the context of machine translation.</S> | Reference Offset:  ['8','179'] | Reference Text:  <S sid = 8 ssid = >This translation problem is especially challenging because new phrases can appear from nowhere, and because many named-entities are domain specific, not to be found in bilingual dictionaries.</S><S sid = 179 ssid = >Also, the top-20 list in itself is often useful in providing phrasal translation candidates for general purpose statistical machine translation systems or other NLP systems.</S> | Discourse Facet:  NA | Annotator: Automatic


