Citance Number: 1 | Reference Article:  W00-0403.txt | Citing Article:  W01-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Obviously, intrinsic evaluation is more reliable, but it remains an extremely laborious process, where inter-judge disagreement is still an issue, see (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We are in the process of running experiments with other SCORE formulas.</S><S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  W00-0403.txt | Citing Article:  W03-0502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>However, this experiment differs from prior work in that we use judges to determine the relevance of sentences to sub-events rather than to evaluate summaries (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>MEAD is significantly different from previous work on multi-document summarization [Radev & McKeown, 1998; Carbonell and Goldstein, 1998; Mani and Bloedorn, 1999; McKeown et al., 1999], which use techniques such as graph matching, maximal marginal relevance, or language generation.</S><S sid = NA ssid = NA>Overall, out of 80 In conclusion, we found very high interjudge agreement in the first experiment and moderately low agreement in the second experiment.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  W00-0403.txt | Citing Article:  W03-0502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We would also like to thank Carl Sable, Min-Yen Kan, Dave Evans, Adam Budzikowski, and Veronika Horvath for their help with the evaluation.</S><S sid = NA ssid = NA>2 in the second article, while sentence 9 from the former article is later repeated in sentences 3 and 4 of the latter article.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  W00-0403.txt | Citing Article:  W03-0502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following (Radev et al, 2000), we used relative utility as our metric.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Their metric is used as an enhancement to a query-based summary whereas CSIS is designed for query-independent (a.k.a., generic) summaries.</S><S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  W00-0403.txt | Citing Article:  W03-0502.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>MEAD (Radev et al, 2000): MEAD is a centroid-based extractive summarizer that scores sentences based on sentence-level and inter-sentence features which indicate the quality of the sentence as a summary sentence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Next, five judges had to indicate for each sentence which other sentence(s), if any, it subsumes 8.</S><S sid = NA ssid = NA>Centroid-Based Summarization Of Multiple Documents: Sentence Extraction Utility-Based Evaluation And User Studies</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  W00-0403.txt | Citing Article:  P03-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>As in (Radev et al, 2000), in order to create an extract of a certain length, we simply extract the top scoring sentences that add up to that length.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>MEAD decides which sentences to include in the extract by ranking them according to a set of parameters.</S><S sid = NA ssid = NA>Sentences are laid in the same order as they appear in the original documents with documents ordered chronologically.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  W00-0403.txt | Citing Article:  P03-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>MEAD (Radev et al, 2000): MEAD is a centroid-based extractive summarizer that scores sentences based on sentence-level andinter-sentence features which indicate the quality of the sentence as a summary sentence.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Next, five judges had to indicate for each sentence which other sentence(s), if any, it subsumes 8.</S><S sid = NA ssid = NA>Centroid-Based Summarization Of Multiple Documents: Sentence Extraction Utility-Based Evaluation And User Studies</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  W00-0403.txt | Citing Article:  P03-1048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>3.1.3 Relative Utility Relative Utility (RU) (Radev et al, 2000) is tested on a large corpus for the first time in this project.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Cluster-based sentence utility (CBSU, or utility) refers to the degree of relevance (from 0 to 10) of a ' particular sentence to the general topic of the entire cluster (for a dis cussion of what is a topic, see [Allan et al. 1998]).</S><S sid = NA ssid = NA>A large body of research in TDT has been created over the past two years [Allan et al., 98].</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  W00-0403.txt | Citing Article:  W04-1018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This is in contrast with a method proposed by Radev (Radev et al, 2000), where the centroid of a cluster is selected as the representative one.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S><S sid = NA ssid = NA>We will present an extension of our own research on TDT [Radev et al., 1999] to cover summarization of multidocument clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  W00-0403.txt | Citing Article:  W03-0503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A number of techniques for choosing the right sentences to extract have been proposed in the literature, ranging from word counts (Luhn, 1958), key phrases (Edmundson, 1969), naive Bayesian classification (Kupiec et al, 1995), lexical chains (Barzilay and Elhadad, 1997), topic signatures (Hovy and Lin, 1999) and cluster centroids (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S><S sid = NA ssid = NA>We will present an extension of our own research on TDT [Radev et al., 1999] to cover summarization of multidocument clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  W00-0403.txt | Citing Article:  W03-0503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the Relative Utility (RU) method (Radev et al, 2000) to compare our various summaries.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S><S sid = NA ssid = NA>We will present an extension of our own research on TDT [Radev et al., 1999] to cover summarization of multidocument clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  W00-0403.txt | Citing Article:  W08-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>These summarizers have been found to produce quantitatively similar results, and both significantly outperform a baseline summarizer, which is the MEAD summarization framework with all options set to the default (Radev et al, 2000) .Both summarizers rely on information extraction from the corpus.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We used a new utility-based technique, CBSU, for the evaluation of MEAD and of summarizers in general.</S><S sid = NA ssid = NA>In the future, we would like to test our multidocument summarizer on a larger corpus and improve the summarization algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  W00-0403.txt | Citing Article:  W08-1106.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The extractive approach is represented by MEAD*, which is adapted from the open source summarization framework MEAD (Radev et al., 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We will present an extension of our own research on TDT [Radev et al., 1999] to cover summarization of multidocument clusters.</S><S sid = NA ssid = NA>We now describe the corpus used for the evaluation of MEAD, and later in this section we present MEAD's algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  W00-0403.txt | Citing Article:  C02-1085.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, our method focuses on subject shift of the documents from the target event rather than the sets of documents from different events (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Sentences are laid in the same order as they appear in the original documents with documents ordered chronologically.</S><S sid = NA ssid = NA>Event clusters range from2 to 10 documents from which MEAD produces summaries in the form of sentence extracts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  W00-0403.txt | Citing Article:  P08-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Finally, MEAD is a widely used MDS and evaluation platform (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There is not yet a widely accepted evaluation scheme.</S><S sid = NA ssid = NA>We now describe the corpus used for the evaluation of MEAD, and later in this section we present MEAD's algorithm.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  W00-0403.txt | Citing Article:  P08-2005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We have implemented an extractive summarizer for educational science content, COGENT, based on MEAD version 3.11 (Radev et al, 2000).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We have implemented CBS in a system, named MEAD.</S><S sid = NA ssid = NA>We presented a new multi-document summarizer, MEAD.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  W00-0403.txt | Citing Article:  P09-3012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Radev et al (2000) use it in their MDS system MEAD.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Table 2 shows a sample centroid, produced by CIDR [Radev et al., 1999] from cluster A.</S><S sid = NA ssid = NA>We will present an extension of our own research on TDT [Radev et al., 1999] to cover summarization of multidocument clusters.</S> | Discourse Facet:  NA | Annotator: Automatic


