Citance Number: 1 | Reference Article:  P00-1071.txt | Citing Article:  W01-1206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As we look for the future, in order to address questions of higher classes we need to handle real-time knowledge acquisition and classification from different domains, coreference, metonymy, special-purpose reasoning, semantic indexing and other advanced techniques.</S><S sid = NA ssid = NA>The Zprise IR engine was built using a cosine vector space model.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P00-1071.txt | Citing Article:  P01-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>(Moldovan et al, 2000) details the empirical methods used in our system for transforming a natural language question into an IR query.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus, a mixture of natural language processing and information retrieval methods may be the solution for now.</S><S sid = NA ssid = NA>Finally, in order to extract answers and to evaluate their correctness, we use a battery of abductive techniques (Hobbs et al.1993), some based on empirical methods, some on lexicosemantic information.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P00-1071.txt | Citing Article:  P01-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>To decide which keywords should be expanded and what form of alternations should be used we rely on a set of heuristics which complement the heuristics that select the question keywords and generate the queries (as described in (Moldovan et al, 2000)): Heuristic 1: Whenever the first feedback loop requires the addition of the main verb of the question as a query keyword, generate all verb conjugations as well as its nominalizations.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Each heuristic returns a set of keywords that are added in the same order to the question keywords.</S><S sid = NA ssid = NA>If further keywords are needed in the retrieval loop, keywords provided by the other two heuristics are added.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P00-1071.txt | Citing Article:  W08-1803.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Here, we can distinguish between approaches that only return one passage per relevant document (see, for example, (Robertson et al., 1992)) and the ones that allow multiple passages per document (see, for example (Moldovan et al, 2000)).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To facilitate the identification of the document sources, the engine was required to put the document id in front of each line in the document.</S><S sid = NA ssid = NA>The parameter n selects the number of paragraphs, thus controlling the size of the text retrieved from a document considered relevant.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P00-1071.txt | Citing Article:  W04-2108.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The Falcon system (Moldovan et al, 2000) uses some semantic relations from WordNet when it expands the question.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>First, we have acquired new tagging rules and secondly, we have unified the dictionaries of the tagger with semantic dictionaries derived from the Gazetteers and from WordNet (Miller 1995).</S><S sid = NA ssid = NA>First, we perform the processing of the question by combining syntactic information, resulting from a shallow parse, with semantic information that characterizes the question (e.g. question type, question focus).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P00-1071.txt | Citing Article:  E06-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moldovan et al (2000), for instance, select as keywords all named entities that were recognized as proper nouns.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Similar heuristics recognize named entities successfully in IE systems.</S><S sid = NA ssid = NA>The Parser The parser combines information from broad coverage lexical dictionaries with semantic information that contributes to the identification of the named entities.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P00-1071.txt | Citing Article:  E06-3005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the work of Moldovan et al (2000), all why-questions share the single answer type reason.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Crucial to the identification of the answer is the recognition of the answer type.</S><S sid = NA ssid = NA>Thus we automatically find (a) the question type from the taxonomy of questions built into the system, (b) the expected answer type from the semantic analysis of the question, and most importantly, (c) the question focus defined as the main information required by that question.</S> | Discourse Facet:  NA | Annotator: Automatic


