Citance Number: 1 | Reference Article:  H91-1026.txt | Citing Article:  C94-2178.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >), though it is not clear just how common this is.</S><S sid = 213 ssid = >Warwick, S. and G. Russell (1990) "Bilingual Coneordaneing and Bilingual Lexicography," Euralex 1990.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  H91-1026.txt | Citing Article:  C96-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >When trained with a corpus only one-tenth the size of the corpus used in Gale and Church (1991), the algorithm aligns over 80% of word pairs with comparable precision (93%).</S> | Reference Offset:  ['40','129'] | Reference Text:  <S sid = 40 ssid = >In particular, the corpus could be used to develop and test sense- disambiguation algorithms.</S><S sid = 129 ssid = >On each iteration, remove pairs of words from the training corpus that have already been selected so that other alternatives can be identified.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H91-1026.txt | Citing Article:  P03-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These methods often involve using a statistic such as ?2 (Gale and Church, 1991) or the log likelihood ratio (Dunning, 1993) to create a score to measure the strength of correlation between source and target words.</S> | Reference Offset:  ['21','83'] | Reference Text:  <S sid = 21 ssid = >In other words, we favor methods with relatively high 1.</S><S sid = 83 ssid = >It is not clear that the maximum likelihood methods are robust enough to produce estimates that can be reliably replicated in other laboratories.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H91-1026.txt | Citing Article:  P03-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We produce an initial alignment using the same algorithm described in Section 3, except we maximize summed phi2 link scores (Gale and Church, 1991), rather than alignment probability.</S> | Reference Offset:  ['5','7'] | Reference Text:  <S sid = 5 ssid = >There has been quite a bit of recent work on sentence alignment, e.g., (Brown, Lai and Mercer, 1990, (Kay and Rbscheisen, 1988), (Catizone, Russell, and Warwick, to appear); we use a method described in (Gale and Church, 1991) which makes use of the fact that the length of a text (in characters) i~ 5ighly correlated (0.991) with the length of its translation.</S><S sid = 7 ssid = >This probabilistic score is used in a dynamic programming framework to find the maximum likelihood alignment of sentences.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H91-1026.txt | Citing Article:  W04-3255.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['79','213'] | Reference Text:  <S sid = 79 ssid = >), though it is not clear just how common this is.</S><S sid = 213 ssid = >Warwick, S. and G. Russell (1990) "Bilingual Coneordaneing and Bilingual Lexicography," Euralex 1990.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H91-1026.txt | Citing Article:  C02-1020.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Gale and Church, 1991) has used the ?2 statistics as the correspondence level of the word pairs and has showed that it was more effective than the mutual information.</S> | Reference Offset:  ['14','101'] | Reference Text:  <S sid = 14 ssid = >Here is an example of our word correspondence program.</S><S sid = 101 ssid = >Note that mutual information does not distinguish these two pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H91-1026.txt | Citing Article:  I05-4010.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Existing parallel corpora have illustrated their particular value in empirical NLP research, e.g., Canadian Hansard Corpus (Gale and Church, 1991b), HK Hansard (Wu, 1994), INTERSECT (Salkie, 1995), ENPC (Ebeling, 1998), the Bible parallel corpus (Resnik et al, 1999) and many others.</S> | Reference Offset:  ['0','2'] | Reference Text:  <S sid = 0 ssid = >Identifying Word Correspondences in Parallel Texts William A. Gale Kenneth W. Church I AT&T Bell Laboratories Murray Hill, N.J., 07974 gale@research.att.com 1.</S><S sid = 2 ssid = >Much of the current excitement surrounding parallel texts was initiated by Brown et aL (1990), who outline a self- organizing method for using these parallel texts to build a machine translation system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H91-1026.txt | Citing Article:  P98-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first cost function is the correlation measure (cf the use of phi2 in Gale and Church (1991)) computed as follows:= (bc ad )x/ (a+ b) (c+ d) (a+ c) (b+ d) where a =nv -n~, i~v b =nw, y c= Nnvnw +nw, v d =nwnw, v N is the total number of bi texts, nv the number of bi texts in which V appears in the target, nw the number of bi texts in which W appears in the source, and nw, y the number of bi texts in which W appears in the source and V appears in the target.</S> | Reference Offset:  ['70','133'] | Reference Text:  <S sid = 70 ssid = >First, their procedure appears to require a prohibitive amount of memory.</S><S sid = 133 ssid = >The second column indicates the number of sentences (aligned regions) that the pair appears in.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H91-1026.txt | Citing Article:  I08-6003.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >They are used in multilingual NLP as a basis for the creation of translation models (Brown et .al., 1990), lexical acquisition (Gale and Church, 1991) as well as for cross-language information retrieval (Chen and Nie, 2000).</S> | Reference Offset:  ['2','67'] | Reference Text:  <S sid = 2 ssid = >Much of the current excitement surrounding parallel texts was initiated by Brown et aL (1990), who outline a self- organizing method for using these parallel texts to build a machine translation system.</S><S sid = 67 ssid = >There is relatively little discussion of this topic in Brown et al.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H91-1026.txt | Citing Article:  W07-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gale and Church (1991) do not follow the EM model, but rather find French translations of English words using a phi2-like measure of association.</S> | Reference Offset:  ['9','149'] | Reference Text:  <S sid = 9 ssid = >That is, we would like to know which words in the English text correspond to which words in the French text.</S><S sid = 149 ssid = >The matching procedure attempts to match English and French words using the selected pairs.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H91-1026.txt | Citing Article:  P97-1038.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >A wide variety of ways of LTP estimation have been proposed in the literature of computational linguistics, including Dice coefficient (Kay and Roscheisen 1993), mutual information, phi2 (Gale and Church 1991b), dictionary and thesaurus Table 1.</S> | Reference Offset:  ['101','210'] | Reference Text:  <S sid = 101 ssid = >Note that mutual information does not distinguish these two pairs.</S><S sid = 210 ssid = >Gale, W. and K. Church (1990) "A Program for Aligning Sentences in Bilingual Corpora," unpublished ms., submitted to 29 th Annual Meeting of the Association for Computational Linguistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H91-1026.txt | Citing Article:  W05-0801.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Gale and Church (1991) made what may be the first application of word association to word alignment.</S> | Reference Offset:  ['25','199'] | Reference Text:  <S sid = 25 ssid = >Based on a sample of 800 sentences, we estimate that our word matching procedure matches 61% of the English words with some French word, and about 95% of these pairs match the English word with the appropriate French word.</S><S sid = 199 ssid = >We then used the selected word pairs to suggest word correspondences within a given aligned region.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H91-1026.txt | Citing Article:  W03-0320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Third, it makes the correct judgment on Gale and Church's well known chambre-communes problem (Gale and Church, 1991).</S> | Reference Offset:  ['0','100'] | Reference Text:  <S sid = 0 ssid = >Identifying Word Correspondences in Parallel Texts William A. Gale Kenneth W. Church I AT&T Bell Laboratories Murray Hill, N.J., 07974 gale@research.att.com 1.</S><S sid = 100 ssid = >How do we know that house is more associated with chambre than with communes?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H91-1026.txt | Citing Article:  W03-0320.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Many previous efforts have used a similar methodology but were only able to focus on word to word correspondences (Gale and Church, 1991).</S> | Reference Offset:  ['154','199'] | Reference Text:  <S sid = 154 ssid = >The column labeled slope indicates the difference between the j values for the current French word and the last previous non-NULL French word.</S><S sid = 199 ssid = >We then used the selected word pairs to suggest word correspondences within a given aligned region.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H91-1026.txt | Citing Article:  W03-0302.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The algorithm creates an initial alignment using search, constraints, and summed phi2 correlation-based scores (Gale and Church, 1991).</S> | Reference Offset:  ['11','77'] | Reference Text:  <S sid = 11 ssid = >We wish to distinguish the terms alignment and correspondence, The term alignment will be used when order constraints must be preserved and the term correspondence will be used when order constraints need not be preserved and crossing dependencies are permitted.</S><S sid = 77 ssid = >The particular one at which we arrive will, in general, depend on the initial choice of parameters."</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H91-1026.txt | Citing Article:  P06-1082.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In this work, the sentence level alignment algorithm given in (Gale and Church,1991) has been used for applying segment constraint.</S> | Reference Offset:  ['13','203'] | Reference Text:  <S sid = 13 ssid = >In contrast, we refer to the matching problem at the sentence level as an alignment problem because we believe that it is not necessary to model crossing dependencies at the sentence l vel as they are quite rare and can be ignored for now.</S><S sid = 203 ssid = >This is work in progress.</S> | Discourse Facet:  NA | Annotator: Automatic


