Citance Number: 1 | Reference Article:  H05-1043.txt | Citing Article:  W06-1642.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Popescu and Etzioni (2005) achieved high-precision opinion phrases extraction by using relaxation labeling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The key components of OPINE described in this paper are the PMI feature assessment which leads to high-precisionfeature extraction and the use of relaxation-labeling in or der to find the semantic orientation of potential opinionwords.</S><S sid = NA ssid = NA>Each of the SO label assignment subtasks previously identified is solved using a relaxation labeling step.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  H05-1043.txt | Citing Article:  D11-1144.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>A more NLP-oriented approach is proposed in (Popescu and Etzioni 2005), where noun phrases are extracted from online user reviews.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Extracted phrases are en closed in parentheses.</S><S sid = NA ssid = NA>It uses association rulemining to extract frequent review noun phrases as features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  H05-1043.txt | Citing Article:  C10-2167.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported in part by NSF grant IIS-0312988, DARPA contract NBCHD030010, ONR grant N00014-02-1-0324 as well as gifts from Google and the Turing Center.</S><S sid = NA ssid = NA>The extractions on which the annotators agreed were usedto compute OPINE?s precision, which was 89%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  H05-1043.txt | Citing Article:  C10-2167.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Popescu and Etzioni (2005) investigated the same problem.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>OPINE is built on top of the Know ItAll Web information-extraction system (Etzioni et al, 2005) as detailed in Section 3.</S><S sid = NA ssid = NA>We decompose the problem of review mining into the following main subtasks: I. Identify product features.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  H05-1043.txt | Citing Article:  P10-1139.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The dictionary-based method utilizes Wikipedia (Popescu and Etzioni, 2005) to find an entry page for a phrase or a single term in a query.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following, we describe how we estimate this term.</S><S sid = NA ssid = NA>Hu++ is a WordNet-based method for finding a word?s context-independent semantic orientation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  H05-1043.txt | Citing Article:  P10-2050.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported in part by NSF grant IIS-0312988, DARPA contract NBCHD030010, ONR grant N00014-02-1-0324 as well as gifts from Google and the Turing Center.</S><S sid = NA ssid = NA>The extractions on which the annotators agreed were usedto compute OPINE?s precision, which was 89%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  H05-1043.txt | Citing Article:  P10-1042.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In (Popescu and Etzioni, 2005), Popescu and Etzioni not only analyzed polarity of opinions regarding product features but also ranked opinions based on their strength.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Identify opinions regarding product features.</S><S sid = NA ssid = NA>Determine the polarity of opinions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  H05-1043.txt | Citing Article:  P10-1060.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Popescu and Etzioni (2005) present a method that identifies product features for using corpus statistics, WordNet relations and morphological cues.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>OPINE distinguishes parts from properties using WordNet?s IS-A hi erarchy (which enumerates different kinds of properties) and morphological cues (e.g., ?-iness?, ?-ity?</S><S sid = NA ssid = NA>and finds its SO label using PMI statistics.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  H05-1043.txt | Citing Article:  P10-2049.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The relevance ranking and extraction was then performed with different statistical measures: Pointwise Mutual Information (Popescu and Etzioni, 2005), the Likelihood Ratio Test (Yi et al, 2003) and Association Mining (Hu and Liu, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The review-mining work most relevant to our re search is that of (Hu and Liu, 2004) and (Kobayashi et al., 2004).</S><S sid = NA ssid = NA>OPINE is built on top of the Know ItAll Web information-extraction system (Etzioni et al, 2005) as detailed in Section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  H05-1043.txt | Citing Article:  W11-1716.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported in part by NSF grant IIS-0312988, DARPA contract NBCHD030010, ONR grant N00014-02-1-0324 as well as gifts from Google and the Turing Center.</S><S sid = NA ssid = NA>The extractions on which the annotators agreed were usedto compute OPINE?s precision, which was 89%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  H05-1043.txt | Citing Article:  P06-2079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported in part by NSF grant IIS-0312988, DARPA contract NBCHD030010, ONR grant N00014-02-1-0324 as well as gifts from Google and the Turing Center.</S><S sid = NA ssid = NA>The extractions on which the annotators agreed were usedto compute OPINE?s precision, which was 89%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  H05-1043.txt | Citing Article:  P06-2079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Unlike most previous work on polarity classification, which has largely focused on exploiting adjective-noun (AN) relations (e.g., Dave et al (2003), Popescu and Etzioni (2005)), we hypothesized that subject-verb (SV) and verb-object (VO) relations would also be useful for the task.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Nota tion: po=potential opinion, M=modifier, NP=noun phrase,S=subject, P=predicate, O=object.</S><S sid = NA ssid = NA>implies good ScanQuality).OPINE also extracts opinion phrases, which are adjec tive, noun, verb or adverb phrases representing customer opinions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  H05-1043.txt | Citing Article:  N10-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Common solutions to this problem involve clustering with the help of knowledge-rich methods, involving manually-constructed rules, semantic hierarchies, or both (e.g., Popescu and Etzioni 2005, Fahrni and Klenner 2008).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Extraction Rules Examples if ?(M,NP = f)?</S><S sid = NA ssid = NA>In the following, we describe how OPINE finds the semantic orientation of words.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  H05-1043.txt | Citing Article:  N10-1122.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In the IE setting, Popescu and Etzioni (2005) extract frequent terms, and cluster them into aspects.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It uses association rulemining to extract frequent review noun phrases as features.</S><S sid = NA ssid = NA>PMI++?s main shortcoming is misclassifying terms such as ?basic?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  H05-1043.txt | Citing Article:  C08-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported in part by NSF grant IIS-0312988, DARPA contract NBCHD030010, ONR grant N00014-02-1-0324 as well as gifts from Google and the Turing Center.</S><S sid = NA ssid = NA>The extractions on which the annotators agreed were usedto compute OPINE?s precision, which was 89%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  H05-1043.txt | Citing Article:  D07-1115.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Popescu and Etzioni applied relaxation labeling to polarity identification (Popescu and Etzioni, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In the following, we describe in detail how relaxation labeling is used to find SO labels for words in the given review sets.</S><S sid = NA ssid = NA>OPINE is built on top of the Know ItAll Web information-extraction system (Etzioni et al, 2005) as detailed in Section 3.</S> | Discourse Facet:  NA | Annotator: Automatic


