Citance Number: 1 | Reference Article:  N04-3012.txt | Citing Article:  P05-3002.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Extensive research concerning the integration of semantic knowledge into NLP for the English language has been arguably fostered by the emergence of WordNet::Similarity package (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We close with a summary of research that has employed WordNet::Similarity.</S><S sid = NA ssid = NA>WordNet::Similarity is a freely available software package that makes it possible to measure the semantic similarity and relatedness between a pair of concepts (or synsets).</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N04-3012.txt | Citing Article:  N09-5005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>SR-AW finds the sense of each word that is most related or most similar to those of its neighbors in the sentence, according to any of the ten measures available in WordNet::Similarity (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>However, concepts can be related in many ways beyond being similar to each other.</S><S sid = NA ssid = NA>The premise behind this algorithm is that the sense of a word can be determined by finding which of its senses is most related to the possible senses of its neighbors.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N04-3012.txt | Citing Article:  S12-1075.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Then the value of vi is assigned as follows, where the similarity function SIM (ti ,wj) is calculated according to the path measure (Pedersen et al., 2004) using the WordNet.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The measure path is a baseline that is equal to the inverse of the shortest path between two concepts.</S><S sid = NA ssid = NA>Three similarity measures are based on path lengths between a pair of concepts: lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), and path. lch finds the shortest path between two concepts, and scales that value by the maximum path length found in the is–a hierarchy in which they occur. wup finds the depth of the LCS of the concepts, and then scales that by the sum of the depths of the individual concepts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N04-3012.txt | Citing Article:  P12-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used the Wordnet::Similarity software package (Pedersen et al, 2004) to calculate the similarity between every two words at first.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet::Similarity is a freely available software package that makes it possible to measure the semantic similarity and relatedness between a pair of concepts (or synsets).</S><S sid = NA ssid = NA>This paper continues with an overview of the measures supported in WordNet::Similarity, and then provides a brief description of how the package can be used.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N04-3012.txt | Citing Article:  P07-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The measures vary from simple edge-counting to attempt to factor in peculiarities of the network structure by considering link direction, relative path, and density, such as vector, lesk, hso, lch, wup, path, res, lin and jcn (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, for the measures that rely on path lengths (lch, wup, path) the tracing shows all the paths found between the concepts.</S><S sid = NA ssid = NA>Three similarity measures are based on path lengths between a pair of concepts: lch (Leacock and Chodorow, 1998), wup (Wu and Palmer, 1994), and path. lch finds the shortest path between two concepts, and scales that value by the maximum path length found in the is–a hierarchy in which they occur. wup finds the depth of the LCS of the concepts, and then scales that by the sum of the depths of the individual concepts.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N04-3012.txt | Citing Article:  W12-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the WordNet word-to-word similarity metrics (Pedersen et al, 2004) and Latent Semantic Analysis (Landauer et al, 2007).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Baldwin et al., 2003) use WordNet::Similarity to provide an evaluation tool for multiword expressions that are identified via Latent Semantic Analysis.</S><S sid = NA ssid = NA>(McCarthy et al., 2004) use it in conjunction with a thesaurus derived from raw text in order to automatically identify the predominent sense of a word.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N04-3012.txt | Citing Article:  W12-2018.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work has been partially supported by a National Science Foundation Faculty Early CAREER Development award (#0092784), and by a Grant-in-Aid of Research, Artistry and Scholarship from the Office of the Vice President for Research and the Dean of the Graduate School of the University of Minnesota.</S><S sid = NA ssid = NA>The lin and jcn measures augment the information content of the LCS with the sum of the information content of concepts A and B themselves.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N04-3012.txt | Citing Article:  S12-1005.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Yet, other resources of semantically-related terms can be beneficial, such as WordNet::Similarity (Pedersen et al, 2004), statistical resources like that of Lin (1998) or DIRECT (Kotlerman et al, 2010), thesauri, Wikipedia (Hu et al., 2009), ontologies (Suchanek et al, 2007) etc.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Zhang et al., 2003) use it as a source of semantic features for identifying cross–document structural relationships between pairs of sentences found in related documents.</S><S sid = NA ssid = NA>(Baldwin et al., 2003) use WordNet::Similarity to provide an evaluation tool for multiword expressions that are identified via Latent Semantic Analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N04-3012.txt | Citing Article:  E09-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>where d(.) is a WordNet based relatedness measure (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet::Similarity implements measures of similarity and relatedness that are all in some way based on the structure and content of WordNet.</S><S sid = NA ssid = NA>It provides six measures of similarity, and three measures of relatedness, all of which are based on the lexical database WordNet.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  N04-3012.txt | Citing Article:  S12-1077.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The thresholds were thoroughly selected depending on our analysis for the WordNet hierarchary and semantic similarity measures (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Baldwin et al., 2003) use WordNet::Similarity to provide an evaluation tool for multiword expressions that are identified via Latent Semantic Analysis.</S><S sid = NA ssid = NA>Our work with measures of semantic similarity and relatedness began while adapting the Lesk Algorithm for word sense disambiguation to WordNet (Banerjee and Pedersen, 2002).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  N04-3012.txt | Citing Article:  N10-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, WordNet similarities (Pedersen et al, 2004) or Latent Semantic Analysis over a large corpus are widely used in many applications and for the definition of kernel functions.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Baldwin et al., 2003) use WordNet::Similarity to provide an evaluation tool for multiword expressions that are identified via Latent Semantic Analysis.</S><S sid = NA ssid = NA>However, there are also utility programs available with WordNet::Similarity that allow a user to compute information content values from the Brown Corpus, the Penn Treebank, the British National Corpus, or any given corpus of raw text.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  N04-3012.txt | Citing Article:  N10-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>It is worth mentioning that the LSA similarity measure depends on the selected corpus but it benefits from a higher computation speed in comparison to the construction of the similarity matrix based on the WordNet Similarity package (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet::Similarity implements measures of similarity and relatedness that are all in some way based on the structure and content of WordNet.</S><S sid = NA ssid = NA>WordNet::Similarity is a freely available software package that makes it possible to measure the semantic similarity and relatedness between a pair of concepts (or synsets).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  N04-3012.txt | Citing Article:  N10-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Additionally, we used the Jiang&Conrath (J&C) distance (Jiang and Conrath, 1997) computed with wn::similarity package (Pedersen et al, 2004) to measure the similarity between T and H.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>These measures include res (Resnik, 1995), lin (Lin, 1998), and jcn (Jiang and Conrath, 1997).</S><S sid = NA ssid = NA>WordNet::Similarity is a freely available software package that makes it possible to measure the semantic similarity and relatedness between a pair of concepts (or synsets).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  N04-3012.txt | Citing Article:  N10-1146.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Moreover, Table 4 shows that the computation of the LSA matrix on Wikipedia is faster than using the WordNet similarity software (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>WordNet::Similarity is a freely available software package that makes it possible to measure the semantic similarity and relatedness between a pair of concepts (or synsets).</S><S sid = NA ssid = NA>Tracing for the hso measure shows the actual paths found through WordNet, while the tracing for lesk shows the gloss overlaps in WordNet found for the two concepts and their nearby relatives.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  N04-3012.txt | Citing Article:  N06-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use the default configuration of the measure in WordNet::Similarity-0.12 package (Pedersen et al, 2004), and, with a single exception, the measure performed below Gic; see BP in table 1.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>When an existing measure is to be used, an object of that measure must be created via the new() method.</S><S sid = NA ssid = NA>WordNet::Similarity is a freely available software package that makes it possible to measure the semantic similarity and relatedness between a pair of concepts (or synsets).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  N04-3012.txt | Citing Article:  N06-2004.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We use (Pedersen et al., 2004) implementation with a minor alteration.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(McCarthy et al., 2004) use it in conjunction with a thesaurus derived from raw text in order to automatically identify the predominent sense of a word.</S><S sid = NA ssid = NA>(Baldwin et al., 2003) use WordNet::Similarity to provide an evaluation tool for multiword expressions that are identified via Latent Semantic Analysis.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  N04-3012.txt | Citing Article:  W09-2405.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The WordNet::Similarity package provides a flexible implementation of many of these measures (Pedersen et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>It provides six measures of similarity, and three measures of relatedness, all of which are based on the lexical database WordNet.</S><S sid = NA ssid = NA>This paper continues with an overview of the measures supported in WordNet::Similarity, and then provides a brief description of how the package can be used.</S> | Discourse Facet:  NA | Annotator: Automatic


