Citance Number: 1 | Reference Article:  P05-1073.txt | Citing Article:  W05-0636.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Reranking has previously been applied to semantic role labeling by Toutanova et al (2005), from which we use several features.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Our local models for semantic role labeling use this decomposition.</S><S sid = NA ssid = NA>As previously observed (Pradhan et al., 2004), including modifying arguments in sequence features is not helpful.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P05-1073.txt | Citing Article:  W06-1673.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This work was supported in part by the Advanced Research and Development Activity (ARDA)’s Advanced Question Answering for Intelligence (AQUAINT) Program.</S><S sid = NA ssid = NA>Suppose we want the most likely consistent assignment for subtree t with children trees t1, ... , tk each storing the most likely consistent assignment of nodes it dominates as well as the log-probability of the assignment of all nodes it dominates to NONE.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P05-1073.txt | Citing Article:  W09-1206.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We implemented a global reranker following Toutanova et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Punyakanok et al., 2004) use a linear programming framework to ensure that the only argument frames which get probability mass are ones that respect global constraints on argument labels.</S><S sid = NA ssid = NA>Thus we do not have accuracy loss as in the two-pass hard prune strategy described in (Pradhan et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P05-1073.txt | Citing Article:  W09-1103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Statistical parsers are major components in NLP applications such as QA (Kwok et al, 2001), MT (Marcu et al, 2006) and SRL (Toutanova et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The release of semantically annotated corpora such as FrameNet (Baker et al., 1998) and PropBank (Palmer et al., 2003) has made it possible to develop high-accuracy statistical models for automated semantic role labeling (Gildea and Jurafsky, 2002; Pradhan et al., 2004; Xue and Palmer, 2004).</S><S sid = NA ssid = NA>The standard features at the top of the table were defined by (Gildea and Jurafsky, 2002), and the rest are other useful lexical and structural features identified in more recent work (Pradhan et al., 2004; Surdeanu et al., 2003; Xue and Palmer, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P05-1073.txt | Citing Article:  P06-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We employ this decomposition mainly for efficiency in training: that is, the decomposition allows us to train the classification models on a subset of training examples consisting only of those phrases that have a case marker, following Toutanova et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here we use the same features for local identification and classification models, but use the decomposition for efficiency of training.</S><S sid = NA ssid = NA>Our local models for semantic role labeling use this decomposition.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P05-1073.txt | Citing Article:  P06-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Toutanova et al (2005) report a substantial improvement in performance on the semantic role labeling task by building a joint classifier, which takes the labels of other phrases into account when classifying a given phrase.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>We report results for two variations of the semantic role labeling task.</S><S sid = NA ssid = NA>We call such phrases fillers of semantic roles and our task is, given a sentence and a target verb, to return all such phrases along with their correct labels.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P05-1073.txt | Citing Article:  P06-1132.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We applied the joint classifiers in the framework of N-best re ranking (Collins, 2000), following Toutanova et al (2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Such interpolation with a score from a first-pass model was also used for parse re-ranking in (Collins, 2000).</S><S sid = NA ssid = NA>Therefore, in order to be able to incorporate long-range dependencies in our models, we chose to adopt a re-ranking approach (Collins, 2000), which selects from likely assignments generated by a model which makes stronger independence assumptions.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P05-1073.txt | Citing Article:  W08-2125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Our system, on the other hand, follows a joint approach in the spirit of Toutanova et al (2005) and performs the above steps collectively.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The form of the models is as follows.</S><S sid = NA ssid = NA>Thus we do not have accuracy loss as in the two-pass hard prune strategy described in (Pradhan et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P05-1073.txt | Citing Article:  W08-2125.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In contrast to the work of Toutanova et al (2005) our system applies on line learning to train its parameters and exact inference to predict a collective role labelling.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Joint Learning Improves Semantic Role Labeling</S><S sid = NA ssid = NA>In previous work, various machine learning methods have been used to learn local classifiers for role labeling.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P05-1073.txt | Citing Article:  W07-2048.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition, while the system described here is based on pipelined classification, recent research on semantic role labeling has shown that significant performance improvements can be gained by exploiting interdependencies between arguments (Toutanova et al., 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In classification, we are given a set of arguments in t and must label each one with its appropriate semantic role.</S><S sid = NA ssid = NA>Thus we do not have accuracy loss as in the two-pass hard prune strategy described in (Pradhan et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P05-1073.txt | Citing Article:  N06-1055.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In a recent paper on the SRL on verbal predicates for English, (Toutanova et al, 2005) pointed out that one potential flaw in a SRL system where each argument is considered on its own is that it does not take advantage of the fact that the arguments (not the adjuncts) of a predicate are subject to the hard constraint that they do not have the same label.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>For example, there are hard constraints – that arguments cannot overlap with each other or the predicate, and also soft constraints – for example, is it unlikely that a predicate will have two or more AGENT arguments, or that a predicate used in the active voice will have a THEME argument prior to an AGENT argument.</S><S sid = NA ssid = NA>Thus we do not have accuracy loss as in the two-pass hard prune strategy described in (Pradhan et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P05-1073.txt | Citing Article:  W05-0623.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The system, introduced in (Toutanova et al, 2005), implements a joint model that captures dependencies among arguments of a predicate using log-linear models in a discriminative re-ranking framework.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here we describe the application in testing of a joint model for semantic role labeling, using a local model P`SRL, and a joint re-ranking model PrSRL.</S><S sid = NA ssid = NA>We propose a discriminative log-linear joint model for semantic role labeling, which incorporates more global features and achieves superior performance in comparison to state-of-the-art models.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P05-1073.txt | Citing Article:  W05-0623.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The ones denoted with asterisks (*) were not present in (Toutanova et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>(Punyakanok et al., 2004) use a linear programming framework to ensure that the only argument frames which get probability mass are ones that respect global constraints on argument labels.</S><S sid = NA ssid = NA>Thus we do not have accuracy loss as in the two-pass hard prune strategy described in (Pradhan et al., 2005).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P05-1073.txt | Citing Article:  W05-0623.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We find the exact top N consistent most likely local model labelings using a simple dynamic program described in (Toutanova et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Here we describe a fast exact dynamic programming algorithm to find the most likely non-overlapping (consistent) labeling of all nodes in the parse tree, according to a product of probabilities from local models, as in Equation 2.</S><S sid = NA ssid = NA>Generation of top N most likely joint assignments We generate the top N most likely nonoverlapping joint assignments of labels to nodes in a parse tree according to a local model PsRL, by an exact dynamic programming algorithm, which is a generalization of the algorithm for finding the top non-overlapping assignment described in section 3.1.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P05-1073.txt | Citing Article:  W05-0623.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Most of the features we use are described in more detail in (Toutanova et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Thus we do not have accuracy loss as in the two-pass hard prune strategy described in (Pradhan et al., 2005).</S><S sid = NA ssid = NA>Here we use the same features for local identification and classification models, but use the decomposition for efficiency of training.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P05-1073.txt | Citing Article:  P09-1054.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>The applications range from simple classification tasks such as text classification and history-based tagging (Ratnaparkhi, 1996) to more complex structured prediction tasks such as part of-speech (POS) tagging (Lafferty et al, 2001), syntactic parsing (Clark and Curran, 2004) and semantic role labeling (Toutanova et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The release of semantically annotated corpora such as FrameNet (Baker et al., 1998) and PropBank (Palmer et al., 2003) has made it possible to develop high-accuracy statistical models for automated semantic role labeling (Gildea and Jurafsky, 2002; Pradhan et al., 2004; Xue and Palmer, 2004).</S><S sid = NA ssid = NA>Several systems have incorporated such dependencies, for example, (Gildea and Jurafsky, 2002; Pradhan et al., 2004; Thompson et al., 2003) and several systems submitted in the CoNLL-2004 shared task (Carreras and M`arquez, 2004).</S> | Discourse Facet:  NA | Annotator: Automatic


