Citance Number: 1 | Reference Article:  J94-4003.txt | Citing Article:  W99-0905.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Due to the recent availability of large text corpora, various statistical approaches have been tried including using 1) parallel corpora (Brown et al., 1990), (Brown et al., 1991), (Brown, 1997), 2) non-parallel bilingual corpora tagged with topic area (Yamabana et al., 1998) and 3) un-tagged mono-language corpora in the target language (Dagan and Itai, 1994), (Tanaka and Iwasaki, 1996), (Kikui, 1998).</S> | Reference Offset:  ['71','594'] | Reference Text:  <S sid = 71 ssid = >2 A similar observation underlies the use of parallel bilingual corpora for sense disambiguation (Brown et al. 1991; Gale, Church, and Yarowsky 1992).</S><S sid = 594 ssid = >It seems, however, that Brown et al. expect that target word selection would be determined mainly by translation probabilities (the second factor in the above term), which should be derived from a bilingual corpus (Brown et al.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J94-4003.txt | Citing Article:  C04-1053.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The idea of obtaining linguistic information about a text in one language by exploiting parallel or comparable texts in another language has been explored in the field of Word Sense Disambiguation (WSD) since the early 90's, the most representative works being (Brown et al, 1991), (Gale et al, 1992), and (Dagan and Itai, 1994).</S> | Reference Offset:  ['71','518'] | Reference Text:  <S sid = 71 ssid = >2 A similar observation underlies the use of parallel bilingual corpora for sense disambiguation (Brown et al. 1991; Gale, Church, and Yarowsky 1992).</S><S sid = 518 ssid = >Brown et al. (1991) were concerned with sense disambiguation for machine translation.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J94-4003.txt | Citing Article:  W99-0902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that, unlike Dagan and Itai (1994), we give no consideration to statistical confidence as we are after 100% recall, whatever the cost to precision.</S> | Reference Offset:  ['162','222'] | Reference Text:  <S sid = 162 ssid = >We will incorporate this consideration into the decision algorithm by using confidence intervals.'</S><S sid = 222 ssid = >Note that we cannot compute Ba when one of the counts is zero.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J94-4003.txt | Citing Article:  W99-0902.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >It may, therefore, be desirable to apply a dynamic threshold on the discriminative ratio (cf. (Dagan and Itai, 1994)) to accept only those translation pairs with sufficiently high statistical confidence, for example.</S> | Reference Offset:  ['210','233'] | Reference Text:  <S sid = 210 ssid = >Consequently, we shall use a dynamic threshold for 151 /1112, which is large when the counts are small and decreases as the counts increase.</S><S sid = 233 ssid = >As mentioned above, our motivation was to find a criterion that depends on a dynamic threshold for 151 //52 (or alternatively ni /n2), so that the threshold will be higher when ni and n2 are smaller.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J94-4003.txt | Citing Article:  D07-1007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >However, most of previous research has focused on using multilingual resources typically used in SMT systems to improve WSD accuracy Dagan and Itai (1994).</S> | Reference Offset:  ['53','309'] | Reference Text:  <S sid = 53 ssid = >In contrast to this view, previous approaches in machine translation typically resolve examples like (1) by stating various constraints in terms of the source language (Nirenburg 1987).</S><S sid = 309 ssid = >Thus, the success rate for the test sentences is the same for both methods, while requiring a considerably smaller amount of resources at the research phase.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J94-4003.txt | Citing Article:  W06-2007.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, Dagan and Itai (1994) carried out WSD experiments using monolingual corpora, a bilingual lexicon and a parser for the source language.</S> | Reference Offset:  ['12','526'] | Reference Text:  <S sid = 12 ssid = >The presented algorithm identifies syntactic relations between words, using a source language parser, and maps the alternative interpretations of these relations to the target language, using a bilingual lexicon.</S><S sid = 526 ssid = >7.2.5 A Bilingual Lexicon and a Monolingual Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J94-4003.txt | Citing Article:  P98-1037.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dagan and Itai (1994) indicate that two languages are more informative than one; an English corpus is very helpful in disambiguating polysemous words in Hebrew text.</S> | Reference Offset:  ['429','434'] | Reference Text:  <S sid = 429 ssid = >This is where other languages can supply the solution, exploiting the fact that the mapping between words and word senses varies significantly between different languages.</S><S sid = 434 ssid = >This process requires a bilingual lexicon that maps each Hebrew sense separately into its possible translations, similar to a Hebrew—Hebrew—English lexicon (analogous to the Oxford English—English—Hebrew dictionary of Hornby et al. [1986], which lists the senses of an English word, along with the possible Hebrew translations for each of them).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J94-4003.txt | Citing Article:  W97-0201.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The work of (Dagan and Itai, 1994) has also successfully used WSD to improve the accuracy of machine translation.</S> | Reference Offset:  ['18','613'] | Reference Text:  <S sid = 18 ssid = >A related task in machine translation, on which we focus in this paper, is target word selection.</S><S sid = 613 ssid = >To improve the performance of target word selection further, our method may be combined with other sense disambiguation methods.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J94-4003.txt | Citing Article:  H05-1069.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Dagan and Itai (1994) proposed an approach to WSD using monolingual corpora, a bilingual lexicon and a parser for the source language.</S> | Reference Offset:  ['12','526'] | Reference Text:  <S sid = 12 ssid = >The presented algorithm identifies syntactic relations between words, using a source language parser, and maps the alternative interpretations of these relations to the target language, using a bilingual lexicon.</S><S sid = 526 ssid = >7.2.5 A Bilingual Lexicon and a Monolingual Corpus.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J94-4003.txt | Citing Article:  C02-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The first method is based on a decision threshold (Dagan and Itai, 1994): the algorithm rejects decisions taken when the difference of the maximum likelihood among the competing senses is not big enough.</S> | Reference Offset:  ['146','208'] | Reference Text:  <S sid = 146 ssid = >Our algorithm is based on a statistical model.</S><S sid = 208 ssid = >If the decision is based on small counts, then the difference in the counts might be due to chance.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J94-4003.txt | Citing Article:  C02-1112.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As in (Dagan and Itai, 1994), we adjusted the measure to the amount of evidence.</S> | Reference Offset:  ['276','341'] | Reference Text:  <S sid = 276 ssid = >Hence, the results we report measure the performance of just the target word selection module and not the performance of a complete translation system.</S><S sid = 341 ssid = >In this section we quote their results, providing additional evidence for the effectiveness of the TWS method.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J94-4003.txt | Citing Article:  D08-1063.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(Dagan and Itai, 1994) explicitly suggests performing word sense disambiguation in the target language (English in the article) with the goal of resolving ambiguity in the source language (Hebrew).</S> | Reference Offset:  ['200','270'] | Reference Text:  <S sid = 200 ssid = >We must make this assumption since we use only a target language corpus, which is not related to any source language information.6 Therefore, when seeing an occurrence of the target language word w, we do not know which source language word is appropriate in the current context.</S><S sid = 270 ssid = >In both cases the target language was English.</S> | Discourse Facet:  NA | Annotator: Automatic


