Citance Number: 1 | Reference Article:  P06-1043.txt | Citing Article:  P07-1078.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['190','191'] | Reference Text:  <S sid = 190 ssid = >This work was supported by NSF grants LIS9720368, and IIS0095940, and DARPA GALE contract HR0011-06-20001.</S><S sid = 191 ssid = >We would like to thank the BLLIP team for their comments.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 7 | Reference Article:  P06-1043.txt | Citing Article:  P10-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In contrast, McClosky et al (2006a) report improved accuracy through self-training for a two stage parser and re-ranker.</S> | Reference Offset:  ['0','76'] | Reference Text:  <S sid = 0 ssid = >Reranking And Self-Training For Parser Adaptation</S><S sid = 76 ssid = >To use the data from NANC, we use self-training (McClosky et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P06-1043.txt | Citing Article:  P10-1036.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >This method has been used effectively to improve parsing performance on newspaper text (McClosky et al, 2006a), as well as adapting a Penn Treebank parser to a new domain (McClosky et al, 2006b).</S> | Reference Offset:  ['76','86'] | Reference Text:  <S sid = 76 ssid = >To use the data from NANC, we use self-training (McClosky et al., 2006).</S><S sid = 86 ssid = >The trends are the same as in (McClosky et al., 2006): Adding NANC data improves parsing performance on BROWN development considerably, improving the f-score from 83.9% to 86.4%.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P06-1043.txt | Citing Article:  I08-1012.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >(McClosky et al, 2006) presents a successful instance of parsing with self-training by using a re-ranker.</S> | Reference Offset:  ['76','79'] | Reference Text:  <S sid = 76 ssid = >To use the data from NANC, we use self-training (McClosky et al., 2006).</S><S sid = 79 ssid = >Finally, the 1-best parses after reranking are combined with the WSJ training set to retrain the firststage parser.1 McClosky et al. (2006) find that the self-trained models help considerably when parsing WSJ.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P06-1043.txt | Citing Article:  I08-2097.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['190','191'] | Reference Text:  <S sid = 190 ssid = >This work was supported by NSF grants LIS9720368, and IIS0095940, and DARPA GALE contract HR0011-06-20001.</S><S sid = 191 ssid = >We would like to thank the BLLIP team for their comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P06-1043.txt | Citing Article:  N07-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently there have been some improvements to the Charniak parser, use n-best re-ranking as reported in (Charniak and Johnson, 2005) and self training and re-ranking using data from the North American News corpus (NANC) and adapts much better to the Brown corpus (McClosky et al, 2006a; McClosky et al, 2006b).</S> | Reference Offset:  ['76','80'] | Reference Text:  <S sid = 76 ssid = >To use the data from NANC, we use self-training (McClosky et al., 2006).</S><S sid = 80 ssid = >We use the Charniak and Johnson (2005) reranking parser in our experiments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P06-1043.txt | Citing Article:  N07-1070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The syntactic parser is the version that is self trained using 2,500,000 sentences from NANC, and where the starting version is trained only on WSJ data (McClosky et al, 2006b).</S> | Reference Offset:  ['69','76'] | Reference Text:  <S sid = 69 ssid = >Our out-of-domain data is the Wall Street Journal (WSJ) portion of the Penn Treebank (Marcus et al., 1993) which consists of about 40,000 sentences (one million words) annotated with syntactic information.</S><S sid = 76 ssid = >To use the data from NANC, we use self-training (McClosky et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P06-1043.txt | Citing Article:  P09-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['190','191'] | Reference Text:  <S sid = 190 ssid = >This work was supported by NSF grants LIS9720368, and IIS0095940, and DARPA GALE contract HR0011-06-20001.</S><S sid = 191 ssid = >We would like to thank the BLLIP team for their comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P06-1043.txt | Citing Article:  P09-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['190','191'] | Reference Text:  <S sid = 190 ssid = >This work was supported by NSF grants LIS9720368, and IIS0095940, and DARPA GALE contract HR0011-06-20001.</S><S sid = 191 ssid = >We would like to thank the BLLIP team for their comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P06-1043.txt | Citing Article:  P09-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['190','191'] | Reference Text:  <S sid = 190 ssid = >This work was supported by NSF grants LIS9720368, and IIS0095940, and DARPA GALE contract HR0011-06-20001.</S><S sid = 191 ssid = >We would like to thank the BLLIP team for their comments.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P06-1043.txt | Citing Article:  P09-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >McClosky et al (2006b) used self-training and corpus weighting to adapt their parser trained on WSJ corpus to Browncorpus.</S> | Reference Offset:  ['76','157'] | Reference Text:  <S sid = 76 ssid = >To use the data from NANC, we use self-training (McClosky et al., 2006).</S><S sid = 157 ssid = >The reranking parser used the WSJ-trained reranker model.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P06-1043.txt | Citing Article:  P08-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Recently, McClosky et al (2006a) successfully applied self-training to parsing by exploiting available unlabeled data, and obtained remarkable results when the same technique was applied to parser adaptation (McClosky et al, 2006b).</S> | Reference Offset:  ['76','101'] | Reference Text:  <S sid = 76 ssid = >To use the data from NANC, we use self-training (McClosky et al., 2006).</S><S sid = 101 ssid = >Bacchiani et al. (2006) applies self-training to parser adaptation to utilize unlabeled in-domain data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P06-1043.txt | Citing Article:  P08-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that our approach is different from the self-training technique proposed in (McClosky et al, 2006a), although both methods belong to semi-supervised training category.</S> | Reference Offset:  ['27','76'] | Reference Text:  <S sid = 27 ssid = >The second technique is self-training — parsing unlabeled data and adding it to the training corpus.</S><S sid = 76 ssid = >To use the data from NANC, we use self-training (McClosky et al., 2006).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P06-1043.txt | Citing Article:  P08-1061.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Note that the results of our model are not directly comparable with previous parsing results shown in (McClosky et al, 2006a), since the parsing accuracy is measured in terms of dependency relations while their results are f-score of the bracketings implied in the phrase structure.</S> | Reference Offset:  ['48','164'] | Reference Text:  <S sid = 48 ssid = >We concentrate particularly on the work of (Gildea, 2001; Bacchiani et al., 2006) as they provide results which are directly comparable to those presented in this paper.</S><S sid = 164 ssid = >The results of this test are shown in Table 8.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P06-1043.txt | Citing Article:  D07-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['190','191'] | Reference Text:  <S sid = 190 ssid = >This work was supported by NSF grants LIS9720368, and IIS0095940, and DARPA GALE contract HR0011-06-20001.</S><S sid = 191 ssid = >We would like to thank the BLLIP team for their comments.</S> | Discourse Facet:  NA | Annotator: Automatic


