Citance Number: 1 | Reference Article:  N01-1008.txt | Citing Article:  W02-1008.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >The approach is a fully automated variant of the example selection algorithm introduced in Harabagiu et al (2001).</S> | Reference Offset:  ['11','71'] | Reference Text:  <S sid = 11 ssid = >7 Conclusion We have introduced a new data-driven method for corefresolution, implemented in the system.</S><S sid = 71 ssid = >We have introduced a new data-driven method for coreference resolution, implemented in the COCKTAIL system.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  N01-1008.txt | Citing Article:  N06-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Vieira & Poesio (2000), Harabagiu et al (2001), and Markert & Nissim (2005) explore the use of WordNet for different coreference resolution subtasks, such as resolving bridging reference, other and definite NP anaphora, and MUC-style coreference resolution.</S> | Reference Offset:  ['0','65'] | Reference Text:  <S sid = 0 ssid = >Text And Knowledge Mining For Coreference Resolution</S><S sid = 65 ssid = >The performance measures have been obtained automatically using the MUC-6 coreference scoring program (Vilain et al. 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  N01-1008.txt | Citing Article:  N06-1025.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >These measures are not specifically developed for coreference resolution but simply taken off-the-shelf and applied to our task without any specific tuning i.e. in contrast to Harabagiu et al. (2001), who weight WordNet relations differently in order to compute the confidence measure of the path.</S> | Reference Offset:  ['46','65'] | Reference Text:  <S sid = 46 ssid = >To determine the confidence of the path we consider three factors: *Factor fi has only two values.</S><S sid = 65 ssid = >The performance measures have been obtained automatically using the MUC-6 coreference scoring program (Vilain et al. 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  N01-1008.txt | Citing Article:  W08-0507.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In numerous articles the usefulness of this data and software ensemble has been demonstrated (e.g., for word sense disambiguation (Patwardhan et al, 2003), the analysis of noun phrase conjuncts (Hogan, 2007), or the resolution of coreferences (Harabagiu et al, 2001)).</S> | Reference Offset:  ['20','65'] | Reference Text:  <S sid = 20 ssid = >Computational methods based on linguistic and congitive information were presented in (Hobbs 1978), (Lappin and Leass 1994), (Brennan et al.1987), (Grosz et al.1995) and (Webber 1988).</S><S sid = 65 ssid = >The performance measures have been obtained automatically using the MUC-6 coreference scoring program (Vilain et al. 1995).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  N01-1008.txt | Citing Article:  D07-1052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Harabagiu et al (2001) use paths through Wordnet, using not only synonym and is-a relations, but also parts, morphological derivations, gloss texts and polysemy, which are weighted with a measure based on the relation types and number of path elements.</S> | Reference Offset:  ['52','54'] | Reference Text:  <S sid = 52 ssid = >For this purpose we assign the following weights to each relation considered: W(SYNONYM) = 1.0; w(IS-A) = 0.9; w(GLoss) = 0.9; w(IN-GLoss) = 0.3; w(HAs-PART) = 0.7; w(MoRPHo-DERIVATION) = 0.6; and W(COLLIDESENSE) = 0.5.</S><S sid = 54 ssid = >If we denote by rir„i the number of different relation types encountered in a path, and rirsame(rel) denotes the number of links of type rel in a sequence, then we define f2 with the formula: *Factor h is a semantic measure operating on a conceptual space.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  N01-1008.txt | Citing Article:  P10-1142.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For example, motivated by the fact that some coreference relations are harder to identify than the others (see Harabagiu et al (2001)), Ng and Cardie (2002a) present a method for mining easy positive instances, in an attempt to avoid the inclusion of hard training instances that may complicate the acquisition of an accurate coreference model.</S> | Reference Offset:  ['0','71'] | Reference Text:  <S sid = 0 ssid = >Text And Knowledge Mining For Coreference Resolution</S><S sid = 71 ssid = >We have introduced a new data-driven method for coreference resolution, implemented in the COCKTAIL system.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  N01-1008.txt | Citing Article:  P02-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Results presented in Harabagiu et al (2001) are higher than those reported here, but assume that all and only the noun phrases involved in coreference relationships are provided for analysis by the coreference resolution system.</S> | Reference Offset:  ['0','20'] | Reference Text:  <S sid = 0 ssid = >Text And Knowledge Mining For Coreference Resolution</S><S sid = 20 ssid = >Computational methods based on linguistic and congitive information were presented in (Hobbs 1978), (Lappin and Leass 1994), (Brennan et al.1987), (Grosz et al.1995) and (Webber 1988).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  N01-1008.txt | Citing Article:  P02-1014.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We also plan to investigate previous work on common noun phrase interpretation (e.g. Sidner (1979), Harabagiu et al (2001)) as a means of improving common noun phrase resolution, which remains a challenge for state-of-the-art coreference resolution systems.</S> | Reference Offset:  ['0','25'] | Reference Text:  <S sid = 0 ssid = >Text And Knowledge Mining For Coreference Resolution</S><S sid = 25 ssid = >In our work, we approached the coreference resolution problem by trying to determine how much more knowledge is required to supplement the abovementioned knowledge-poor methods and how to derive that knowledge.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  N01-1008.txt | Citing Article:  P07-1067.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In (Harabagiu et al, 2001), the path patterns in WordNet are utilized to compute the semantic consistency between NPs.</S> | Reference Offset:  ['29','44'] | Reference Text:  <S sid = 29 ssid = >WordNet (Miller 1995), the vast semantic knowledge base, provides suplementary knowledge in the form of semantic consistency between coreferring nouns.</S><S sid = 44 ssid = >In this case, all words from the synsets containing w receive the disjunct of the gender attributes corresponding to each sense of w. Mining semantic information from WordNet We used the WordNet knowledge base to mine patterns of WordNet paths that connect pairs of coreferring nouns from the annotated chains.</S> | Discourse Facet:  NA | Annotator: Automatic


