Citance Number: 1 | Reference Article:  J04-3002.txt | Citing Article:  P14-1105.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wiebe et al (2004) show that low-frequency words and some collocations are a good indicators of subjectivity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Many good clues of subjectivity occur with low frequency (Wiebe, McKeever, and Bruce 1998).</S><S sid = NA ssid = NA>Clues of subjectivity are generated and tested, including low-frequency words, collocations, and adjectives and verbs identified using distributional similarity.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 5 | Reference Article:  J04-3002.txt | Citing Article:  P11-2103.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Following Wiebe et al (2004) we apply a unique feature.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This article expands and integrates the work reported in Wiebe and Wilson (2002), Wiebe, Wilson, and Bell (2001), Wiebe et al. (2001) and Wiebe (2000).</S><S sid = NA ssid = NA>The set of all unique words is a feature with high frequency and significantly higher precision than baseline (Section 3.2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 6 | Reference Article:  J04-3002.txt | Citing Article:  P09-1029.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>On the other hand, Wiebe et al (2004) have noted that hap ax legomena (terms that only appear once in a collection of texts) are good signs for detecting subjectivity.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>The first are hapax legomena, the set of words that appear just once in the corpus.</S><S sid = NA ssid = NA>Recall that unique words are those that appear just once in the corpus, that is, hapax legomena.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  J04-3002.txt | Citing Article:  W07-1515.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Accurate automatic analysis of these aspects of language will augment existing research in the fields of sentiment (Pang et al, 2002) and subjectivity analysis (Wiebe et al, 2004), but assessing the usefulness of analysis algorithms leveraging the Appraisal framework will require test data.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>To perform automatic subjectivity analysis, good clues must be found.</S><S sid = NA ssid = NA>There has been much work in other fields, including linguistics, literary theory, psychology, philosophy, and content analysis, involving subjective language.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  J04-3002.txt | Citing Article:  W06-1652.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We used three opinion-related data sets for our analyses and experiments: the OP data set created by (Wiebe et al, 2004), the Polarity data set created by (Pang and Lee, 2004), and the MPQA data set created by (Wiebe et al, 2005).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Opinion-piece data are used for training, and (a different set of) opinion-piece data and the subjective-element data are used for testing.</S><S sid = NA ssid = NA>Multiple trainingvalidation data set pairs are used for each test set, as given in Table 7.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  J04-3002.txt | Citing Article:  C10-2117.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This paper is also not concerned with subjectivity (Wiebe et al, 2004), the nature of the proposition p (statement about interior world or external world) is not of interest, only whether the writer wants the reader to believe the writer believes p.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>A 10,000-sentence corpus of English-language versions of world news articles has been annotated with detailed subjectivity information as part of a project investigating multiple-perspective question answering (Wiebe et al. 2003).</S><S sid = NA ssid = NA>For example, the source of fascinating in (4) is the writer, while the source of the subjective elements in (5) is Maher (according to the writer).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  J04-3002.txt | Citing Article:  P11-4022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Subjectivity lexicon (Wiebe et al, 2004) is a resource that annotates words with tags like parts-of-speech, prior polarity, magnitude of prior polarity (weak/strong), etc.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>In addition, quoted-speech sentences in which individuals express their subjectivity are often included (Barzilay et al. 2000).</S><S sid = NA ssid = NA>When a ugen-n-gram is matched against the test data, the UNIQUE fillers match words (of the appropriate parts of speech) that are unique in the test data.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  J04-3002.txt | Citing Article:  W10-0212.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>For example, detecting subjective sentences, expressions, and other opinionated items in documents representing certain press categories (Wiebe et al, 2004) and measuring strength of subjective clauses (Wilson et al, 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This article expands and integrates the work reported in Wiebe and Wilson (2002), Wiebe, Wilson, and Bell (2001), Wiebe et al. (2001) and Wiebe (2000).</S><S sid = NA ssid = NA>The proportion of clues in subjective documents or expressions is their precision.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  J04-3002.txt | Citing Article:  P05-2006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wiebe et al (2004) focused on the detection of subjective language such as opinions, evaluations, or emotions in text.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Private state is a general covering term for opinions, evaluations, emotions, and speculations (Quirk et al. 1985).</S><S sid = NA ssid = NA>Subjectivity in natural language refers to aspects of language used to express opinions, evaluations, and speculations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  J04-3002.txt | Citing Article:  D08-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>More generally, (Wiebe et al 2004) and subsequent work focused on the analysis of subjective language in narrative text, primarily news.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This article expands and integrates the work reported in Wiebe and Wilson (2002), Wiebe, Wilson, and Bell (2001), Wiebe et al. (2001) and Wiebe (2000).</S><S sid = NA ssid = NA>The goal of this work is learning subjective language from corpora.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  J04-3002.txt | Citing Article:  P06-2079.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>There have been attempts on tackling this so-called document-level subjectivity classification task, with very encouraging results (see Yu and Hatzivassiloglou (2003) and Wiebe et al (2004) for details).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Yu and Hatzivassiloglou (2003) perform opinion text classification.</S><S sid = NA ssid = NA>The most closely related new work is Riloff, Wiebe, and Wilson (2003), Riloff and Wiebe (2003) and Yu and Hatzivassiloglou (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  J04-3002.txt | Citing Article:  S10-1098.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>Wiebe et al (2004) proposed that whether a sentence is subjective or objective should be discriminated according to the adjectives in it.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Sentences were annotated according to the coding instructions of Wiebe, Bruce, and O’Hara (1999) which, recall, are to classify a sentence as subjective if there is a significant expression of subjectivity of either the writer or someone mentioned in the text, in the sentence.</S><S sid = NA ssid = NA>At the sentence level, Wiebe, Bruce, and O’Hara (1999) developed a machine learning system to classify sentences as subjective or objective.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  J04-3002.txt | Citing Article:  E12-1033.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>We believe that this relaxation can be done in that particular case, as adjectives are much more likely to convey opinions a priori than verbs (Wiebe et al 2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>There is one small difference for adjectives and verbs noted in the figure, that is, the precision threshold of 0.28 for adjectives versus 0.23 for verbs.</S><S sid = NA ssid = NA>The results are for the union of the adjectives (verbs) chosen for each pair.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  J04-3002.txt | Citing Article:  W10-0209.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA></S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>This research was supported in part by the Office of Naval Research under grants N00014-95-1-0776 and N00014-01-1-0381.</S><S sid = NA ssid = NA>The counts are of tokens (i.e., instances or occurrences) of members of S. Why use a set rather than individual items?</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  J04-3002.txt | Citing Article:  W12-3705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>First, we investigate the utility of applying a UNIQUE feature (Wiebe et al, 2004) where low frequency words below a threshold are replaced with the token UNIQUE.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As with the training data, all unique words in the test data are replaced by UNIQUE.</S><S sid = NA ssid = NA>The set of all unique words is a feature with high frequency and significantly higher precision than baseline (Section 3.2).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  J04-3002.txt | Citing Article:  W12-3705.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>This group includes two features that have been employed in various SSA studies. Unique: Following Wiebe et al (2004), we apply a UNIQUE (Q) feature: We replace low frequency words with the token UNIQUE.</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>As with the training data, all unique words in the test data are replaced by UNIQUE.</S><S sid = NA ssid = NA>We showed that unique words are subjective more often than expected and that unique words are valuable clues to subjectivity.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  J04-3002.txt | Citing Article:  W05-0308.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset:  NA | Citation Text:  <S sid = NA ssid = NA>In addition to Appraisal Theory, subjectivity annotation of text in context has also been performed in Yu and Hatzivassiloglou (2003), Bruce and Wiebe (1999), and Wiebe et al (2004).</S> | Reference Offset:  NA | Reference Text:  <S sid = NA ssid = NA>Yu and Hatzivassiloglou (2003) perform opinion text classification.</S><S sid = NA ssid = NA>The most closely related new work is Riloff, Wiebe, and Wilson (2003), Riloff and Wiebe (2003) and Yu and Hatzivassiloglou (2003).</S> | Discourse Facet:  NA | Annotator: Automatic


