Citance Number: 1 | Reference Article:  P03-1054.txt | Citing Article:  W04-1217.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We fully parsed the training and testing data using the Stanford Parser of (Klein and Manning, 2003) operating on the TnT part-of-speech tagging.</S> | Reference Offset:  ['180','188'] | Reference Text:  <S sid = 180 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S><S sid = 188 ssid = >The same sentence, parsed using only the baseline and UNARY-INTERNAL, is parsed correctly, because the VP rewrite in the incorrect parse ends with an S&quot;VPU with very low probability.8 Alternately, UNARY-EXTERNAL, marked nodes which had no siblings with &quot;U.</S> | Discourse Facet:  NA | Annotator: Automatic
Citance Number: 6 | Reference Article:  P03-1054.txt | Citing Article:  P13-1062.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We follow a standard procedure to extract statements, as similarly adopted by Nakashole et al (2012), using Stanford CoreNLP (Klein and Manning, 2003) to lemmatize and parse sentences.</S> | Reference Offset:  ['3','160'] | Reference Text:  <S sid = 3 ssid = >history models similar in intent to those described in Ron et al. (1994).</S><S sid = 160 ssid = >history models similar in intent to those described in Ron et al. (1994).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 7 | Reference Article:  P03-1054.txt | Citing Article:  W10-0730.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parsed each sentence using the Stanford Parser (Klein and Manning, 2003) and used heuristics to identify cases where the main verb is transitive, where the subject is a nominalization (e.g. running), or whether the sentence is passive.</S> | Reference Offset:  ['30','188'] | Reference Text:  <S sid = 30 ssid = >The same sentence, parsed using only the baseline and is parsed correctly, because the in the incorrect parse ends with an very low marked nodes had no siblings with It was similar to solo benefit (0.01% worse), but provided far less marginal benefit on top of later features (none at all on top of our top models), and was One restricted place where external unary annotation was very useful, however, was at the preterminal level, where internal annotation was meaningless.</S><S sid = 188 ssid = >The same sentence, parsed using only the baseline and UNARY-INTERNAL, is parsed correctly, because the VP rewrite in the incorrect parse ends with an S&quot;VPU with very low probability.8 Alternately, UNARY-EXTERNAL, marked nodes which had no siblings with &quot;U.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 8 | Reference Article:  P03-1054.txt | Citing Article:  W08-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We use the Stanford Parser (Klein and Manning, 2003b) for all experiments.</S> | Reference Offset:  ['21','180'] | Reference Text:  <S sid = 21 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S><S sid = 180 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 9 | Reference Article:  P03-1054.txt | Citing Article:  W08-1006.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >As the grammar becomes sparser, there are limited opportunities for the lexical dependencies to correct the output of the PCFG grammar under the factored parsing model of Klein and Manning (2003b).</S> | Reference Offset:  ['50','182'] | Reference Text:  <S sid = 50 ssid = >5 What is an Unlexicalized Grammar?</S><S sid = 182 ssid = >Figure 4 shows an erroneous output of the parser, using the baseline markovized grammar.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 10 | Reference Article:  P03-1054.txt | Citing Article:  W11-0116.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >We parsed the documents into typed dependencies with the Stanford Parser (Klein and Manning, 2003).</S> | Reference Offset:  ['123','188'] | Reference Text:  <S sid = 123 ssid = >It has been comprehensively demonstrated that lexical dependencies are useful in resolving major classes of sentence ambiguities, and a parser should make use of such information where possible.</S><S sid = 188 ssid = >The same sentence, parsed using only the baseline and UNARY-INTERNAL, is parsed correctly, because the VP rewrite in the incorrect parse ends with an S&quot;VPU with very low probability.8 Alternately, UNARY-EXTERNAL, marked nodes which had no siblings with &quot;U.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 11 | Reference Article:  P03-1054.txt | Citing Article:  W11-2149.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To obtain dependency structures, we apply the Stanford parser (Klein and Manning, 2003) on the target side of the training material.</S> | Reference Offset:  ['118','196'] | Reference Text:  <S sid = 118 ssid = >The grammar representation is much more compact, no longer requiring large structures that store lexicalized probabilities.</S><S sid = 196 ssid = >The UNARY-DT annotation, for example, showed that the determiners which occur alone are usefully distinguished from those which occur with other nominal material.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 12 | Reference Article:  P03-1054.txt | Citing Article:  S10-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['97','285'] | Reference Text:  <S sid = 97 ssid = >We also tried marking nodes which dominated prepositions and/or conjunctions, but these features did not help the cumulative hill-climb.</S><S sid = 285 ssid = >IIS0085896, and in part by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 13 | Reference Article:  P03-1054.txt | Citing Article:  S10-1009.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['97','285'] | Reference Text:  <S sid = 97 ssid = >We also tried marking nodes which dominated prepositions and/or conjunctions, but these features did not help the cumulative hill-climb.</S><S sid = 285 ssid = >IIS0085896, and in part by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 14 | Reference Article:  P03-1054.txt | Citing Article:  D12-1096.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['97','285'] | Reference Text:  <S sid = 97 ssid = >We also tried marking nodes which dominated prepositions and/or conjunctions, but these features did not help the cumulative hill-climb.</S><S sid = 285 ssid = >IIS0085896, and in part by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 15 | Reference Article:  P03-1054.txt | Citing Article:  P13-1111.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >To relieve the negative effect of SRL errors, we get the multiple SRL results by providing the SRL system with 3-best parse trees of Berkeley parser (Petrov and Klein, 2007), 1 best parse tree of Bikel parser (Bikel, 2004) and Stanford parser (Klein and Manning, 2003).</S> | Reference Offset:  ['10','131'] | Reference Text:  <S sid = 10 ssid = >The best has an 79.74, already a substantial improvement over the baseline.</S><S sid = 131 ssid = >Given a set of transformed trees, we viewed the local trees as grammar rewrite rules in the standard way, and used (unsmoothed) maximum-likelihood estimates for rule probabilities.5 To parse the grammar, we used a simple array-based Java implementation of a generalized CKY parser, which, for our final best model, was able to exhaustively parse all sentences in section 23 in 1GB of memory, taking approximately 3 sec for average length sentences.6 The traditional starting point for unlexicalized parsing is the raw n-ary treebank grammar read from training trees (after removing functional tags and null elements).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 16 | Reference Article:  P03-1054.txt | Citing Article:  P09-2070.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['97','285'] | Reference Text:  <S sid = 97 ssid = >We also tried marking nodes which dominated prepositions and/or conjunctions, but these features did not help the cumulative hill-climb.</S><S sid = 285 ssid = >IIS0085896, and in part by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 17 | Reference Article:  P03-1054.txt | Citing Article:  P07-2052.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >Klein and Manning presented an unlexicalized PCFG parser that eliminated all the lexicalized parameters (Klein and Manning, 2003).</S> | Reference Offset:  ['21','180'] | Reference Text:  <S sid = 21 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S><S sid = 180 ssid = >In the raw grammar, there are many unaries, and once any major category is constructed over a span, most others become constructible as well using unary chains (see Klein and Manning (2001) for discussion).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 18 | Reference Article:  P03-1054.txt | Citing Article:  P11-2127.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >In STAN-ANNOTATION, we annotate thetreebank symbols with annotations from the Stanford parser (Klein and Manning, 2003).</S> | Reference Offset:  ['25','185'] | Reference Text:  <S sid = 25 ssid = >It would therefore be natural to annotate the trees so as to confine unary productions to the contexts in which they are actually ap- We tried two annotations.</S><S sid = 185 ssid = >We tried two annotations.</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 19 | Reference Article:  P03-1054.txt | Citing Article:  W12-0503.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = >For the following ensemble experiments we make use of both (Charniak and Johnson, 2005) and Stanford's (Klein and Manning, 2003) constituent parsers.</S> | Reference Offset:  ['72','136'] | Reference Text:  <S sid = 72 ssid = >Following (1999), the annotation nodes which have an empty subject (i.e., raising and constructions).</S><S sid = 136 ssid = >One way of capturing this kind of external context is to use parent annotation, as presented in Johnson (1998).</S> | Discourse Facet:  NA | Annotator: Automatic


Citance Number: 20 | Reference Article:  P03-1054.txt | Citing Article:  D07-1022.txt | Citation Marker Offset:  NA | Citation Marker: NA | Citation Offset: NA | Citation Text:  <S sid =  ssid = ></S> | Reference Offset:  ['97','285'] | Reference Text:  <S sid = 97 ssid = >We also tried marking nodes which dominated prepositions and/or conjunctions, but these features did not help the cumulative hill-climb.</S><S sid = 285 ssid = >IIS0085896, and in part by an IBM Faculty Partnership Award to the second author.</S> | Discourse Facet:  NA | Annotator: Automatic


