Citance Number: 1 | Reference Article:  C90-2039.txt | Citing Article:  P99-1061.txt | Citation Marker Offset:  8313-8325 | Citation Marker:  Kogure, 1990 | Citation Offset:  8258-8532 | Citation Text:  Tomabechi's approach still suffers from what Kogure (Kogure, 1990) calls redundant copying. The new feature structures produced in the second phase of unification include copies of all the substructures of the input graphs, even when these structures are unchanged | Reference Offset:  ['21', '22'] | Reference Text:  However, the problem with his method is that a unification result graph consists only of newly created structures. This is unnecessary because there are often input subgraphs that can be used as part of the result graph without any modification, or as sharable parts between one of the input graphs and the result graph ... Copying sharable parts is called redundant copying | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |
Citance Number: 6 | Reference Article:  C90-2039.txt | Citing Article:  P91-1031.txt | Citation Marker Offset:  9332-9336 | Citation Marker:  1990 | Citation Offset:  9108-9337 | Citation Text:  Controlling the order in which operands are processed in conjunctions may save time if conjuncts can be processed first that are most likely to fail. This observation is the basis for a reordering method proposed by Kogure [1990] | Reference Offset:  ['3'] | Reference Text:  The other, called the strategic incremental copy graph unification method, uses an early failure finding strategy which first tries to unify substructures tending to fail in unification; this method is based on stochastic data on the likelihood of failure and reduces unnecessary computation | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 7 | Reference Article:  C90-2039.txt | Citing Article:  P91-1031.txt | Citation Marker Offset:  11552-11563 | Citation Marker:  Kogure 1990 | Citation Offset:  11393-11565 | Citation Text:  Thus for any automatic counting scheme some constant shuffling and reshuffling of the conjunct order needs to be applied until the order stabilizes (see also [Kogure 1990]) | Reference Offset:  ['186', '187', '188'] | Reference Text:  the failure tendency information is acquired by a learning process. That is, the SING unification method applied in an analysis system uses the failure tendency information acquired by a learning analysis process. in the learning process, when FS unification is applied, feature treatment orders are randomized for the sake of random extraction | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 8 | Reference Article:  C90-2039.txt | Citing Article:  E93-1008.txt | Citation Marker Offset:  8436-8537 | Citation Marker:  Kogure, 1990 | Citation Offset:  8373-8416 | Citation Text:  The lazy copying approach ([Kogure, 1990] ... for lazy copying in TFS with historical backtracking) copies only overlapping parts of the structure. | Reference Offset:  ['5818-6055', '12414-12501'] | Reference Text:  This paper proposes an FS unification method that allows structure sharing with constant order node access time. This method achieves structure sharing by introducing lazy copying to Wroblewski's incremental copy graph unification method ... Then, the unification of t1 and t2 is defined as their greatest lower bound or the meet | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 9 | Reference Article:  C90-2039.txt | Citing Article:  C92-2068.txt | Citation Marker Offset:  3576-3634 | Citation Marker:  Kogure, 1990 | Citation Offset:  3446-3545 | Citation Text:  At least two schemes have been proposed recently based upon this observation (namely [Kogure, 1990] ... both schemes are based upon the incremental copying scheme | Reference Offset:  ['185-234'] | Reference Text:  Strategic Lazy Incremental Copy Graph Unification | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 10 | Reference Article:  C90-2039.txt | Citing Article:  C92-2068.txt | Citation Marker Offset:  4450-4552 | Citation Marker:  Kogure, 1990 | Citation Offset:  3532-3544 | Citation Text:  Two or more distinct graphs share the same subgraph by converging on the same node - the notion of ... structure-sharing at the data structure level. [Kogure, 1990] calls copying of such structures Redundant Copying. | Reference Offset:  ['3828-3879', '28696-28880'] | Reference Text:  Copying sharable parts is called redundant copying. ... Furthermore, structure sharing increases the portion of token identical substructures of FSs which makes it efficient to keep unification results of substructures of FSs and reuse them | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 11 | Reference Article:  C90-2039.txt | Citing Article:  P91-1041.txt | Citation Marker Offset:  3713-3725 | Citation Marker:  Kogure, 1990 | Citation Offset:  3555-3727 | Citation Text:  2In the large-scale HPSG-based spoken Japanese analysis system developed at ATR, sometimes 98 percent of the elapsed time is devoted to graph unification ([Kogure, 1990]) | Reference Offset:  ['28696-28880'] | Reference Text:  Furthermore, structure sharing increases the portion of token identical substructures of FSs which makes it efficient to keep unification results of substructures of FSs and reuse them | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 12 | Reference Article:  C90-2039.txt | Citing Article:  P91-1041.txt | Citation Marker Offset:  40224-40236 | Citation Marker:  Kogure, 1990 | Citation Offset:  40089-40238 | Citation Text:  That is, unless some new scheme for reducing excessive copying is introduced such as structure-sharing of an unchanged shared-forest ([Kogure, 1990]) | Reference Offset:  ['2855-2980'] | Reference Text:  For example, a spoken Japanese analysis system based on llPSG[Kogure 89] uses 90% - 98% of the elapsed time in FS unification | Discourse Facet:  Results_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 13 | Reference Article:  C90-2039.txt | Citing Article:  C94-2143.txt | Citation Marker Offset:  10637-10649 | Citation Marker:  Kogure, 1990 | Citation Offset:  10484-10650 | Citation Text:  A more efficient unification algorithm would avoid this redundant copying (copying structures that can be shared by the input and resultant graphs) (Kogure, 1990) | Reference Offset:  ['20444-20526', '3622-3940'] | Reference Text:  The LING unification method, which uses copy dependency information, was developed. This is unnecessary because there are often input subgraphs that can be used as part of the result graph without any modification, or as sharable parts between one of the input graphs and the result graph. Copying sharable parts is called redundant copying. A better method would minimize the copying of sharable parts | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 14 | Reference Article:  C90-2039.txt | Citing Article:  C94-2143.txt | Citation Marker Offset:  10637-10649 | Citation Marker:  Kogure, 1990 | Citation Offset:  12811-12922 | Citation Text:  Kogure (1990) proposed a lazy incremental copy graph (LING) unification that uses dependency-directed copying | Reference Offset:  ['3622-3940'] | Reference Text:  This is unnecessary because there are often input subgraphs that can be used as part of the result graph without any modification, or as sharable parts between one of the input graphs and the result graph. Copying sharable parts is called redundant copying. A better method would minimize the copying of sharable parts | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 15 | Reference Article:  C90-2039.txt | Citing Article:  P91-1042.txt | Citation Marker Offset:  6808-6817 | Citation Marker:  Kogure 90 | Citation Offset:  6723-6818 | Citation Text:  A better method would avoid (eliminate) such redundant copying as it is called by [Kogure 90] | Reference Offset:  ['3828-3940'] | Reference Text:  Copying sharable parts is called redundant copying. A better method would minimize the copying of sharable parts | Discourse Facet:  Implication_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 16 | Reference Article:  C90-2039.txt | Citing Article:  P91-1042.txt | Citation Marker Offset:  19566-19657 | Citation Marker:  Kogure 90 | Citation Offset:  19524-19549 | Citation Text:  As it has been noticed by ... [Kogure 90], the key idea of avoiding "redundant copying" is to do copying lazily ... Kogure uses a revised copynode procedure which maintains copy dependency information in order to avoid immediate copying ... Similarly, in Kogure's approach, not all redundant copying is avoided in cases where there exists a feature path (a sequence of nodes connected by arcs) to a node that needs to be copied. All the nodes along such a path must be copied, even if they are not affected by the unification procedure. Furthermore, special copy dependency information has to be maintained while copying nodes in order to trigger copying of such arc sequences leading to a node where copying is needed later in the process of unification. In addition to the overhead of storing copy dependency information, a second traversal of the set of dependent nodes is required for actually performing the copying. This copying itself might eventually trigger further copying of new dependent nodes | Reference Offset:  ['3828-3878', '20067-20252'] | Reference Text:  Copying sharable parts is called redundant copying ... However, this whole copying is not necessary if a lazy evaluation method is used. With such a method, it is possible to delay copying a node until either its own contents need to change | Discourse Facet:  Aim_Citation | Annotator:  Kokil Jaidka, NTU |


Citance Number: 17 | Reference Article:  C90-2039.txt | Citing Article:  W97-1503.txt | Citation Marker Offset:  24744-24759 | Citation Marker:  Kogure, 1990 | Citation Offset:  24625-24724 | Citation Text:  carefully control and minimize the amount of copying needed with non-deterministic parsing schemata ... (Kogure, 1990); | Reference Offset:  ['3880-3940'] | Reference Text:  A better method would minimize the copying of sharable parts | Discourse Facet:  Method_Citation | Annotator:  Kokil Jaidka, NTU |

